"","p1_luck","p2_luck","p1_skill","p2_skill","p1_chip","p2_chip"
"1",35.05,-35.05,14.95,-14.95,50,-50
"2",18.1,-18.1,31.9,-31.9,50,-50
"3",32.7,-32.7,17.3,-17.3,50,-50
"4",-30.6,30.6,80.6,-80.6,50,-50
"5",27.8,-27.8,22.2,-22.2,50,-50
"6",-45.6,45.6,95.6,-95.6,50,-50
"7",24.6,-24.6,25.4,-25.4,50,-50
"8",-19.2,19.2,69.2,-69.2,50,-50
"9",15.5,-15.5,34.5,-34.5,50,-50
"10",5.55000000000001,-5.55000000000001,44.45,-44.45,50,-50
"11",28.75,-28.75,21.25,-21.25,50,-50
"12",-30.35,30.35,80.35,-80.35,50,-50
"13",9.39999999999999,-9.39999999999999,40.6,-40.6,50,-50
"14",19.55,-19.55,30.45,-30.45,50,-50
"15",39.55,-39.55,10.45,-10.45,50,-50
"16",73.25,-50,-23.25,0,50,-50
"17",-31.6,31.6,81.6,-81.6,50,-50
"18",49.1,-49.1,0.899999999999977,-0.899999999999991,50,-50
"19",44.05,-44.05,5.95000000000002,-5.95000000000001,50,-50
"20",30,-30,20,-20,50,-50
"21",28.5,-28.5,21.5,-21.5,50,-50
"22",-3.05000000000001,3.05,53.05,-53.05,50,-50
"23",11.45,-11.45,38.55,-38.55,50,-50
"24",26.85,-26.85,23.15,-23.15,50,-50
"25",0,0,-20000,20000,-20000,20000
"26",21.2,-21.2,28.8,-28.8,50,-50
"27",-21.95,21.95,71.95,-71.95,50,-50
"28",30.1,-30.1,19.9,-19.9,50,-50
"29",28.75,-28.75,21.25,-21.25,50,-50
"30",26.25,-26.25,23.75,-23.75,50,-50
"31",-28.6,28.6,78.6,-78.6,50,-50
"32",10.75,-10.75,39.25,-39.25,50,-50
"33",7.80000000000001,-7.80000000000001,42.2,-42.2,50,-50
"34",-23.75,23.75,73.75,-73.75,50,-50
"35",-27.55,27.55,77.55,-77.55,50,-50
"36",0,0,-20000,20000,-20000,20000
"37",-28.25,28.25,78.25,-78.25,50,-50
"38",44.5,-44.5,5.5,-5.49999999999999,50,-50
"39",-26.4,26.4,76.4,-76.4,50,-50
"40",45.45,-45.45,4.54999999999998,-4.54999999999999,50,-50
"41",4.45,-4.45,45.55,-45.55,50,-50
"42",52.3,-50,-2.30000000000001,0,50,-50
"43",0.950000000000003,-0.950000000000003,49.05,-49.05,50,-50
"44",-12.7,12.7,62.7,-62.7,50,-50
"45",34.4,-34.4,15.6,-15.6,50,-50
"46",8.60000000000001,-8.60000000000001,41.4,-41.4,50,-50
"47",19.05,-19.05,30.95,-30.95,50,-50
"48",-31,31,81,-81,50,-50
"49",15.5,-15.5,34.5,-34.5,50,-50
"50",-10.9,10.9,60.9,-60.9,50,-50
"51",-27.35,27.35,77.35,-77.35,50,-50
"52",29.9,-29.9,20.1,-20.1,50,-50
"53",-21.2,21.2,71.2,-71.2,50,-50
"54",-35.2,35.2,85.2,-85.2,50,-50
"55",26,-26,24,-24,50,-50
"56",-49.4,49.4,99.4,-99.4,50,-50
"57",6.84999999999998,-6.84999999999998,43.15,-43.15,50,-50
"58",-31.15,31.15,81.15,-81.15,50,-50
"59",31.05,-31.05,18.95,-18.95,50,-50
"60",27.4,-27.4,22.6,-22.6,50,-50
"61",37.3,-37.3,12.7,-12.7,50,-50
"62",23.1,-23.1,26.9,-26.9,50,-50
"63",-51.15,51.15,101.15,-101.15,50,-50
"64",24.9,-24.9,25.1,-25.1,50,-50
