"","p1_luck","p2_luck","p1_skill","p2_skill","p1_chip","p2_chip"
"1",620.310111111111,-620.310111111111,-20620.3101111111,20620.3101111111,-20000,20000
"2",31.85,-31.85,18.15,-18.15,50,-50
"3",-20.7,20.7,70.7,-70.7,50,-50
"4",127.55,-127.55,-27.55,27.55,100,-100
"5",26.55,-26.55,23.45,-23.45,50,-50
"6",-34.85,34.85,84.85,-84.85,50,-50
"7",-21.35,21.35,71.35,-71.35,50,-50
"8",-26,26,76,-76,50,-50
"9",73.25,-50,-23.25,0,50,-50
"10",-16.8,16.8,66.8,-66.8,50,-50
"11",-31.85,31.85,81.85,-81.85,50,-50
"12",11.45,-11.45,38.55,-38.55,50,-50
"13",32.8,-32.8,17.2,-17.2,50,-50
"14",33.35,-33.35,16.65,-16.65,50,-50
"15",-37.35,37.35,87.35,-87.35,50,-50
"16",-20.65,20.65,70.65,-70.65,50,-50
"17",68.2,-50,-18.2,0,50,-50
"18",-30.2,30.2,80.2,-80.2,50,-50
"19",-24.9,24.9,74.9,-74.9,50,-50
"20",32.35,-32.35,17.65,-17.65,50,-50
"21",8.7,-8.7,41.3,-41.3,50,-50
"22",-24.05,24.05,74.05,-74.05,50,-50
"23",25.7,-25.7,24.3,-24.3,50,-50
"24",17.5,-17.5,32.5,-32.5,50,-50
"25",26.25,-26.25,23.75,-23.75,50,-50
"26",-29.8,29.8,79.8,-79.8,50,-50
"27",41.1,-41.1,8.90000000000001,-8.9,50,-50
"28",34.25,-34.25,15.75,-15.75,50,-50
"29",-33.25,33.25,83.25,-83.25,50,-50
"30",103.55,-103.55,-3.55,3.54999999999998,100,-100
"31",-8.45,8.45,58.45,-58.45,50,-50
"32",30,-30,20,-20,50,-50
"33",-26.6,26.6,76.6,-76.6,50,-50
"34",29.15,-29.15,20.85,-20.85,50,-50
"35",-26.95,26.95,76.95,-76.95,50,-50
"36",-20.5,20.5,70.5,-70.5,50,-50
"37",38.2,-38.2,11.8,-11.8,50,-50
"38",18.6,-18.6,31.4,-31.4,50,-50
"39",16.5,-16.5,33.5,-33.5,50,-50
"40",-64,64,-36,36,-100,100
"41",24.25,-24.25,25.75,-25.75,50,-50
"42",30.85,-30.85,19.15,-19.15,50,-50
"43",-55.9,55.9,105.9,-105.9,50,-50
"44",37.25,-37.25,12.75,-12.75,50,-50
"45",31.7,-31.7,18.3,-18.3,50,-50
"46",9.89999999999999,-9.89999999999999,40.1,-40.1,50,-50
"47",66.1,-50,-16.1,0,50,-50
"48",-12.75,12.75,62.75,-62.75,50,-50
"49",-27.6,27.6,77.6,-77.6,50,-50
"50",-20.2,20.2,70.2,-70.2,50,-50
"51",-9.3,9.3,59.3,-59.3,50,-50
"52",16.4,-16.4,33.6,-33.6,50,-50
"53",-115.824747474747,115.824747474747,-84.1752525252525,84.1752525252525,-200,200
"54",-24.35,24.35,74.35,-74.35,50,-50
"55",-50.05,50.05,100.05,-100.05,50,-50
"56",-23.7,23.7,73.7,-73.7,50,-50
"57",25.7,-25.7,24.3,-24.3,50,-50
"58",-15.15,15.15,65.15,-65.15,50,-50
"59",24.65,-24.65,25.35,-25.35,50,-50
"60",21.7,-21.7,28.3,-28.3,50,-50
"61",10.2,-10.2,39.8,-39.8,50,-50
"62",51.85,-50,-1.84999999999999,0,50,-50
"63",6.19747474747476,-6.19747474747472,-20006.1974747475,20006.1974747475,-20000,20000
"64",24.6,-24.6,25.4,-25.4,50,-50
"65",42.7,-42.7,7.29999999999998,-7.3,50,-50
"66",55.55,-50,-5.55000000000001,0,50,-50
