"","p1_luck","p2_luck","p1_skill","p2_skill","p1_chip","p2_chip"
"1",21,-21,29,-29,50,-50
"2",-28,28,78,-78,50,-50
"3",-32.65,32.65,82.65,-82.65,50,-50
"4",32.65,-32.65,17.35,-17.35,50,-50
"5",72.7,-50,-22.7,0,50,-50
"6",-7.89999999999999,7.89999999999999,57.9,-57.9,50,-50
"7",-40.65,40.65,90.65,-90.65,50,-50
"8",41.4,-41.4,8.59999999999999,-8.60000000000001,50,-50
"9",10.5,-10.5,39.5,-39.5,50,-50
"10",21.5,-21.5,28.5,-28.5,50,-50
"11",-33.3,33.3,83.3,-83.3,50,-50
"12",19.7,-19.7,30.3,-30.3,50,-50
"13",-9.89999999999999,9.89999999999999,59.9,-59.9,50,-50
"14",-23.95,23.95,73.95,-73.95,50,-50
"15",33.85,-33.85,16.15,-16.15,50,-50
"16",3.69999999999999,-3.69999999999999,46.3,-46.3,50,-50
"17",-41.55,41.55,91.55,-91.55,50,-50
"18",35.3,-35.3,14.7,-14.7,50,-50
"19",-31.4,31.4,81.4,-81.4,50,-50
"20",-31.5,31.5,81.5,-81.5,50,-50
"21",-21.85,21.85,71.85,-71.85,50,-50
"22",31.2,-31.2,18.8,-18.8,50,-50
"23",44.15,-44.15,5.84999999999999,-5.85,50,-50
"24",-20.1,20.1,70.1,-70.1,50,-50
"25",5.65000000000001,-5.65000000000001,44.35,-44.35,50,-50
"26",-13.8,13.8,63.8,-63.8,50,-50
"27",27.45,-27.45,22.55,-22.55,50,-50
"28",-28.55,28.55,78.55,-78.55,50,-50
"29",52.85,-50,-2.84999999999999,0,50,-50
"30",21.8,-21.8,28.2,-28.2,50,-50
"31",24.45,-24.45,25.55,-25.55,50,-50
"32",-27.5,27.5,77.5,-77.5,50,-50
"33",24.15,-24.15,25.85,-25.85,50,-50
"34",15.5,-15.5,34.5,-34.5,50,-50
"35",28.65,-28.65,21.35,-21.35,50,-50
"36",67.3,-50,-17.3,0,50,-50
"37",-1.90000000000001,1.90000000000001,51.9,-51.9,50,-50
"38",10.7,-10.7,39.3,-39.3,50,-50
"39",-45.55,45.55,95.55,-95.55,50,-50
"40",13.55,-13.55,36.45,-36.45,50,-50
"41",-34.45,34.45,84.45,-84.45,50,-50
"42",-42.2,42.2,92.2,-92.2,50,-50
"43",0,0,-100,100,-100,100
"44",-22.15,22.15,72.15,-72.15,50,-50
"45",-15.8,15.8,65.8,-65.8,50,-50
"46",-22.2,22.2,72.2,-72.2,50,-50
"47",30.25,-30.25,19.75,-19.75,50,-50
"48",-29,29,79,-79,50,-50
"49",-24.7,24.7,74.7,-74.7,50,-50
"50",32.25,-32.25,17.75,-17.75,50,-50
"51",-31.6,31.6,81.6,-81.6,50,-50
"52",4.45,-4.45,45.55,-45.55,50,-50
"53",-21,21,71,-71,50,-50
"54",-38.55,38.55,88.55,-88.55,50,-50
"55",23.85,-23.85,26.15,-26.15,50,-50
"56",27.15,-27.15,22.85,-22.85,50,-50
"57",-30.4,30.4,80.4,-80.4,50,-50
"58",14.8,-14.8,35.2,-35.2,50,-50
"59",0.699999999999989,-0.699999999999989,49.3,-49.3,50,-50
"60",14.55,-14.55,35.45,-35.45,50,-50
"61",-16.3,16.3,66.3,-66.3,50,-50
"62",-17.75,17.75,67.75,-67.75,50,-50
"63",-48.6,48.6,98.6,-98.6,50,-50
"64",30.95,-30.95,19.05,-19.05,50,-50
"65",40.8,-40.8,9.20000000000002,-9.20000000000001,50,-50
"66",-14.8,14.8,64.8,-64.8,50,-50
"67",31.45,-31.45,18.55,-18.55,50,-50
"68",0,0,-100,100,-100,100
"69",1,-1,49,-49,50,-50
"70",-50.5,50.5,100.5,-100.5,50,-50
"71",-29.55,29.55,79.55,-79.55,50,-50
"72",-36.75,36.75,86.75,-86.75,50,-50
"73",-18.6,18.6,68.6,-68.6,50,-50
"74",-4,4,54,-54,50,-50
"75",-29,29,79,-79,50,-50
"76",18.4,-18.4,31.6,-31.6,50,-50
"77",-45.35,45.35,95.35,-95.35,50,-50
"78",34.35,-34.35,15.65,-15.65,50,-50
"79",-27.8,27.8,77.8,-77.8,50,-50
"80",-43.85,43.85,93.85,-93.85,50,-50
"81",27.9,-27.9,22.1,-22.1,50,-50
"82",-23.25,23.25,73.25,-73.25,50,-50
"83",-25.15,25.15,75.15,-75.15,50,-50
"84",27.5,-27.5,22.5,-22.5,50,-50
"85",-14.3,14.3,64.3,-64.3,50,-50
"86",30.6,-30.6,19.4,-19.4,50,-50
"87",33.95,-33.95,16.05,-16.05,50,-50
"88",-52.25,52.25,102.25,-102.25,50,-50
"89",-45.65,45.65,95.65,-95.65,50,-50
"90",26.8,-26.8,23.2,-23.2,50,-50
"91",16.25,-16.25,33.75,-33.75,50,-50
"92",-48.25,48.25,98.25,-98.25,50,-50
"93",-39.3,39.3,89.3,-89.3,50,-50
"94",-31.75,31.75,81.75,-81.75,50,-50
"95",11.95,-11.95,38.05,-38.05,50,-50
"96",-29.65,29.65,79.65,-79.65,50,-50
"97",-20.8,20.8,70.8,-70.8,50,-50
"98",41.55,-41.55,8.44999999999999,-8.45,50,-50
"99",33.55,-33.55,16.45,-16.45,50,-50
"100",-39.55,39.55,89.55,-89.55,50,-50
"101",-27.6,27.6,77.6,-77.6,50,-50
"102",0,0,-100,100,-100,100
"103",-9.75,9.75000000000001,59.75,-59.75,50,-50
"104",-44.25,44.25,94.25,-94.25,50,-50
"105",37.65,-37.65,12.35,-12.35,50,-50
"106",-47.85,47.85,97.85,-97.85,50,-50
"107",22.05,-22.05,27.95,-27.95,50,-50
"108",25.2,-25.2,24.8,-24.8,50,-50
"109",-25.4,25.4,75.4,-75.4,50,-50
"110",25.55,-25.55,24.45,-24.45,50,-50
"111",28.5,-28.5,21.5,-21.5,50,-50
"112",-20.65,20.65,70.65,-70.65,50,-50
"113",-44.55,44.55,94.55,-94.55,50,-50
"114",34.1,-34.1,15.9,-15.9,50,-50
"115",-30.3,30.3,80.3,-80.3,50,-50
"116",2.69999999999999,-2.69999999999999,47.3,-47.3,50,-50
"117",61,-50,-11,0,50,-50
"118",33.35,-33.35,16.65,-16.65,50,-50
"119",37.2,-37.2,12.8,-12.8,50,-50
"120",14.75,-14.75,35.25,-35.25,50,-50
"121",17.65,-17.65,32.35,-32.35,50,-50
"122",-28.95,28.95,78.95,-78.95,50,-50
"123",46.4,-46.4,3.59999999999999,-3.6,50,-50
"124",36.55,-36.55,13.45,-13.45,50,-50
"125",45.05,-45.05,4.95000000000002,-4.95000000000001,50,-50
"126",9.34999999999999,-9.34999999999999,40.65,-40.65,50,-50
"127",40.55,-40.55,9.44999999999999,-9.45,50,-50
"128",31.3,-31.3,18.7,-18.7,50,-50
"129",-35.8,35.8,85.8,-85.8,50,-50
"130",-34.15,34.15,84.15,-84.15,50,-50
"131",-9.3,9.3,59.3,-59.3,50,-50
"132",-28.45,28.45,78.45,-78.45,50,-50
"133",30.05,-30.05,19.95,-19.95,50,-50
"134",-32.8,32.8,82.8,-82.8,50,-50
"135",17.4,-17.4,32.6,-32.6,50,-50
"136",34.6,-34.6,15.4,-15.4,50,-50
"137",30.95,-30.95,19.05,-19.05,50,-50
"138",30.05,-30.05,19.95,-19.95,50,-50
"139",-13.5,13.5,63.5,-63.5,50,-50
"140",-7.75,7.75000000000001,57.75,-57.75,50,-50
"141",28.8,-28.8,21.2,-21.2,50,-50
"142",47.45,-47.45,2.54999999999998,-2.54999999999998,50,-50
"143",-24.7,24.7,74.7,-74.7,50,-50
"144",0,0,-100,100,-100,100
"145",13.65,-13.65,36.35,-36.35,50,-50
"146",9.2,-9.2,40.8,-40.8,50,-50
"147",-26.85,26.85,76.85,-76.85,50,-50
"148",-5.95,5.94999999999999,55.95,-55.95,50,-50
"149",30.1,-30.1,19.9,-19.9,50,-50
"150",39.25,-39.25,10.75,-10.75,50,-50
"151",15.8,-15.8,34.2,-34.2,50,-50
"152",-11,11,61,-61,50,-50
"153",27.05,-27.05,22.95,-22.95,50,-50
"154",0,0,-100,100,-100,100
"155",-46.55,46.55,96.55,-96.55,50,-50
"156",-33.75,33.75,83.75,-83.75,50,-50
"157",-31.25,31.25,81.25,-81.25,50,-50
"158",-32.15,32.15,82.15,-82.15,50,-50
"159",0,0,-100,100,-100,100
"160",-49.85,49.85,99.85,-99.85,50,-50
"161",-20.65,20.65,70.65,-70.65,50,-50
"162",48.9,-48.9,1.10000000000002,-1.10000000000001,50,-50
"163",-26.5,26.5,76.5,-76.5,50,-50
"164",25.55,-25.55,24.45,-24.45,50,-50
"165",48.95,-48.95,1.04999999999998,-1.05,50,-50
"166",17.3,-17.3,32.7,-32.7,50,-50
"167",-40.25,40.25,90.25,-90.25,50,-50
"168",-35.8,35.8,85.8,-85.8,50,-50
"169",5.40000000000001,-5.40000000000001,44.6,-44.6,50,-50
"170",35.1,-35.1,14.9,-14.9,50,-50
"171",39.5,-39.5,10.5,-10.5,50,-50
"172",-30.05,30.05,80.05,-80.05,50,-50
"173",21.3,-21.3,28.7,-28.7,50,-50
"174",29.75,-29.75,20.25,-20.25,50,-50
"175",2.59999999999998,-2.59999999999998,47.4,-47.4,50,-50
"176",35.85,-35.85,14.15,-14.15,50,-50
"177",-40.1,40.1,90.1,-90.1,50,-50
"178",29.5,-29.5,20.5,-20.5,50,-50
"179",24,-24,26,-26,50,-50
"180",28.95,-28.95,21.05,-21.05,50,-50
"181",-23.3,23.3,73.3,-73.3,50,-50
"182",-22.2,22.2,72.2,-72.2,50,-50
"183",8.5,-8.5,41.5,-41.5,50,-50
"184",-16.85,16.85,66.85,-66.85,50,-50
"185",-17.55,17.55,67.55,-67.55,50,-50
"186",17.9,-17.9,32.1,-32.1,50,-50
"187",19.4,-19.4,30.6,-30.6,50,-50
"188",-34.05,34.05,84.05,-84.05,50,-50
"189",-12.9,12.9,62.9,-62.9,50,-50
"190",18.85,-18.85,31.15,-31.15,50,-50
"191",-37.5,37.5,87.5,-87.5,50,-50
"192",-9.35000000000001,9.35000000000001,59.35,-59.35,50,-50
"193",0,0,-100,100,-100,100
"194",-35.85,35.85,85.85,-85.85,50,-50
"195",-18.05,18.05,68.05,-68.05,50,-50
"196",-14.6,14.6,64.6,-64.6,50,-50
"197",-29.85,29.85,79.85,-79.85,50,-50
"198",-49,49,99,-99,50,-50
"199",13.75,-13.75,36.25,-36.25,50,-50
"200",-33.05,33.05,83.05,-83.05,50,-50
"201",-50.6,50.6,100.6,-100.6,50,-50
"202",26.4,-26.4,23.6,-23.6,50,-50
"203",-7.39999999999999,7.39999999999998,57.4,-57.4,50,-50
"204",-18.45,18.45,68.45,-68.45,50,-50
"205",11.8,-11.8,38.2,-38.2,50,-50
"206",-28.15,28.15,78.15,-78.15,50,-50
"207",2.89999999999999,-2.89999999999999,47.1,-47.1,50,-50
"208",-38.65,38.65,88.65,-88.65,50,-50
"209",-5.95,5.94999999999999,55.95,-55.95,50,-50
"210",42.85,-42.85,7.15000000000001,-7.15000000000001,50,-50
"211",1.84999999999999,-1.84999999999999,48.15,-48.15,50,-50
"212",-46.2,46.2,96.2,-96.2,50,-50
"213",-11,11,61,-61,50,-50
"214",-41.5,41.5,91.5,-91.5,50,-50
"215",-36.9,36.9,86.9,-86.9,50,-50
"216",-58,58,108,-108,50,-50
"217",-24.5,24.5,74.5,-74.5,50,-50
"218",-38.75,38.75,88.75,-88.75,50,-50
"219",26.05,-26.05,23.95,-23.95,50,-50
"220",-20.2,20.2,70.2,-70.2,50,-50
"221",34,-34,16,-16,50,-50
"222",-0.549999999999997,0.550000000000011,50.55,-50.55,50,-50
"223",-48.8,48.8,98.8,-98.8,50,-50
"224",-0.150000000000006,0.150000000000006,50.15,-50.15,50,-50
"225",25.7,-25.7,24.3,-24.3,50,-50
"226",5.40000000000001,-5.40000000000001,44.6,-44.6,50,-50
"227",-32.4,32.4,82.4,-82.4,50,-50
"228",-24.2,24.2,74.2,-74.2,50,-50
"229",-14.95,14.95,64.95,-64.95,50,-50
"230",30.35,-30.35,19.65,-19.65,50,-50
"231",2.25,-2.25,47.75,-47.75,50,-50
"232",-37.65,37.65,87.65,-87.65,50,-50
"233",-0.700000000000003,0.700000000000017,50.7,-50.7,50,-50
"234",-5.69999999999999,5.69999999999999,55.7,-55.7,50,-50
"235",-30.05,30.05,80.05,-80.05,50,-50
"236",-9.55,9.55,59.55,-59.55,50,-50
"237",-5.40000000000001,5.40000000000001,55.4,-55.4,50,-50
"238",-33.05,33.05,83.05,-83.05,50,-50
"239",24.8,-24.8,25.2,-25.2,50,-50
"240",0,0,-100,100,-100,100
"241",-10.9,10.9,60.9,-60.9,50,-50
"242",-36.05,36.05,86.05,-86.05,50,-50
"243",38.6,-38.6,11.4,-11.4,50,-50
"244",29.4,-29.4,20.6,-20.6,50,-50
"245",24,-24,26,-26,50,-50
"246",14.8,-14.8,35.2,-35.2,50,-50
"247",38.35,-38.35,11.65,-11.65,50,-50
"248",-30.45,30.45,80.45,-80.45,50,-50
"249",-25.95,25.95,75.95,-75.95,50,-50
"250",-10.65,10.65,60.65,-60.65,50,-50
"251",-23.3,23.3,73.3,-73.3,50,-50
"252",-34.3,34.3,84.3,-84.3,50,-50
"253",-35.65,35.65,85.65,-85.65,50,-50
