"","p1_luck","p2_luck","p1_skill","p2_skill","p1_chip","p2_chip"
"1",81.979797979798,-81.979797979798,1718.0202020202,-1718.0202020202,1800,-1800
"2",123.845454545455,-123.845454545455,176.154545454545,-176.154545454545,300,-300
"3",84.8909090909091,-84.8909090909091,515.109090909091,-515.109090909091,600,-600
"4",-69.8,69.8,-30.2,30.2,-100,100
"5",74.15,-74.15,225.85,-225.85,300,-300
"6",-149.783838383838,149.783838383838,-50.2161616161616,50.2161616161616,-200,200
"7",-113.85,113.85,13.85,-13.85,-100,100
"8",271.50303030303,-271.50303030303,628.49696969697,-628.49696969697,900,-900
"9",292.706565656566,-292.706565656566,1507.29343434343,-1507.29343434343,1800,-1800
"10",74,-74,226,-226,300,-300
"11",306.877777777778,-306.877777777778,2393.12222222222,-2393.12222222222,2700,-2700
"12",-228.787373737374,228.787373737374,-1571.21262626263,1571.21262626263,-1800,1800
"13",-93.65,93.65,-206.35,206.35,-300,300
"14",-38.1,38.1,-261.9,261.9,-300,300
"15",-478.995454545454,478.995454545454,178.995454545455,-178.995454545455,-300,300
"16",-179.395454545455,179.395454545455,-120.604545454545,120.604545454545,-300,300
"17",77.75,-77.75,22.25,-22.25,100,-100
"18",125,-125,175,-175,300,-300
"19",-500.836363636364,500.836363636364,-399.163636363636,399.163636363636,-900,900
"20",115.25,-115.25,-15.25,15.25,100,-100
"21",508.308585858586,-508.308585858586,1291.69141414141,-1291.69141414141,1800,-1800
"22",-67.35,67.35,-232.65,232.65,-300,300
"23",145.695454545455,-145.695454545455,154.304545454545,-154.304545454545,300,-300
"24",404.763636363636,-404.763636363636,495.236363636364,-495.236363636364,900,-900
"25",-729.357575757576,729.357575757576,-1070.64242424242,1070.64242424242,-1800,1800
"26",-70.45,70.45,-29.55,29.55,-100,100
"27",-897.270707070707,897.270707070707,-6302.72929292929,6302.72929292929,-7200,7200
"28",-203.684343434343,203.684343434343,-396.315656565657,396.315656565657,-600,600
"29",-114.45,114.45,-185.55,185.55,-300,300
"30",135.157575757576,-135.157575757576,464.842424242424,-464.842424242424,600,-600
"31",-88.85,88.85,-211.15,211.15,-300,300
"32",-78.95,78.95,-221.05,221.05,-300,300
"33",-258.887878787879,258.887878787879,-341.112121212121,341.112121212121,-600,600
"34",-356.812626262626,356.812626262626,-243.187373737374,243.187373737374,-600,600
"35",64.4,-64.4,235.6,-235.6,300,-300
