"","p1_luck","p2_luck","p1_skill","p2_skill","p1_chip","p2_chip"
"1",28,-28,22,-22,50,-50
"2",-9.8,9.79999999999998,59.8,-59.8,50,-50
"3",13.9,-13.9,36.1,-36.1,50,-50
"4",-20.8,20.8,70.8,-70.8,50,-50
"5",28.3,-28.3,21.7,-21.7,50,-50
"6",-34.9,34.9,84.9,-84.9,50,-50
"7",20.8,-20.8,29.2,-29.2,50,-50
"8",-34.35,34.35,84.35,-84.35,50,-50
"9",-28.75,28.75,78.75,-78.75,50,-50
"10",-10.35,10.35,60.35,-60.35,50,-50
"11",-32.15,32.15,82.15,-82.15,50,-50
"12",20.95,-20.95,29.05,-29.05,50,-50
"13",30.45,-30.45,19.55,-19.55,50,-50
"14",9.45,-9.45,40.55,-40.55,50,-50
"15",37.9,-37.9,12.1,-12.1,50,-50
"16",17.9,-17.9,32.1,-32.1,50,-50
"17",-24,24,74,-74,50,-50
"18",17.2,-17.2,32.8,-32.8,50,-50
"19",20.65,-20.65,29.35,-29.35,50,-50
"20",32.95,-32.95,17.05,-17.05,50,-50
"21",-19.9,19.9,69.9,-69.9,50,-50
"22",-30.65,30.65,80.65,-80.65,50,-50
"23",-32.75,32.75,82.75,-82.75,50,-50
"24",-34.15,34.15,84.15,-84.15,50,-50
"25",0,0,-100,100,-100,100
"26",-28.7,28.7,78.7,-78.7,50,-50
"27",-33.9,33.9,83.9,-83.9,50,-50
"28",-11.9,11.9,61.9,-61.9,50,-50
"29",-23.95,23.95,73.95,-73.95,50,-50
"30",20.1,-20.1,29.9,-29.9,50,-50
"31",14.7,-14.7,35.3,-35.3,50,-50
"32",32.45,-32.45,17.55,-17.55,50,-50
"33",20.7,-20.7,29.3,-29.3,50,-50
"34",16.4,-16.4,33.6,-33.6,50,-50
"35",-17.45,17.45,67.45,-67.45,50,-50
"36",44.3,-44.3,5.70000000000002,-5.70000000000002,50,-50
"37",35.5,-35.5,14.5,-14.5,50,-50
"38",-26.2,26.2,76.2,-76.2,50,-50
"39",-22.35,22.35,72.35,-72.35,50,-50
"40",-27.35,27.35,77.35,-77.35,50,-50
"41",-44.95,44.95,94.95,-94.95,50,-50
"42",51.3,-50,-1.30000000000001,0,50,-50
"43",8,-8,42,-42,50,-50
"44",-21.55,21.55,71.55,-71.55,50,-50
"45",0,0,-100,100,-100,100
"46",-13.8,13.8,63.8,-63.8,50,-50
"47",-54.75,54.75,104.75,-104.75,50,-50
"48",-29.8,29.8,79.8,-79.8,50,-50
"49",10.3,-10.3,39.7,-39.7,50,-50
"50",25.6,-25.6,24.4,-24.4,50,-50
"51",33.55,-33.55,16.45,-16.45,50,-50
"52",-14.6,14.6,64.6,-64.6,50,-50
"53",-43.4,43.4,93.4,-93.4,50,-50
"54",-6.3,6.3,56.3,-56.3,50,-50
"55",65.15,-50,-15.15,0,50,-50
"56",40.6,-40.6,9.40000000000001,-9.40000000000001,50,-50
"57",-43.6,43.6,93.6,-93.6,50,-50
"58",-25.4,25.4,75.4,-75.4,50,-50
"59",12.35,-12.35,37.65,-37.65,50,-50
"60",44.15,-44.15,5.84999999999999,-5.85,50,-50
"61",36.7,-36.7,13.3,-13.3,50,-50
"62",35,-35,15,-15,50,-50
"63",-20.35,20.35,70.35,-70.35,50,-50
"64",21.8,-21.8,28.2,-28.2,50,-50
"65",17.9,-17.9,32.1,-32.1,50,-50
"66",-6.95,6.95000000000002,56.95,-56.95,50,-50
"67",37.5,-37.5,12.5,-12.5,50,-50
"68",45.75,-45.75,4.25,-4.25,50,-50
"69",-25.65,25.65,75.65,-75.65,50,-50
"70",4.40000000000001,-4.40000000000001,45.6,-45.6,50,-50
"71",16.4,-16.4,33.6,-33.6,50,-50
"72",4.40000000000001,-4.40000000000001,45.6,-45.6,50,-50
"73",24.6,-24.6,25.4,-25.4,50,-50
"74",42.8,-42.8,7.20000000000002,-7.2,50,-50
"75",-36.8,36.8,86.8,-86.8,50,-50
"76",-28.8,28.8,78.8,-78.8,50,-50
"77",18.05,-18.05,31.95,-31.95,50,-50
"78",0,0,-100,100,-100,100
"79",-21.85,21.85,71.85,-71.85,50,-50
"80",-49.95,49.95,99.95,-99.95,50,-50
"81",41,-41,9,-9.00000000000001,50,-50
"82",21.5,-21.5,28.5,-28.5,50,-50
"83",-11.5,11.5,61.5,-61.5,50,-50
"84",31,-31,19,-19,50,-50
"85",28.95,-28.95,21.05,-21.05,50,-50
"86",-32.05,32.05,82.05,-82.05,50,-50
"87",28.3,-28.3,21.7,-21.7,50,-50
"88",41.75,-41.75,8.25,-8.25,50,-50
"89",43.2,-43.2,6.80000000000001,-6.8,50,-50
"90",9.25,-9.25,40.75,-40.75,50,-50
"91",-45.45,45.45,95.45,-95.45,50,-50
"92",-42.2,42.2,92.2,-92.2,50,-50
"93",0,0,-100,100,-100,100
"94",-26.25,26.25,76.25,-76.25,50,-50
"95",-31.6,31.6,81.6,-81.6,50,-50
"96",33,-33,17,-17,50,-50
"97",38.95,-38.95,11.05,-11.05,50,-50
"98",26.65,-26.65,23.35,-23.35,50,-50
"99",3.35000000000001,-3.35000000000001,46.65,-46.65,50,-50
