"","p1_luck","p2_luck","p1_skill","p2_skill","p1_chip","p2_chip"
"1",71.55,-71.55,28.45,-28.45,100,-100
"2",-64.45,64.45,-35.55,35.55,-100,100
"3",85.6813131313131,-85.6813131313131,14.3186868686869,-14.3186868686869,100,-100
"4",122.55,-122.55,-22.55,22.55,100,-100
"5",0,0,100,-100,100,-100
"6",130.05,-130.05,-30.05,30.05,100,-100
"7",22.5,-22.5,77.5,-77.5,100,-100
"8",-138.4,138.4,38.4,-38.4,-100,100
"9",17.2570707070707,-17.2570707070707,82.7429292929293,-82.7429292929293,100,-100
"10",114.7,-114.7,-14.7,14.7,100,-100
"11",127.3,-127.3,-27.3,27.3,100,-100
"12",-128.9,128.9,28.9,-28.9,-100,100
"13",111.268181818182,-111.268181818182,-11.2681818181818,11.2681818181818,100,-100
"14",56.9,-56.9,43.1,-43.1,100,-100
"15",-1.05,1.05,1.05,-1.05,0,0
"16",-18.8136363636364,18.8136363636364,118.813636363636,-118.813636363636,100,-100
"17",-66.55,66.55,-33.45,33.45,-100,100
"18",-76,76,-24,24,-100,100
"19",68.1,-68.1,31.9,-31.9,100,-100
"20",-124.234343434343,124.234343434343,-19875.7656565657,19875.7656565657,-20000,20000
"21",62.0343434343434,-62.0343434343434,37.9656565656566,-37.9656565656566,100,-100
"22",-28.1111111111111,28.1111111111111,128.111111111111,-128.111111111111,100,-100
"23",67.9,-67.9,32.1,-32.1,100,-100
"24",78.6,-78.6,21.4,-21.4,100,-100
"25",119.091919191919,-119.091919191919,-19.0919191919192,19.0919191919192,100,-100
"26",-1.10858585858585,1.10858585858586,101.108585858586,-101.108585858586,100,-100
"27",76.35,-76.35,23.65,-23.65,100,-100
"28",-136.45,136.45,36.45,-36.45,-100,100
"29",-22.4646464646465,22.4646464646465,122.464646464646,-122.464646464646,100,-100
"30",108.35,-108.35,-8.35000000000001,8.34999999999999,100,-100
"31",0,0,100,-100,100,-100
"32",0.0499999999999945,-0.0499999999999945,-0.0499999999999972,0.0499999999999972,-2.66453525910038e-15,2.66453525910038e-15
"33",121.4,-121.4,-21.4,21.4,100,-100
"34",-115.65,115.65,15.65,-15.65,-100,100
"35",-63.45,63.45,-36.55,36.55,-100,100
"36",32.4,-32.4,-32.4,32.4,0,0
"37",114.274747474747,-114.274747474747,-14.2747474747475,14.2747474747475,100,-100
"38",-77.75,77.75,-22.25,22.25,-100,100
"39",0,0,-100,100,-100,100
"40",57.7,-57.7,42.3,-42.3,100,-100
"41",72.1060606060606,-72.1060606060606,27.8939393939394,-27.8939393939394,100,-100
"42",73.6025252525252,-73.6025252525252,26.3974747474748,-26.3974747474748,100,-100
"43",74,-74,26,-26,100,-100
"44",112.5,-112.5,-12.5,12.5,100,-100
"45",-23.75,23.75,-19976.25,19976.25,-20000,20000
"46",6.55303030303029,-6.55303030303029,93.4469696969697,-93.4469696969697,100,-100
"47",57.7560606060606,-57.7560606060606,42.2439393939394,-42.2439393939394,100,-100
"48",54.6732323232323,-54.6732323232323,45.3267676767677,-45.3267676767677,100,-100
"49",-72.25,72.25,-27.75,27.75,-100,100
"50",-51.2323232323232,51.2323232323232,151.232323232323,-151.232323232323,100,-100
"51",-22.4767676767677,22.4767676767677,122.476767676768,-122.476767676768,100,-100
"52",111.640909090909,-111.640909090909,-11.6409090909091,11.6409090909091,100,-100
"53",-4.77474747474746,4.77474747474746,104.774747474747,-104.774747474747,100,-100
"54",0,0,-100,100,-100,100
"55",-52.95,52.95,-47.05,47.05,-100,100
"56",-72.55,72.55,-27.45,27.45,-100,100
"57",0,0,-100,100,-100,100
"58",-136.4,136.4,36.4,-36.4,-100,100
"59",111.65,-111.65,-11.65,11.65,100,-100
"60",84.8106060606061,-84.8106060606061,15.1893939393939,-15.1893939393939,100,-100
"61",85.8378787878788,-85.8378787878788,14.1621212121212,-14.1621212121212,100,-100
"62",85.5,-85.5,14.5,-14.5,100,-100
"63",-66.65,66.65,-33.35,33.35,-100,100
"64",52.6,-52.6,47.4,-47.4,100,-100
"65",-155.15,155.15,255.15,-255.15,100,-100
"66",-60.6,60.6,-39.4,39.4,-100,100
"67",-29.4358585858586,29.4358585858586,129.435858585859,-129.435858585859,100,-100
"68",-75.65,75.65,-24.35,24.35,-100,100
"69",-126.8,126.8,26.8,-26.8,-100,100
