"","p1_luck","p2_luck","p1_skill","p2_skill","p1_chip","p2_chip"
"1",13.6,-13.6,36.4,-36.4,50,-50
"2",49.9,-49.9,0.100000000000023,-0.100000000000009,50,-50
"3",33.8,-33.8,16.2,-16.2,50,-50
"4",30.5,-30.5,19.5,-19.5,50,-50
"5",33.35,-33.35,16.65,-16.65,50,-50
"6",40.5,-40.5,9.5,-9.5,50,-50
"7",-28.25,28.25,78.25,-78.25,50,-50
"8",40.25,-40.25,9.75,-9.74999999999999,50,-50
"9",34.5,-34.5,15.5,-15.5,50,-50
"10",-10.65,10.65,60.65,-60.65,50,-50
"11",17.5,-17.5,32.5,-32.5,50,-50
"12",38.65,-38.65,11.35,-11.35,50,-50
"13",11.4,-11.4,38.6,-38.6,50,-50
"14",41.25,-41.25,8.75,-8.75000000000001,50,-50
"15",12.8,-12.8,37.2,-37.2,50,-50
"16",23.85,-23.85,26.15,-26.15,50,-50
"17",18.8,-18.8,31.2,-31.2,50,-50
"18",49.15,-49.15,0.849999999999994,-0.849999999999994,50,-50
"19",30.55,-30.55,19.45,-19.45,50,-50
"20",29.05,-29.05,20.95,-20.95,50,-50
"21",35.25,-35.25,14.75,-14.75,50,-50
"22",-65.85,65.85,-34.15,34.15,-100,100
"23",6.3,-6.3,43.7,-43.7,50,-50
"24",35,-35,15,-15,50,-50
"25",-38.55,38.55,88.55,-88.55,50,-50
"26",121.45,-121.45,-21.45,21.45,100,-100
"27",-40,40,90,-90,50,-50
"28",-50.7,50.7,100.7,-100.7,50,-50
"29",51.2,-50,-1.19999999999999,0,50,-50
"30",-77.4035353535353,77.4035353535353,-222.596464646465,222.596464646465,-300,300
"31",14.95,-14.95,35.05,-35.05,50,-50
"32",27.35,-27.35,22.65,-22.65,50,-50
"33",-33.6,33.6,83.6,-83.6,50,-50
"34",43.2,-43.2,6.79999999999998,-6.79999999999998,50,-50
"35",28.2,-28.2,21.8,-21.8,50,-50
"36",8.05,-8.05,41.95,-41.95,50,-50
"37",33.5,-33.5,16.5,-16.5,50,-50
"38",-10.5,10.5,60.5,-60.5,50,-50
"39",-46.6,46.6,96.6,-96.6,50,-50
"40",-5.84999999999999,5.84999999999999,55.85,-55.85,50,-50
"41",-16.8,16.8,66.8,-66.8,50,-50
"42",43.3,-43.3,6.70000000000002,-6.70000000000002,50,-50
"43",-14.15,14.15,64.15,-64.15,50,-50
"44",29.6,-29.6,20.4,-20.4,50,-50
"45",18.4,-18.4,31.6,-31.6,50,-50
"46",24.15,-24.15,25.85,-25.85,50,-50
"47",11.3,-11.3,38.7,-38.7,50,-50
"48",35.2,-35.2,14.8,-14.8,50,-50
"49",-77.5535353535354,77.5535353535353,-19922.4464646465,19922.4464646465,-20000,20000
"50",-31.05,31.05,81.05,-81.05,50,-50
"51",-37.45,37.45,87.45,-87.45,50,-50
"52",-35.9,35.9,85.9,-85.9,50,-50
"53",-29.2,29.2,79.2,-79.2,50,-50
"54",76.35,-50,-26.35,0,50,-50
"55",-24.05,24.05,74.05,-74.05,50,-50
"56",32.3,-32.3,17.7,-17.7,50,-50
"57",-16.25,16.25,66.25,-66.25,50,-50
"58",11,-11,39,-39,50,-50
"59",-61.8550505050505,61.8550505050505,-38.1449494949495,38.1449494949495,-100,100
"60",22.8,-22.8,27.2,-27.2,50,-50
"61",14.4,-14.4,35.6,-35.6,50,-50
"62",23.9,-23.9,26.1,-26.1,50,-50
"63",4.65000000000001,-4.65000000000001,45.35,-45.35,50,-50
"64",42.1,-42.1,7.90000000000001,-7.90000000000002,50,-50
"65",-104.862121212121,104.862121212121,-95.1378787878788,95.1378787878788,-200,200
"66",14.85,-14.85,35.15,-35.15,50,-50
"67",-64.7,64.7,-35.3,35.3,-100,100
"68",74.4,-50,-24.4,0,50,-50
"69",27.55,-27.55,22.45,-22.45,50,-50
"70",33.95,-33.95,16.05,-16.05,50,-50
"71",13.35,-13.35,36.65,-36.65,50,-50
"72",-45.35,45.35,95.35,-95.35,50,-50
"73",-70.15,70.15,-29.85,29.85,-100,100
"74",-64.65,64.65,-35.35,35.35,-100,100
"75",-34.55,34.55,84.55,-84.55,50,-50
"76",-26.55,26.55,76.55,-76.55,50,-50
"77",-33.8580808080808,33.8580808080808,-66.1419191919192,66.1419191919192,-100,100
"78",-15.9,15.9,65.9,-65.9,50,-50
"79",57.2,-50,-7.20000000000002,0,50,-50
"80",0,0,-100,100,-100,100
"81",-30.7,30.7,80.7,-80.7,50,-50
"82",3.60000000000001,-3.60000000000001,46.4,-46.4,50,-50
"83",-96.45,96.45,-3.55000000000001,3.55000000000001,-100,100
"84",31.75,-31.75,18.25,-18.25,50,-50
"85",106.5,-106.5,-6.5,6.5,100,-100
"86",49.4,-49.4,0.599999999999994,-0.600000000000001,50,-50
"87",-28.65,28.65,78.65,-78.65,50,-50
"88",-5.8,5.79999999999998,55.8,-55.8,50,-50
"89",28.65,-28.65,21.35,-21.35,50,-50
"90",0,0,-100,100,-100,100
"91",-16.45,16.45,66.45,-66.45,50,-50
"92",-26.5,26.5,76.5,-76.5,50,-50
"93",-62.2363636363636,62.2363636363636,-37.7636363636364,37.7636363636364,-100,100
"94",-16.2,16.2,66.2,-66.2,50,-50
"95",35.8,-35.8,14.2,-14.2,50,-50
"96",19.3,-19.3,30.7,-30.7,50,-50
"97",28.2,-28.2,21.8,-21.8,50,-50
"98",29.2,-29.2,20.8,-20.8,50,-50
"99",-22.6,22.6,72.6,-72.6,50,-50
"100",50.7,-50,-0.699999999999989,0,50,-50
"101",-38.8,38.8,88.8,-88.8,50,-50
"102",-15.55,15.55,65.55,-65.55,50,-50
"103",-21.5,21.5,71.5,-71.5,50,-50
"104",-30.65,30.65,80.65,-80.65,50,-50
"105",33.55,-33.55,16.45,-16.45,50,-50
"106",-37.75,37.75,87.75,-87.75,50,-50
"107",-24.65,24.65,74.65,-74.65,50,-50
"108",-30.55,30.55,80.55,-80.55,50,-50
"109",70.45,-50,-20.45,0,50,-50
"110",31.6,-31.6,18.4,-18.4,50,-50
"111",-52.15,52.15,102.15,-102.15,50,-50
"112",25.55,-25.55,24.45,-24.45,50,-50
"113",-325.087878787879,325.087878787879,-19674.9121212121,19674.9121212121,-20000,20000
"114",-20.4,20.4,70.4,-70.4,50,-50
"115",-16.5,16.5,66.5,-66.5,50,-50
"116",37.2,-37.2,12.8,-12.8,50,-50
"117",-25.6,25.6,75.6,-75.6,50,-50
"118",0.0499999999999972,-0.0499999999999972,49.95,-49.95,50,-50
"119",27.35,-27.35,22.65,-22.65,50,-50
"120",-15.3,15.3,65.3,-65.3,50,-50
"121",12.4,-12.4,37.6,-37.6,50,-50
"122",26.25,-26.25,23.75,-23.75,50,-50
"123",-16.6,16.6,66.6,-66.6,50,-50
"124",-20.8,20.8,70.8,-70.8,50,-50
"125",38.5,-38.5,11.5,-11.5,50,-50
"126",-15.9,15.9,65.9,-65.9,50,-50
"127",23.45,-23.45,26.55,-26.55,50,-50
"128",0,0,-100,100,-100,100
"129",49.35,-49.35,0.650000000000006,-0.649999999999991,50,-50
"130",31.65,-31.65,18.35,-18.35,50,-50
"131",63.7,-50,-13.7,0,50,-50
"132",19.45,-19.45,30.55,-30.55,50,-50
"133",-31.25,31.25,81.25,-81.25,50,-50
"134",38.55,-38.55,11.45,-11.45,50,-50
"135",12.75,-12.75,37.25,-37.25,50,-50
"136",6.09999999999999,-6.09999999999999,43.9,-43.9,50,-50
"137",47.05,-47.05,2.94999999999999,-2.94999999999999,50,-50
"138",31.3,-31.3,18.7,-18.7,50,-50
"139",-11.55,11.55,61.55,-61.55,50,-50
"140",-16.35,16.35,66.35,-66.35,50,-50
"141",0,0,-100,100,-100,100
"142",10.55,-10.55,39.45,-39.45,50,-50
"143",-14.2,14.2,64.2,-64.2,50,-50
"144",-0.0500000000000114,0.0500000000000114,50.05,-50.05,50,-50
"145",-51.25,51.25,101.25,-101.25,50,-50
"146",-37.9,37.9,87.9,-87.9,50,-50
"147",21.5,-21.5,28.5,-28.5,50,-50
"148",-26.3,26.3,76.3,-76.3,50,-50
"149",-18.75,18.75,68.75,-68.75,50,-50
"150",6.5,-6.5,43.5,-43.5,50,-50
"151",75.2050505050505,-75.2050505050505,24.7949494949495,-24.7949494949495,100,-100
"152",28.3,-28.3,21.7,-21.7,50,-50
"153",126.202525252525,-126.202525252525,-26.2025252525252,26.2025252525252,100,-100
"154",14.4,-14.4,35.6,-35.6,50,-50
"155",15.3,-15.3,34.7,-34.7,50,-50
"156",29.25,-29.25,20.75,-20.75,50,-50
"157",32.6,-32.6,17.4,-17.4,50,-50
"158",0,0,-100,100,-100,100
"159",8.7,-8.7,41.3,-41.3,50,-50
"160",27.3,-27.3,22.7,-22.7,50,-50
"161",48.05,-48.05,1.94999999999999,-1.94999999999999,50,-50
"162",-28.7414141414141,28.7414141414142,-71.2585858585858,71.2585858585859,-100,100
"163",28.95,-28.95,21.05,-21.05,50,-50
"164",86.1,-50,-36.1,0,50,-50
"165",32.75,-32.75,17.25,-17.25,50,-50
"166",-19.75,19.75,69.75,-69.75,50,-50
"167",-15.4459595959596,15.4459595959596,115.44595959596,-115.44595959596,100,-100
"168",6.84999999999999,-6.84999999999999,43.15,-43.15,50,-50
"169",37.55,-37.55,12.45,-12.45,50,-50
"170",7.65000000000001,-7.65000000000001,42.35,-42.35,50,-50
"171",-32,32,82,-82,50,-50
"172",7.55000000000001,-7.55000000000001,42.45,-42.45,50,-50
"173",20.65,-20.65,29.35,-29.35,50,-50
"174",58.6,-50,-8.59999999999999,0,50,-50
"175",-41.6,41.6,91.6,-91.6,50,-50
"176",24.05,-24.05,25.95,-25.95,50,-50
"177",-28.4,28.4,78.4,-78.4,50,-50
"178",9.89999999999999,-9.89999999999999,40.1,-40.1,50,-50
"179",-6.25,6.25,56.25,-56.25,50,-50
"180",29.85,-29.85,20.15,-20.15,50,-50
"181",73.65,-50,-23.65,0,50,-50
"182",91.4575757575758,-91.4575757575758,108.542424242424,-108.542424242424,200,-200
"183",-24.85,24.85,74.85,-74.85,50,-50
"184",27.35,-27.35,22.65,-22.65,50,-50
"185",42.45,-42.45,7.54999999999998,-7.54999999999999,50,-50
"186",-4.45,4.45000000000002,54.45,-54.45,50,-50
"187",-21.7,21.7,71.7,-71.7,50,-50
"188",-12.95,12.95,62.95,-62.95,50,-50
"189",72.2,-50,-22.2,0,50,-50
"190",-27.45,27.45,77.45,-77.45,50,-50
"191",29.2,-29.2,20.8,-20.8,50,-50
"192",-56.15,56.15,-43.85,43.85,-100,100
"193",-21.55,21.55,71.55,-71.55,50,-50
"194",75.1,-50,-25.1,0,50,-50
"195",-76.9530303030303,76.9530303030303,-23.0469696969697,23.0469696969697,-100,100
"196",-46.85,46.85,96.85,-96.85,50,-50
"197",-46.25,46.25,96.25,-96.25,50,-50
"198",40.2,-40.2,9.80000000000001,-9.80000000000001,50,-50
"199",-6.15000000000001,6.15000000000001,56.15,-56.15,50,-50
"200",31.35,-31.35,18.65,-18.65,50,-50
"201",34.75,-34.75,15.25,-15.25,50,-50
"202",31.85,-31.85,18.15,-18.15,50,-50
"203",32.5,-32.5,17.5,-17.5,50,-50
"204",-8.8,8.80000000000001,58.8,-58.8,50,-50
"205",-44.35,44.35,94.35,-94.35,50,-50
"206",-13,13,63,-63,50,-50
"207",23.1,-23.1,26.9,-26.9,50,-50
"208",-58.25,58.25,-41.75,41.75,-100,100
"209",26.95,-26.95,23.05,-23.05,50,-50
"210",-2.7,2.70000000000002,52.7,-52.7,50,-50
"211",33.2,-33.2,16.8,-16.8,50,-50
"212",-55.15,55.15,-144.85,144.85,-200,200
"213",-33.05,33.05,83.05,-83.05,50,-50
"214",31.4,-31.4,18.6,-18.6,50,-50
"215",73.9954545454545,-73.9954545454545,26.0045454545454,-26.0045454545454,100,-100
"216",-44.05,44.05,94.05,-94.05,50,-50
"217",33.45,-33.45,16.55,-16.55,50,-50
"218",-24.930303030303,24.930303030303,124.930303030303,-124.930303030303,100,-100
"219",10.25,-10.25,39.75,-39.75,50,-50
"220",-21.05,21.05,71.05,-71.05,50,-50
"221",39.4,-39.4,10.6,-10.6,50,-50
"222",-102.45101010101,102.45101010101,-19897.548989899,19897.548989899,-20000,20000
"223",-28.1,28.1,78.1,-78.1,50,-50
"224",0,0,-100,100,-100,100
"225",18.3686868686869,-18.3686868686869,81.6313131313131,-81.6313131313131,100,-100
"226",-77.0035353535353,77.0035353535353,-19922.9964646465,19922.9964646465,-20000,20000
"227",36.8,-36.8,13.2,-13.2,50,-50
"228",17.95,-17.95,32.05,-32.05,50,-50
"229",-51.6,51.6,101.6,-101.6,50,-50
"230",54.05,-50,-4.05000000000001,0,50,-50
"231",-29.95,29.95,79.95,-79.95,50,-50
"232",27.1,-27.1,22.9,-22.9,50,-50
"233",-28.55,28.55,78.55,-78.55,50,-50
"234",29.4,-29.4,20.6,-20.6,50,-50
"235",18.1,-18.1,31.9,-31.9,50,-50
"236",-22.6,22.6,72.6,-72.6,50,-50
"237",10,-10,40,-40,50,-50
"238",31.4,-31.4,18.6,-18.6,50,-50
"239",12.35,-12.35,37.65,-37.65,50,-50
"240",-14.85,14.85,64.85,-64.85,50,-50
"241",-30.8,30.8,80.8,-80.8,50,-50
"242",-27.1,27.1,77.1,-77.1,50,-50
"243",111.394444444444,-111.394444444444,88.6055555555556,-88.6055555555556,200,-200
"244",-33.2,33.2,83.2,-83.2,50,-50
"245",-17.25,17.25,67.25,-67.25,50,-50
