,p1_luck,p2_luck,p1_skill,p2_skill,p1_chip,p2_chip
1,-7.75,7.75,57.75,-57.75,50,-50
2,-15.65,15.65,65.65,-65.65,50,-50
3,-24.45,24.45,74.45,-74.45,50,-50
4,34.3,-34.3,15.7,-15.7,50,-50
5,-21.2,21.2,71.2,-71.2,50,-50
6,-47.55,47.55,97.55,-97.55,50,-50
7,-22.7,22.7,72.7,-72.7,50,-50
8,12.9,-12.9,37.1,-37.1,50,-50
9,-41.35,41.35,91.35,-91.35,50,-50
10,33.85,-33.85,16.15,-16.15,50,-50
11,-26.5,26.5,76.5,-76.5,50,-50
12,9.3,-9.3,40.7,-40.7,50,-50
13,-33.45,33.45,83.45,-83.45,50,-50
14,-14.1,14.1,64.1,-64.1,50,-50
15,-5.05,5.05,55.05,-55.05,50,-50
16,10.85,-10.85,39.15,-39.15,50,-50
17,27.25,-27.25,22.75,-22.75,50,-50
18,-7.75,7.75,57.75,-57.75,50,-50
19,-30.45,30.45,80.45,-80.45,50,-50
20,0,0,-100,100,-100,100
21,39.6,-39.6,10.4,-10.4,50,-50
22,18.15,-18.15,31.85,-31.85,50,-50
23,20.15,-20.15,29.85,-29.85,50,-50
24,26.15,-26.15,23.85,-23.85,50,-50
25,-5.45,5.45,55.45,-55.45,50,-50
26,56.1,-50,-6.1,0,50,-50
27,20.85,-20.85,29.15,-29.15,50,-50
28,-41.2,41.2,91.2,-91.2,50,-50
29,42.4,-42.4,7.6,-7.6,50,-50
30,-27.85,27.85,77.85,-77.85,50,-50
31,15.6,-15.6,34.4,-34.4,50,-50
32,-1.3,1.3,51.3,-51.3,50,-50
33,18.6,-18.6,31.4,-31.4,50,-50
34,-29.8,29.8,79.8,-79.8,50,-50
35,0,0,-100,100,-100,100
36,-27.85,27.85,77.85,-77.85,50,-50
37,-35.15,35.15,85.15,-85.15,50,-50
38,0,0,-100,100,-100,100
39,-31.65,31.65,81.65,-81.65,50,-50
40,16.05,-16.05,33.95,-33.95,50,-50
41,-45.6,45.6,95.6,-95.6,50,-50
42,5.9,-5.9,44.1,-44.1,50,-50
43,11.85,-11.85,38.15,-38.15,50,-50
44,-13.25,13.25,63.25,-63.25,50,-50
45,27.25,-27.25,22.75,-22.75,50,-50
46,35.15,-35.15,14.85,-14.85,50,-50
47,21.35,-21.35,28.65,-28.65,50,-50
48,-26.7,26.7,76.7,-76.7,50,-50
49,-30.3,30.3,80.3,-80.3,50,-50
50,-17.4,17.4,67.4,-67.4,50,-50
51,50.5,-50,-0.5,0,50,-50
52,-30.05,30.05,80.05,-80.05,50,-50
53,-23.75,23.75,73.75,-73.75,50,-50
54,27.95,-27.95,22.05,-22.05,50,-50
