,p1_luck,p2_luck,p1_skill,p2_skill,p1_chip,p2_chip
1,-2.45,2.45,52.45,-52.45,50,-50
2,53.95,-50,-3.95,0,50,-50
3,-3.8,3.8,53.8,-53.8,50,-50
4,-15.5,15.5,65.5,-65.5,50,-50
5,-54.81363636,54.81363636,-45.18636364,45.18636364,-100,100
6,36.5,-36.5,13.5,-13.5,50,-50
7,31.9,-31.9,18.1,-18.1,50,-50
8,-25.05,25.05,75.05,-75.05,50,-50
9,40.4,-40.4,9.6,-9.6,50,-50
10,22.55,-22.55,27.45,-27.45,50,-50
11,-50.75,50.75,100.75,-100.75,50,-50
12,37.7,-37.7,12.3,-12.3,50,-50
13,132.45,-132.45,-32.45,32.45,100,-100
14,-5.85,5.85,55.85,-55.85,50,-50
15,32.1,-32.1,17.9,-17.9,50,-50
16,-42.8,42.8,92.8,-92.8,50,-50
17,-49.15,49.15,99.15,-99.15,50,-50
18,33.4,-33.4,16.6,-16.6,50,-50
19,-8.1,8.1,58.1,-58.1,50,-50
20,12.25,-12.25,37.75,-37.75,50,-50
21,3.15,-3.15,46.85,-46.85,50,-50
22,-52,52,102,-102,50,-50
23,-48.4,48.4,98.4,-98.4,50,-50
24,-14.8,14.8,64.8,-64.8,50,-50
25,-25.12727273,25.12727273,125.1272727,-125.1272727,100,-100
26,23.8,-23.8,26.2,-26.2,50,-50
27,13.35,-13.35,36.65,-36.65,50,-50
28,-8.4,8.4,58.4,-58.4,50,-50
29,49.05,-49.05,0.95,-0.95,50,-50
30,33.35,-33.35,16.65,-16.65,50,-50
31,-30.3,30.3,80.3,-80.3,50,-50
32,-26.45,26.45,76.45,-76.45,50,-50
33,38.15,-38.15,11.85,-11.85,50,-50
34,7.9,-7.9,42.1,-42.1,50,-50
35,27.2,-27.2,22.8,-22.8,50,-50
36,25.45,-25.45,24.55,-24.55,50,-50
37,77.17525253,-77.17525253,122.8247475,-122.8247475,200,-200
38,76.95,-50,-26.95,0,50,-50
39,-13.25,13.25,63.25,-63.25,50,-50
40,11.7,-11.7,38.3,-38.3,50,-50
41,82.37424242,-82.37424242,17.62575758,-17.62575758,100,-100
42,-26.95,26.95,76.95,-76.95,50,-50
43,-27.5,27.5,77.5,-77.5,50,-50
44,35.25,-35.25,14.75,-14.75,50,-50
45,44.4,-44.4,5.6,-5.6,50,-50
46,28.7,-28.7,21.3,-21.3,50,-50
47,10.1,-10.1,39.9,-39.9,50,-50
48,-17.4,17.4,67.4,-67.4,50,-50
49,-25.95,25.95,75.95,-75.95,50,-50
50,23.2,-23.2,26.8,-26.8,50,-50
51,-53.5,53.5,103.5,-103.5,50,-50
52,-50.65,50.65,100.65,-100.65,50,-50
53,0,0,-100,100,-100,100
54,-34.75,34.75,84.75,-84.75,50,-50
55,-29.8,29.8,79.8,-79.8,50,-50
56,-30.35,30.35,80.35,-80.35,50,-50
57,-12.7,12.7,62.7,-62.7,50,-50
58,31.8,-31.8,18.2,-18.2,50,-50
59,-34.9,34.9,84.9,-84.9,50,-50
60,30.7,-30.7,19.3,-19.3,50,-50
61,29.95,-29.95,20.05,-20.05,50,-50
62,-28.6,28.6,78.6,-78.6,50,-50
63,33.9,-33.9,16.1,-16.1,50,-50
64,116.6606061,-116.6606061,-16.66060606,16.66060606,100,-100
65,-47.9,47.9,97.9,-97.9,50,-50
66,-30.7,30.7,80.7,-80.7,50,-50
67,15.15,-15.15,34.85,-34.85,50,-50
68,-16.2,16.2,66.2,-66.2,50,-50
69,1.15,-1.15,48.85,-48.85,50,-50
70,37.05,-37.05,12.95,-12.95,50,-50
71,-13,13,63,-63,50,-50
72,0,0,-100,100,-100,100
73,-40.45,40.45,90.45,-90.45,50,-50
74,-24.3,24.3,74.3,-74.3,50,-50
75,63.4,-50,-13.4,0,50,-50
