"","p1_luck","p2_luck","p1_skill","p2_skill","p1_chip","p2_chip","endstate"
"1",74,-50,-20074,20050,-20000,20000,2
"2",21.1,-21.1,-20021.1,20021.1,-20000,20000,2
"3",26.45,-26.45,-20026.45,20026.45,-20000,20000,2
"4",4.84999999999999,-4.84999999999999,-20004.85,20004.85,-20000,20000,2
"5",43.8,-43.8,-20043.8,20043.8,-20000,20000,2
"6",49.7,-49.7,-20049.7,20049.7,-20000,20000,2
"7",-68.45,68.45,-19931.55,19931.55,-20000,20000,2
"8",-28.75,28.75,-19971.25,19971.25,-20000,20000,2
"9",28.9,-28.9,-20028.9,20028.9,-20000,20000,2
"10",33.75,-33.75,-20033.75,20033.75,-20000,20000,2
"11",-30.45,30.45,-19969.55,19969.55,-20000,20000,2
"12",-9.09999999999999,9.09999999999999,-19990.9,19990.9,-20000,20000,2
"13",-3.8,3.8,-19996.2,19996.2,-20000,20000,2
"14",29.25,-29.25,-20029.25,20029.25,-20000,20000,2
"15",-51.35,51.35,-19948.65,19948.65,-20000,20000,2
"16",19.65,-19.65,-20019.65,20019.65,-20000,20000,2
"17",-17.75,17.75,-19982.25,19982.25,-20000,20000,2
"18",-28.1,28.1,-19971.9,19971.9,-20000,20000,2
"19",12.15,-12.15,-20012.15,20012.15,-20000,20000,2
"20",-25,25,-19975,19975,-20000,20000,2
"21",24,-24,-20024,20024,-20000,20000,2
"22",27.05,-27.05,-20027.05,20027.05,-20000,20000,2
"23",34.2,-34.2,-20034.2,20034.2,-20000,20000,2
"24",-32.55,32.55,-19967.45,19967.45,-20000,20000,2
"25",-32.15,32.15,-19967.85,19967.85,-20000,20000,2
"26",-21.3,21.3,-19978.7,19978.7,-20000,20000,2
"27",14.8,-14.8,-20014.8,20014.8,-20000,20000,2
"28",31.2,-31.2,-20031.2,20031.2,-20000,20000,2
"29",-51,51,-19949,19949,-20000,20000,2
"30",33.6,-33.6,-20033.6,20033.6,-20000,20000,2
"31",36.65,-36.65,-20036.65,20036.65,-20000,20000,2
"32",14.55,-14.55,-20014.55,20014.55,-20000,20000,2
"33",-23.25,23.25,-19976.75,19976.75,-20000,20000,2
"34",-45,45,-19955,19955,-20000,20000,2
"35",15.8,-15.8,-20015.8,20015.8,-20000,20000,2
"36",27.1,-27.1,-20027.1,20027.1,-20000,20000,2
"37",-39.35,39.35,-19960.65,19960.65,-20000,20000,2
"38",30,-30,-20030,20030,-20000,20000,2
"39",-24.6,24.6,-19975.4,19975.4,-20000,20000,2
"40",-34.45,34.45,-19965.55,19965.55,-20000,20000,2
"41",-22.3,22.3,-19977.7,19977.7,-20000,20000,2
"42",16.95,-16.95,-20016.95,20016.95,-20000,20000,2
"43",-14.9,14.9,-19985.1,19985.1,-20000,20000,2
"44",26,-26,-20026,20026,-20000,20000,2
"45",-22.15,22.15,-19977.85,19977.85,-20000,20000,2
"46",-8.55,8.55000000000001,-19991.45,19991.45,-20000,20000,2
"47",0.849999999999994,-0.849999999999994,-20000.85,20000.85,-20000,20000,2
"48",-7.05,7.05,-19992.95,19992.95,-20000,20000,2
"49",-44.45,44.45,-19955.55,19955.55,-20000,20000,2
"50",-26.55,26.55,-19973.45,19973.45,-20000,20000,2
"51",-33.3,33.3,-19966.7,19966.7,-20000,20000,2
"52",-26.05,26.05,-19973.95,19973.95,-20000,20000,2
"53",13.8,-13.8,-20013.8,20013.8,-20000,20000,2
"54",86.7,-50,-20086.7,20050,-20000,20000,2
"55",33.9,-33.9,-20033.9,20033.9,-20000,20000,2
"56",13,-13,-20013,20013,-20000,20000,2
"57",25.35,-25.35,-20025.35,20025.35,-20000,20000,2
"58",29.15,-29.15,-20029.15,20029.15,-20000,20000,2
"59",36.75,-36.75,-20036.75,20036.75,-20000,20000,2
"60",-13.3,13.3,-19986.7,19986.7,-20000,20000,2
"61",-44.3,44.3,-19955.7,19955.7,-20000,20000,2
"62",12.4,-12.4,-20012.4,20012.4,-20000,20000,2
"63",23.05,-23.05,-20023.05,20023.05,-20000,20000,2
"64",22.5,-22.5,-20022.5,20022.5,-20000,20000,2
"65",30.35,-30.35,-20030.35,20030.35,-20000,20000,2
"66",-30.05,30.05,-19969.95,19969.95,-20000,20000,2
"67",-13.35,13.35,-19986.65,19986.65,-20000,20000,2
"68",16.1,-16.1,-20016.1,20016.1,-20000,20000,2
"69",-20.2,20.2,-19979.8,19979.8,-20000,20000,2
"70",-51.8,51.8,-19948.2,19948.2,-20000,20000,2
"71",20.5,-20.5,-20020.5,20020.5,-20000,20000,2
"72",35.15,-35.15,-20035.15,20035.15,-20000,20000,2
"73",31.15,-31.15,-20031.15,20031.15,-20000,20000,2
"74",27.65,-27.65,-20027.65,20027.65,-20000,20000,2
"75",25.75,-25.75,-20025.75,20025.75,-20000,20000,2
"76",26.9,-26.9,-20026.9,20026.9,-20000,20000,2
"77",23.8,-23.8,-20023.8,20023.8,-20000,20000,2
"78",-12.9,12.9,-19987.1,19987.1,-20000,20000,2
"79",-29.1,29.1,-19970.9,19970.9,-20000,20000,2
"80",7.5,-7.5,-20007.5,20007.5,-20000,20000,2
"81",23.1,-23.1,-20023.1,20023.1,-20000,20000,2
"82",-14.85,14.85,-19985.15,19985.15,-20000,20000,2
"83",-44.6,44.6,-19955.4,19955.4,-20000,20000,2
"84",32.05,-32.05,-20032.05,20032.05,-20000,20000,2
"85",-14,14,-19986,19986,-20000,20000,2
"86",30,-30,-20030,20030,-20000,20000,2
"87",-28.05,28.05,-19971.95,19971.95,-20000,20000,2
"88",-23,23,-19977,19977,-20000,20000,2
"89",38.05,-38.05,-20038.05,20038.05,-20000,20000,2
"90",-43.55,43.55,-19956.45,19956.45,-20000,20000,2
"91",17.5,-17.5,-20017.5,20017.5,-20000,20000,2
"92",33.35,-33.35,-20033.35,20033.35,-20000,20000,2
"93",26.9,-26.9,-20026.9,20026.9,-20000,20000,2
"94",31.3,-31.3,-20031.3,20031.3,-20000,20000,2
"95",-37.1,37.1,-19962.9,19962.9,-20000,20000,2
"96",-35.75,35.75,-19964.25,19964.25,-20000,20000,2
"97",12.65,-12.65,-20012.65,20012.65,-20000,20000,2
"98",-31.55,31.55,-19968.45,19968.45,-20000,20000,2
"99",-75.3,75.3,-19924.7,19924.7,-20000,20000,2
"100",40.35,-40.35,-20040.35,20040.35,-20000,20000,2
"101",-34.3,34.3,-19965.7,19965.7,-20000,20000,2
"102",-29.45,29.45,-19970.55,19970.55,-20000,20000,2
"103",-27.7,27.7,-19972.3,19972.3,-20000,20000,2
"104",40.2,-40.2,-20040.2,20040.2,-20000,20000,2
"105",-49.25,49.25,-19950.75,19950.75,-20000,20000,2
"106",-10.85,10.85,-19989.15,19989.15,-20000,20000,2
"107",-30.45,30.45,-19969.55,19969.55,-20000,20000,2
"108",-30.2,30.2,-19969.8,19969.8,-20000,20000,2
"109",29.7,-29.7,-20029.7,20029.7,-20000,20000,2
"110",-64.7,64.7,-19935.3,19935.3,-20000,20000,2
"111",-31.75,31.75,-19968.25,19968.25,-20000,20000,2
"112",10.95,-10.95,-20010.95,20010.95,-20000,20000,2
"113",23.2,-23.2,-20023.2,20023.2,-20000,20000,2
"114",-33.95,33.95,-19966.05,19966.05,-20000,20000,2
"115",-28.65,28.65,-19971.35,19971.35,-20000,20000,2
"116",18.7,-18.7,-20018.7,20018.7,-20000,20000,2
"117",-22.45,22.45,-19977.55,19977.55,-20000,20000,2
"118",-9.7,9.7,-19990.3,19990.3,-20000,20000,2
"119",-51.7,51.7,-19948.3,19948.3,-20000,20000,2
"120",-13.7,13.7,-19986.3,19986.3,-20000,20000,2
"121",-29.65,29.65,-19970.35,19970.35,-20000,20000,2
"122",21.75,-21.75,-20021.75,20021.75,-20000,20000,2
"123",-15.95,15.95,-19984.05,19984.05,-20000,20000,2
"124",33.85,-33.85,-20033.85,20033.85,-20000,20000,2
"125",25.5,-25.5,-20025.5,20025.5,-20000,20000,2
"126",26.7,-26.7,-20026.7,20026.7,-20000,20000,2
"127",43.95,-43.95,-20043.95,20043.95,-20000,20000,2
"128",8.09999999999999,-8.09999999999999,-20008.1,20008.1,-20000,20000,2
"129",44.6,-44.6,-20044.6,20044.6,-20000,20000,2
"130",-38,38,-19962,19962,-20000,20000,2
"131",36.5,-36.5,-20036.5,20036.5,-20000,20000,2
"132",27.8,-27.8,-20027.8,20027.8,-20000,20000,2
"133",-26.1,26.1,-19973.9,19973.9,-20000,20000,2
"134",-13.45,13.45,-19986.55,19986.55,-20000,20000,2
"135",23.45,-23.45,-20023.45,20023.45,-20000,20000,2
"136",25.6,-25.6,-20025.6,20025.6,-20000,20000,2
"137",46.65,-46.65,-20046.65,20046.65,-20000,20000,2
"138",-29.65,29.65,-19970.35,19970.35,-20000,20000,2
"139",-25.05,25.05,-19974.95,19974.95,-20000,20000,2
"140",-1.2,1.2,-19998.8,19998.8,-20000,20000,2
"141",22.55,-22.55,-20022.55,20022.55,-20000,20000,2
"142",11.65,-11.65,-20011.65,20011.65,-20000,20000,2
"143",5.69999999999999,-5.69999999999999,-20005.7,20005.7,-20000,20000,2
"144",25.15,-25.15,-20025.15,20025.15,-20000,20000,2
"145",-1.15000000000001,1.15000000000001,-19998.85,19998.85,-20000,20000,2
"146",-63.45,63.45,-19936.55,19936.55,-20000,20000,2
"147",-23.45,23.45,-19976.55,19976.55,-20000,20000,2
"148",-29.4,29.4,-19970.6,19970.6,-20000,20000,2
"149",-13.55,13.55,-19986.45,19986.45,-20000,20000,2
"150",-67.2,67.2,-19932.8,19932.8,-20000,20000,2
"151",32,-32,-20032,20032,-20000,20000,2
"152",28,-28,-20028,20028,-20000,20000,2
"153",24.65,-24.65,-20024.65,20024.65,-20000,20000,2
"154",36.4,-36.4,-20036.4,20036.4,-20000,20000,2
"155",-17.75,17.75,-19982.25,19982.25,-20000,20000,2
"156",37.95,-37.95,-20037.95,20037.95,-20000,20000,2
"157",34.55,-34.55,-20034.55,20034.55,-20000,20000,2
"158",33.8,-33.8,-20033.8,20033.8,-20000,20000,2
"159",27.85,-27.85,-20027.85,20027.85,-20000,20000,2
"160",-15.8,15.8,-19984.2,19984.2,-20000,20000,2
"161",19.05,-19.05,-20019.05,20019.05,-20000,20000,2
"162",-67.3,67.3,-19932.7,19932.7,-20000,20000,2
"163",-39.05,39.05,-19960.95,19960.95,-20000,20000,2
"164",-2,2,-19998,19998,-20000,20000,2
"165",-27.9,27.9,-19972.1,19972.1,-20000,20000,2
"166",39.8,-39.8,-20039.8,20039.8,-20000,20000,2
"167",-23.4,23.4,-19976.6,19976.6,-20000,20000,2
"168",-32.3,32.3,-19967.7,19967.7,-20000,20000,2
"169",-16.8,16.8,-19983.2,19983.2,-20000,20000,2
"170",25.35,-25.35,-20025.35,20025.35,-20000,20000,2
"171",15.4,-15.4,-20015.4,20015.4,-20000,20000,2
"172",-40.55,40.55,-19959.45,19959.45,-20000,20000,2
"173",-23.7,23.7,-19976.3,19976.3,-20000,20000,2
"174",40.35,-40.35,-20040.35,20040.35,-20000,20000,2
"175",10.65,-10.65,-20010.65,20010.65,-20000,20000,2
"176",-22.1,22.1,-19977.9,19977.9,-20000,20000,2
"177",53.05,-50,-20053.05,20050,-20000,20000,2
"178",-6.05,6.05,-19993.95,19993.95,-20000,20000,2
"179",36.95,-36.95,-20036.95,20036.95,-20000,20000,2
"180",31.9,-31.9,-20031.9,20031.9,-20000,20000,2
"181",53.8,-50,-20053.8,20050,-20000,20000,2
"182",24.45,-24.45,-20024.45,20024.45,-20000,20000,2
"183",37.3,-37.3,-20037.3,20037.3,-20000,20000,2
"184",24.5,-24.5,-20024.5,20024.5,-20000,20000,2
"185",4.14999999999999,-4.14999999999999,-20004.15,20004.15,-20000,20000,2
"186",-71.6,71.6,-19928.4,19928.4,-20000,20000,2
"187",40.95,-40.95,-20040.95,20040.95,-20000,20000,2
"188",-33.6,33.6,-19966.4,19966.4,-20000,20000,2
"189",59.45,-50,-20059.45,20050,-20000,20000,2
"190",14.85,-14.85,-20014.85,20014.85,-20000,20000,2
"191",37.2,-37.2,-20037.2,20037.2,-20000,20000,2
"192",14,-14,-20014,20014,-20000,20000,2
"193",-20,20,-19980,19980,-20000,20000,2
"194",-16.35,16.35,-19983.65,19983.65,-20000,20000,2
"195",10.65,-10.65,-20010.65,20010.65,-20000,20000,2
"196",-7.35000000000001,7.35000000000001,-19992.65,19992.65,-20000,20000,2
"197",48,-48,-20048,20048,-20000,20000,2
"198",35.55,-35.55,-20035.55,20035.55,-20000,20000,2
"199",18.8,-18.8,-20018.8,20018.8,-20000,20000,2
"200",42.55,-42.55,-20042.55,20042.55,-20000,20000,2
"201",34.1,-34.1,-20034.1,20034.1,-20000,20000,2
"202",-30.15,30.15,-19969.85,19969.85,-20000,20000,2
"203",-26.75,26.75,-19973.25,19973.25,-20000,20000,2
"204",-13.85,13.85,-19986.15,19986.15,-20000,20000,2
"205",79.1,-50,-20079.1,20050,-20000,20000,2
"206",-36.85,36.85,-19963.15,19963.15,-20000,20000,2
"207",20.4,-20.4,-20020.4,20020.4,-20000,20000,2
"208",-11.35,11.35,-19988.65,19988.65,-20000,20000,2
"209",28.35,-28.35,-20028.35,20028.35,-20000,20000,2
"210",-4.14999999999999,4.15000000000001,-19995.85,19995.85,-20000,20000,2
"211",-32.3,32.3,-19967.7,19967.7,-20000,20000,2
"212",34.9,-34.9,-20034.9,20034.9,-20000,20000,2
"213",10.3,-10.3,-20010.3,20010.3,-20000,20000,2
"214",-16.5,16.5,-19983.5,19983.5,-20000,20000,2
"215",-29.5,29.5,-19970.5,19970.5,-20000,20000,2
"216",30.45,-30.45,-20030.45,20030.45,-20000,20000,2
"217",-39.8,39.8,-19960.2,19960.2,-20000,20000,2
"218",2.40000000000001,-2.40000000000001,-20002.4,20002.4,-20000,20000,2
"219",27.3,-27.3,-20027.3,20027.3,-20000,20000,2
"220",35.2,-35.2,-20035.2,20035.2,-20000,20000,2
"221",-35.65,35.65,-19964.35,19964.35,-20000,20000,2
"222",-25,25,-19975,19975,-20000,20000,2
"223",-30.3,30.3,-19969.7,19969.7,-20000,20000,2
"224",-28.05,28.05,-19971.95,19971.95,-20000,20000,2
"225",29.2,-29.2,-20029.2,20029.2,-20000,20000,2
"226",17.6,-17.6,-20017.6,20017.6,-20000,20000,2
"227",-38.9,38.9,-19961.1,19961.1,-20000,20000,2
"228",74.2,-50,-20074.2,20050,-20000,20000,2
"229",-24.35,24.35,-19975.65,19975.65,-20000,20000,2
"230",26.45,-26.45,-20026.45,20026.45,-20000,20000,2
"231",-19.3,19.3,-19980.7,19980.7,-20000,20000,2
"232",47.7,-47.7,-20047.7,20047.7,-20000,20000,2
"233",16.1,-16.1,-20016.1,20016.1,-20000,20000,2
"234",-28.55,28.55,-19971.45,19971.45,-20000,20000,2
"235",-29.2,29.2,-19970.8,19970.8,-20000,20000,2
"236",37.15,-37.15,-20037.15,20037.15,-20000,20000,2
"237",15.1,-15.1,-20015.1,20015.1,-20000,20000,2
"238",-14.4,14.4,-19985.6,19985.6,-20000,20000,2
"239",35.8,-35.8,-20035.8,20035.8,-20000,20000,2
"240",-14.4,14.4,-19985.6,19985.6,-20000,20000,2
"241",20.55,-20.55,-20020.55,20020.55,-20000,20000,2
"242",-12.9,12.9,-19987.1,19987.1,-20000,20000,2
"243",86.55,-50,-20086.55,20050,-20000,20000,2
"244",3.8,-3.8,-20003.8,20003.8,-20000,20000,2
"245",71,-50,-20071,20050,-20000,20000,2
"246",36.2,-36.2,-20036.2,20036.2,-20000,20000,2
"247",41.6,-41.6,-20041.6,20041.6,-20000,20000,2
"248",41,-41,-20041,20041,-20000,20000,2
"249",-33.05,33.05,-19966.95,19966.95,-20000,20000,2
"250",54.85,-50,-20054.85,20050,-20000,20000,2
"251",15.35,-15.35,-20015.35,20015.35,-20000,20000,2
"252",26.05,-26.05,-20026.05,20026.05,-20000,20000,2
"253",-27.9,27.9,-19972.1,19972.1,-20000,20000,2
"254",44.5,-44.5,-20044.5,20044.5,-20000,20000,2
"255",5.40000000000001,-5.40000000000001,-20005.4,20005.4,-20000,20000,2
"256",30.2,-30.2,-20030.2,20030.2,-20000,20000,2
"257",-20.9,20.9,-19979.1,19979.1,-20000,20000,2
"258",22.05,-22.05,-20022.05,20022.05,-20000,20000,2
"259",-21.5,21.5,-19978.5,19978.5,-20000,20000,2
"260",22,-22,-20022,20022,-20000,20000,2
"261",-27.8,27.8,-19972.2,19972.2,-20000,20000,2
"262",-32.65,32.65,-19967.35,19967.35,-20000,20000,2
"263",43.5,-43.5,-20043.5,20043.5,-20000,20000,2
