"","p1_luck","p2_luck","p1_skill","p2_skill","p1_chip","p2_chip","endstate"
"1",0,0,100,-100,100,-100,1
"2",-156.263636363636,156.263636363636,-19843.7363636364,19843.7363636364,-20000,20000,4
"3",0,0,100,-100,100,-100,1
"4",0,0,100,-100,100,-100,1
"5",0,0,100,-100,100,-100,1
"6",0,0,100,-100,100,-100,1
"7",0,0,100,-100,100,-100,1
"8",-83.0113636363636,83.0113636363637,533.011363636364,-533.011363636364,450,-450,3
"9",0,0,100,-100,100,-100,1
"10",-88.9295454545454,88.9295454545454,-19911.0704545455,19911.0704545455,-20000,20000,4
"11",0,0,100,-100,100,-100,1
"12",0,0,100,-100,100,-100,1
"13",0,0,100,-100,100,-100,1
"14",0,0,100,-100,100,-100,1
"15",0,0,100,-100,100,-100,1
"16",0,0,100,-100,100,-100,1
"17",50.8515151515152,-50.8515151515152,-50.8515151515148,50.8515151515148,3.48165940522449e-13,-3.48165940522449e-13,9
"18",0,0,100,-100,100,-100,1
"19",0,0,100,-100,100,-100,1
"20",0,0,100,-100,100,-100,1
"21",0,0,100,-100,100,-100,1
"22",0,0,100,-100,100,-100,1
"23",0,0,100,-100,100,-100,1
"24",0,0,100,-100,100,-100,1
"25",187.254545454546,-187.254545454546,-20187.2545454545,20187.2545454545,-20000,20000,6
"26",0,0,100,-100,100,-100,1
"27",0,0,100,-100,100,-100,1
"28",0,0,100,-100,100,-100,1
"29",0,0,100,-100,100,-100,1
"30",0,0,100,-100,100,-100,1
"31",0,0,100,-100,100,-100,1
"32",-173.362121212121,173.362121212121,-19826.6378787879,19826.6378787879,-20000,20000,4
"33",0,0,100,-100,100,-100,1
"34",0,0,100,-100,100,-100,1
"35",0,0,100,-100,100,-100,1
"36",0,0,100,-100,100,-100,1
"37",0,0,100,-100,100,-100,1
"38",0,0,100,-100,100,-100,1
"39",0,0,100,-100,100,-100,1
"40",0,0,100,-100,100,-100,1
"41",-248.377272727273,248.377272727273,-19751.6227272727,19751.6227272727,-20000,20000,4
"42",0,0,100,-100,100,-100,1
"43",398.304545454545,-398.304545454545,-20398.3045454545,20398.3045454545,-20000,20000,4
"44",0,0,100,-100,100,-100,1
"45",104.309090909091,-104.309090909091,195.690909090909,-195.690909090909,300,-300,3
"46",0,0,100,-100,100,-100,1
"47",0,0,100,-100,100,-100,1
"48",0,0,500,-500,500,-500,1
"49",0,0,500,-500,500,-500,1
"50",0,0,100,-100,100,-100,1
"51",0,0,100,-100,100,-100,1
"52",0,0,100,-100,100,-100,1
"53",0,0,100,-100,100,-100,1
"54",101.859090909091,-101.859090909091,-20101.8590909091,20101.8590909091,-20000,20000,4
"55",0,0,100,-100,100,-100,1
"56",0,0,100,-100,100,-100,1
"57",0,0,500,-500,500,-500,1
"58",0,0,100,-100,100,-100,1
"59",0,0,100,-100,100,-100,1
"60",0,0,100,-100,100,-100,1
"61",0,0,100,-100,100,-100,1
