"","p1_luck","p2_luck","p1_skill","p2_skill","p1_chip","p2_chip","endstate"
"1",20.45,-20.45,29.55,-29.55,0,NA,NA
"2",-65.55,65.55,-19934.45,19934.45,-20000,20000,2
"3",-32.55,32.55,82.55,-82.55,0,NA,NA
"4",27.35,-27.35,22.65,-22.65,0,NA,NA
"5",-15.1,15.1,65.1,-65.1,0,NA,NA
"6",-30.85,30.85,80.85,-80.85,0,NA,NA
"7",24.3,-24.3,25.7,-25.7,0,NA,NA
"8",29.55,-29.55,20.45,-20.45,0,NA,NA
"9",-46.95,46.95,96.95,-96.95,0,NA,NA
"10",-3.2,3.2,-19996.8,19996.8,-20000,20000,2
"11",-16.75,16.75,66.75,-66.75,0,NA,NA
"12",13.05,-13.05,36.95,-36.95,0,NA,NA
"13",9.55,-9.55,40.45,-40.45,0,NA,NA
"14",-4.05,4.05,54.05,-54.05,0,NA,NA
"15",-19.6,19.6,69.6,-69.6,0,NA,NA
"16",-24.8,24.8,74.8,-74.8,0,NA,NA
"17",-17.15,17.15,67.15,-67.15,0,NA,NA
"18",34.95,-34.95,15.05,-15.05,0,NA,NA
"19",33.1,-33.1,16.9,-16.9,0,NA,NA
"20",13.9,-13.9,36.1,-36.1,0,NA,NA
"21",-33.05,33.05,83.05,-83.05,0,NA,NA
"22",32.15,-32.15,17.85,-17.85,0,NA,NA
"23",28.9,-28.9,21.1,-21.1,0,NA,NA
"24",5.39999999999998,-5.39999999999998,44.6,-44.6,0,NA,NA
"25",0.150000000000006,-0.150000000000006,49.85,-49.85,0,NA,NA
"26",26.5,-26.5,23.5,-23.5,0,NA,NA
"27",-4.8,4.80000000000001,54.8,-54.8,0,NA,NA
"28",15.05,-15.05,34.95,-34.95,0,NA,NA
"29",23.5,-23.5,26.5,-26.5,0,NA,NA
"30",-28.05,28.05,78.05,-78.05,0,NA,NA
"31",-16.55,16.55,66.55,-66.55,0,NA,NA
"32",24.85,-24.85,25.15,-25.15,0,NA,NA
"33",22.9,-22.9,27.1,-27.1,0,NA,NA
"34",31.35,-31.35,18.65,-18.65,0,NA,NA
"35",-30,30,80,-80,0,NA,NA
"36",-26,26,76,-76,0,NA,NA
"37",32.15,-32.15,17.85,-17.85,0,NA,NA
"38",-41.25,41.25,91.25,-91.25,0,NA,NA
"39",38.65,-38.65,11.35,-11.35,0,NA,NA
"40",27.9,-27.9,22.1,-22.1,0,NA,NA
"41",-29.55,29.55,79.55,-79.55,0,NA,NA
"42",29.35,-29.35,20.65,-20.65,0,NA,NA
"43",33.05,-33.05,16.95,-16.95,0,NA,NA
"44",22.55,-22.55,27.45,-27.45,0,NA,NA
"45",9.35000000000001,-9.35000000000001,40.65,-40.65,0,NA,NA
"46",24.35,-24.35,25.65,-25.65,0,NA,NA
"47",-23.45,23.45,73.45,-73.45,0,NA,NA
"48",-27.65,27.65,77.65,-77.65,0,NA,NA
"49",-7.05,7.05,57.05,-57.05,0,NA,NA
"50",-35,35,85,-85,0,NA,NA
"51",32.25,-32.25,17.75,-17.75,0,NA,NA
"52",28.05,-28.05,21.95,-21.95,0,NA,NA
"53",21.15,-21.15,28.85,-28.85,0,NA,NA
"54",21.25,-21.25,28.75,-28.75,0,NA,NA
"55",47.75,-47.75,2.25,-2.25,0,NA,NA
"56",-22.25,22.25,72.25,-72.25,0,NA,NA
"57",-26.95,26.95,76.95,-76.95,0,NA,NA
"58",-37.2,37.2,87.2,-87.2,0,NA,NA
"59",-26.15,26.15,76.15,-76.15,0,NA,NA
"60",30.95,-30.95,19.05,-19.05,0,NA,NA
"61",48.65,-48.65,1.34999999999999,-1.35000000000001,0,NA,NA
"62",7.3,-7.3,42.7,-42.7,0,NA,NA
"63",47.35,-47.35,2.65000000000001,-2.65,0,NA,NA
"64",-29.3,29.3,79.3,-79.3,0,NA,NA
"65",-36.9,36.9,86.9,-86.9,0,NA,NA
"66",-20.8,20.8,70.8,-70.8,0,NA,NA
"67",-26.9,26.9,76.9,-76.9,0,NA,NA
"68",5.84999999999999,-5.84999999999999,44.15,-44.15,0,NA,NA
"69",51.15,-50,-1.15000000000001,0,0,NA,NA
"70",-28.1,28.1,78.1,-78.1,0,NA,NA
"71",8.85000000000001,-8.85000000000001,41.15,-41.15,0,NA,NA
"72",-25.85,25.85,75.85,-75.85,0,NA,NA
"73",-8.05,8.05,58.05,-58.05,0,NA,NA
"74",4.05,-4.05,45.95,-45.95,0,NA,NA
"75",-27.05,27.05,77.05,-77.05,0,NA,NA
"76",-10.8,10.8,60.8,-60.8,0,NA,NA
"77",20.15,-20.15,29.85,-29.85,0,NA,NA
"78",-21.25,21.25,71.25,-71.25,0,NA,NA
"79",5.94999999999999,-5.94999999999999,44.05,-44.05,0,NA,NA
"80",-36.25,36.25,86.25,-86.25,0,NA,NA
"81",71.45,-50,-21.45,0,0,NA,NA
"82",-29.1,29.1,79.1,-79.1,0,NA,NA
"83",-13.2,13.2,63.2,-63.2,0,NA,NA
"84",-23.5,23.5,73.5,-73.5,0,NA,NA
"85",-25.4,25.4,75.4,-75.4,0,NA,NA
"86",31.45,-31.45,18.55,-18.55,0,NA,NA
"87",32.9,-32.9,17.1,-17.1,0,NA,NA
"88",-28.25,28.25,78.25,-78.25,0,NA,NA
"89",17.55,-17.55,32.45,-32.45,0,NA,NA
"90",33.15,-33.15,16.85,-16.85,0,NA,NA
"91",31.75,-31.75,18.25,-18.25,0,NA,NA
"92",25.5,-25.5,24.5,-24.5,0,NA,NA
"93",-10.75,10.75,60.75,-60.75,0,NA,NA
"94",-17.25,17.25,67.25,-67.25,0,NA,NA
"95",-18.55,18.55,68.55,-68.55,0,NA,NA
"96",32.1,-32.1,17.9,-17.9,0,NA,NA
"97",36.05,-36.05,13.95,-13.95,0,NA,NA
"98",-19,19,69,-69,0,NA,NA
"99",-38,38,88,-88,0,NA,NA
