"","p1_luck","p2_luck","p1_skill","p2_skill","p1_chip","p2_chip","endstate"
"1",50.65,-50,-0.650000000000006,0,50,-50,0
"2",-26.9,26.9,76.9,-76.9,50,-50,0
"3",250.407575757576,-250.407575757576,49.5924242424242,-49.5924242424242,300,-300,3
"4",21.5,-21.5,28.5,-28.5,50,-50,0
"5",-46.45,46.45,96.45,-96.45,50,-50,0
"6",31.25,-31.25,18.75,-18.75,50,-50,0
"7",26.15,-26.15,23.85,-23.85,50,-50,0
"8",33.15,-33.15,16.85,-16.85,50,-50,0
"9",-29.6,29.6,79.6,-79.6,50,-50,0
"10",33.6,-33.6,16.4,-16.4,50,-50,0
"11",36.2,-36.2,13.8,-13.8,50,-50,0
"12",-6.5,6.5,56.5,-56.5,50,-50,0
"13",-16.65,16.65,66.65,-66.65,50,-50,0
"14",-28.3,28.3,78.3,-78.3,50,-50,0
"15",-72.7378787878788,72.7378787878788,372.737878787879,-372.737878787879,300,-300,3
"16",-172.586363636364,172.586363636364,1372.58636363636,-1372.58636363636,1200,-1200,5
"17",14.5,-14.5,35.5,-35.5,50,-50,0
"18",-26.8,26.8,76.8,-76.8,50,-50,0
"19",-31.6,31.6,81.6,-81.6,50,-50,0
"20",-43.4,43.4,93.4,-93.4,50,-50,0
"21",18.55,-18.55,31.45,-31.45,50,-50,0
"22",-14.85,14.85,64.85,-64.85,50,-50,0
"23",30.15,-30.15,19.85,-19.85,50,-50,0
"24",40.9,-40.9,9.10000000000002,-9.10000000000002,50,-50,0
"25",-11.6,11.6,61.6,-61.6,50,-50,0
"26",30.45,-30.45,19.55,-19.55,50,-50,0
"27",27.3,-27.3,22.7,-22.7,50,-50,0
"28",-33.5,33.5,83.5,-83.5,50,-50,0
"29",53.55,-50,-3.55000000000001,0,50,-50,0
"30",-21.05,21.05,71.05,-71.05,50,-50,0
"31",25.9,-25.9,24.1,-24.1,50,-50,0
"32",27.35,-27.35,22.65,-22.65,50,-50,0
"33",20.5,-20.5,29.5,-29.5,50,-50,0
"34",30.55,-30.55,19.45,-19.45,50,-50,0
"35",-31.5,31.5,81.5,-81.5,50,-50,0
"36",32,-32,18,-18,50,-50,0
"37",-46.95,46.95,96.95,-96.95,50,-50,0
"38",29,-29,21,-21,50,-50,0
"39",-27.75,27.75,77.75,-77.75,50,-50,0
"40",272.022727272727,-272.022727272727,27.9772727272727,-27.9772727272727,300,-300,3
"41",-20.7,20.7,70.7,-70.7,50,-50,0
"42",5.14999999999999,-5.14999999999999,44.85,-44.85,50,-50,0
"43",-37.35,37.35,87.35,-87.35,50,-50,0
"44",-6.84999999999999,6.84999999999999,56.85,-56.85,50,-50,0
"45",-46.3,46.3,96.3,-96.3,50,-50,0
"46",21.2,-21.2,28.8,-28.8,50,-50,0
"47",-28.25,28.25,78.25,-78.25,50,-50,0
"48",-36.1,36.1,86.1,-86.1,50,-50,0
"49",-5.89999999999999,5.89999999999999,55.9,-55.9,50,-50,0
"50",17.5,-17.5,32.5,-32.5,50,-50,0
"51",14.9,-14.9,35.1,-35.1,50,-50,0
"52",8.7,-8.7,41.3,-41.3,50,-50,0
"53",-29.45,29.45,79.45,-79.45,50,-50,0
"54",26,-26,24,-24,50,-50,0
"55",13.5,-13.5,36.5,-36.5,50,-50,0
"56",31.6,-31.6,18.4,-18.4,50,-50,0
"57",-1.25,1.25000000000001,51.25,-51.25,50,-50,0
"58",13.85,-13.85,36.15,-36.15,50,-50,0
"59",-21.35,21.35,71.35,-71.35,50,-50,0
"60",9.00000000000001,-9.00000000000001,41,-41,50,-50,0
"61",30.65,-30.65,19.35,-19.35,50,-50,0
"62",0,0,-20000,20000,-20000,20000,2
"63",2.55000000000001,-2.55000000000001,47.45,-47.45,50,-50,0
"64",27.8,-27.8,22.2,-22.2,50,-50,0
"65",42.65,-42.65,7.35000000000002,-7.35000000000001,50,-50,0
"66",-5.80000000000001,5.80000000000001,55.8,-55.8,50,-50,0
"67",-214.548484848485,214.548484848485,1714.54848484849,-1714.54848484848,1500,-1500,5
"68",46.55,-46.55,3.44999999999999,-3.45,50,-50,0
"69",-32.35,32.35,82.35,-82.35,50,-50,0
"70",-24.85,24.85,74.85,-74.85,50,-50,0
"71",-9.14999999999999,9.14999999999999,59.15,-59.15,50,-50,0
"72",52.8,-50,-2.80000000000001,0,50,-50,0
"73",34.35,-34.35,15.65,-15.65,50,-50,0
