"","p1_luck","p2_luck","p1_skill","p2_skill","p1_chip","p2_chip","endstate"
"1",-100,100,0,0,-100,100,9
"2",100,-100,0,0,100,-100,9
"3",-100,100,0,0,-100,100,9
"4",100,-100,0,0,100,-100,9
"5",100,-100,0,0,100,-100,9
"6",100,-100,0,0,100,-100,9
"7",100,-100,0,0,100,-100,9
"8",1.4210854715202e-14,0,0,0,1.4210854715202e-14,0,9
"9",100,-100,0,0,100,-100,7
"10",100,-75.4,0,-24.6,100,-100,9
"11",-100,100,0,0,-100,100,9
"12",100,-100,0,0,100,-100,9
"13",100,-100,0,0,100,-100,9
"14",-100,100,0,0,-100,100,9
"15",100,-100,0,0,100,-100,9
"16",100,-100,0,0,100,-100,9
"17",-100,100,0,0,-100,100,8
"18",-100,100,0,0,-100,100,8
"19",-75,75,-25,25,-100,100,6
"20",100,-100,0,0,100,-100,9
"21",100,-100,0,0,100,-100,9
"22",-100,100,0,0,-100,100,9
"23",-100,100,0,0,-100,100,9
"24",-100,100,0,0,-100,100,9
"25",-100,100,0,0,-100,100,9
"26",-100,100,0,0,-100,100,9
"27",3.5527136788005e-15,0,0,0,3.5527136788005e-15,0,9
"28",100,-100,0,0,100,-100,9
"29",100,-100,0,0,100,-100,9
"30",100,-97.15,0,-2.84999999999999,100,-100,9
"31",100,-100,0,0,100,-100,9
"32",100,-100,0,0,100,-100,9
"33",100,-100,0,0,100,-100,9
"34",0,0,0,0,0,0,9
"35",100,-100,0,0,100,-100,9
"36",-100,100,0,0,-100,100,8
"37",100,-100,0,0,100,-100,9
"38",-100,100,0,0,-100,100,9
"39",100,-100,0,0,100,-100,9
"40",-100,100,0,0,-100,100,9
"41",100,-100,0,0,100,-100,9
"42",-100,100,0,0,-100,100,9
"43",-100,100,0,0,-100,100,9
"44",100,-100,0,0,100,-100,9
"45",100,-100,0,0,100,-100,9
"46",-100,100,0,0,-100,100,9
"47",-100,100,0,0,-100,100,8
"48",100,-100,0,0,100,-100,5
"49",-100,100,0,0,-100,100,9
"50",100,-100,0,0,100,-100,9
"51",100,-100,0,0,100,-100,9
"52",-100,100,0,0,-100,100,9
"53",100,-100,0,0,100,-100,5
"54",100,-100,0,0,100,-100,9
"55",-100,100,0,0,-100,100,9
"56",-100,100,0,0,-100,100,9
"57",-100,100,0,0,-100,100,9
"58",100,-80.2,0,-19.8,100,-100,7
"59",100,-100,0,0,100,-100,9
"60",-100,100,0,0,-100,100,8
"61",-100,100,0,0,-100,100,9
"62",-21.65,21.65,-78.35,78.35,-100,100,2
"63",-100,100,0,0,-100,100,9
"64",-100,100,0,0,-100,100,9
"65",100,-100,0,0,100,-100,9
"66",-75,75,-25,25,-100,100,6
"67",-100,100,0,0,-100,100,9
"68",100,-100,0,0,100,-100,9
"69",-1.77635683940025e-15,1.77635683940025e-15,0,0,-1.77635683940025e-15,1.77635683940025e-15,9
"70",-100,100,0,0,-100,100,9
"71",100,-100,0,0,100,-100,9
"72",100,-100,0,0,100,-100,9
"73",-100,100,0,0,-100,100,9
"74",100,-100,0,0,100,-100,9
"75",100,-100,0,0,100,-100,9
"76",-100,100,0,0,-100,100,9
"77",100,-100,0,0,100,-100,9
"78",100,-78.95,0,-21.05,100,-100,9
"79",3.5527136788005e-15,-3.5527136788005e-15,0,0,3.5527136788005e-15,-3.5527136788005e-15,9
"80",-100,100,0,0,-100,100,9
"81",-100,100,0,0,-100,100,9
"82",-100,100,0,0,-100,100,9
"83",100,-100,0,0,100,-100,9
"84",-100,100,0,0,-100,100,9
"85",-100,100,0,0,-100,100,9
"86",100,-100,0,0,100,-100,9
"87",-100,100,0,0,-100,100,9
"88",-100,100,0,0,-100,100,9
"89",100,-100,0,0,100,-100,9
"90",100,-100,0,0,100,-100,9
"91",-100,100,0,0,-100,100,9
"92",100,-100,0,0,100,-100,9
"93",-100,100,0,0,-100,100,9
"94",-100,100,0,0,-100,100,9
"95",100,-100,0,0,100,-100,9
"96",100,-100,0,0,100,-100,9
"97",63.45,-50,36.55,-50,100,-100,1
"98",100,-100,0,0,100,-100,9
"99",-100,100,0,0,-100,100,9
"100",-100,100,0,0,-100,100,9
"101",100,-100,0,0,100,-100,5
"102",-100,100,0,0,-100,100,9
"103",-90.9090909090909,90.9090909090909,-9.09090909090908,9.09090909090908,-100,100,6
"104",100,-100,0,0,100,-100,9
"105",93.1818181818182,-93.1818181818182,6.81818181818183,-6.81818181818183,100,-100,5
"106",100,-100,0,0,100,-100,9
"107",100,-100,0,0,100,-100,7
"108",-100,100,0,0,-100,100,9
"109",-100,100,0,0,-100,100,9
"110",100,-100,0,0,100,-100,9
"111",100,-100,0,0,100,-100,9
"112",-3.5527136788005e-15,3.5527136788005e-15,0,0,-3.5527136788005e-15,3.5527136788005e-15,9
"113",100,-100,0,0,100,-100,9
"114",100,-100,0,0,100,-100,9
"115",100,-100,0,0,100,-100,9
"116",-49.9,49.9,-50.1,50.1,-100,100,2
"117",100,-100,0,0,100,-100,9
"118",100,-100,0,0,100,-100,9
"119",100,-100,0,0,100,-100,7
"120",-1.4210854715202e-14,1.4210854715202e-14,-20000,20000,-20000,20000,8
"121",100,-100,0,0,100,-100,9
"122",-100,100,0,0,-100,100,9
"123",-100,100,0,0,-100,100,8
"124",-100,100,0,0,-100,100,9
"125",100,-100,0,0,100,-100,9
"126",-63.95,63.95,-36.05,36.05,-100,100,2
"127",100,-100,0,0,100,-100,9
"128",100,-100,0,0,100,-100,9
"129",100,-100,0,0,100,-100,9
"130",-100,100,0,0,-100,100,9
"131",100,-100,0,0,100,-100,7
"132",100,-100,0,0,100,-100,9
"133",100,-100,0,0,100,-100,9
"134",-100,100,0,0,-100,100,9
"135",-100,100,0,0,-100,100,9
"136",-100,100,0,0,-100,100,9
"137",100,-100,0,0,100,-100,9
"138",-100,100,0,0,-100,100,9
"139",0,-7.105427357601e-15,0,0,0,-7.105427357601e-15,9
"140",-100,100,0,0,-100,100,9
"141",-100,100,0,0,-100,100,9
"142",-100,100,0,0,-100,100,8
"143",-6.21724893790088e-15,6.21724893790088e-15,0,0,-6.21724893790088e-15,6.21724893790088e-15,9
"144",100,-100,0,0,100,-100,9
"145",100,-100,0,0,100,-100,7
"146",100,-100,0,0,100,-100,9
"147",100,-100,0,0,100,-100,9
"148",1.77635683940025e-15,-1.77635683940025e-15,0,0,1.77635683940025e-15,-1.77635683940025e-15,9
"149",-100,100,0,0,-100,100,9
"150",100,-82.95,0,-17.05,100,-100,9
"151",-100,100,0,0,-100,100,8
"152",-100,100,0,0,-100,100,9
"153",100,-75.85,0,-24.15,100,-100,9
"154",100,-100,0,0,100,-100,9
"155",-100,100,0,0,-100,100,8
"156",100,-100,0,0,100,-100,9
"157",100,-100,0,0,100,-100,9
"158",11.9,-11.9,-111.9,111.9,-100,100,2
"159",100,-100,0,0,100,-100,9
"160",100,-100,0,0,100,-100,9
"161",100,-100,0,0,100,-100,9
"162",-100,100,0,0,-100,100,9
"163",-100,100,0,0,-100,100,9
"164",100,-100,0,0,100,-100,9
"165",-100,100,0,0,-100,100,6
"166",100,-100,0,0,100,-100,9
"167",100,-100,0,0,100,-100,9
"168",100,-100,0,0,100,-100,9
"169",100,-100,0,0,100,-100,9
"170",-100,100,0,0,-100,100,9
"171",100,-100,0,0,100,-100,7
"172",-100,100,0,0,-100,100,9
"173",100,-100,0,0,100,-100,9
"174",100,-100,0,0,100,-100,9
"175",100,-100,0,0,100,-100,9
"176",100,-100,0,0,100,-100,9
"177",100,-100,0,0,100,-100,3
"178",100,-100,0,0,100,-100,7
"179",27.9,-27.9,72.1,-72.1,100,-100,1
"180",45.2,-45.2,54.8,-54.8,100,-100,1
"181",-100,100,0,0,-100,100,9
"182",-100,100,0,0,-100,100,9
"183",-100,100,0,0,-100,100,9
"184",-100,100,0,0,-100,100,9
"185",-100,100,0,0,-100,100,9
"186",-100,100,-19900,19900,-20000,20000,6
"187",100,-100,0,0,100,-100,9
"188",100,-100,0,0,100,-100,9
"189",100,-100,0,0,100,-100,9
"190",-100,100,0,0,-100,100,9
"191",-100,100,0,0,-100,100,9
"192",79.5454545454546,-79.5454545454546,20.4545454545455,-20.4545454545455,100,-100,5
"193",100,-100,0,0,100,-100,9
"194",-100,100,0,0,-100,100,9
"195",-100,100,0,0,-100,100,9
"196",100,-100,0,0,100,-100,7
"197",100,-100,0,0,100,-100,9
"198",100,-100,0,0,100,-100,9
"199",100,-100,0,0,100,-100,9
"200",-100,100,0,0,-100,100,8
"201",100,-100,0,0,100,-100,9
"202",-100,127.95,0,-27.95,-100,100,8
"203",-100,100,0,0,-100,100,9
"204",-100,100,0,0,-100,100,9
"205",-100,100,0,0,-100,100,8
"206",100,-100,0,0,100,-100,9
"207",-100,100,0,0,-100,100,9
"208",-100,100,0,0,-100,100,9
"209",-100,100,0,0,-100,100,9
"210",7.105427357601e-15,-7.105427357601e-15,0,0,7.105427357601e-15,-7.105427357601e-15,9
"211",-100,100,0,0,-100,100,6
"212",100,-100,0,0,100,-100,9
"213",-3.5527136788005e-15,3.5527136788005e-15,0,0,-3.5527136788005e-15,3.5527136788005e-15,9
"214",-100,100,0,0,-100,100,6
"215",100,-100,0,0,100,-100,9
"216",-100,100,0,0,-100,100,9
"217",100,-100,0,0,100,-100,9
"218",-100,100,0,0,-100,100,9
"219",100,-100,0,0,100,-100,9
"220",-100,100,0,0,-100,100,9
"221",100,-100,0,0,100,-100,9
"222",-100,100,0,0,-100,100,9
"223",100,-100,0,0,100,-100,9
"224",-100,100,0,0,-100,100,9
"225",-100,100,0,0,-100,100,9
"226",-100,100,0,0,-100,100,9
"227",100,-100,0,0,100,-100,9
"228",100,-100,0,0,100,-100,9
"229",100,-100,0,0,100,-100,9
"230",-100,100,0,0,-100,100,9
"231",-100,100,-19900,19900,-20000,20000,8
"232",-100,100,0,0,-100,100,8
"233",100,-100,0,0,100,-100,9
"234",-100,100,0,0,-100,100,9
"235",-100,100,0,0,-100,100,8
"236",-100,100,0,0,-100,100,9
"237",100,-100,0,0,100,-100,9
"238",100,-100,0,0,100,-100,9
"239",100,-100,0,0,100,-100,9
"240",-100,100,0,0,-100,100,8
"241",100,-100,0,0,100,-100,9
"242",-100,100,0,0,-100,100,9
"243",100,-100,0,0,100,-100,9
"244",-100,100,0,0,-100,100,9
"245",-1.77635683940025e-15,1.77635683940025e-15,0,0,-1.77635683940025e-15,1.77635683940025e-15,9
"246",100,-100,0,0,100,-100,9
"247",100,-100,0,0,100,-100,9
"248",100,-100,0,0,100,-100,9
"249",100,-100,0,0,100,-100,9
"250",-100,100,0,0,-100,100,9
"251",100,-100,0,0,100,-100,9
"252",100,-100,0,0,100,-100,9
"253",-41.3,41.3,-58.7,58.7,-100,100,2
"254",100,-100,0,0,100,-100,9
"255",-100,100,0,0,-100,100,9
"256",-100,100,0,0,-100,100,9
"257",-62.9,62.9,-37.1,37.1,-100,100,2
"258",-100,100,0,0,-100,100,9
"259",100,-100,0,0,100,-100,9
"260",7.105427357601e-15,-7.105427357601e-15,0,0,7.105427357601e-15,-7.105427357601e-15,9
"261",-100,100,0,0,-100,100,9
"262",-100,100,0,0,-100,100,9
"263",100,-100,0,0,100,-100,9
"264",-100,100,0,0,-100,100,9
"265",100,-100,0,0,100,-100,9
"266",-100,100,0,0,-100,100,9
"267",-100,100,0,0,-100,100,9
"268",-100,100,0,0,-100,100,9
"269",-100,100,0,0,-100,100,9
"270",-100,100,0,0,-100,100,8
"271",100,-100,0,0,100,-100,7
"272",38.65,-38.65,61.35,-61.35,100,-100,1
"273",100,-100,0,0,100,-100,7
"274",100,-100,-20100,20100,-20000,20000,8
"275",-100,100,0,0,-100,100,9
"276",100,-96.95,0,-3.05000000000002,100,-100,9
"277",100,-100,0,0,100,-100,9
"278",100,-100,0,0,100,-100,9
"279",-100,100,0,0,-100,100,9
"280",100,-100,0,0,100,-100,9
"281",-3.5527136788005e-15,3.5527136788005e-15,0,0,-3.5527136788005e-15,3.5527136788005e-15,9
"282",100,-100,0,0,100,-100,9
"283",17.6,-17.6,82.4,-82.4,100,-100,1
"284",-100,100,0,0,-100,100,9
"285",-100,100,0,0,-100,100,9
"286",-100,100,0,0,-100,100,9
"287",-100,100,0,0,-100,100,9
"288",100,-100,0,0,100,-100,9
"289",0,-1.4210854715202e-14,-20000,20000,-20000,20000,8
"290",100,-100,0,0,100,-100,9
"291",-100,100,0,0,-100,100,9
"292",100,-100,0,0,100,-100,9
"293",-100,100,0,0,-100,100,9
"294",100,-100,0,0,100,-100,9
"295",-100,100,0,0,-100,100,9
"296",100,-100,0,0,100,-100,9
"297",-100,100,0,0,-100,100,9
"298",-100,100,0,0,-100,100,9
"299",-100,100,0,0,-100,100,9
"300",5.32907051820075e-15,-5.32907051820075e-15,0,0,5.32907051820075e-15,-5.32907051820075e-15,9
"301",-100,100,0,0,-100,100,9
"302",100,-100,0,0,100,-100,7
"303",100,-100,0,0,100,-100,9
"304",-100,100,0,0,-100,100,9
"305",-100,100,0,0,-100,100,9
"306",100,-100,0,0,100,-100,9
"307",100,-100,0,0,100,-100,9
"308",-100,100,0,0,-100,100,9
"309",-100,100,0,0,-100,100,9
"310",-100,100,0,0,-100,100,9
"311",100,-100,0,0,100,-100,9
"312",-100,100,0,0,-100,100,9
"313",100,-100,0,0,100,-100,9
"314",100,-100,0,0,100,-100,9
"315",-100,100,0,0,-100,100,9
"316",-100,100,0,0,-100,100,9
"317",-100,100,0,0,-100,100,9
"318",100,-100,0,0,100,-100,9
"319",-36.55,36.55,-63.45,63.45,-100,100,2
"320",-100,100,0,0,-100,100,9
"321",-100,100,0,0,-100,100,9
"322",-1.77635683940025e-15,1.77635683940025e-15,0,0,-1.77635683940025e-15,1.77635683940025e-15,9
"323",100,-100,0,0,100,-100,9
"324",-100,100,-19900,19900,-20000,20000,6
"325",-100,100,0,0,-100,100,9
"326",100,-100,0,0,100,-100,9
"327",-100,100,0,0,-100,100,9
"328",100,-100,0,0,100,-100,9
"329",-100,100,0,0,-100,100,9
"330",-100,100,0,0,-100,100,9
"331",100,-100,0,0,100,-100,7
"332",100,-100,0,0,100,-100,9
"333",3.5527136788005e-15,1.4210854715202e-14,0,0,3.5527136788005e-15,1.4210854715202e-14,9
"334",100,-100,0,0,100,-100,9
"335",-100,100,0,0,-100,100,9
"336",100,-100,0,0,100,-100,9
"337",-100,100,0,0,-100,100,9
"338",100,-100,0,0,100,-100,9
"339",100,-100,0,0,100,-100,9
"340",100,-100,0,0,100,-100,9
"341",100,-100,0,0,100,-100,7
"342",100,-100,0,0,100,-100,9
"343",100,-100,0,0,100,-100,9
"344",-100,100,0,0,-100,100,9
"345",-100,100,0,0,-100,100,9
"346",93.1818181818182,-93.1818181818182,6.81818181818183,-6.81818181818183,100,-100,5
"347",100,-100,0,0,100,-100,9
"348",100,-100,0,0,100,-100,9
"349",100,-100,0,0,100,-100,7
"350",-100,100,0,0,-100,100,9
"351",100,-100,0,0,100,-100,7
"352",-100,100,0,0,-100,100,9
"353",100,-100,0,0,100,-100,9
"354",-100,100,0,0,-100,100,9
"355",100,-100,0,0,100,-100,9
"356",100,-100,0,0,100,-100,9
"357",100,-78.7,0,-21.3,100,-100,9
"358",100,-100,0,0,100,-100,9
"359",-100,100,0,0,-100,100,9
"360",-100,100,0,0,-100,100,9
"361",-100,100,0,0,-100,100,9
"362",-100,100,0,0,-100,100,9
"363",-100,100,0,0,-100,100,9
"364",-76.55,76.55,-23.45,23.45,-100,100,2
"365",100,-100,0,0,100,-100,9
"366",100,-100,0,0,100,-100,9
"367",-48.65,48.65,-51.35,51.35,-100,100,2
"368",100,-100,0,0,100,-100,7
"369",-100,100,0,0,-100,100,9
"370",100,-100,0,0,100,-100,9
"371",100,-100,0,0,100,-100,9
"372",-100,100,0,0,-100,100,9
"373",100,-100,0,0,100,-100,7
"374",100,-100,0,0,100,-100,9
"375",100,-100,0,0,100,-100,9
"376",100,-100,0,0,100,-100,9
"377",-100,100,0,0,-100,100,9
"378",-100,100,0,0,-100,100,9
"379",100,-100,0,0,100,-100,9
"380",-100,100,0,0,-100,100,9
"381",100,-100,0,0,100,-100,9
"382",100,-100,0,0,100,-100,9
"383",46.2,-46.2,53.8,-53.8,100,-100,1
"384",100,-100,0,0,100,-100,9
"385",100,-96.95,0,-3.05,100,-100,9
"386",5.32907051820075e-15,5.32907051820075e-15,0,0,5.32907051820075e-15,5.32907051820075e-15,9
"387",100,-100,0,0,100,-100,9
"388",100,-100,0,0,100,-100,9
"389",100,-80.3,0,-19.7,100,-100,9
"390",-100,100,0,0,-100,100,9
"391",100,-100,0,0,100,-100,5
"392",100,-100,0,0,100,-100,9
"393",100,-100,0,0,100,-100,7
"394",-100,100,0,0,-100,100,8
"395",100,-100,0,0,100,-100,9
"396",-100,100,0,0,-100,100,9
"397",-100,100,0,0,-100,100,9
"398",-100,100,0,0,-100,100,9
"399",100,-100,0,0,100,-100,9
"400",100,-100,0,0,100,-100,9
"401",3.5527136788005e-15,-3.5527136788005e-15,0,0,3.5527136788005e-15,-3.5527136788005e-15,9
"402",-100,100,0,0,-100,100,9
"403",-100,100,0,0,-100,100,9
"404",-100,100,0,0,-100,100,9
"405",-100,100,0,0,-100,100,9
"406",100,-100,0,0,100,-100,9
"407",-100,100,0,0,-100,100,9
"408",-100,100,0,0,-100,100,8
"409",100,-100,0,0,100,-100,9
"410",100,-100,0,0,100,-100,9
"411",100,-96.5,0,-3.49999999999999,100,-100,9
"412",-100,100,0,0,-100,100,9
"413",100,-100,0,0,100,-100,9
"414",100,-100,0,0,100,-100,9
"415",26.2,-26.2,73.8,-73.8,100,-100,1
"416",-100,100,0,0,-100,100,9
"417",100,-96.35,0,-3.65,100,-100,9
"418",100,-100,0,0,100,-100,7
"419",-100,100,0,0,-100,100,9
"420",-31.95,31.95,-68.05,68.05,-100,100,2
"421",100,-100,0,0,100,-100,9
"422",56.1,-50,43.9,-50,100,-100,1
"423",100,-100,0,0,100,-100,9
"424",100,-100,0,0,100,-100,9
"425",100,-100,0,0,100,-100,9
"426",100,-100,0,0,100,-100,9
"427",100,-100,0,0,100,-100,7
"428",100,-100,0,0,100,-100,9
"429",-100,100,0,0,-100,100,9
"430",100,-100,0,0,100,-100,9
"431",-100,100,0,0,-100,100,9
"432",-100,100,0,0,-100,100,9
"433",-100,100,0,0,-100,100,8
"434",100,-100,0,0,100,-100,9
"435",-100,100,0,0,-100,100,9
"436",-100,100,-19900,19900,-20000,20000,8
"437",-75.6,75.6,-24.4,24.4,-100,100,2
"438",-29.25,29.25,-70.75,70.75,-100,100,2
"439",100,-100,0,0,100,-100,9
"440",100,-100,0,0,100,-100,9
"441",-100,100,0,0,-100,100,9
"442",0,0,0,0,0,0,9
"443",100,-100,0,0,100,-100,9
"444",100,-100,0,0,100,-100,9
"445",-100,100,0,0,-100,100,9
"446",-32.6,32.6,-67.4,67.4,-100,100,2
"447",100,-100,0,0,100,-100,9
"448",100,-100,0,0,100,-100,9
"449",100,-100,0,0,100,-100,9
"450",100,-100,0,0,100,-100,9
"451",82.1212121212121,-82.1212121212121,17.8787878787879,-17.8787878787879,100,-100,3
"452",100,-100,0,0,100,-100,7
"453",100,-100,0,0,100,-100,9
"454",-100,100,0,0,-100,100,9
"455",-100,100,0,0,-100,100,8
"456",100,-100,0,0,100,-100,9
"457",100,-100,0,0,100,-100,9
"458",100,-89.05,0,-10.95,100,-100,9
"459",-100,100,0,0,-100,100,9
"460",100,-100,0,0,100,-100,9
"461",46.75,-46.75,53.25,-53.25,100,-100,1
"462",100,-100,0,0,100,-100,9
"463",90.9090909090909,-90.9090909090909,9.0909090909091,-9.0909090909091,100,-100,5
"464",-100,100,0,0,-100,100,9
"465",-100,100,0,0,-100,100,9
"466",100,-95.5,0,-4.49999999999999,100,-100,9
"467",100,-100,0,0,100,-100,9
"468",100,-100,0,0,100,-100,9
"469",-100,100,0,0,-100,100,9
"470",-100,100,0,0,-100,100,9
"471",-100,100,0,0,-100,100,9
"472",-100,100,0,0,-100,100,9
"473",0,-1.77635683940025e-15,-20000,20000,-20000,20000,8
"474",-100,100,0,0,-100,100,9
"475",100,-100,0,0,100,-100,9
"476",-100,100,0,0,-100,100,9
"477",-100,100,0,0,-100,100,9
"478",100,-100,0,0,100,-100,9
"479",100,-100,0,0,100,-100,7
"480",-100,100,0,0,-100,100,9
"481",100,-100,0,0,100,-100,9
"482",100,-100,0,0,100,-100,9
"483",100,-100,0,0,100,-100,9
"484",100,-100,0,0,100,-100,9
"485",100,-100,0,0,100,-100,9
"486",100,-100,0,0,100,-100,7
"487",100,-100,0,0,100,-100,9
"488",-100,100,0,0,-100,100,9
"489",100,-100,0,0,100,-100,9
"490",100,-100,0,0,100,-100,9
"491",100,-100,0,0,100,-100,9
"492",-100,100,0,0,-100,100,8
"493",100,-100,0,0,100,-100,9
"494",100,-100,0,0,100,-100,9
"495",-100,100,0,0,-100,100,9
"496",-94.3434343434343,94.3434343434344,-5.65656565656565,5.65656565656565,-100,100,4
"497",-100,100,0,0,-100,100,9
"498",100,-100,0,0,100,-100,9
"499",-100,100,0,0,-100,100,9
"500",100,-100,0,0,100,-100,9
"501",-100,100,0,0,-100,100,9
"502",100,-100,0,0,100,-100,9
"503",-100,100,0,0,-100,100,8
"504",-100,100,0,0,-100,100,9
"505",-100,100,0,0,-100,100,9
"506",-100,100,0,0,-100,100,9
"507",100,-100,0,0,100,-100,9
"508",-100,100,0,0,-100,100,9
"509",-100,100,0,0,-100,100,9
"510",-31.010101010101,31.010101010101,-68.989898989899,68.989898989899,-100,100,4
"511",100,-100,0,0,100,-100,9
"512",-100,100,0,0,-100,100,9
"513",100,-100,0,0,100,-100,9
"514",100,-100,0,0,100,-100,9
"515",-93.1818181818182,93.1818181818182,-6.81818181818181,6.81818181818181,-100,100,6
"516",-100,100,0,0,-100,100,9
"517",100,-100,0,0,100,-100,9
"518",-100,100,0,0,-100,100,9
"519",100,-100,0,0,100,-100,7
"520",-100,100,0,0,-100,100,9
"521",100,-100,0,0,100,-100,9
"522",100,-100,0,0,100,-100,9
"523",-100,100,0,0,-100,100,9
"524",0,0,-20000,20000,-20000,20000,8
"525",-100,100,0,0,-100,100,9
"526",-100,100,0,0,-100,100,8
"527",100,-100,0,0,100,-100,9
