"","p1_luck","p2_luck","p1_skill","p2_skill","p1_chip","p2_chip","endstate"
"1",23.4,-23.4,26.6,-26.6,50,-50,0
"2",-15.45,15.45,65.45,-65.45,50,-50,0
"3",13.1,-13.1,36.9,-36.9,50,-50,0
"4",14.15,-14.15,35.85,-35.85,50,-50,0
"5",70.55,-50,-20.55,0,50,-50,0
"6",6.34999999999999,-6.34999999999999,43.65,-43.65,50,-50,0
"7",28.25,-28.25,21.75,-21.75,50,-50,0
"8",46.2,-46.2,3.80000000000001,-3.8,50,-50,0
"9",12.55,-12.55,37.45,-37.45,50,-50,0
"10",-31.35,31.35,81.35,-81.35,50,-50,0
"11",-25.4,25.4,75.4,-75.4,50,-50,0
"12",-26.6,26.6,76.6,-76.6,50,-50,0
"13",-19.35,19.35,69.35,-69.35,50,-50,0
"14",-27.05,27.05,77.05,-77.05,50,-50,0
"15",27.9,-27.9,22.1,-22.1,50,-50,0
"16",30.15,-30.15,19.85,-19.85,50,-50,0
"17",12.45,-12.45,37.55,-37.55,50,-50,0
"18",47.55,-47.55,2.44999999999999,-2.45,50,-50,0
"19",29.2,-29.2,20.8,-20.8,50,-50,0
"20",-25.4,25.4,75.4,-75.4,50,-50,0
"21",19.4,-19.4,30.6,-30.6,50,-50,0
"22",-48.8,48.8,98.8,-98.8,50,-50,0
"23",-38.55,38.55,88.55,-88.55,50,-50,0
"24",-39.25,39.25,89.25,-89.25,50,-50,0
"25",-78.2,78.2,-21.8,21.8,-100,100,2
"26",18.8,-18.8,31.2,-31.2,50,-50,0
"27",19.6,-19.6,30.4,-30.4,50,-50,0
"28",-22.6,22.6,72.6,-72.6,50,-50,0
"29",26.7,-26.7,23.3,-23.3,50,-50,0
"30",23.05,-23.05,26.95,-26.95,50,-50,0
"31",35.6,-35.6,14.4,-14.4,50,-50,0
"32",-20.85,20.85,70.85,-70.85,50,-50,0
"33",37.15,-37.15,12.85,-12.85,50,-50,0
"34",33.5,-33.5,16.5,-16.5,50,-50,0
"35",45.95,-45.95,4.05000000000001,-4.05,50,-50,0
