"","p1_luck","p2_luck","p1_skill","p2_skill","p1_chip","p2_chip","endstate"
"1",48.6,-48.6,1.40000000000001,-1.4,50,-50,0
"2",-15.95,15.95,65.95,-65.95,50,-50,0
"3",34.25,-34.25,15.75,-15.75,50,-50,0
"4",-43.6363636363636,43.6363636363636,-56.3636363636364,56.3636363636364,-100,100,4
"5",-15.05,15.05,65.05,-65.05,50,-50,0
"6",100,-100,0,0,100,-100,9
"7",27.4,-27.4,22.6,-22.6,50,-50,0
"8",45.65,-45.65,4.35000000000002,-4.35000000000001,50,-50,0
"9",29.55,-29.55,20.45,-20.45,50,-50,0
"10",36.75,-36.75,13.25,-13.25,50,-50,0
"11",35.8,-35.8,14.2,-14.2,50,-50,0
"12",15.8,-15.8,34.2,-34.2,50,-50,0
"13",20.45,-20.45,29.55,-29.55,50,-50,0
"14",30.45,-30.45,19.55,-19.55,50,-50,0
"15",-70.9,70.9,-29.1,29.1,-100,100,2
"16",-8.65000000000001,8.65000000000001,58.65,-58.65,50,-50,0
"17",-35.35,35.35,-64.65,64.65,-100,100,2
"18",-100,100,0,0,-100,100,8
"19",-51.35,51.35,101.35,-101.35,50,-50,0
"20",-95.4545454545455,95.4545454545454,-4.54545454545454,4.54545454545454,-100,100,4
"21",-56.5,56.5,-43.5,43.5,-100,100,2
"22",23.95,-23.95,26.05,-26.05,50,-50,0
"23",-11.6,11.6,61.6,-61.6,50,-50,0
"24",33.85,-33.85,16.15,-16.15,50,-50,0
"25",-100,100,0,0,-100,100,8
"26",27.6,-27.6,22.4,-22.4,50,-50,0
"27",-72.6,72.6,-27.4,27.4,-100,100,2
"28",-26.5,26.5,76.5,-76.5,50,-50,0
"29",30.35,-30.35,19.65,-19.65,50,-50,0
"30",-33.1,33.1,83.1,-83.1,50,-50,0
"31",9.15000000000002,-9.15000000000002,40.85,-40.85,50,-50,0
"32",-24.65,24.65,74.65,-74.65,50,-50,0
"33",29.75,-29.75,20.25,-20.25,50,-50,0
"34",21.9,-21.9,28.1,-28.1,50,-50,0
"35",7.05,-7.05,42.95,-42.95,50,-50,0
"36",32.85,-32.85,17.15,-17.15,50,-50,0
"37",-24.25,24.25,74.25,-74.25,50,-50,0
"38",20.1,-20.1,29.9,-29.9,50,-50,0
"39",-33.8,33.8,83.8,-83.8,50,-50,0
"40",-69.7979797979798,69.7979797979798,-30.2020202020202,30.2020202020202,-100,100,4
"41",24.75,-24.75,25.25,-25.25,50,-50,0
"42",6.80000000000001,-6.80000000000001,43.2,-43.2,50,-50,0
"43",30.8,-30.8,19.2,-19.2,50,-50,0
"44",7.84999999999999,-7.84999999999999,42.15,-42.15,50,-50,0
"45",32.7,-32.7,17.3,-17.3,50,-50,0
"46",-33.3,33.3,83.3,-83.3,50,-50,0
"47",-38,38,88,-88,50,-50,0
"48",-86.3636363636364,86.3636363636364,-13.6363636363636,13.6363636363636,-100,100,6
"49",-20.55,20.55,70.55,-70.55,50,-50,0
"50",-3.85000000000001,3.84999999999999,53.85,-53.85,50,-50,0
"51",-30.8,30.8,80.8,-80.8,50,-50,0
"52",30.5,-30.5,19.5,-19.5,50,-50,0
"53",40.1,-40.1,9.90000000000003,-9.90000000000002,50,-50,0
"54",12.45,-12.45,37.55,-37.55,50,-50,0
"55",-29.5,29.5,79.5,-79.5,50,-50,0
"56",37.2,-37.2,12.8,-12.8,50,-50,0
"57",12.55,-12.55,37.45,-37.45,50,-50,0
"58",-37,37,87,-87,50,-50,0
"59",-93.7373737373738,93.7373737373737,-6.26262626262626,6.26262626262626,-100,100,4
"60",23,-23,27,-27,50,-50,0
"61",-31.75,31.75,81.75,-81.75,50,-50,0
"62",-79.5959595959596,79.5959595959596,-20.4040404040404,20.4040404040404,-100,100,4
"63",31.45,-31.45,18.55,-18.55,50,-50,0
"64",-88.8888888888889,88.8888888888889,-11.1111111111111,11.1111111111111,-100,100,4
"65",69.95,-50,-19.95,0,50,-50,0
"66",30,-30,20,-20,50,-50,0
"67",-41.95,41.95,91.95,-91.95,50,-50,0
"68",22,-22,28,-28,50,-50,0
"69",-13.5,13.5,63.5,-63.5,50,-50,0
"70",-8.89999999999999,8.89999999999999,108.9,-108.9,100,-100,1
"71",12.25,-12.25,37.75,-37.75,50,-50,0
"72",-12.3,12.3,62.3,-62.3,50,-50,0
"73",-15.25,15.25,65.25,-65.25,50,-50,0
"74",16.55,-16.55,33.45,-33.45,50,-50,0
"75",18.85,-18.85,31.15,-31.15,50,-50,0
"76",-36.05,36.05,86.05,-86.05,50,-50,0
"77",-29.9,29.9,79.9,-79.9,50,-50,0
"78",-37.35,37.35,87.35,-87.35,50,-50,0
"79",36.45,-36.45,13.55,-13.55,50,-50,0
"80",-35.95,35.95,85.95,-85.95,50,-50,0
"81",12,-12,38,-38,50,-50,0
"82",-21.1,21.1,71.1,-71.1,50,-50,0
"83",17.7,-17.7,32.3,-32.3,50,-50,0
"84",-62.9,62.9,-37.1,37.1,-100,100,2
"85",-44.1,44.1,94.1,-94.1,50,-50,0
"86",-38.2,38.2,88.2,-88.2,50,-50,0
"87",9.00000000000001,-9.00000000000001,41,-41,50,-50,0
"88",29.3,-29.3,20.7,-20.7,50,-50,0
"89",6.15000000000001,-6.15000000000001,43.85,-43.85,50,-50,0
"90",11.45,-11.45,38.55,-38.55,50,-50,0
"91",32.4,-32.4,17.6,-17.6,50,-50,0
