"","p1_luck","p2_luck","p1_skill","p2_skill","p1_chip","p2_chip","endstate"
"1",68.0808080808081,-68.0808080808081,31.9191919191919,-31.9191919191919,100,-100,3
"2",66.6666666666667,-66.6666666666667,33.3333333333333,-33.3333333333333,100,-100,3
"3",-58.1818181818182,58.1818181818182,158.181818181818,-158.181818181818,100,-100,3
"4",-69.8989898989899,69.8989898989899,169.89898989899,-169.89898989899,100,-100,3
"5",100,-100,0,0,100,-100,9
"6",-100,100,-19900,19900,-20000,20000,9
"7",-29.6,29.6,-70.4,70.4,-100,100,2
"8",-100,100,0,0,-100,100,9
"9",-72.7272727272727,72.7272727272727,172.727272727273,-172.727272727273,100,-100,5
"10",-72.7272727272727,72.7272727272727,172.727272727273,-172.727272727273,100,-100,5
"11",58.7878787878788,-58.7878787878788,41.2121212121212,-41.2121212121212,100,-100,3
"12",-96.6666666666667,96.6666666666667,-3.33333333333334,3.33333333333334,-100,100,4
"13",-32.75,32.75,-67.25,67.25,-100,100,2
"14",100,-100,0,0,100,-100,7
"15",38.4848484848485,-38.4848484848485,61.5151515151515,-61.5151515151515,100,-100,3
"16",-100,100,0,0,-100,100,9
"17",100,-100,0,0,100,-100,7
"18",-91.3131313131313,91.3131313131313,191.313131313131,-191.313131313131,100,-100,3
"19",100,-100,0,0,100,-100,5
"20",91.5151515151515,-91.5151515151515,8.4848484848485,-8.4848484848485,100,-100,3
"21",-100,100,0,0,-100,100,9
"22",64.5454545454545,-64.5454545454545,35.4545454545455,-35.4545454545455,100,-100,3
"23",-43.3333333333333,43.3333333333333,143.333333333333,-143.333333333333,100,-100,3
"24",24.5454545454545,-24.5454545454545,75.4545454545455,-75.4545454545455,100,-100,3
"25",-100,100,0,0,-100,100,9
"26",-100,100,0,0,-100,100,4
"27",-100,100,200,-200,100,-100,7
"28",51.6161616161616,-51.6161616161616,48.3838383838384,-48.3838383838384,100,-100,3
"29",-71.5151515151515,71.5151515151515,171.515151515152,-171.515151515152,100,-100,3
"30",-100,100,0,0,-100,100,9
"31",54.3434343434343,-54.3434343434343,45.6565656565657,-45.6565656565657,100,-100,3
"32",-81.8181818181818,81.8181818181818,181.818181818182,-181.818181818182,100,-100,5
"33",-49.2929292929293,49.2929292929293,149.292929292929,-149.292929292929,100,-100,3
"34",-22.7272727272727,22.7272727272727,122.727272727273,-122.727272727273,100,-100,5
"35",-100,100,-19900,19900,-20000,20000,9
"36",-57.7777777777778,57.7777777777778,157.777777777778,-157.777777777778,100,-100,3
"37",-68.2828282828283,68.2828282828283,168.282828282828,-168.282828282828,100,-100,3
"38",-100,100,0,0,-100,100,9
"39",-81.8181818181818,81.8181818181818,181.818181818182,-181.818181818182,100,-100,5
"40",99.3939393939394,-99.3939393939394,0.60606060606061,-0.60606060606061,100,-100,3
"41",86.0606060606061,-86.0606060606061,13.9393939393939,-13.9393939393939,100,-100,3
"42",53.2323232323232,-53.2323232323232,46.7676767676768,-46.7676767676768,100,-100,3
"43",-100,100,-19900,19900,-20000,20000,9
"44",-100,100,0,0,-100,100,9
"45",60,-60,40,-40,100,-100,3
"46",3.5527136788005e-15,-3.5527136788005e-15,100,-100,100,-100,5
"47",57.5757575757576,-57.5757575757576,42.4242424242424,-42.4242424242424,100,-100,3
"48",100,-100,0,0,100,-100,7
"49",52.3232323232323,-52.3232323232323,47.6767676767677,-47.6767676767677,100,-100,3
"50",94.5454545454545,-94.5454545454545,5.45454545454545,-5.45454545454545,100,-100,3
"51",4.24242424242424,-4.24242424242424,95.7575757575758,-95.7575757575758,100,-100,3
"52",99.7979797979798,-99.7979797979798,0.202020202020203,-0.202020202020203,100,-100,3
"53",81.5151515151515,-81.5151515151515,18.4848484848485,-18.4848484848485,100,-100,3
"54",-100,100,200,-200,100,-100,7
"55",68.1818181818182,-67.9818181818182,31.8181818181818,-32.0181818181818,100,-100,3
"56",-61.25,61.25,-38.75,38.75,-100,100,2
"57",-100,100,-19900,19900,-20000,20000,9
"58",98.6868686868687,-98.6868686868687,1.31313131313133,-1.31313131313133,100,-100,3
"59",22.2222222222222,-22.2222222222222,77.7777777777778,-77.7777777777778,100,-100,3
"60",-73.3333333333333,73.3333333333333,173.333333333333,-173.333333333333,100,-100,3
"61",48.7878787878788,-48.7878787878788,51.2121212121212,-51.2121212121212,100,-100,3
"62",54.2424242424242,-54.2424242424242,45.7575757575758,-45.7575757575758,100,-100,3
"63",-68.1818181818182,68.1818181818182,168.181818181818,-168.181818181818,100,-100,5
"64",60.4040404040404,-60.4040404040404,39.5959595959596,-39.5959595959596,100,-100,3
"65",-50.5050505050505,50.5050505050505,150.50505050505,-150.50505050505,100,-100,3
"66",72.7272727272727,-72.7272727272727,27.2727272727273,-27.2727272727273,100,-100,5
"67",-100,100,0,0,-100,100,9
"68",-28.25,28.25,-71.75,71.75,-100,100,2
"69",-99.3939393939394,99.3939393939394,199.393939393939,-199.393939393939,100,-100,3
"70",96.969696969697,-96.969696969697,3.03030303030303,-3.03030303030303,100,-100,3
"71",100,-100,0,0,100,-100,7
"72",-47.1717171717172,47.1717171717172,147.171717171717,-147.171717171717,100,-100,3
"73",85.4545454545455,-85.4545454545455,14.5454545454546,-14.5454545454546,100,-100,3
"74",43.5,-43.5,56.5,-56.5,100,-100,1
"75",-73.1313131313131,73.1313131313131,173.131313131313,-173.131313131313,100,-100,3
"76",17.95,-17.95,82.05,-82.05,100,-100,1
"77",-100,100,0,0,-100,100,9
"78",100,-100,0,0,100,-100,5
"79",-100,100,0,0,-100,100,9
"80",-81.8181818181818,81.8181818181818,181.818181818182,-181.818181818182,100,-100,5
"81",-100,100,0,0,-100,100,9
"82",46.8686868686869,-46.8686868686869,53.1313131313131,-53.1313131313131,100,-100,3
"83",100,-100,0,0,100,-100,9
"84",-49.8,49.8,-50.2,50.2,-100,100,2
"85",-72.7272727272727,72.7272727272727,172.727272727273,-172.727272727273,100,-100,5
"86",55.5555555555556,-55.5555555555556,44.4444444444444,-44.4444444444444,100,-100,3
"87",-28.2828282828283,28.2828282828283,128.282828282828,-128.282828282828,100,-100,3
"88",-100,100,0,0,-100,100,9
"89",63.7373737373737,-63.7373737373737,36.2626262626263,-36.2626262626263,100,-100,3
"90",56.1616161616162,-56.1616161616162,43.8383838383838,-43.8383838383838,100,-100,3
"91",71.4141414141414,-54.4641414141414,28.5858585858586,-45.5358585858586,100,-100,3
"92",-61.5151515151515,61.5151515151515,161.515151515152,-161.515151515152,100,-100,3
"93",71.5151515151515,-71.5151515151515,28.4848484848485,-28.4848484848485,100,-100,3
"94",-100,100,200,-200,100,-100,7
"95",91.3131313131313,-80.3131313131313,8.68686868686868,-19.6868686868687,100,-100,3
"96",-68.1818181818182,68.1818181818182,168.181818181818,-168.181818181818,100,-100,5
"97",75,-75,25,-25,100,-100,5
"98",-36.2626262626263,36.2626262626263,136.262626262626,-136.262626262626,100,-100,3
"99",36.1,-36.1,63.9,-63.9,100,-100,1
"100",-40,40,140,-140,100,-100,3
"101",-100,100,0,0,-100,100,9
"102",-72.7272727272727,72.7272727272727,172.727272727273,-172.727272727273,100,-100,5
"103",100,-100,0,0,100,-100,9
"104",100,-100,0,0,100,-100,9
"105",73.4343434343434,-73.4343434343434,26.5656565656566,-26.5656565656566,100,-100,3
"106",-99.3939393939394,99.3939393939394,199.393939393939,-199.393939393939,100,-100,3
"107",-100,100,200,-200,100,-100,7
"108",-35.8585858585859,35.8585858585859,135.858585858586,-135.858585858586,100,-100,3
"109",38.1818181818182,-38.1818181818182,61.8181818181818,-61.8181818181818,100,-100,3
"110",62.8282828282828,-62.8282828282828,37.1717171717172,-37.1717171717172,100,-100,3
"111",-69.7979797979798,69.7979797979798,169.79797979798,-169.79797979798,100,-100,3
"112",-100,100,200,-200,100,-100,7
