"","p1_luck","p2_luck","p1_skill","p2_skill","p1_chip","p2_chip","endstate"
"1",-35.05,35.05,85.05,-85.05,0,NA,NA
"2",-50,50,100,-100,0,NA,NA
"3",15.05,-15.05,34.95,-34.95,0,NA,NA
"4",-31.85,31.85,81.85,-81.85,0,NA,NA
"5",-23.95,23.95,73.95,-73.95,0,NA,NA
"6",24.55,-24.55,25.45,-25.45,0,NA,NA
"7",27.1,-27.1,22.9,-22.9,0,NA,NA
"8",32.5,-32.5,17.5,-17.5,0,NA,NA
"9",12.8,-12.8,37.2,-37.2,0,NA,NA
"10",-28.05,28.05,78.05,-78.05,0,NA,NA
"11",19,-19,31,-31,0,NA,NA
"12",-19.95,19.95,69.95,-69.95,0,NA,NA
"13",20.2,-20.2,29.8,-29.8,0,NA,NA
"14",14.2,-14.2,35.8,-35.8,0,NA,NA
"15",10.45,-10.45,39.55,-39.55,0,NA,NA
"16",-26.85,26.85,76.85,-76.85,0,NA,NA
"17",-5.3,5.3,-94.7,94.7,-100,100,2
"18",-27.7,27.7,77.7,-77.7,0,NA,NA
"19",-8.35000000000001,8.34999999999999,58.35,-58.35,0,NA,NA
"20",-43.7,43.7,93.7,-93.7,0,NA,NA
"21",30.3,-30.3,19.7,-19.7,0,NA,NA
"22",-16.4,16.4,66.4,-66.4,0,NA,NA
"23",-21.45,21.45,71.45,-71.45,0,NA,NA
"24",23.65,-23.65,26.35,-26.35,0,NA,NA
"25",-22.8,22.8,72.8,-72.8,0,NA,NA
"26",-31.25,31.25,81.25,-81.25,0,NA,NA
"27",-37.85,37.85,87.85,-87.85,0,NA,NA
"28",30.35,-30.35,19.65,-19.65,0,NA,NA
"29",-37.85,37.85,87.85,-87.85,0,NA,NA
"30",16.85,-16.85,33.15,-33.15,0,NA,NA
"31",27.1,-27.1,22.9,-22.9,0,NA,NA
"32",33.35,-33.35,16.65,-16.65,0,NA,NA
"33",-33,33,83,-83,0,NA,NA
"34",-6.19999999999999,6.19999999999999,-93.8,93.8,-100,100,2
"35",31.6,-31.6,18.4,-18.4,0,NA,NA
"36",29.45,-29.45,20.55,-20.55,0,NA,NA
"37",51.7,-50,-1.69999999999999,0,0,NA,NA
"38",-32.8,32.8,82.8,-82.8,0,NA,NA
"39",69.35,-50,-19.35,0,0,NA,NA
"40",9.5,-9.5,40.5,-40.5,0,NA,NA
"41",-28.9,28.9,78.9,-78.9,0,NA,NA
"42",0.299999999999983,-0.299999999999983,49.7,-49.7,0,NA,NA
"43",-25.8,25.8,75.8,-75.8,0,NA,NA
"44",-24.2,24.2,74.2,-74.2,0,NA,NA
"45",30.2,-30.2,19.8,-19.8,0,NA,NA
"46",-25.55,25.55,75.55,-75.55,0,NA,NA
"47",30.65,-30.65,19.35,-19.35,0,NA,NA
"48",-9.05,9.05,59.05,-59.05,0,NA,NA
"49",-1.15000000000001,1.15000000000001,-98.85,98.85,-100,100,2
"50",-9.15000000000001,9.14999999999999,-90.85,90.85,-100,100,2
"51",30.9,-30.9,19.1,-19.1,0,NA,NA
"52",-28.45,28.45,78.45,-78.45,0,NA,NA
"53",48,-48,2,-2,0,NA,NA
"54",2.25,-2.25,47.75,-47.75,0,NA,NA
"55",-26.55,26.55,76.55,-76.55,0,NA,NA
"56",-28.7,28.7,78.7,-78.7,0,NA,NA
"57",31.3,-31.3,18.7,-18.7,0,NA,NA
"58",23.4,-23.4,26.6,-26.6,0,NA,NA
"59",20.25,-20.25,29.75,-29.75,0,NA,NA
"60",-25.25,25.25,75.25,-75.25,0,NA,NA
"61",18,-18,32,-32,0,NA,NA
"62",1.55000000000001,-1.55000000000001,48.45,-48.45,0,NA,NA
"63",-37.6,37.6,87.6,-87.6,0,NA,NA
"64",-24.35,24.35,74.35,-74.35,0,NA,NA
"65",34,-34,16,-16,0,NA,NA
"66",35.8,-35.8,14.2,-14.2,0,NA,NA
"67",-37.35,37.35,87.35,-87.35,0,NA,NA
"68",4.05,-4.05,45.95,-45.95,0,NA,NA
"69",-30.9,30.9,80.9,-80.9,0,NA,NA
"70",-56.4,56.4,106.4,-106.4,0,NA,NA
"71",16.4,-16.4,33.6,-33.6,0,NA,NA
"72",24.5,-24.5,25.5,-25.5,0,NA,NA
"73",-42.05,42.05,-57.95,57.95,-100,100,2
"74",-16.6,16.6,66.6,-66.6,0,NA,NA
"75",26.4,-26.4,23.6,-23.6,0,NA,NA
"76",16.5,-16.5,33.5,-33.5,0,NA,NA
"77",-33.95,33.95,83.95,-83.95,0,NA,NA
"78",18.25,-18.25,31.75,-31.75,0,NA,NA
"79",-2.65000000000001,2.64999999999999,52.65,-52.65,0,NA,NA
"80",-32.85,32.85,82.85,-82.85,0,NA,NA
"81",0.599999999999994,-0.599999999999994,49.4,-49.4,0,NA,NA
"82",-15.25,15.25,65.25,-65.25,0,NA,NA
"83",5.05,-5.05,44.95,-44.95,0,NA,NA
"84",-20.7,20.7,70.7,-70.7,0,NA,NA
"85",30.75,-30.75,19.25,-19.25,0,NA,NA
"86",40.05,-40.05,9.94999999999999,-9.94999999999999,0,NA,NA
"87",-2.25,2.25,52.25,-52.25,0,NA,NA
"88",5.74999999999999,-5.74999999999999,44.25,-44.25,0,NA,NA
"89",-26.15,26.15,76.15,-76.15,0,NA,NA
"90",-48.85,48.85,98.85,-98.85,0,NA,NA
"91",28.7,-28.7,21.3,-21.3,0,NA,NA
"92",-15.6,15.6,65.6,-65.6,0,NA,NA
"93",-33.85,33.85,83.85,-83.85,0,NA,NA
"94",23.65,-23.65,26.35,-26.35,0,NA,NA
"95",-13.55,13.55,63.55,-63.55,0,NA,NA
"96",0.0499999999999972,-0.0499999999999972,49.95,-49.95,0,NA,NA
"97",45.85,-45.85,4.15000000000001,-4.15000000000001,0,NA,NA
"98",49,-49,1,-1,0,NA,NA
"99",-10.65,10.65,60.65,-60.65,0,NA,NA
"100",-23.8,23.8,73.8,-73.8,0,NA,NA
"101",19.85,-19.85,30.15,-30.15,0,NA,NA
"102",42.1,-42.1,7.90000000000001,-7.90000000000002,0,NA,NA
"103",18.8,-18.8,31.2,-31.2,0,NA,NA
"104",-33.7,33.7,83.7,-83.7,0,NA,NA
"105",33.9,-33.9,16.1,-16.1,0,NA,NA
"106",32.8,-32.8,17.2,-17.2,0,NA,NA
"107",-21.45,21.45,71.45,-71.45,0,NA,NA
"108",-44.8,44.8,-55.2,55.2,-100,100,2
"109",-43.6,43.6,93.6,-93.6,0,NA,NA
"110",33.5,-33.5,16.5,-16.5,0,NA,NA
"111",27.2,-27.2,22.8,-22.8,0,NA,NA
"112",-31.7,31.7,81.7,-81.7,0,NA,NA
"113",26.85,-26.85,23.15,-23.15,0,NA,NA
"114",5.3,-5.3,44.7,-44.7,0,NA,NA
"115",-33.9,33.9,83.9,-83.9,0,NA,NA
"116",31.55,-31.55,18.45,-18.45,0,NA,NA
"117",-25.65,25.65,75.65,-75.65,0,NA,NA
"118",10.2,-10.2,39.8,-39.8,0,NA,NA
"119",-54.35,54.35,104.35,-104.35,0,NA,NA
"120",-23.45,23.45,73.45,-73.45,0,NA,NA
"121",31,-31,19,-19,0,NA,NA
"122",-33.45,33.45,83.45,-83.45,0,NA,NA
"123",18.2,-18.2,31.8,-31.8,0,NA,NA
"124",-22,22,72,-72,0,NA,NA
"125",-30.85,30.85,80.85,-80.85,0,NA,NA
"126",15.3,-15.3,34.7,-34.7,0,NA,NA
"127",39.6,-39.6,10.4,-10.4,0,NA,NA
"128",-14.45,14.45,64.45,-64.45,0,NA,NA
"129",-17.6,17.6,67.6,-67.6,0,NA,NA
"130",-7.05,7.05,57.05,-57.05,0,NA,NA
"131",-31.7,31.7,81.7,-81.7,0,NA,NA
"132",2.59999999999998,-2.59999999999998,47.4,-47.4,0,NA,NA
"133",75.8,-50,-25.8,0,0,NA,NA
"134",-26.65,26.65,76.65,-76.65,0,NA,NA
"135",23.15,-23.15,26.85,-26.85,0,NA,NA
