"","p1_luck","p2_luck","p1_skill","p2_skill","p1_chip","p2_chip","endstate"
"1",29.95,-29.95,20.05,-20.05,0,NA,NA
"2",26.15,-26.15,23.85,-23.85,0,NA,NA
"3",-51.35,51.35,101.35,-101.35,0,NA,NA
"4",-25.85,25.85,75.85,-75.85,0,NA,NA
"5",20.7,-20.7,29.3,-29.3,0,NA,NA
"6",-29.9,29.9,79.9,-79.9,0,NA,NA
"7",-61.5151515151515,61.5151515151515,161.515151515152,-161.515151515152,100,-100,3
"8",-5.34999999999999,5.35000000000001,55.35,-55.35,0,NA,NA
"9",-34.1,34.1,-65.9,65.9,-100,100,2
"10",20.4,-20.4,29.6,-29.6,0,NA,NA
"11",14.15,-14.15,35.85,-35.85,0,NA,NA
"12",16.4,-16.4,33.6,-33.6,0,NA,NA
"13",45.45,-45.45,4.55000000000001,-4.55000000000001,0,NA,NA
"14",-29.8,29.8,79.8,-79.8,0,NA,NA
"15",6.95000000000002,-6.95000000000002,43.05,-43.05,0,NA,NA
"16",5.3,-5.3,44.7,-44.7,0,NA,NA
"17",-26.3,26.3,76.3,-76.3,0,NA,NA
"18",21.35,-21.35,28.65,-28.65,0,NA,NA
"19",51.45,-50,-1.44999999999999,0,0,NA,NA
"20",67.85,-50,-17.85,0,0,NA,NA
"21",-25.8,25.8,75.8,-75.8,0,NA,NA
"22",20.5,-20.5,29.5,-29.5,0,NA,NA
"23",-29.8,29.8,79.8,-79.8,0,NA,NA
"24",-44.6,44.6,94.6,-94.6,0,NA,NA
"25",-0.449999999999989,0.449999999999989,50.45,-50.45,0,NA,NA
"26",-72.2222222222222,72.2222222222222,-27.7777777777778,27.7777777777778,-100,100,4
"27",11.35,-11.35,38.65,-38.65,0,NA,NA
"28",15.35,-15.35,34.65,-34.65,0,NA,NA
"29",18.1,-18.1,31.9,-31.9,0,NA,NA
"30",-35.3,35.3,85.3,-85.3,0,NA,NA
"31",22.1,-22.1,27.9,-27.9,0,NA,NA
"32",7.69999999999999,-7.69999999999999,42.3,-42.3,0,NA,NA
"33",-30.95,30.95,80.95,-80.95,0,NA,NA
"34",29.45,-29.45,20.55,-20.55,0,NA,NA
"35",-26.25,26.25,76.25,-76.25,0,NA,NA
"36",440.606060606061,-440.606060606061,-20440.6060606061,20440.6060606061,-20000,20000,6
"37",29.3,-29.3,20.7,-20.7,0,NA,NA
"38",34,-34,16,-16,0,NA,NA
"39",16.15,-16.15,33.85,-33.85,0,NA,NA
"40",27.8,-27.8,22.2,-22.2,0,NA,NA
"41",33.25,-33.25,16.75,-16.75,0,NA,NA
"42",27.25,-27.25,22.75,-22.75,0,NA,NA
"43",-5.95,5.94999999999999,55.95,-55.95,0,NA,NA
"44",12,-12,38,-38,0,NA,NA
"45",25.25,-25.25,24.75,-24.75,0,NA,NA
"46",130.669191919192,-130.669191919192,-530.669191919192,530.669191919192,-400,400,4
