"","p1_luck","p2_luck","p1_skill","p2_skill","p1_chip","p2_chip","endstate"
"1",-100,100,0,0,-100,100,9
"2",61.4141414141414,-61.4141414141414,38.5858585858586,-38.5858585858586,100,-100,3
"3",-100,100,0,0,-100,100,9
"4",-93.1818181818182,93.1818181818182,-19906.8181818182,19906.8181818182,-20000,20000,6
"5",67.6767676767677,-43.0767676767677,32.3232323232323,-56.9232323232323,100,-100,3
"6",100,-100,0,0,100,-100,7
"7",-99.5959595959596,99.5959595959596,199.59595959596,-199.59595959596,100,-100,3
"8",21.3131313131313,-21.3131313131313,78.6868686868687,-78.6868686868687,100,-100,3
"9",-100,100,0,0,-100,100,9
"10",64.040404040404,-64.040404040404,35.959595959596,-35.959595959596,100,-100,3
"11",100,-100,0,0,100,-100,9
"12",-100,100,0,0,-100,100,9
"13",-100,100,0,0,-100,100,9
"14",-100,100,0,0,-100,100,9
"15",5.32907051820075e-15,-5.32907051820075e-15,100,-100,100,-100,3
"16",-78.3838383838384,78.3838383838384,178.383838383838,-178.383838383838,100,-100,3
"17",-71.5151515151515,71.5151515151515,171.515151515152,-171.515151515152,100,-100,3
"18",100,-100,0,0,100,-100,7
"19",-94.3434343434343,94.3434343434344,-19905.6565656566,19905.6565656566,-20000,20000,4
"20",100,-100,0,0,100,-100,9
"21",-100,100,0,0,-100,100,9
"22",-100,100,200,-200,100,-100,7
"23",98.6868686868687,-98.6868686868687,1.31313131313133,-1.31313131313133,100,-100,3
"24",-100,100,0,0,-100,100,9
"25",48.2828282828283,-48.2828282828283,51.7171717171717,-51.7171717171717,100,-100,3
"26",-100,100,-19900,19900,-20000,20000,6
"27",89.6969696969697,-89.6969696969697,10.3030303030303,-10.3030303030303,100,-100,3
"28",91.8181818181818,-91.8181818181818,8.18181818181818,-8.18181818181818,100,-100,3
"29",-78.1818181818182,78.1818181818182,178.181818181818,-178.181818181818,100,-100,3
"30",-74.3434343434343,74.3434343434343,174.343434343434,-174.343434343434,100,-100,3
"31",3.73737373737373,-3.73737373737372,96.2626262626263,-96.2626262626263,100,-100,3
