"","p1_luck","p2_luck","p1_skill","p2_skill","p1_chip","p2_chip","endstate"
"1",73.1313131313131,-73.1313131313131,26.8686868686869,-26.8686868686869,100,-100,3
"2",-100,100,-100,100,-200,200,9
"3",755.959595959596,-755.959595959596,-20755.9595959596,20755.9595959596,-20000,20000,8
"4",-46.8686868686869,46.8686868686869,-53.1313131313131,53.1313131313131,-100,100,4
"5",-71.3131313131313,71.3131313131313,-28.6868686868687,28.6868686868687,-100,100,4
"6",-69.8989898989899,69.8989898989899,-30.1010101010101,30.1010101010101,-100,100,4
"7",-242.929292929293,242.929292929293,-357.070707070707,357.070707070707,-600,600,9
"8",71.3131313131313,-71.3131313131313,28.6868686868687,-28.6868686868687,100,-100,3
"9",44.5454545454545,-44.5454545454546,-20044.5454545455,20044.5454545455,-20000,20000,4
"10",100,-100,0,0,100,-100,9
"11",54.3434343434343,-54.3434343434343,-20054.3434343434,20054.3434343434,-20000,20000,4
"12",-64.6464646464647,64.6464646464647,-35.3535353535354,35.3535353535354,-100,100,4
"13",74.65,-50,25.35,-50,100,-100,1
"14",100,-100,0,0,100,-100,7
"15",-68.4848484848485,68.4848484848485,-31.5151515151515,31.5151515151515,-100,100,4
"16",-14.2424242424242,14.2424242424243,-285.757575757576,285.757575757576,-300,300,6
"17",-100,100,-19900,19900,-20000,20000,8
"18",-100,100,-200,200,-300,300,9
"19",92.3232323232323,-92.3232323232323,7.67676767676768,-7.67676767676768,100,-100,3
"20",69.6969696969697,-69.6969696969697,30.3030303030303,-30.3030303030303,100,-100,3
"21",-74.4444444444445,74.4444444444445,-19925.5555555556,19925.5555555556,-20000,20000,4
"22",2684.34343434343,-2684.34343434343,14115.6565656566,-14115.6565656566,16800,-16800,9
"23",-59.3939393939394,59.3939393939394,-40.6060606060606,40.6060606060606,-100,100,4
"24",-66.6666666666667,66.6666666666667,-33.3333333333333,33.3333333333333,-100,100,4
"25",-100,100,0,0,-100,100,9
"26",-100,100,-19900,19900,-20000,20000,8
"27",57.979797979798,-57.979797979798,42.020202020202,-42.020202020202,100,-100,3
"28",-53.4343434343434,53.4343434343434,-46.5656565656566,46.5656565656566,-100,100,4
"29",-100,100,-2600,2600,-2700,2700,9
"30",-100,100,-800,800,-900,900,9
"31",172.121212121212,-172.121212121212,4627.87878787879,-4627.87878787879,4800,-4800,9
"32",-122.828282828283,138.128282828283,-19877.1717171717,19861.8717171717,-20000,20000,6
"33",-13.3333333333333,13.3333333333333,-86.6666666666667,86.6666666666667,-100,100,4
"34",-138.989898989899,138.989898989899,-261.010101010101,261.010101010101,-400,400,9
"35",70.15,-50,29.85,-50,100,-100,1
"36",-100,100,-200,200,-300,300,9
"37",100,-100,0,0,100,-100,9
"38",97.8787878787879,-59.0787878787879,2.12121212121212,-40.9212121212121,100,-100,3
"39",-102.424242424242,102.424242424242,-19897.5757575758,19897.5757575758,-20000,20000,6
"40",-100,100,-200,200,-300,300,9
"41",44.2424242424242,-44.2424242424242,55.7575757575758,-55.7575757575758,100,-100,3
"42",100,-100,900,-900,1000,-1000,9
"43",138.383838383838,-138.383838383838,461.616161616162,-461.616161616162,600,-600,9
"44",-100,100,-200,200,-300,300,9
"45",-100,100,0,0,-100,100,9
"46",-100,100,0,0,-100,100,9
"47",88.6868686868687,-88.6868686868687,11.3131313131313,-11.3131313131313,100,-100,3
"48",-154.545454545455,154.545454545455,-19845.4545454545,19845.4545454545,-20000,20000,8
"49",-54.3434343434343,54.3434343434343,-19945.6565656566,19945.6565656566,-20000,20000,4
"50",86.6666666666667,-86.6666666666667,13.3333333333333,-13.3333333333333,100,-100,3
"51",-100,100,0,0,-100,100,6
"52",-93.7373737373737,93.7373737373737,-6.26262626262626,6.26262626262626,-100,100,4
"53",100,-100,0,0,100,-100,9
"54",-1193.33333333333,1193.33333333333,-10506.6666666667,10506.6666666667,-11700,11700,9
"55",34.5454545454545,-34.5454545454545,-20034.5454545455,20034.5454545455,-20000,20000,8
"56",-100,100,0,0,-100,100,9
"57",-187.272727272727,187.272727272727,-112.727272727273,112.727272727273,-300,300,9
"58",-100,100,0,0,-100,100,9
"59",89.9494949494949,-89.9494949494951,-20089.9494949495,20089.9494949495,-20000,20000,6
"60",-100,100,-200,200,-300,300,9
"61",-64.8484848484848,64.8484848484848,-35.1515151515152,35.1515151515152,-100,100,4
"62",-53.7373737373737,53.7373737373737,-46.2626262626263,46.2626262626263,-100,100,4
"63",92.020202020202,-64.170202020202,7.97979797979798,-35.829797979798,100,-100,3
"64",-100,100,-800,800,-900,900,9
"65",-35.4,35.4,-64.6,64.6,-100,100,2
"66",37.05,-37.05,62.95,-62.95,100,-100,1
"67",100,-100,200,-200,300,-300,9
"68",102.424242424242,-102.424242424242,2597.57575757576,-2597.57575757576,2700,-2700,9
"69",-115.454545454545,115.454545454545,-184.545454545455,184.545454545455,-300,300,6
"70",109.69696969697,-109.69696969697,4690.30303030303,-4690.30303030303,4800,-4800,9
"71",100,-100,0,0,100,-100,5
"72",-89.5959595959596,89.5959595959596,-10.4040404040404,10.4040404040404,-100,100,4
"73",-39.1414141414145,39.1414141414145,1139.14141414141,-1139.14141414141,1100,-1100,5
"74",-24.55,24.55,-75.45,75.45,-100,100,2
"75",-44.2424242424242,44.2424242424242,-55.7575757575758,55.7575757575758,-100,100,4
"76",43.4343434343434,-43.4343434343435,-20043.4343434343,20043.4343434343,-20000,20000,4
"77",100,-100,0,0,100,-100,9
"78",88.5858585858586,-88.5858585858586,11.4141414141414,-11.4141414141414,100,-100,3
"79",84.1414141414141,-84.1414141414141,15.8585858585859,-15.8585858585859,100,-100,3
"80",928.484848484848,-928.484848484848,8179.51515151515,-8179.51515151515,9108,-9108,9
"81",64.4444444444444,-64.4444444444444,35.5555555555556,-35.5555555555556,100,-100,3
"82",-157.171717171717,157.171717171717,-442.828282828283,442.828282828283,-600,600,9
"83",86.0606060606061,-86.0606060606061,13.9393939393939,-13.9393939393939,100,-100,3
"84",100,-100,0,0,100,-100,9
"85",200.606060606061,-200.606060606061,-20200.6060606061,20200.6060606061,-20000,20000,8
"86",-59.5959595959596,59.5959595959596,-19940.404040404,19940.404040404,-20000,20000,4
"87",-71.3131313131313,71.3131313131313,-28.6868686868687,28.6868686868687,-100,100,4
"88",100,-100,0,0,100,-100,9
"89",-27.85,27.85,-72.15,72.15,-100,100,2
"90",177.171717171717,-177.171717171717,122.828282828283,-122.828282828283,300,-300,9
"91",91.3131313131313,-70.1131313131313,8.6868686868687,-29.8868686868687,100,-100,3
"92",-90.5050505050505,90.5050505050505,-9.49494949494949,9.49494949494949,-100,100,4
"93",45.5555555555555,-45.5555555555556,54.4444444444444,-54.4444444444444,100,-100,3
"94",83.2323232323232,-83.2323232323232,-20083.2323232323,20083.2323232323,-20000,20000,4
"95",100,-100,-20100,20100,-20000,20000,8
"96",100,-100,0,0,100,-100,9
"97",17.8787878787879,-17.8787878787879,182.121212121212,-182.121212121212,200,-200,5
"98",-168.290909090909,168.290909090909,-19831.7090909091,19831.7090909091,-20000,20000,6
"99",-45.8585858585859,45.8585858585859,-54.1414141414141,54.1414141414141,-100,100,4
"100",-100,100,0,0,-100,100,9
"101",100,-100,-200,200,-100,100,8
"102",100,-100,0,0,100,-100,9
"103",90.5050505050505,-90.5050505050505,9.49494949494949,-9.49494949494949,100,-100,3
"104",42.4242424242424,-42.4242424242424,-20042.4242424242,20042.4242424242,-20000,20000,4
"105",44.040404040404,-44.040404040404,-20044.0404040404,20044.0404040404,-20000,20000,4
"106",65.8585858585859,-65.8585858585859,34.1414141414141,-34.1414141414141,100,-100,3
"107",-50.7070707070707,50.7070707070707,-49.2929292929293,49.2929292929293,-100,100,4
"108",-94.1414141414141,94.1414141414141,-5.85858585858585,5.85858585858585,-100,100,4
"109",182.525252525253,-182.525252525253,17.4747474747475,-17.4747474747475,200,-200,9
"110",-100,100,0,0,-100,100,9
"111",100,-100,200,-200,300,-300,9
"112",-89.6969696969697,89.6969696969697,-10.3030303030303,10.3030303030303,-100,100,4
"113",-13.3333333333333,13.3333333333333,-286.666666666667,286.666666666667,-300,300,6
"114",-2.66453525910038e-15,2.66453525910038e-15,0,0,-2.66453525910038e-15,2.66453525910038e-15,9
"115",-3417.16363636364,3417.16363636364,-16582.8363636364,16582.8363636364,-20000,20000,6
"116",468.888888888889,-468.888888888889,-20468.8888888889,20468.8888888889,-20000,20000,8
"117",-1688.13939393939,1688.13939393939,-1728.86060606061,1728.86060606061,-3417,3417,9
"118",100,-100,0,0,100,-100,9
"119",3166.26262626263,-3166.26262626263,4522.73737373737,-4522.73737373737,7689,-7689,9
"120",-247.272727272727,247.272727272727,-2452.72727272727,2452.72727272727,-2700,2700,9
"121",-51.010101010101,51.010101010101,-19948.9898989899,19948.9898989899,-20000,20000,4
"122",-100,100,0,0,-100,100,9
"123",100,-100,0,0,100,-100,9
"124",387.936363636364,-387.936363636364,-20387.9363636364,20387.9363636364,-20000,20000,6
"125",-64.2424242424242,64.2424242424242,-35.7575757575758,35.7575757575758,-100,100,4
"126",1464,-1464,5370,-5370,6834,-6834,9
"127",100,-100,0,0,100,-100,9
"128",-100,100,0,0,-100,100,9
"129",87.5757575757576,-87.5757575757576,-20087.5757575758,20087.5757575758,-20000,20000,6
"130",-40.4,40.4,-59.6,59.6,-100,100,2
"131",100,-100,0,0,100,-100,9
"132",-100,100,0,0,-100,100,9
"133",-33.3333333333333,33.3333333333333,-66.6666666666667,66.6666666666667,-100,100,4
"134",740.7,-740.7,3816.3,-3816.3,4557,-4557,9
"135",-256.161616161616,256.161616161616,56.1616161616162,-56.1616161616162,-200,200,9
"136",100,-100,0,0,100,-100,7
"137",-64.6464646464647,64.6464646464646,-35.3535353535354,35.3535353535354,-100,100,4
"138",100,-100,-20100,20100,-20000,20000,8
"139",100,-100,100,-100,200,-200,9
"140",100,-100,200,-200,300,-300,9
"141",5.65656565656564,-5.65656565656564,94.3434343434344,-94.3434343434344,100,-100,3
"142",-100,100,0,0,-100,100,9
"143",87.8787878787879,-87.8787878787879,12.1212121212121,-12.1212121212121,100,-100,3
"144",-68.0808080808081,68.0808080808081,-31.9191919191919,31.9191919191919,-100,100,4
"145",-1250.18383838384,1250.18383838384,-18749.8161616162,18749.8161616162,-20000,20000,6
"146",95.5555555555555,-71.2055555555555,4.44444444444445,-28.7944444444445,100,-100,3
"147",-86.5656565656566,86.5656565656566,-13.4343434343434,13.4343434343434,-100,100,4
"148",6255.88080808081,-6255.88080808081,5278.11919191919,-5278.11919191919,11534,-11534,9
"149",-100,100,-300,300,-400,400,8
"150",-94.5454545454545,94.5454545454546,-5.45454545454545,5.45454545454545,-100,100,4
"151",100,-100,0,0,100,-100,9
"152",189.89898989899,-189.89898989899,10.1010101010101,-10.1010101010101,200,-200,9
"153",65.8585858585859,-65.8585858585859,34.1414141414141,-34.1414141414141,100,-100,3
"154",128.888888888889,-128.888888888889,71.1111111111111,-71.1111111111111,200,-200,9
"155",-69.3939393939394,69.3939393939394,-19930.6060606061,19930.6060606061,-20000,20000,4
"156",0,0,0,0,0,0,9
"157",-363.686868686869,363.686868686869,-19636.3131313131,19636.3131313131,-20000,20000,8
"158",100,-100,0,0,100,-100,9
