"","p1_luck","p2_luck","p1_skill","p2_skill","p1_chip","p2_chip","endstate"
"1",-22.35,22.35,72.35,-72.35,50,-50,0
"2",0,0,-100,100,-100,100,2
"3",31.3,-31.3,18.7,-18.7,50,-50,0
"4",27.85,-27.85,22.15,-22.15,50,-50,0
"5",-25.05,25.05,75.05,-75.05,50,-50,0
"6",38.8,-38.8,11.2,-11.2,50,-50,0
"7",12.7,-12.7,37.3,-37.3,50,-50,0
"8",31.15,-31.15,18.85,-18.85,50,-50,0
"9",-6.3,6.3,56.3,-56.3,50,-50,0
"10",34.45,-34.45,15.55,-15.55,50,-50,0
"11",-15.95,15.95,65.95,-65.95,50,-50,0
"12",-35.3,35.3,85.3,-85.3,50,-50,0
"13",13.4,-13.4,36.6,-36.6,50,-50,0
"14",-25.05,25.05,75.05,-75.05,50,-50,0
"15",46.2,-46.2,3.80000000000001,-3.8,50,-50,0
"16",12.35,-12.35,37.65,-37.65,50,-50,0
"17",-8.15000000000001,8.15000000000001,58.15,-58.15,50,-50,0
"18",33.55,-33.55,16.45,-16.45,50,-50,0
"19",50.35,-50,-0.349999999999994,0,50,-50,0
"20",-34.85,34.85,84.85,-84.85,50,-50,0
"21",-34.8,34.8,84.8,-84.8,50,-50,0
"22",-47.35,47.35,97.35,-97.35,50,-50,0
"23",32.2,-32.2,17.8,-17.8,50,-50,0
"24",-25,25,75,-75,50,-50,0
"25",15.55,-15.55,34.45,-34.45,50,-50,0
"26",0,0,-100,100,-100,100,2
"27",-29.7,29.7,79.7,-79.7,50,-50,0
"28",21.1,-21.1,28.9,-28.9,50,-50,0
"29",16.2,-16.2,33.8,-33.8,50,-50,0
"30",-4.10000000000001,4.09999999999999,54.1,-54.1,50,-50,0
"31",26.3,-26.3,23.7,-23.7,50,-50,0
"32",32.65,-32.65,17.35,-17.35,50,-50,0
"33",21.45,-21.45,28.55,-28.55,50,-50,0
"34",29.55,-29.55,20.45,-20.45,50,-50,0
"35",29.6,-29.6,20.4,-20.4,50,-50,0
"36",19.2,-19.2,30.8,-30.8,50,-50,0
"37",27.05,-27.05,22.95,-22.95,50,-50,0
"38",0,0,-100,100,-100,100,2
"39",34.65,-34.65,15.35,-15.35,50,-50,0
"40",-27.5,27.5,77.5,-77.5,50,-50,0
"41",-31.95,31.95,81.95,-81.95,50,-50,0
"42",31.85,-31.85,18.15,-18.15,50,-50,0
"43",6.09999999999999,-6.09999999999999,43.9,-43.9,50,-50,0
"44",-37.35,37.35,87.35,-87.35,50,-50,0
"45",-3.2,3.2,53.2,-53.2,50,-50,0
"46",-51.55,51.55,101.55,-101.55,50,-50,0
"47",-14.15,14.15,64.15,-64.15,50,-50,0
"48",32.35,-32.35,17.65,-17.65,50,-50,0
"49",26.55,-26.55,23.45,-23.45,50,-50,0
"50",28.85,-28.85,21.15,-21.15,50,-50,0
"51",28.7,-28.7,21.3,-21.3,50,-50,0
"52",-12.6,12.6,62.6,-62.6,50,-50,0
"53",-32.45,32.45,82.45,-82.45,50,-50,0
"54",43.3,-43.3,6.69999999999999,-6.7,50,-50,0
"55",31.85,-31.85,18.15,-18.15,50,-50,0
"56",-33.45,33.45,83.45,-83.45,50,-50,0
