"","p1_luck","p2_luck","p1_skill","p2_skill","p1_chip","p2_chip","endstate"
"1",-93.1848484848485,93.1848484848485,-6.81515151515153,6.81515151515151,-100,100,4
"2",37.3,-37.3,12.7,-12.7,50,-50,0
"3",28.65,-28.65,21.35,-21.35,50,-50,0
"4",20.15,-20.15,29.85,-29.85,50,-50,0
"5",31.1,-31.1,18.9,-18.9,50,-50,0
"6",-115.2,115.2,215.2,-215.2,100,-100,7
"7",68.35,-50,-18.35,0,50,-50,0
"8",46.7,-46.7,3.30000000000001,-3.30000000000001,50,-50,0
"9",84.3979797979798,-84.3979797979798,15.6020202020202,-15.6020202020202,100,-100,3
"10",-24.35,24.35,74.35,-74.35,50,-50,0
"11",-2.60000000000001,2.60000000000001,52.6,-52.6,50,-50,0
"12",-12.35,12.35,62.35,-62.35,50,-50,0
"13",28.9,-28.9,21.1,-21.1,50,-50,0
"14",39.7,-39.7,10.3,-10.3,50,-50,0
"15",-24.65,24.65,74.65,-74.65,50,-50,0
"16",29.6,-29.6,20.4,-20.4,50,-50,0
"17",3.40000000000001,-3.40000000000001,46.6,-46.6,50,-50,0
"18",68.95,-50,-18.95,0,50,-50,0
"19",34.05,-34.05,15.95,-15.95,50,-50,0
"20",39.8,-39.8,10.2,-10.2,50,-50,0
"21",126.841919191919,-126.841919191919,-26.8419191919192,26.8419191919192,100,-100,3
"22",-23.45,23.45,73.45,-73.45,50,-50,0
"23",-37.45,37.45,87.45,-87.45,50,-50,0
"24",-10.15,10.15,60.15,-60.15,50,-50,0
"25",24.95,-24.95,25.05,-25.05,50,-50,0
"26",-13.35,13.35,63.35,-63.35,50,-50,0
"27",-24.35,24.35,74.35,-74.35,50,-50,0
"28",9.25,-9.25,40.75,-40.75,50,-50,0
"29",-36.3272727272727,36.3272727272727,-63.6727272727273,63.6727272727273,-100,100,4
"30",25.55,-25.55,24.45,-24.45,50,-50,0
"31",39.25,-39.25,10.75,-10.75,50,-50,0
"32",-41.6,41.6,91.6,-91.6,50,-50,0
"33",-14.3,14.3,64.3,-64.3,50,-50,0
"34",-12.3,12.3,62.3,-62.3,50,-50,0
"35",-17.75,17.75,67.75,-67.75,50,-50,0
"36",43.5,-43.5,6.5,-6.49999999999999,50,-50,0
"37",33.85,-33.85,16.15,-16.15,50,-50,0
"38",-27.4,27.4,77.4,-77.4,50,-50,0
"39",-32.6,32.6,82.6,-82.6,50,-50,0
"40",15.05,-15.05,34.95,-34.95,50,-50,0
"41",27.7,-27.7,22.3,-22.3,50,-50,0
"42",-25.25,25.25,75.25,-75.25,50,-50,0
"43",-24.9,24.9,74.9,-74.9,50,-50,0
"44",31.1,-31.1,18.9,-18.9,50,-50,0
"45",8.85000000000001,-8.85000000000001,41.15,-41.15,50,-50,0
"46",7.74999999999999,-7.74999999999999,42.25,-42.25,50,-50,0
"47",-47.3,47.3,97.3,-97.3,50,-50,0
"48",32.9,-32.9,17.1,-17.1,50,-50,0
"49",21.55,-21.55,28.45,-28.45,50,-50,0
"50",43.45,-43.45,6.55000000000001,-6.55000000000001,50,-50,0
"51",29.9,-29.9,20.1,-20.1,50,-50,0
"52",-16.05,16.05,66.05,-66.05,50,-50,0
"53",43.6,-43.6,6.40000000000001,-6.40000000000001,50,-50,0
"54",-0.0999999999999943,0.0999999999999943,50.1,-50.1,50,-50,0
"55",-34.3,34.3,84.3,-84.3,50,-50,0
"56",-55.35,55.35,-44.65,44.65,-100,100,9
"57",12.4,-12.4,37.6,-37.6,50,-50,0
"58",25.15,-25.15,24.85,-24.85,50,-50,0
"59",185.393434343434,-185.393434343434,14.6065656565656,-14.6065656565657,200,-200,9
"60",-15.8,15.8,65.8,-65.8,50,-50,0
"61",-33.3,33.3,83.3,-83.3,50,-50,0
"62",-11.6,11.6,61.6,-61.6,50,-50,0
"63",-13.35,13.35,63.35,-63.35,50,-50,0
"64",-29,29,79,-79,50,-50,0
"65",-19.35,19.35,69.35,-69.35,50,-50,0
"66",40.65,-40.65,9.34999999999999,-9.34999999999999,50,-50,0
"67",-18.8,18.8,68.8,-68.8,50,-50,0
"68",86.940404040404,-86.940404040404,13.0595959595959,-13.059595959596,100,-100,3
"69",18.8,-18.8,31.2,-31.2,50,-50,0
"70",27.6,-27.6,22.4,-22.4,50,-50,0
"71",24.75,-24.75,25.25,-25.25,50,-50,0
"72",-32.15,32.15,82.15,-82.15,50,-50,0
"73",-3.99999999999999,4,54,-54,50,-50,0
"74",-108.971212121212,108.971212121212,-19891.0287878788,19891.0287878788,-20000,20000,6
"75",32.05,-32.05,17.95,-17.95,50,-50,0
"76",44.7,-44.7,5.29999999999998,-5.3,50,-50,0
"77",-11.3,11.3,61.3,-61.3,50,-50,0
"78",19.65,-19.65,30.35,-30.35,50,-50,0
"79",47.65,-47.65,2.34999999999999,-2.35000000000001,50,-50,0
"80",-15.9,15.9,65.9,-65.9,50,-50,0
"81",48.85,-48.85,1.15000000000001,-1.15000000000001,50,-50,0
"82",31.5,-31.5,18.5,-18.5,50,-50,0
"83",-16.3,16.3,66.3,-66.3,50,-50,0
"84",31.85,-31.85,18.15,-18.15,50,-50,0
"85",86.5,-50,-36.5,0,50,-50,0
"86",-7.5,7.5,57.5,-57.5,50,-50,0
"87",4.45,-4.45,45.55,-45.55,50,-50,0
"88",31.85,-31.85,18.15,-18.15,50,-50,0
"89",30.1,-30.1,19.9,-19.9,50,-50,0
"90",-12.3050505050505,12.3050505050505,-87.6949494949495,87.6949494949495,-100,100,4
"91",45.9,-45.9,4.09999999999999,-4.09999999999999,50,-50,0
"92",40.7,-40.7,9.30000000000001,-9.30000000000002,50,-50,0
"93",42.7,-42.7,7.29999999999998,-7.3,50,-50,0
"94",0,0,-100,100,-100,100,2
"95",12.15,-12.15,37.85,-37.85,50,-50,0
"96",-28.6,28.6,78.6,-78.6,50,-50,0
"97",23.35,-23.35,26.65,-26.65,50,-50,0
"98",-23.2,23.2,73.2,-73.2,50,-50,0
"99",45.05,-45.05,4.95000000000002,-4.95000000000001,50,-50,0
"100",-26.05,26.05,76.05,-76.05,50,-50,0
"101",54.25,-50,-4.25,0,50,-50,0
"102",0,0,-100,100,-100,100,2
"103",-29.5,29.5,79.5,-79.5,50,-50,0
"104",-22.55,22.55,72.55,-72.55,50,-50,0
"105",29.3,-29.3,20.7,-20.7,50,-50,0
"106",11.45,-11.45,38.55,-38.55,50,-50,0
"107",35.65,-35.65,14.35,-14.35,50,-50,0
"108",20.7,-20.7,29.3,-29.3,50,-50,0
"109",1.35000000000001,-1.35000000000001,48.65,-48.65,50,-50,0
"110",-32.2,32.2,82.2,-82.2,50,-50,0
"111",-4.90000000000001,4.89999999999999,54.9,-54.9,50,-50,0
"112",17.8,-17.8,32.2,-32.2,50,-50,0
"113",34.95,-34.95,15.05,-15.05,50,-50,0
"114",-30.25,30.25,80.25,-80.25,50,-50,0
"115",34.75,-34.75,15.25,-15.25,50,-50,0
"116",-23.15,23.15,73.15,-73.15,50,-50,0
"117",-48.1,48.1,98.1,-98.1,50,-50,0
"118",14.85,-14.85,35.15,-35.15,50,-50,0
"119",-29.4,29.4,79.4,-79.4,50,-50,0
"120",26.9,-26.9,23.1,-23.1,50,-50,0
"121",-11.85,11.85,61.85,-61.85,50,-50,0
"122",-83.369696969697,83.369696969697,-16.630303030303,16.630303030303,-100,100,4
"123",85.6121212121212,-85.6121212121212,14.3878787878788,-14.3878787878788,100,-100,3
"124",44.15,-44.15,5.84999999999999,-5.85,50,-50,0
"125",20.8,-20.8,29.2,-29.2,50,-50,0
"126",33.6,-33.6,16.4,-16.4,50,-50,0
"127",-37.7,37.7,87.7,-87.7,50,-50,0
"128",29.65,-29.65,20.35,-20.35,50,-50,0
"129",-6.75,6.74999999999999,56.75,-56.75,50,-50,0
"130",-24.2,24.2,74.2,-74.2,50,-50,0
"131",-28.7,28.7,78.7,-78.7,50,-50,0
"132",-35.5,35.5,85.5,-85.5,50,-50,0
"133",46.15,-46.15,3.84999999999999,-3.84999999999999,50,-50,0
"134",-66.45,66.45,-19933.55,19933.55,-20000,20000,6
"135",-23.75,23.75,73.75,-73.75,50,-50,0
"136",25.6,-25.6,24.4,-24.4,50,-50,0
"137",30.7,-30.7,19.3,-19.3,50,-50,0
"138",105.65,-105.65,-5.65000000000001,5.65000000000001,100,-100,9
"139",0,0,-100,100,-100,100,2
"140",41.8,-41.8,8.20000000000002,-8.20000000000001,50,-50,0
"141",21.3,-21.3,28.7,-28.7,50,-50,0
"142",-21.7,21.7,71.7,-71.7,50,-50,0
"143",-3.75000000000001,3.75000000000001,53.75,-53.75,50,-50,0
"144",12.2,-12.2,37.8,-37.8,50,-50,0
"145",16.75,-16.75,33.25,-33.25,50,-50,0
"146",6.39999999999998,-6.39999999999998,43.6,-43.6,50,-50,0
"147",-12.5853535353535,12.5853535353535,212.585353535354,-212.585353535354,200,-200,3
"148",4.39999999999998,-4.39999999999998,45.6,-45.6,50,-50,0
"149",-20.5,20.5,70.5,-70.5,50,-50,0
"150",133.1,-133.1,-33.1,33.1,100,-100,7
"151",-27.8,27.8,77.8,-77.8,50,-50,0
"152",-26.55,26.55,76.55,-76.55,50,-50,0
"153",23.6,-23.6,26.4,-26.4,50,-50,0
"154",-19.5,19.5,69.5,-69.5,50,-50,0
"155",-45.25,45.25,95.25,-95.25,50,-50,0
"156",42.3,-42.3,7.70000000000002,-7.70000000000002,50,-50,0
"157",0.25,-0.25,49.75,-49.75,50,-50,0
"158",17.45,-17.45,32.55,-32.55,50,-50,0
"159",32.2,-32.2,17.8,-17.8,50,-50,0
"160",8.65000000000001,-8.65000000000001,41.35,-41.35,50,-50,0
"161",-20.15,20.15,70.15,-70.15,50,-50,0
