"","p1_luck","p2_luck","p1_skill","p2_skill","p1_chip","p2_chip","endstate"
"1",-50.35,50.35,100.35,-100.35,50,-50,0
"2",-38.55,38.55,88.55,-88.55,50,-50,0
"3",-24.15,24.15,74.15,-74.15,50,-50,0
"4",-21.9,21.9,71.9,-71.9,50,-50,0
"5",-24.35,24.35,74.35,-74.35,50,-50,0
"6",-26.95,26.95,76.95,-76.95,50,-50,0
"7",51.6,-50,-1.59999999999999,0,50,-50,0
"8",-17.75,17.75,67.75,-67.75,50,-50,0
"9",-32.45,32.45,82.45,-82.45,50,-50,0
"10",26.2,-26.2,23.8,-23.8,50,-50,0
"11",12.15,-12.15,37.85,-37.85,50,-50,0
"12",-22.55,22.55,72.55,-72.55,50,-50,0
"13",60.55,-50,-10.55,0,50,-50,0
"14",-33.15,33.15,83.15,-83.15,50,-50,0
"15",-29.85,29.85,79.85,-79.85,50,-50,0
"16",-48.9,48.9,98.9,-98.9,50,-50,0
"17",78.55,-50,-28.55,0,50,-50,0
"18",65.05,-50,-15.05,0,50,-50,0
"19",0,0,-20000,20000,-20000,20000,2
"20",46.4,-46.4,3.59999999999999,-3.6,50,-50,0
"21",-7.84999999999999,7.84999999999999,57.85,-57.85,50,-50,0
"22",-27.7,27.7,77.7,-77.7,50,-50,0
"23",28.45,-28.45,21.55,-21.55,50,-50,0
"24",-43.35,43.35,93.35,-93.35,50,-50,0
"25",31.15,-31.15,18.85,-18.85,50,-50,0
"26",-28.15,28.15,78.15,-78.15,50,-50,0
"27",0,0,-100,100,-100,100,2
"28",-3.05000000000001,3.05,53.05,-53.05,50,-50,0
"29",-48.45,48.45,98.45,-98.45,50,-50,0
"30",-40,40,90,-90,50,-50,0
"31",-36.3,36.3,86.3,-86.3,50,-50,0
"32",0,0,-100,100,-100,100,2
"33",33.3,-33.3,16.7,-16.7,50,-50,0
"34",0,0,-100,100,-100,100,2
"35",-23.1,23.1,73.1,-73.1,50,-50,0
"36",-17.55,17.55,67.55,-67.55,50,-50,0
"37",28.05,-28.05,21.95,-21.95,50,-50,0
"38",-21.4,21.4,71.4,-71.4,50,-50,0
"39",-17.55,17.55,67.55,-67.55,50,-50,0
"40",3.09999999999999,-3.09999999999999,46.9,-46.9,50,-50,0
"41",14.15,-14.15,35.85,-35.85,50,-50,0
"42",-29.95,29.95,79.95,-79.95,50,-50,0
"43",-30.1,30.1,80.1,-80.1,50,-50,0
"44",31.7,-31.7,18.3,-18.3,50,-50,0
"45",14.25,-14.25,35.75,-35.75,50,-50,0
"46",-27.1,27.1,77.1,-77.1,50,-50,0
"47",76.65,-50,-26.65,0,50,-50,0
"48",31.1,-31.1,18.9,-18.9,50,-50,0
"49",23.75,-23.75,26.25,-26.25,50,-50,0
"50",-31.9,31.9,81.9,-81.9,50,-50,0
"51",-15.95,15.95,65.95,-65.95,50,-50,0
"52",-18.65,18.65,68.65,-68.65,50,-50,0
"53",24.7,-24.7,25.3,-25.3,50,-50,0
"54",-40.1,40.1,90.1,-90.1,50,-50,0
"55",6.25,-6.25,43.75,-43.75,50,-50,0
"56",0,0,-100,100,-100,100,2
"57",-40.1,40.1,90.1,-90.1,50,-50,0
"58",-44,44,94,-94,50,-50,0
"59",-39,39,89,-89,50,-50,0
"60",24.8,-24.8,25.2,-25.2,50,-50,0
"61",-11.6,11.6,61.6,-61.6,50,-50,0
"62",4.5,-4.5,45.5,-45.5,50,-50,0
"63",-38.45,38.45,88.45,-88.45,50,-50,0
"64",35.1,-35.1,14.9,-14.9,50,-50,0
"65",-8.35000000000001,8.34999999999999,58.35,-58.35,50,-50,0
"66",-23.7,23.7,73.7,-73.7,50,-50,0
"67",-18.75,18.75,68.75,-68.75,50,-50,0
"68",-35.8,35.8,85.8,-85.8,50,-50,0
"69",-19,19,69,-69,50,-50,0
"70",23.85,-23.85,26.15,-26.15,50,-50,0
"71",22.35,-22.35,27.65,-27.65,50,-50,0
"72",40.85,-40.85,9.15000000000001,-9.15000000000001,50,-50,0
"73",-8.59999999999999,8.59999999999998,58.6,-58.6,50,-50,0
"74",-6.84999999999999,6.84999999999999,56.85,-56.85,50,-50,0
"75",-39.25,39.25,89.25,-89.25,50,-50,0
"76",24.55,-24.55,25.45,-25.45,50,-50,0
"77",-13.05,13.05,63.05,-63.05,50,-50,0
"78",-27.35,27.35,77.35,-77.35,50,-50,0
"79",-34,34,84,-84,50,-50,0
"80",-33.6,33.6,83.6,-83.6,50,-50,0
"81",-28.1,28.1,78.1,-78.1,50,-50,0
"82",-31.3,31.3,81.3,-81.3,50,-50,0
"83",-44.65,44.65,94.65,-94.65,50,-50,0
"84",-18.5,18.5,68.5,-68.5,50,-50,0
"85",31.95,-31.95,18.05,-18.05,50,-50,0
"86",-22.25,22.25,72.25,-72.25,50,-50,0
"87",-20.6,20.6,70.6,-70.6,50,-50,0
"88",30.2,-30.2,19.8,-19.8,50,-50,0
"89",-21.7,21.7,71.7,-71.7,50,-50,0
"90",14.95,-14.95,35.05,-35.05,50,-50,0
"91",25.65,-25.65,24.35,-24.35,50,-50,0
"92",-28.5,28.5,78.5,-78.5,50,-50,0
"93",-30.25,30.25,80.25,-80.25,50,-50,0
"94",16.7,-16.7,33.3,-33.3,50,-50,0
"95",15.35,-15.35,34.65,-34.65,50,-50,0
"96",-13.5,13.5,63.5,-63.5,50,-50,0
"97",40.35,-40.35,9.64999999999998,-9.64999999999998,50,-50,0
"98",-31.25,31.25,81.25,-81.25,50,-50,0
"99",41.25,-41.25,8.75,-8.75000000000001,50,-50,0
"100",-35.4,35.4,85.4,-85.4,50,-50,0
"101",27.75,-27.75,22.25,-22.25,50,-50,0
"102",12.5,-12.5,37.5,-37.5,50,-50,0
"103",31.95,-31.95,18.05,-18.05,50,-50,0
"104",22.1,-22.1,27.9,-27.9,50,-50,0
"105",70.85,-50,-20.85,0,50,-50,0
"106",-46,46,96,-96,50,-50,0
"107",-23.85,23.85,73.85,-73.85,50,-50,0
"108",19.95,-19.95,30.05,-30.05,50,-50,0
"109",18.85,-18.85,31.15,-31.15,50,-50,0
"110",-5,4.99999999999999,55,-55,50,-50,0
"111",-16.65,16.65,66.65,-66.65,50,-50,0
