"","p1_luck","p2_luck","p1_skill","p2_skill","p1_chip","p2_chip","endstate"
"1",-13.1,13.1,63.1,-63.1,50,-50,0
"2",32.85,-32.85,17.15,-17.15,50,-50,0
"3",35.15,-35.15,14.85,-14.85,50,-50,0
"4",137.15,-137.15,-37.15,37.15,100,-100,9
"5",45.75,-45.75,4.25,-4.25,50,-50,0
"6",22.85,-22.85,27.15,-27.15,50,-50,0
"7",0,0,-100,100,-100,100,2
"8",-41.0621212121212,41.0621212121212,-58.9378787878788,58.9378787878788,-100,100,4
"9",-69.8954545454545,69.8954545454545,-30.1045454545455,30.1045454545455,-100,100,4
"10",4.3,-4.3,45.7,-45.7,50,-50,0
"11",75.2,-50,-25.2,0,50,-50,0
"12",-30.5,30.5,80.5,-80.5,50,-50,0
"13",-31.75,31.75,81.75,-81.75,50,-50,0
"14",-20.65,20.65,70.65,-70.65,50,-50,0
"15",20,-20,30,-30,50,-50,0
"16",-26.55,26.55,76.55,-76.55,50,-50,0
"17",-72.6459595959596,72.6459595959596,-27.3540404040404,27.3540404040404,-100,100,4
"18",-17.2,17.2,67.2,-67.2,50,-50,0
"19",6.45,-6.45,43.55,-43.55,50,-50,0
"20",17.1,-17.1,32.9,-32.9,50,-50,0
"21",10.35,-10.35,39.65,-39.65,50,-50,0
"22",5.45,-5.45,44.55,-44.55,50,-50,0
"23",52.4,-50,-2.40000000000001,0,50,-50,0
"24",34.55,-34.55,15.45,-15.45,50,-50,0
"25",-30.55,30.55,80.55,-80.55,50,-50,0
"26",-35.65,35.65,85.65,-85.65,50,-50,0
"27",-62.5727272727273,62.5727272727273,-37.4272727272727,37.4272727272727,-100,100,4
"28",-32.65,32.65,82.65,-82.65,50,-50,0
"29",13.45,-13.45,36.55,-36.55,50,-50,0
"30",35.85,-35.85,14.15,-14.15,50,-50,0
"31",20.05,-20.05,29.95,-29.95,50,-50,0
"32",-18.6,18.6,68.6,-68.6,50,-50,0
"33",37.7,-37.7,12.3,-12.3,50,-50,0
"34",127.4,-127.4,-27.4,27.4,100,-100,9
"35",19.75,-19.75,30.25,-30.25,50,-50,0
"36",18.65,-18.65,31.35,-31.35,50,-50,0
"37",7.09999999999999,-7.09999999999999,42.9,-42.9,50,-50,0
"38",-25.1,25.1,75.1,-75.1,50,-50,0
"39",28.45,-28.45,21.55,-21.55,50,-50,0
"40",12.15,-12.15,37.85,-37.85,50,-50,0
"41",-20.5,20.5,70.5,-70.5,50,-50,0
"42",7.09999999999999,-7.09999999999999,42.9,-42.9,50,-50,0
"43",33.15,-33.15,16.85,-16.85,50,-50,0
"44",76.2,-50,-26.2,0,50,-50,0
"45",0,0,100,-100,100,-100,1
"46",-39.6,39.6,89.6,-89.6,50,-50,0
"47",-4.75000000000001,4.75000000000001,54.75,-54.75,50,-50,0
"48",28.9,-28.9,21.1,-21.1,50,-50,0
"49",0,0,-100,100,-100,100,2
"50",25.8,-25.8,24.2,-24.2,50,-50,0
"51",36.45,-36.45,13.55,-13.55,50,-50,0
"52",101,-101,-1,1,100,-100,9
"53",-35.2,35.2,85.2,-85.2,50,-50,0
"54",28.3,-28.3,21.7,-21.7,50,-50,0
"55",17.6,-17.6,32.4,-32.4,50,-50,0
"56",-21.1,21.1,71.1,-71.1,50,-50,0
"57",-29.5,29.5,79.5,-79.5,50,-50,0
"58",35.25,-35.25,14.75,-14.75,50,-50,0
"59",-19.95,19.95,69.95,-69.95,50,-50,0
"60",-31.65,31.65,81.65,-81.65,50,-50,0
"61",135.9,-135.9,-35.9,35.9,100,-100,9
"62",-29,29,79,-79,50,-50,0
"63",-45.1,45.1,95.1,-95.1,50,-50,0
"64",-11.75,11.75,61.75,-61.75,50,-50,0
"65",-22.25,22.25,72.25,-72.25,50,-50,0
"66",0,0,-100,100,-100,100,2
"67",-50.5,50.5,100.5,-100.5,50,-50,0
"68",-19.25,19.25,69.25,-69.25,50,-50,0
"69",-44.3,44.3,94.3,-94.3,50,-50,0
"70",26.3,-26.3,23.7,-23.7,50,-50,0
"71",-25,25,75,-75,50,-50,0
"72",39.25,-39.25,10.75,-10.75,50,-50,0
"73",23.25,-23.25,26.75,-26.75,50,-50,0
"74",-7.84999999999999,7.84999999999999,57.85,-57.85,50,-50,0
"75",23.5,-23.5,26.5,-26.5,50,-50,0
"76",19.3,-19.3,30.7,-30.7,50,-50,0
"77",-9.3,9.3,59.3,-59.3,50,-50,0
"78",-49.8469696969697,49.8469696969697,-50.1530303030303,50.1530303030303,-100,100,4
"79",28.6,-28.6,21.4,-21.4,50,-50,0
"80",34.3,-34.3,15.7,-15.7,50,-50,0
"81",8.09999999999999,-8.09999999999999,41.9,-41.9,50,-50,0
"82",33.2,-33.2,16.8,-16.8,50,-50,0
"83",-43.9,43.9,93.9,-93.9,50,-50,0
"84",-5.55000000000001,5.55000000000001,55.55,-55.55,50,-50,0
"85",26.4,-26.4,23.6,-23.6,50,-50,0
"86",35.5,-35.5,14.5,-14.5,50,-50,0
"87",-39.7227272727273,39.7227272727273,-60.2772727272727,60.2772727272727,-100,100,4
"88",9.7,-9.7,40.3,-40.3,50,-50,0
"89",45.55,-45.55,4.44999999999999,-4.45,50,-50,0
"90",133.6,-133.6,-33.6,33.6,100,-100,9
"91",73.3,-73.3,26.7,-26.7,100,-100,9
"92",-35.85,35.85,85.85,-85.85,50,-50,0
"93",-38.5,38.5,88.5,-88.5,50,-50,0
"94",-8.75,8.74999999999999,58.75,-58.75,50,-50,0
"95",-38.85,38.85,88.85,-88.85,50,-50,0
"96",-28.5,28.5,78.5,-78.5,50,-50,0
"97",0,0,-100,100,-100,100,2
"98",26.45,-26.45,23.55,-23.55,50,-50,0
"99",8.05,-8.05,41.95,-41.95,50,-50,0
"100",2.89999999999999,-2.89999999999999,47.1,-47.1,50,-50,0
"101",-22.9914141414141,22.9914141414141,-77.0085858585859,77.0085858585859,-100,100,4
"102",128,-128,-28,28,100,-100,9
"103",44.85,-44.85,5.14999999999998,-5.14999999999999,50,-50,0
"104",40.25,-40.25,9.75,-9.75000000000001,50,-50,0
"105",-1.2,1.2,51.2,-51.2,50,-50,0
"106",-14.3,14.3,64.3,-64.3,50,-50,0
"107",-29.55,29.55,79.55,-79.55,50,-50,0
"108",88.7,-88.7,11.3,-11.3,100,-100,9
"109",25.35,-25.35,24.65,-24.65,50,-50,0
"110",-17.2,17.2,67.2,-67.2,50,-50,0
"111",63.05,-50,-13.05,0,50,-50,0
"112",32.3,-32.3,17.7,-17.7,50,-50,0
"113",13.95,-13.95,36.05,-36.05,50,-50,0
"114",1.44999999999999,-1.44999999999999,48.55,-48.55,50,-50,0
"115",-21.9747474747475,21.9747474747475,-78.0252525252525,78.0252525252525,-100,100,4
"116",-65.45,65.45,-34.55,34.55,-100,100,9
"117",-46,46,96,-96,50,-50,0
"118",40.75,-40.75,9.25,-9.25,50,-50,0
"119",50.45,-50,-0.449999999999989,0,50,-50,0
"120",-41.65,41.65,91.65,-91.65,50,-50,0
"121",28.1,-28.1,21.9,-21.9,50,-50,0
"122",0,0,-100,100,-100,100,2
"123",-26.2,26.2,76.2,-76.2,50,-50,0
"124",29.7,-29.7,20.3,-20.3,50,-50,0
"125",19.1,-19.1,30.9,-30.9,50,-50,0
"126",-28.65,28.65,78.65,-78.65,50,-50,0
"127",41.05,-41.05,8.95000000000002,-8.95000000000002,50,-50,0
"128",33.15,-33.15,16.85,-16.85,50,-50,0
"129",25.4,-25.4,24.6,-24.6,50,-50,0
