"","p1_luck","p2_luck","p1_skill","p2_skill","p1_chip","p2_chip","endstate"
"1",31.95,-31.95,68.05,-68.05,100,-100,1
"2",-16.7,16.7,116.7,-116.7,100,-100,1
"3",5.14999999999999,-5.14999999999999,94.85,-94.85,100,-100,1
"4",-30.65,30.65,130.65,-130.65,100,-100,1
"5",-21.55,21.55,121.55,-121.55,100,-100,1
"6",-4885.95,4885.95,-15114.05,15114.05,-20000,20000,9
"7",5.14999999999999,-5.14999999999999,94.85,-94.85,100,-100,1
"8",8.25,-8.25,91.75,-91.75,100,-100,1
"9",-42,42,142,-142,100,-100,1
"10",-34.15,34.15,134.15,-134.15,100,-100,1
"11",33.05,-33.05,66.95,-66.95,100,-100,1
"12",-10.5,10.5,110.5,-110.5,100,-100,1
"13",-29.4,29.4,129.4,-129.4,100,-100,1
"14",-10.55,10.55,110.55,-110.55,100,-100,1
"15",30.25,-30.25,69.75,-69.75,100,-100,1
"16",0.200000000000003,-0.200000000000003,99.8,-99.8,100,-100,1
"17",-31.4,31.4,131.4,-131.4,100,-100,1
"18",15.45,-15.45,84.55,-84.55,100,-100,1
"19",9.3,-9.3,90.7,-90.7,100,-100,1
"20",41.6,-41.6,58.4,-58.4,100,-100,1
"21",0.950000000000003,-0.950000000000003,99.05,-99.05,100,-100,1
"22",-29.1,29.1,129.1,-129.1,100,-100,1
"23",34.85,-34.85,65.15,-65.15,100,-100,1
"24",-50,50,150,-150,100,-100,1
"25",-38.65,38.65,138.65,-138.65,100,-100,1
"26",7.84999999999999,-7.84999999999999,92.15,-92.15,100,-100,1
"27",-49.15,49.15,149.15,-149.15,100,-100,1
"28",34.1,-34.1,65.9,-65.9,100,-100,1
"29",33.25,-33.25,66.75,-66.75,100,-100,1
"30",-45.3,45.3,145.3,-145.3,100,-100,1
"31",-42.15,42.15,142.15,-142.15,100,-100,1
"32",48.9,-48.9,51.1,-51.1,100,-100,1
"33",39.1,-39.1,60.9,-60.9,100,-100,1
"34",35.9,-35.9,64.1,-64.1,100,-100,1
"35",-21.75,21.75,121.75,-121.75,100,-100,1
"36",-41.15,41.15,141.15,-141.15,100,-100,1
"37",69.8,-50,30.2,-50,100,-100,1
"38",44.8,-44.8,55.2,-55.2,100,-100,1
"39",44.25,-44.25,55.75,-55.75,100,-100,1
"40",-42.95,42.95,142.95,-142.95,100,-100,1
"41",24.55,-24.55,75.45,-75.45,100,-100,1
"42",0.25,-0.25,99.75,-99.75,100,-100,1
"43",-35.45,35.45,135.45,-135.45,100,-100,1
"44",-32.45,32.45,132.45,-132.45,100,-100,1
"45",-28.5,28.5,128.5,-128.5,100,-100,1
"46",16.7,-16.7,83.3,-83.3,100,-100,1
"47",31.3,-31.3,68.7,-68.7,100,-100,1
"48",-30.85,30.85,130.85,-130.85,100,-100,1
"49",20,-20,80,-80,100,-100,1
"50",10.55,-10.55,89.45,-89.45,100,-100,1
"51",38.2,-38.2,61.8,-61.8,100,-100,1
"52",27.35,-27.35,72.65,-72.65,100,-100,1
"53",43.4,-43.4,56.6,-56.6,100,-100,1
