"","p1_luck","p2_luck","p1_skill","p2_skill","p1_chip","p2_chip","endstate"
"1",13.3,-13.3,86.7,-86.7,100,-100,1
"2",-24,24,124,-124,100,-100,1
"3",25.55,-25.55,74.45,-74.45,100,-100,1
"4",-10.05,10.05,110.05,-110.05,100,-100,1
"5",-50.1,50.1,150.1,-150.1,100,-100,1
"6",50.15,-50,49.85,-50,100,-100,1
"7",32.05,-32.05,67.95,-67.95,100,-100,1
"8",26.3,-26.3,73.7,-73.7,100,-100,1
"9",-31885.4,31885.4,11885.4,-11885.4,-20000,20000,9
"10",-50.7,50.7,150.7,-150.7,100,-100,1
"11",-15.5,15.5,115.5,-115.5,100,-100,1
"12",3.54999999999998,-3.54999999999998,96.45,-96.45,100,-100,1
"13",3744.71363636364,-3744.71363636364,16255.2863636364,-16255.2863636364,20000,-20000,9
"14",34.6,-34.6,65.4,-65.4,100,-100,1
"15",26.8,-26.8,73.2,-73.2,100,-100,1
"16",22.25,-22.25,77.75,-77.75,100,-100,1
"17",-31.4,31.4,131.4,-131.4,100,-100,1
"18",34.3,-34.3,65.7,-65.7,100,-100,1
"19",-12.95,12.95,112.95,-112.95,100,-100,1
"20",38.65,-38.65,61.35,-61.35,100,-100,1
"21",35.15,-35.15,64.85,-64.85,100,-100,1
"22",22,-22,78,-78,100,-100,1
"23",2.2,-2.2,97.8,-97.8,100,-100,1
"24",-0.0999999999999943,0.0999999999999943,100.1,-100.1,100,-100,1
"25",26.75,-26.75,73.25,-73.25,100,-100,1
"26",-19,19,119,-119,100,-100,1
"27",4435.10681818182,-4435.10681818182,15564.8931818182,-15564.8931818182,20000,-20000,9
"28",18.5,-18.5,81.5,-81.5,100,-100,1
"29",-28.75,28.75,128.75,-128.75,100,-100,1
"30",19.1,-19.1,80.9,-80.9,100,-100,1
"31",-27.25,27.25,127.25,-127.25,100,-100,1
"32",-3.45,3.45,103.45,-103.45,100,-100,1
"33",-9.05,9.05,109.05,-109.05,100,-100,1
"34",34.45,-34.45,65.55,-65.55,100,-100,1
"35",-33.15,33.15,133.15,-133.15,100,-100,1
"36",25.05,-25.05,74.95,-74.95,100,-100,1
"37",-33.05,33.05,133.05,-133.05,100,-100,1
"38",35.4,-35.4,64.6,-64.6,100,-100,1
"39",10.8,-10.8,89.2,-89.2,100,-100,1
"40",-16.2,16.2,116.2,-116.2,100,-100,1
"41",-41.4,41.4,141.4,-141.4,100,-100,1
"42",-27.65,27.65,127.65,-127.65,100,-100,1
"43",30.8,-30.8,69.2,-69.2,100,-100,1
"44",48.3,-48.3,51.7,-51.7,100,-100,1
"45",27.7,-27.7,72.3,-72.3,100,-100,1
