"","p1_luck","p2_luck","p1_skill","p2_skill","p1_chip","p2_chip","endstate"
"1",31.5,-31.5,18.5,-18.5,50,-50,0
"2",17.8,-17.8,32.2,-32.2,50,-50,0
"3",20.15,-20.15,29.85,-29.85,50,-50,0
"4",69.55,-50,-19.55,0,50,-50,0
"5",-30.45,30.45,80.45,-80.45,50,-50,0
"6",5.25,-5.25,44.75,-44.75,50,-50,0
"7",24.3,-24.3,25.7,-25.7,50,-50,0
"8",-3711.85,3711.85,-16288.15,16288.15,-20000,20000,9
"9",-78.7181818181818,78.7181818181818,678.718181818182,-678.718181818182,600,-600,3
"10",44.5,-44.5,5.5,-5.49999999999999,50,-50,0
"11",-42.7757575757576,42.7757575757576,342.775757575758,-342.775757575758,300,-300,3
"12",40.5,-40.5,9.5,-9.5,50,-50,0
"13",42.8,-42.8,7.20000000000002,-7.2,50,-50,0
"14",-41.55,41.55,91.55,-91.55,50,-50,0
"15",-295.739393939394,295.739393939394,1795.73939393939,-1795.73939393939,1500,-1500,5
"16",-20.95,20.95,70.95,-70.95,50,-50,0
"17",22.95,-22.95,27.05,-27.05,50,-50,0
"18",28.1,-28.1,21.9,-21.9,50,-50,0
"19",33.25,-33.25,16.75,-16.75,50,-50,0
"20",1121.16633333333,-1121.16633333333,1032.83366666667,-1032.83366666667,2154,-2154,3
"21",27.2,-27.2,22.8,-22.8,50,-50,0
"22",31.35,-31.35,18.65,-18.65,50,-50,0
"23",-2.05000000000001,2.05000000000001,52.05,-52.05,50,-50,0
"24",-15.15,15.15,65.15,-65.15,50,-50,0
"25",133.645454545455,-133.645454545455,1066.35454545455,-1066.35454545455,1200,-1200,5
"26",30.75,-30.75,19.25,-19.25,50,-50,0
"27",-31.9,31.9,81.9,-81.9,50,-50,0
"28",0.350000000000009,-0.350000000000009,49.65,-49.65,50,-50,0
"29",21.45,-21.45,28.55,-28.55,50,-50,0
"30",-25.3,25.3,75.3,-75.3,50,-50,0
"31",-26.75,26.75,76.75,-76.75,50,-50,0
"32",-18.7,18.7,68.7,-68.7,50,-50,0
"33",-28.9,28.9,78.9,-78.9,50,-50,0
"34",-3.45,3.45,53.45,-53.45,50,-50,0
"35",24.25,-24.25,25.75,-25.75,50,-50,0
"36",34.25,-34.25,15.75,-15.75,50,-50,0
"37",53,-50,-3,0,50,-50,0
"38",-41.25,41.25,91.25,-91.25,50,-50,0
"39",257.927272727273,-257.927272727273,42.0727272727272,-42.0727272727272,300,-300,3
"40",-120.669696969697,120.669696969697,420.669696969697,-420.669696969697,300,-300,3
"41",-5045.15,5045.15,-14954.85,14954.85,-20000,20000,9
"42",-45.65,45.65,95.65,-95.65,50,-50,0
"43",-19.85,19.85,69.85,-69.85,50,-50,0
"44",-38.85,38.85,88.85,-88.85,50,-50,0
"45",-14.05,14.05,64.05,-64.05,50,-50,0
"46",-49.5,49.5,99.5,-99.5,50,-50,0
"47",30.3,-30.3,19.7,-19.7,50,-50,0
"48",29.6,-29.6,20.4,-20.4,50,-50,0
"49",-21.75,21.75,71.75,-71.75,50,-50,0
"50",330.057575757576,-330.057575757576,269.942424242424,-269.942424242424,600,-600,3
"51",18.85,-18.85,31.15,-31.15,50,-50,0
"52",37.15,-37.15,12.85,-12.85,50,-50,0
"53",22.45,-22.45,27.55,-27.55,50,-50,0
"54",-37.15,37.15,87.15,-87.15,50,-50,0
"55",-41.25,41.25,91.25,-91.25,50,-50,0
"56",-3410.69997979798,3410.69997979798,22666.699979798,-22666.699979798,19256,-19256,3
