"","p1_luck","p2_luck","p1_skill","p2_skill","p1_chip","p2_chip","endstate"
"1",-8.59999999999999,8.59999999999998,-91.4,91.4,-100,100,2
"2",-34.45,34.45,84.45,-84.45,50,-50,0
"3",-31,31,81,-81,50,-50,0
"4",7.89999999999999,-7.89999999999999,42.1,-42.1,50,-50,0
"5",-25.8,25.8,-74.2,74.2,-100,100,2
"6",-9.59999999999999,9.60000000000001,59.6,-59.6,50,-50,0
"7",-29.2,29.2,79.2,-79.2,50,-50,0
"8",52.7,-50,-2.69999999999999,0,50,-50,0
"9",11.9,-11.9,38.1,-38.1,50,-50,0
"10",-50.8,50.8,100.8,-100.8,50,-50,0
"11",18.55,-18.55,31.45,-31.45,50,-50,0
"12",-18.65,18.65,68.65,-68.65,50,-50,0
"13",28.3,-28.3,21.7,-21.7,50,-50,0
"14",17.05,-17.05,32.95,-32.95,50,-50,0
"15",28.55,-28.55,21.45,-21.45,50,-50,0
"16",24.85,-24.85,25.15,-25.15,50,-50,0
"17",-30.35,30.35,80.35,-80.35,50,-50,0
"18",-28.7,28.7,78.7,-78.7,50,-50,0
"19",-42.3,42.3,92.3,-92.3,50,-50,0
"20",-28.25,28.25,78.25,-78.25,50,-50,0
"21",-32.5,32.5,82.5,-82.5,50,-50,0
"22",63.25,-50,-163.25,150,-100,100,2
"23",24.75,-24.75,25.25,-25.25,50,-50,0
"24",-26.3,26.3,76.3,-76.3,50,-50,0
"25",19.1,-19.1,30.9,-30.9,50,-50,0
"26",-26.8,26.8,76.8,-76.8,50,-50,0
"27",-28.2,28.2,78.2,-78.2,50,-50,0
"28",-24.35,24.35,74.35,-74.35,50,-50,0
"29",13.15,-13.15,36.85,-36.85,50,-50,0
"30",-11.25,11.25,61.25,-61.25,50,-50,0
"31",12.2,-12.2,37.8,-37.8,50,-50,0
"32",-16.8,16.8,66.8,-66.8,50,-50,0
"33",-27.3,27.3,77.3,-77.3,50,-50,0
"34",-26.15,26.15,76.15,-76.15,50,-50,0
"35",-25.6,25.6,75.6,-75.6,50,-50,0
"36",19.9,-19.9,30.1,-30.1,50,-50,0
"37",-14.85,14.85,64.85,-64.85,50,-50,0
"38",-15.55,15.55,65.55,-65.55,50,-50,0
"39",19.7,-19.7,30.3,-30.3,50,-50,0
"40",-6.09999999999999,6.09999999999999,56.1,-56.1,50,-50,0
"41",-4.45,4.45,54.45,-54.45,50,-50,0
"42",-28.55,28.55,78.55,-78.55,50,-50,0
"43",-23.05,23.05,73.05,-73.05,50,-50,0
"44",17.7,-17.7,32.3,-32.3,50,-50,0
"45",7.3,-7.3,42.7,-42.7,50,-50,0
"46",-41.05,41.05,91.05,-91.05,50,-50,0
"47",26.65,-26.65,23.35,-23.35,50,-50,0
"48",15.45,-15.45,34.55,-34.55,50,-50,0
"49",-87.05,87.05,-12.95,12.95,-100,100,2
"50",-31.15,31.15,81.15,-81.15,50,-50,0
"51",31.35,-31.35,18.65,-18.65,50,-50,0
"52",-21.1,21.1,71.1,-71.1,50,-50,0
"53",-23.9,23.9,73.9,-73.9,50,-50,0
"54",-8.65000000000001,8.65000000000001,58.65,-58.65,50,-50,0
"55",33.2,-33.2,16.8,-16.8,50,-50,0
"56",-45.8,45.8,95.8,-95.8,50,-50,0
"57",30.65,-30.65,19.35,-19.35,50,-50,0
"58",32.1,-32.1,17.9,-17.9,50,-50,0
"59",37,-37,13,-13,50,-50,0
"60",-17.7,17.7,67.7,-67.7,50,-50,0
"61",-16.95,16.95,66.95,-66.95,50,-50,0
"62",47.8,-47.8,2.19999999999999,-2.2,50,-50,0
"63",-77.15,77.15,-22.85,22.85,-100,100,2
"64",-24.7,24.7,74.7,-74.7,50,-50,0
"65",-26.3,26.3,76.3,-76.3,50,-50,0
"66",18.65,-18.65,31.35,-31.35,50,-50,0
"67",-42.25,42.25,92.25,-92.25,50,-50,0
"68",-32.35,32.35,82.35,-82.35,50,-50,0
"69",-39,39,89,-89,50,-50,0
"70",34.7,-34.7,15.3,-15.3,50,-50,0
"71",-4.85000000000001,4.85000000000002,54.85,-54.85,50,-50,0
"72",-10.35,10.35,60.35,-60.35,50,-50,0
"73",51.05,-50,-1.04999999999998,0,50,-50,0
"74",27.9,-27.9,22.1,-22.1,50,-50,0
"75",-13.7,13.7,63.7,-63.7,50,-50,0
"76",-26,26,76,-76,50,-50,0
"77",-54.9,54.9,104.9,-104.9,50,-50,0
"78",-27.05,27.05,77.05,-77.05,50,-50,0
"79",-30.25,30.25,80.25,-80.25,50,-50,0
"80",24.2,-24.2,25.8,-25.8,50,-50,0
"81",40.75,-40.75,9.25,-9.25,50,-50,0
"82",29.1,-29.1,20.9,-20.9,50,-50,0
"83",30.65,-30.65,19.35,-19.35,50,-50,0
"84",29.7,-29.7,20.3,-20.3,50,-50,0
"85",-31,31,81,-81,50,-50,0
"86",3.2,-3.2,46.8,-46.8,50,-50,0
"87",31.1,-31.1,18.9,-18.9,50,-50,0
"88",-57,57,107,-107,50,-50,0
"89",39.55,-39.55,10.45,-10.45,50,-50,0
"90",29.4,-29.4,20.6,-20.6,50,-50,0
"91",-51.05,51.05,101.05,-101.05,50,-50,0
"92",19.75,-19.75,30.25,-30.25,50,-50,0
"93",-51,51,101,-101,50,-50,0
"94",16.3,-16.3,33.7,-33.7,50,-50,0
"95",-29.05,29.05,79.05,-79.05,50,-50,0
"96",-37.4,37.4,87.4,-87.4,50,-50,0
"97",14.5,-14.5,35.5,-35.5,50,-50,0
"98",-9.65000000000001,9.65000000000001,59.65,-59.65,50,-50,0
"99",-29.25,29.25,79.25,-79.25,50,-50,0
"100",0.400000000000006,-0.400000000000006,49.6,-49.6,50,-50,0
"101",-42.45,42.45,92.45,-92.45,50,-50,0
"102",48,-48,2,-2,50,-50,0
"103",36.5,-36.5,13.5,-13.5,50,-50,0
"104",76.65,-50,-26.65,0,50,-50,0
"105",31,-31,19,-19,50,-50,0
"106",21.3,-21.3,28.7,-28.7,50,-50,0
"107",-9.59999999999999,9.60000000000001,59.6,-59.6,50,-50,0
"108",35.2,-35.2,14.8,-14.8,50,-50,0
"109",42.2,-42.2,7.79999999999998,-7.79999999999998,50,-50,0
"110",-37.7,37.7,87.7,-87.7,50,-50,0
"111",-24.7,24.7,74.7,-74.7,50,-50,0
