"","p1_luck","p2_luck","p1_skill","p2_skill","p1_chip","p2_chip","endstate"
"1",30.1,-30.1,19.9,-19.9,50,-50,0
"2",31.85,-31.85,18.15,-18.15,50,-50,0
"3",-1944.64646464646,1944.64646464646,-18055.3535353535,18055.3535353535,-20000,20000,9
"4",-23.95,23.95,73.95,-73.95,50,-50,0
"5",-78.8888888888889,78.8888888888889,178.888888888889,-178.888888888889,100,-100,3
"6",-13.4,13.4,63.4,-63.4,50,-50,0
"7",23.5,-23.5,26.5,-26.5,50,-50,0
"8",36.65,-36.65,13.35,-13.35,50,-50,0
"9",36.6,-36.6,13.4,-13.4,50,-50,0
"10",25.4,-25.4,24.6,-24.6,50,-50,0
"11",-86.6666666666667,86.6666666666667,-13.3333333333333,13.3333333333333,-100,100,4
"12",10.2,-10.2,39.8,-39.8,50,-50,0
"13",-13.3,13.3,63.3,-63.3,50,-50,0
"14",-42.6,42.6,92.6,-92.6,50,-50,0
"15",-67.6767676767677,67.6767676767677,167.676767676768,-167.676767676768,100,-100,3
"16",40.7,-40.7,9.30000000000001,-9.30000000000002,50,-50,0
"17",58.7878787878788,-58.7878787878788,41.2121212121212,-41.2121212121212,100,-100,3
"18",-15.7,15.7,65.7,-65.7,50,-50,0
"19",25.45,-25.45,24.55,-24.55,50,-50,0
"20",6.54999999999998,-6.54999999999998,43.45,-43.45,50,-50,0
"21",-100,100,0,0,-100,100,9
"22",31.4,-31.4,18.6,-18.6,50,-50,0
"23",29.25,-29.25,20.75,-20.75,50,-50,0
"24",-22.2,22.2,72.2,-72.2,50,-50,0
"25",-14.2,14.2,64.2,-64.2,50,-50,0
"26",42.4,-42.4,7.59999999999999,-7.60000000000001,50,-50,0
"27",76,-50,-26,0,50,-50,0
"28",44.5,-44.5,5.50000000000003,-5.50000000000001,50,-50,0
"29",-77,77,-23,23,-100,100,2
"30",15.4,-15.4,34.6,-34.6,50,-50,0
"31",-3743.63636363636,3743.63636363636,-16256.3636363636,16256.3636363636,-20000,20000,9
"32",-0.25,0.25,50.25,-50.25,50,-50,0
"33",21.5,-21.5,28.5,-28.5,50,-50,0
"34",25.9,-25.9,24.1,-24.1,50,-50,0
"35",-77.2727272727273,77.2727272727273,177.272727272727,-177.272727272727,100,-100,5
"36",-31.2,31.2,81.2,-81.2,50,-50,0
"37",24.6,-24.6,25.4,-25.4,50,-50,0
"38",12.95,-12.95,37.05,-37.05,50,-50,0
"39",43.4343434343434,-43.4343434343434,156.565656565657,-156.565656565657,200,-200,3
"40",71.65,-50,-21.65,0,50,-50,0
"41",15.8,-15.8,34.2,-34.2,50,-50,0
"42",-56.969696969697,56.969696969697,-43.030303030303,43.030303030303,-100,100,4
"43",-25.6,25.6,75.6,-75.6,50,-50,0
"44",-16.25,16.25,66.25,-66.25,50,-50,0
"45",-116.161616161616,116.161616161616,-19883.8383838384,19883.8383838384,-20000,20000,9
"46",-15.15,15.15,65.15,-65.15,50,-50,0
"47",14.9,-14.9,35.1,-35.1,50,-50,0
"48",51.85,-50,-1.84999999999999,0,50,-50,0
"49",-28.75,28.75,78.75,-78.75,50,-50,0
"50",46.85,-46.85,3.15000000000001,-3.15000000000001,50,-50,0
"51",-7.69999999999999,7.69999999999999,57.7,-57.7,50,-50,0
"52",-39.2,39.2,89.2,-89.2,50,-50,0
"53",-9.55,9.55,59.55,-59.55,50,-50,0
"54",23.45,-23.45,26.55,-26.55,50,-50,0
"55",-30.3,30.3,-69.7,69.7,-100,100,2
"56",-64.8484848484848,64.8484848484849,164.848484848485,-164.848484848485,100,-100,3
"57",-32.2,32.2,82.2,-82.2,50,-50,0
"58",-31.35,31.35,81.35,-81.35,50,-50,0
"59",-25.9,25.9,75.9,-75.9,50,-50,0
"60",36,-36,14,-14,50,-50,0
"61",-26.85,26.85,76.85,-76.85,50,-50,0
"62",30.9,-30.9,19.1,-19.1,50,-50,0
"63",-38.9,38.9,88.9,-88.9,50,-50,0
"64",-51.15,51.15,101.15,-101.15,50,-50,0
"65",-33.4,33.4,83.4,-83.4,50,-50,0
"66",22.25,-22.25,27.75,-27.75,50,-50,0
"67",0.499999999999986,-0.499999999999986,49.5,-49.5,50,-50,0
"68",27.75,-27.75,22.25,-22.25,50,-50,0
"69",18,-18,32,-32,50,-50,0
"70",-28.65,28.65,78.65,-78.65,50,-50,0
"71",67.8,-50,-17.8,0,50,-50,0
"72",-32,32,82,-82,50,-50,0
"73",-23.25,23.25,73.25,-73.25,50,-50,0
"74",-71.2,71.2,-28.8,28.8,-100,100,2
"75",40.65,-40.65,9.35000000000002,-9.35000000000002,50,-50,0
"76",-41,41,91,-91,50,-50,0
"77",30.9,-30.9,19.1,-19.1,50,-50,0
"78",-42.020202020202,42.020202020202,142.020202020202,-142.020202020202,100,-100,3
"79",-14.45,14.45,64.45,-64.45,50,-50,0
"80",53,-50,-2.99999999999997,0,50,-50,0
"81",28.1,-28.1,21.9,-21.9,50,-50,0
"82",33.55,-33.55,16.45,-16.45,50,-50,0
"83",-32.2,32.2,82.2,-82.2,50,-50,0
"84",27.45,-27.45,22.55,-22.55,50,-50,0
"85",-44.6,44.6,-55.4,55.4,-100,100,2
"86",-32.6,32.6,82.6,-82.6,50,-50,0
"87",-28.7,28.7,78.7,-78.7,50,-50,0
"88",-47.2,47.2,97.2,-97.2,50,-50,0
"89",72.7272727272727,-72.7272727272727,27.2727272727273,-27.2727272727273,100,-100,5
"90",32.7,-32.7,17.3,-17.3,50,-50,0
"91",-12.15,12.15,62.15,-62.15,50,-50,0
"92",-34.3,34.3,-65.7,65.7,-100,100,2
"93",13.05,-13.05,36.95,-36.95,50,-50,0
"94",-13.65,13.65,63.65,-63.65,50,-50,0
"95",31.45,-31.45,18.55,-18.55,50,-50,0
"96",17.8,-17.8,32.2,-32.2,50,-50,0
"97",25.1,-25.1,24.9,-24.9,50,-50,0
"98",-11.05,11.05,61.05,-61.05,50,-50,0
"99",-19.75,19.75,69.75,-69.75,50,-50,0
"100",22.65,-22.65,27.35,-27.35,50,-50,0
"101",-32.6,32.6,82.6,-82.6,50,-50,0
"102",46.25,-46.25,3.75,-3.75000000000001,50,-50,0
"103",-24.6,24.6,74.6,-74.6,50,-50,0
"104",24.95,-24.95,25.05,-25.05,50,-50,0
"105",27.95,-27.95,22.05,-22.05,50,-50,0
"106",84.8484848484848,-74.5984848484848,15.1515151515152,-25.4015151515152,100,-100,3
"107",59.5959595959596,-59.5959595959596,40.4040404040404,-40.4040404040404,100,-100,3
"108",13.25,-13.25,36.75,-36.75,50,-50,0
"109",-28.45,28.45,78.45,-78.45,50,-50,0
"110",-37.6,37.6,87.6,-87.6,50,-50,0
"111",22.65,-22.65,27.35,-27.35,50,-50,0
"112",38.6,-38.6,11.4,-11.4,50,-50,0
"113",46.4646464646465,-46.4646464646465,53.5353535353535,-53.5353535353535,100,-100,3
"114",-62.85,62.85,-37.15,37.15,-100,100,2
