"","p1_luck","p2_luck","p1_skill","p2_skill","p1_chip","p2_chip","endstate"
"1",74,-50,-24,0,50,-50,0
"2",21.1,-21.1,28.9,-28.9,50,-50,0
"3",26.45,-26.45,23.55,-23.55,50,-50,0
"4",-3.5527136788005e-15,3.5527136788005e-15,0,0,-3.5527136788005e-15,3.5527136788005e-15,9
"5",23.05,-23.05,26.95,-26.95,50,-50,0
"6",48.45,-48.45,1.54999999999998,-1.54999999999998,50,-50,0
"7",-32.65,32.65,82.65,-82.65,50,-50,0
"8",11.05,-11.05,38.95,-38.95,50,-50,0
"9",42.85,-42.85,7.14999999999998,-7.14999999999999,50,-50,0
"10",49.1,-49.1,0.900000000000006,-0.900000000000013,50,-50,0
"11",-18.2,18.2,68.2,-68.2,50,-50,0
"12",-28.25,28.25,78.25,-78.25,50,-50,0
"13",18.55,-18.55,31.45,-31.45,50,-50,0
"14",70.7,-50,-20.7,0,50,-50,0
"15",-24.85,24.85,74.85,-74.85,50,-50,0
"16",6.99999999999999,-6.99999999999999,43,-43,50,-50,0
"17",19.75,-19.75,30.25,-30.25,50,-50,0
"18",49.15,-49.15,0.849999999999994,-0.849999999999994,50,-50,0
"19",-34.6,34.6,84.6,-84.6,50,-50,0
"20",76.65,-50,-26.65,0,50,-50,0
"21",18.15,-18.15,31.85,-31.85,50,-50,0
"22",-31.3,31.3,81.3,-81.3,50,-50,0
"23",74.9,-50,-24.9,0,50,-50,0
"24",-20.9,20.9,70.9,-70.9,50,-50,0
"25",-32.95,32.95,82.95,-82.95,50,-50,0
"26",-29.25,29.25,79.25,-79.25,50,-50,0
"27",28.9,-28.9,21.1,-21.1,50,-50,0
"28",24.45,-24.45,25.55,-25.55,50,-50,0
"29",0,-7.105427357601e-15,0,0,0,-7.105427357601e-15,9
"30",-19.45,19.45,69.45,-69.45,50,-50,0
"31",-92.1212121212121,92.1212121212121,-7.87878787878789,7.87878787878789,-100,100,4
"32",20.2,-20.2,29.8,-29.8,50,-50,0
"33",-28.15,28.15,78.15,-78.15,50,-50,0
"34",14.95,-14.95,35.05,-35.05,50,-50,0
"35",28.85,-28.85,21.15,-21.15,50,-50,0
"36",-85.2525252525253,85.2525252525252,-14.7474747474748,14.7474747474748,-100,100,4
"37",-100,100,0,0,-100,100,9
"38",18.4,-18.4,31.6,-31.6,50,-50,0
