"","p1_luck","p2_luck","p1_skill","p2_skill","p1_chip","p2_chip","endstate"
"1",-2288.08686868687,2288.08686868687,-7963.91313131313,7963.91313131313,-10252,10252,9
"2",-100,100,300,-300,200,-200,7
"3",100,-100,200,-200,300,-300,9
"4",-67.4747474747475,67.4747474747475,-32.5252525252525,32.5252525252525,-100,100,4
"5",-100,100,0,0,-100,100,9
"6",100,-100,200,-200,300,-300,9
"7",-100,100,-1000,1000,-1100,1100,9
"8",116.565656565657,-116.565656565657,-20116.5656565657,20116.5656565657,-20000,20000,8
"9",-231.515151515152,231.515151515151,-2468.48484848485,2468.48484848485,-2700,2700,9
"10",29,-29,71,-71,100,-100,1
"11",100,-100,200,-200,300,-300,9
"12",-163.636363636364,163.636363636364,-136.363636363636,136.363636363636,-300,300,8
"13",2662.37171717172,-2662.37171717172,-22662.3717171717,22662.3717171717,-20000,20000,6
"14",100,-100,0,0,100,-100,9
"15",-100,100,0,0,-100,100,9
"16",100,-100,0,0,100,-100,7
"17",496.565656565657,-496.565656565657,-20496.5656565657,20496.5656565657,-20000,20000,8
"18",-109.49494949495,109.494949494949,-19890.505050505,19890.505050505,-20000,20000,8
"19",27.3,-27.3,72.7,-72.7,100,-100,1
"20",-69.8989898989899,69.8989898989899,-30.1010101010101,30.1010101010101,-100,100,4
"21",84.040404040404,-84.040404040404,-20084.0404040404,20084.0404040404,-20000,20000,4
"22",-36.7,36.7,-63.3,63.3,-100,100,2
"23",1178,-1178,5656,-5656,6834,-6834,9
"24",935.959595959596,-935.959595959596,-20935.9595959596,20935.9595959596,-20000,20000,8
"25",-127.878787878788,127.878787878788,-472.121212121212,472.121212121212,-600,600,9
"26",-100,100,0,0,-100,100,9
"27",95.959595959596,-95.959595959596,4.04040404040402,-4.04040404040402,100,-100,3
"28",-1752.2,1752.2,-5081.8,5081.8,-6834,6834,9
"29",-100,100,0,0,-100,100,8
"30",-90.5050505050505,90.5050505050505,-9.49494949494949,9.49494949494949,-100,100,4
"31",-86.6666666666667,86.6666666666667,-13.3333333333333,13.3333333333333,-100,100,4
"32",-353.131313131313,353.131313131313,-996.868686868687,996.868686868687,-1350,1350,9
"33",100,-100,200,-200,300,-300,9
"34",-52.2727272727273,52.2727272727273,152.272727272727,-152.272727272727,100,-100,5
"35",-100,100,0,0,-100,100,9
"36",-312.828282828283,312.828282828283,-137.171717171717,137.171717171717,-450,450,9
"37",-125.454545454545,125.454545454545,-74.5454545454545,74.5454545454546,-200,200,9
"38",-7.105427357601e-15,7.105427357601e-15,100,-100,100,-100,7
"39",100,-100,0,0,100,-100,7
"40",-100,100,-200,200,-300,300,9
"41",-100,100,0,0,-100,100,9
"42",173.131313131313,-173.131313131313,1626.86868686869,-1626.86868686869,1800,-1800,9
"43",-86.3636363636363,86.3636363636364,186.363636363636,-186.363636363636,100,-100,5
"44",-20.6060606060606,20.6060606060606,-79.3939393939394,79.3939393939394,-100,100,4
"45",118.989898989899,-118.989898989899,4381.0101010101,-4381.0101010101,4500,-4500,9
"46",8707.94747474747,-8707.94747474747,2826.05252525252,-2826.05252525253,11534,-11534,5
"47",-304.040404040404,304.040404040404,-19695.9595959596,19695.9595959596,-20000,20000,8
"48",-127.272727272727,127.272727272727,-172.727272727273,172.727272727273,-300,300,9
"49",-112.929292929293,112.929292929293,-9787.07070707071,9787.07070707071,-9900,9900,9
"50",100,-100,0,0,100,-100,9
"51",259.343434343434,-259.343434343434,-20259.3434343434,20259.3434343434,-20000,20000,6
"52",63.7999999999999,-63.7999999999997,-63.7999999999997,63.7999999999997,2.06057393370429e-13,4.2632564145606e-14,9
"53",-65.6565656565656,65.6565656565656,-34.3434343434343,34.3434343434343,-100,100,4
"54",-6.21724893790088e-15,6.21724893790088e-15,0,0,-6.21724893790088e-15,6.21724893790088e-15,9
"55",-7.87878787878788,10.6787878787879,-92.1212121212121,89.3212121212121,-100,100,4
"56",-254.848484848485,254.848484848485,-345.151515151515,345.151515151515,-600,600,9
"57",-100,100,0,0,-100,100,9
"58",100,-100,-20100,20100,-20000,20000,8
"59",-81.8181818181818,81.8181818181818,-18.1818181818182,18.1818181818182,-100,100,6
"60",-100,100,0,0,-100,100,9
"61",-100,100,0,0,-100,100,8
"62",-27.2727272727273,27.2727272727273,127.272727272727,-127.272727272727,100,-100,5
"63",100,-100,100,-100,200,-200,9
"64",100,-100,0,0,100,-100,9
"65",-412.121212121212,412.121212121212,-2587.87878787879,2587.87878787879,-3000,3000,9
"66",63.8383838383839,-63.8383838383839,36.1616161616162,-36.1616161616162,100,-100,3
"67",108.484848484849,-108.484848484849,-20108.4848484848,20108.4848484848,-20000,20000,6
"68",-445.454545454545,445.454545454545,-454.545454545455,454.545454545455,-900,900,9
"69",-18330.303030303,18330.303030303,-1669.69696969697,1669.69696969697,-20000,20000,8
"70",-72.1212121212121,72.1212121212121,-27.8787878787879,27.8787878787879,-100,100,4
"71",68.6868686868687,-68.6868686868687,31.3131313131313,-31.3131313131313,100,-100,3
"72",100,-100,0,0,100,-100,9
"73",-607.777777777778,607.777777777778,-19392.2222222222,19392.2222222222,-20000,20000,6
"74",-127.272727272727,127.272727272727,-172.727272727273,172.727272727273,-300,300,8
"75",100,-100,200,-200,300,-300,9
"76",-640.788888888889,640.788888888889,-421.211111111111,421.211111111111,-1062,1062,9
"77",17.1717171717172,-17.1717171717172,82.8282828282828,-82.8282828282828,100,-100,3
"78",-129.090909090909,129.090909090909,-19870.9090909091,19870.9090909091,-20000,20000,8
"79",100,-100,0,0,100,-100,9
"80",75.7575757575758,-75.7575757575758,24.2424242424242,-24.2424242424242,100,-100,3
"81",90.9090909090909,-90.9090909090909,-90.9090909090909,90.909090909091,-1.4210854715202e-14,5.6843418860808e-14,9
"82",5.2,-5.2,-105.2,105.2,-100,100,2
"83",3010.92878787879,-3010.92878787879,-23010.9287878788,23010.9287878788,-20000,20000,6
"84",-100,100,0,0,-100,100,9
"85",-100,100,0,0,-100,100,9
"86",228.686868686869,-228.686868686869,-20228.6868686869,20228.6868686869,-20000,20000,6
"87",-102.828282828283,102.828282828283,-497.171717171717,497.171717171717,-600,600,8
"88",-1477.05757575758,1477.05757575758,-18522.9424242424,18522.9424242424,-20000,20000,8
"89",-580.630303030303,580.630303030303,-19419.3696969697,19419.3696969697,-20000,20000,8
"90",-50.8080808080808,50.8080808080808,550.808080808081,-550.808080808081,500,-500,5
"91",100,-100,200,-200,300,-300,9
"92",73.1313131313131,-73.1313131313131,26.8686868686869,-26.8686868686869,100,-100,3
"93",-100,100,-200,200,-300,300,8
"94",-100,100,0,0,-100,100,9
"95",100,-100,0,0,100,-100,9
"96",-8,8,-92,92,-100,100,2
"97",100,-100,0,0,100,-100,9
"98",79.6969696969697,-79.6969696969697,20.3030303030303,-20.3030303030303,100,-100,3
"99",-1148.4,1148.4,-18851.6,18851.6,-20000,20000,8
"100",-180,180,-120,120,-300,300,9
"101",-100,100,200,-200,100,-100,7
"102",47.8787878787879,-47.8787878787879,152.121212121212,-152.121212121212,200,-200,5
"103",52.5252525252525,-52.5252525252525,47.4747474747475,-47.4747474747475,100,-100,3
"104",-52.3232323232323,52.3232323232323,-47.6767676767677,47.6767676767677,-100,100,4
"105",-601.757575757576,601.757575757576,-19398.2424242424,19398.2424242424,-20000,20000,8
"106",113.636363636364,-113.636363636364,786.363636363636,-786.363636363636,900,-900,9
"107",138.787878787879,-138.787878787879,61.2121212121212,-61.2121212121212,200,-200,9
"108",100,-100,0,0,100,-100,9
"109",245.454545454545,-245.454545454545,54.5454545454545,-54.5454545454545,300,-300,9
"110",97.1717171717172,-88.3717171717172,2.82828282828282,-11.6282828282828,100,-100,3
"111",-37.3737373737374,37.3737373737374,-62.6262626262626,62.6262626262626,-100,100,4
"112",-100,100,0,0,-100,100,9
"113",2498.9898989899,-2498.9898989899,-22498.9898989899,22498.9898989899,-20000,20000,8
"114",-1.77635683940025e-15,1.77635683940025e-15,100,-100,100,-100,3
"115",-13.1313131313131,13.1313131313131,-286.868686868687,286.868686868687,-300,300,6
"116",-127.272727272727,127.272727272727,-172.727272727273,172.727272727273,-300,300,8
"117",100,-100,0,0,100,-100,7
"118",100,-100,200,-200,300,-300,9
"119",62.4242424242424,-62.4242424242424,37.5757575757576,-37.5757575757576,100,-100,3
"120",69.5959595959596,-69.5959595959596,30.4040404040404,-30.4040404040404,100,-100,3
"121",418.181818181818,-418.181818181818,2881.81818181818,-2881.81818181818,3300,-3300,9
"122",110.30303030303,-110.30303030303,-20110.303030303,20110.303030303,-20000,20000,8
"123",-208.888888888889,208.888888888889,-19791.1111111111,19791.1111111111,-20000,20000,8
"124",-48.2828282828283,48.2828282828283,-51.7171717171717,51.7171717171717,-100,100,4
"125",-95.3535353535354,95.3535353535353,-4.64646464646465,4.64646464646465,-100,100,4
"126",-71.3131313131313,71.3131313131313,-28.6868686868687,28.6868686868687,-100,100,4
"127",1701.51515151515,-1701.51515151515,-21701.5151515152,21701.5151515152,-20000,20000,8
"128",-100,100,0,0,-100,100,8
"129",100,-92.6,0,-7.40000000000001,100,-100,9
"130",-350.328282828283,350.328282828283,-324.671717171717,324.671717171717,-675,675,9
"131",-131.414141414141,131.414141414141,-468.585858585859,468.585858585859,-600,600,9
"132",-60.5050505050505,60.5050505050505,360.50505050505,-360.50505050505,300,-300,5
"133",0,0,0,0,0,0,9
"134",-346.666666666667,346.666666666667,-2353.33333333333,2353.33333333333,-2700,2700,9
"135",54.5454545454545,-54.5454545454545,45.4545454545455,-45.4545454545455,100,-100,5
"136",131.081818181818,-131.081818181818,118.918181818182,-118.918181818182,250,-250,5
