"","p1_luck","p2_luck","p1_skill","p2_skill","p1_chip","p2_chip","endstate"
"1",100,-100,0,0,100,-100,7
"2",86.3636363636364,-81.8636363636364,13.6363636363636,-18.1363636363636,100,-100,5
"3",-100,100,0,0,-100,100,9
"4",-100,100,0,0,-100,100,9
"5",33.4,-33.4,66.6,-66.6,100,-100,1
"6",-100,100,200,-200,100,-100,7
"7",-34.7,34.7,-65.3,65.3,-100,100,2
"8",-100,100,200,-200,100,-100,7
"9",8.88888888888888,-8.88888888888889,91.1111111111111,-91.1111111111111,100,-100,3
"10",-100,100,0,0,-100,100,9
"11",100,-100,0,0,100,-100,7
"12",46.0606060606061,-46.0606060606061,53.9393939393939,-53.9393939393939,100,-100,3
"13",-54.9494949494949,54.9494949494949,154.949494949495,-154.949494949495,100,-100,3
"14",-100,100,0,0,-100,100,9
"15",52.3232323232323,-52.3232323232323,47.6767676767677,-47.6767676767677,100,-100,3
"16",-100,100,-19900,19900,-20000,20000,8
"17",-95.2525252525253,95.2525252525253,195.252525252525,-195.252525252525,100,-100,3
"18",100,-100,0,0,100,-100,9
"19",-100,100,200,-200,100,-100,7
"20",-70.4545454545455,70.4545454545455,170.454545454545,-170.454545454545,100,-100,5
"21",0,0,0,0,0,0,9
"22",-100,100,200,-200,100,-100,7
"23",40.7070707070707,-40.7070707070707,59.2929292929293,-59.2929292929293,100,-100,3
"24",66.0606060606061,-66.0606060606061,33.9393939393939,-33.9393939393939,100,-100,3
"25",-100,100,200,-200,100,-100,7
"26",50.7070707070707,-50.7070707070707,49.2929292929293,-49.2929292929293,100,-100,3
"27",100,-100,0,0,100,-100,7
"28",-6.21724893790088e-15,-5.32907051820075e-15,100,-100,100,-100,5
"29",72.7272727272727,-72.7272727272727,27.2727272727273,-27.2727272727273,100,-100,5
"30",-100,100,0,0,-100,100,9
"31",0,-1.4210854715202e-14,-20000,20000,-20000,20000,8
"32",1.77635683940025e-15,-1.77635683940025e-15,-20000,20000,-20000,20000,8
"33",92.9292929292929,-92.9292929292929,7.07070707070707,-7.07070707070707,100,-100,3
"34",100,-100,0,0,100,-100,5
"35",-82.2222222222222,82.2222222222222,182.222222222222,-182.222222222222,100,-100,3
"36",-14.8,14.8,-85.2,85.2,-100,100,2
"37",58.7878787878788,-58.7878787878788,41.2121212121212,-41.2121212121212,100,-100,3
"38",68.1818181818182,-68.1818181818182,31.8181818181818,-31.8181818181818,100,-100,5
"39",72.7272727272727,-72.7272727272727,27.2727272727273,-27.2727272727273,100,-100,5
"40",-62.8282828282828,62.8282828282828,162.828282828283,-162.828282828283,100,-100,3
"41",-72.7272727272727,72.7272727272727,172.727272727273,-172.727272727273,100,-100,5
"42",-6.21724893790088e-15,6.21724893790088e-15,100,-100,100,-100,7
"43",-100,100,0,0,-100,100,9
"44",100,-100,0,0,100,-100,5
"45",-40.1010101010101,40.1010101010101,140.10101010101,-140.10101010101,100,-100,3
