"","p1_luck","p2_luck","p1_skill","p2_skill","p1_chip","p2_chip","endstate"
"1",100,-100,0,0,100,-100,9
"2",100,-100,0,0,100,-100,9
"3",100,-100,0,0,100,-100,9
"4",-189.494949494949,189.494949494949,-1610.50505050505,1610.50505050505,-1800,1800,9
"5",-140.40404040404,140.40404040404,-459.59595959596,459.59595959596,-600,600,9
"6",110.505050505051,-99.7050505050505,489.494949494949,-500.294949494949,600,-600,9
"7",-100,100,0,0,-100,100,9
"8",-100,100,0,0,-100,100,9
"9",100,-77.9,200,-222.1,300,-300,9
"10",-100,100,-200,200,-300,300,9
"11",-100,100,0,0,-100,100,9
"12",1.4210854715202e-14,-1.4210854715202e-14,0,0,1.4210854715202e-14,-1.4210854715202e-14,9
"13",100,-100,0,0,100,-100,9
"14",-100,100,0,0,-100,100,9
"15",100,-100,0,0,100,-100,9
"16",100,-100,0,0,100,-100,9
"17",100,-100,0,0,100,-100,9
"18",100,-100,0,0,100,-100,9
"19",-100,100,0,0,-100,100,9
"20",-188.888888888889,188.888888888889,-2511.11111111111,2511.11111111111,-2700,2700,9
"21",100,-100,0,0,100,-100,9
"22",-100,100,-200,200,-300,300,9
"23",-100,100,0,0,-100,100,9
"24",-100,100,0,0,-100,100,9
"25",-174.848484848485,174.848484848485,-2525.15151515152,2525.15151515152,-2700,2700,9
"26",-100,100,0,0,-100,100,9
"27",-111.919191919192,111.919191919192,-88.0808080808081,88.0808080808081,-200,200,9
"28",-143.636363636364,143.636363636364,-56.3636363636364,56.3636363636364,-200,200,9
"29",100,-100,0,0,100,-100,9
"30",100,-100,0,0,100,-100,9
"31",-244.444444444444,244.444444444444,-355.555555555556,355.555555555556,-600,600,9
"32",-100,100,-200,200,-300,300,9
"33",100,-100,0,0,100,-100,9
"34",-100,100,0,0,-100,100,9
"35",-178.249494949495,178.249494949495,-1321.75050505051,1321.75050505051,-1500,1500,9
"36",-127.272727272727,127.272727272727,-772.727272727273,772.727272727273,-900,900,9
"37",100,-100,0,0,100,-100,9
"38",-103.030303030303,103.030303030303,-2596.9696969697,2596.9696969697,-2700,2700,9
"39",100,-100,0,0,100,-100,9
"40",100,-100,0,0,100,-100,9
"41",-105.454545454545,105.454545454545,-494.545454545455,494.545454545455,-600,600,9
"42",100,-82.1,100,-117.9,200,-200,9
"43",100,-100,0,0,100,-100,9
"44",-154.141414141414,154.141414141414,-445.858585858586,445.858585858586,-600,600,9
"45",-360.808080808081,360.808080808081,-2339.19191919192,2339.19191919192,-2700,2700,9
"46",100,-100,0,0,100,-100,9
"47",-127.070707070707,127.070707070707,-772.929292929293,772.929292929293,-900,900,9
"48",100,-100,0,0,100,-100,9
"49",136.767676767677,-136.767676767677,63.2323232323232,-63.2323232323232,200,-200,9
"50",-124.242424242424,124.242424242424,-2575.75757575758,2575.75757575758,-2700,2700,9
"51",-108.282828282828,108.282828282828,-2591.71717171717,2591.71717171717,-2700,2700,9
"52",-461.616161616162,461.616161616162,-2238.38383838384,2238.38383838384,-2700,2700,9
"53",-103.939393939394,103.939393939394,-96.0606060606061,96.0606060606061,-200,200,9
"54",-127.272727272727,127.272727272727,-472.727272727273,472.727272727273,-600,600,9
"55",100,-100,0,0,100,-100,9
"56",-144.040404040404,144.040404040404,-455.959595959596,455.959595959596,-600,600,9
"57",127.171717171717,-127.171717171717,72.8282828282828,-72.8282828282828,200,-200,9
"58",-135.151515151515,135.151515151515,-264.848484848485,264.848484848485,-400,400,9
"59",-100,100,0,0,-100,100,9
"60",-270.505050505051,270.505050505051,-2429.49494949495,2429.49494949495,-2700,2700,9
"61",250.10101010101,-250.10101010101,-50.1010101010101,50.1010101010101,200,-200,9
"62",-100,100,0,0,-100,100,9
"63",-100,100,0,0,-100,100,9
"64",-100,100,-100,100,-200,200,9
"65",100,-100,0,0,100,-100,9
"66",-100,100,-200,200,-300,300,9
"67",-100,100,0,0,-100,100,9
"68",-100,100,0,0,-100,100,9
"69",100,-90.1,0,-9.9,100,-100,9
"70",-147.878787878788,147.878787878788,-52.1212121212121,52.1212121212121,-200,200,9
"71",100,-100,0,0,100,-100,9
"72",100,-100,0,0,100,-100,9
"73",212.424242424242,-212.424242424242,387.575757575758,-387.575757575758,600,-600,9
"74",100,-100,0,0,100,-100,9
"75",100,-100,0,0,100,-100,9
"76",100,-100,0,0,100,-100,9
"77",100,-100,100,-100,200,-200,9
"78",-100,100,-200,200,-300,300,9
"79",-112.929292929293,112.929292929293,-787.070707070707,787.070707070707,-900,900,9
"80",-100,100,-100,100,-200,200,9
"81",-125.858585858586,125.858585858586,-2574.14141414141,2574.14141414141,-2700,2700,9
"82",-100,100,0,0,-100,100,9
"83",100,-100,0,0,100,-100,9
"84",280.40404040404,-280.40404040404,-80.4040404040404,80.4040404040404,200,-200,9
"85",-115.353535353535,115.353535353535,-2584.64646464646,2584.64646464646,-2700,2700,9
"86",-158.383838383838,158.383838383838,-2541.61616161616,2541.61616161616,-2700,2700,9
"87",100,-100,0,0,100,-100,9
"88",-108.686868686869,108.686868686869,-1691.31313131313,1691.31313131313,-1800,1800,9
"89",100,-100,0,0,100,-100,9
"90",-142.727272727273,142.727272727273,-2557.27272727273,2557.27272727273,-2700,2700,9
"91",139.89898989899,-139.89898989899,60.1010101010101,-60.1010101010101,200,-200,9
"92",-100,100,-200,200,-300,300,9
"93",100,-100,0,0,100,-100,9
"94",-150,150,-450,450,-600,600,9
"95",100,-100,0,0,100,-100,9
"96",0,0,0,0,0,0,9
"97",100,-100,0,0,100,-100,9
"98",-105.858585858586,105.858585858586,-494.141414141414,494.141414141414,-600,600,9
"99",-100,100,-200,200,-300,300,9
"100",148.080808080808,-148.080808080808,51.9191919191919,-51.9191919191919,200,-200,9
"101",136.767676767677,-136.767676767677,63.2323232323232,-63.2323232323232,200,-200,9
"102",100,-100,0,0,100,-100,9
"103",100,-100,0,0,100,-100,9
"104",140,-118.4,60,-81.6,200,-200,9
"105",-100,100,-200,200,-300,300,9
"106",-100,100,0,0,-100,100,9
"107",-142.929292929293,142.929292929293,-257.070707070707,257.070707070707,-400,400,9
"108",409.090909090909,-392.690909090909,190.909090909091,-207.309090909091,600,-600,9
"109",-122.626262626263,122.626262626263,-1677.37373737374,1677.37373737374,-1800,1800,9
"110",-100,100,0,0,-100,100,9
"111",-100,100,-200,200,-300,300,9
"112",-107.878787878788,107.878787878788,-1692.12121212121,1692.12121212121,-1800,1800,9
"113",305.05,-305.05,-55.05,55.05,250,-250,9
"114",1517.37373737374,-1517.37373737374,1182.62626262626,-1182.62626262626,2700,-2700,9
"115",107.171717171717,-107.171717171717,492.828282828283,-492.828282828283,600,-600,9
"116",134.141414141414,-134.141414141414,465.858585858586,-465.858585858586,600,-600,9
"117",100,-100,0,0,100,-100,9
"118",127.474747474747,-127.474747474747,72.5252525252525,-72.5252525252525,200,-200,9
"119",100,-100,0,0,100,-100,9
"120",-116.161616161616,116.161616161616,-83.8383838383838,83.8383838383838,-200,200,9
"121",-100,100,-800,800,-900,900,9
"122",-283.893939393939,283.893939393939,-216.106060606061,216.106060606061,-500,500,9
"123",-100,100,0,0,-100,100,9
"124",-100,100,0,0,-100,100,9
"125",100,-100,0,0,100,-100,9
"126",100,-100,0,0,100,-100,9
"127",-140.40404040404,140.40404040404,-459.59595959596,459.59595959596,-600,600,9
"128",-200.606060606061,200.606060606061,-699.393939393939,699.393939393939,-900,900,9
"129",262.828282828283,-262.828282828283,-62.8282828282828,62.8282828282828,200,-200,9
"130",-108.787878787879,108.787878787879,-491.212121212121,491.212121212121,-600,600,9
"131",-7.105427357601e-15,7.105427357601e-15,0,0,-7.105427357601e-15,7.105427357601e-15,9
"132",-133.939393939394,133.939393939394,-2566.06060606061,2566.06060606061,-2700,2700,9
"133",100,-100,0,0,100,-100,9
"134",-188.888888888889,188.888888888889,-2511.11111111111,2511.11111111111,-2700,2700,9
"135",100,-100,0,0,100,-100,9
"136",100,-100,100,-100,200,-200,9
"137",100,-100,0,0,100,-100,9
"138",100,-100,0,0,100,-100,9
"139",100,-100,0,0,100,-100,9
"140",100,-100,100,-100,200,-200,9
"141",100,-100,0,0,100,-100,9
"142",1.4210854715202e-14,4.09999999999998,0,-4.09999999999999,1.4210854715202e-14,-1.4210854715202e-14,9
"143",100,-100,0,0,100,-100,9
"144",-1.4210854715202e-14,0,0,0,-1.4210854715202e-14,0,9
"145",-100,100,-200,200,-300,300,9
"146",100,-100,0,0,100,-100,9
"147",100,-100,0,0,100,-100,9
"148",100,-100,0,0,100,-100,9
"149",100,-100,0,0,100,-100,9
"150",-164.05,164.05,-585.95,585.95,-750,750,9
"151",-347.272727272727,347.272727272727,-1452.72727272727,1452.72727272727,-1800,1800,9
"152",-154.747474747475,154.747474747475,-745.252525252525,745.252525252525,-900,900,9
"153",-41.6161616161615,41.6161616161615,41.6161616161617,-41.6161616161614,1.4210854715202e-13,5.6843418860808e-14,9
"154",100,-100,0,0,100,-100,9
"155",-134.141414141414,134.141414141414,-465.858585858586,465.858585858586,-600,600,9
"156",100,-100,0,0,100,-100,9
"157",100,-100,0,0,100,-100,9
"158",-146.060606060606,146.060606060606,-453.939393939394,453.939393939394,-600,600,9
"159",100,-100,0,0,100,-100,9
"160",-243.535353535354,243.535353535354,-356.464646464646,356.464646464646,-600,600,9
"161",100,-100,0,0,100,-100,9
"162",-115.353535353535,115.353535353535,-2584.64646464646,2584.64646464646,-2700,2700,9
"163",-172.75,172.75,-77.25,77.25,-250,250,9
"164",-100,100,-200,200,-300,300,9
"165",-100,100,0,0,-100,100,9
"166",880.20202020202,-880.20202020202,919.79797979798,-919.79797979798,1800,-1800,9
"167",-100,100,0,0,-100,100,9
"168",-263.232323232323,263.232323232323,-336.767676767677,336.767676767677,-600,600,9
"169",100,-100,0,0,100,-100,9
"170",237.575757575758,-237.575757575758,-37.5757575757576,37.5757575757576,200,-200,9
"171",100,-100,0,0,100,-100,9
"172",104.444444444444,-85.1444444444445,495.555555555556,-514.855555555555,600,-600,9
"173",100,-100,0,0,100,-100,9
"174",100,-100,200,-200,300,-300,9
"175",100,-100,0,0,100,-100,9
"176",242.020202020202,-242.020202020202,-42.020202020202,42.020202020202,200,-200,9
"177",-125.353535353535,125.353535353535,-1674.64646464646,1674.64646464646,-1800,1800,9
"178",-275.353535353535,275.353535353535,-2424.64646464646,2424.64646464646,-2700,2700,9
"179",100,-100,0,0,100,-100,9
"180",-152.525252525253,152.525252525253,-47.4747474747475,47.4747474747475,-200,200,9
"181",100,-100,0,0,100,-100,9
"182",-100,100,-200,200,-300,300,9
"183",100,-100,0,0,100,-100,9
"184",100,-100,0,0,100,-100,9
"185",-100,100,0,0,-100,100,9
"186",100,-100,0,0,100,-100,9
"187",100,-100,0,0,100,-100,9
"188",-160,160,-40,40,-200,200,9
"189",-153.333333333333,153.333333333333,-446.666666666667,446.666666666667,-600,600,9
"190",181.15,-181.15,568.85,-568.85,750,-750,9
"191",107.373737373737,-107.373737373737,92.6262626262626,-92.6262626262626,200,-200,9
"192",-151.919191919192,151.919191919192,-248.080808080808,248.080808080808,-400,400,9
"193",-202.020202020202,202.020202020202,2.02020202020201,-2.02020202020201,-200,200,9
"194",-317.171717171717,317.171717171717,-1482.82828282828,1482.82828282828,-1800,1800,9
"195",100,-100,200,-200,300,-300,9
"196",-216.666666666667,216.666666666667,-1583.33333333333,1583.33333333333,-1800,1800,9
"197",-100,100,0,0,-100,100,9
"198",100,-100,0,0,100,-100,9
"199",-100,100,0,0,-100,100,9
"200",-160,160,-440,440,-600,600,9
"201",-159.090909090909,159.090909090909,-1640.90909090909,1640.90909090909,-1800,1800,9
"202",-100,100,0,0,-100,100,9
"203",108.686868686869,-108.686868686869,791.313131313131,-791.313131313131,900,-900,9
"204",-100,100,-100,100,-200,200,9
"205",-190.10101010101,190.10101010101,-2509.89898989899,2509.89898989899,-2700,2700,9
"206",-100,100,0,0,-100,100,9
"207",100,-100,0,0,100,-100,9
"208",100,-100,0,0,100,-100,9
"209",-203.232323232323,203.232323232323,3.23232323232322,-3.23232323232322,-200,200,9
"210",901.515151515152,-901.515151515152,898.484848484848,-898.484848484848,1800,-1800,9
"211",100,-100,0,0,100,-100,9
"212",138.888888888889,-138.888888888889,261.111111111111,-261.111111111111,400,-400,9
"213",-133.333333333333,133.333333333333,-1666.66666666667,1666.66666666667,-1800,1800,9
"214",100,-100,0,0,100,-100,9
"215",153.131313131313,-140.731313131313,1646.86868686869,-1659.26868686869,1800,-1800,9
"216",100,-100,0,0,100,-100,9
"217",-100,100,-800,800,-900,900,9
"218",100,-100,100,-100,200,-200,9
"219",-147.474747474747,147.474747474747,-52.5252525252525,52.5252525252525,-200,200,9
"220",-263.232323232323,263.232323232323,-336.767676767677,336.767676767677,-600,600,9
"221",314.5,-314.5,-64.5,64.5,250,-250,9
"222",-211.111111111111,211.111111111111,-1588.88888888889,1588.88888888889,-1800,1800,9
"223",-103.838383838384,103.838383838384,-96.1616161616162,96.1616161616162,-200,200,9
"224",-206.95,206.95,-43.05,43.05,-250,250,9
"225",100,-100,200,-200,300,-300,9
"226",-100,100,0,0,-100,100,9
"227",-181.818181818182,181.818181818182,-718.181818181818,718.181818181818,-900,900,9
"228",100,-100,0,0,100,-100,9
"229",100,-100,0,0,100,-100,9
"230",242.424242424242,-242.424242424242,157.575757575758,-157.575757575758,400,-400,9
"231",100,-100,0,0,100,-100,9
"232",147.575757575758,-147.575757575758,52.4242424242424,-52.4242424242424,200,-200,9
"233",100,-100,0,0,100,-100,9
"234",-100,100,-200,200,-300,300,9
"235",-100,100,-200,200,-300,300,9
"236",-100,100,-200,200,-300,300,9
"237",-130.909090909091,130.909090909091,-69.0909090909091,69.0909090909091,-200,200,9
"238",160.606060606061,-160.606060606061,239.393939393939,-239.393939393939,400,-400,9
"239",-166.464646464646,166.464646464646,-733.535353535354,733.535353535354,-900,900,9
"240",100,-100,0,0,100,-100,9
"241",87.6767676767677,-87.6767676767677,-87.6767676767677,87.6767676767677,1.4210854715202e-14,-5.6843418860808e-14,9
"242",100,-100,100,-100,200,-200,9
"243",100,-100,100,-100,200,-200,9
"244",302.087878787879,-302.087878787879,197.912121212121,-197.912121212121,500,-500,9
"245",-100,100,-200,200,-300,300,9
"246",-151.616161616162,151.616161616162,-48.3838383838384,48.3838383838384,-200,200,9
"247",100,-100,0,0,100,-100,9
"248",-121.818181818182,121.818181818182,-478.181818181818,478.181818181818,-600,600,9
"249",416.363636363636,-416.363636363636,483.636363636364,-483.636363636364,900,-900,9
"250",-100,100,-100,100,-200,200,9
"251",159.090909090909,-159.090909090909,740.909090909091,-740.909090909091,900,-900,9
"252",-119.79797979798,119.79797979798,-2580.20202020202,2580.20202020202,-2700,2700,9
"253",-100,100,0,0,-100,100,9
"254",136.767676767677,-136.767676767677,63.2323232323232,-63.2323232323232,200,-200,9
"255",100,-100,0,0,100,-100,9
"256",-198.787878787879,198.787878787879,-1.21212121212122,1.21212121212122,-200,200,9
"257",100,-100,0,0,100,-100,9
"258",-100,100,-100,100,-200,200,9
"259",215.151515151515,-215.151515151515,-15.1515151515152,15.1515151515152,200,-200,9
"260",145.151515151515,-145.151515151515,54.8484848484848,-54.8484848484849,200,-200,9
"261",5.32907051820075e-15,-5.32907051820075e-15,0,0,5.32907051820075e-15,-5.32907051820075e-15,9
"262",3.5527136788005e-15,-3.5527136788005e-15,0,0,3.5527136788005e-15,-3.5527136788005e-15,9
"263",-100,100,0,0,-100,100,9
"264",7.105427357601e-15,-7.105427357601e-15,0,0,7.105427357601e-15,-7.105427357601e-15,9
"265",-108.686868686869,108.686868686869,-291.313131313131,291.313131313131,-400,400,9
"266",100,-88.1,0,-11.9,100,-100,9
"267",0,0,0,0,0,0,9
"268",100,-100,0,0,100,-100,9
"269",-264.848484848485,264.848484848485,-335.151515151515,335.151515151515,-600,600,9
"270",-100,100,0,0,-100,100,9
"271",-135.656565656566,135.656565656566,-464.343434343434,464.343434343434,-600,600,9
"272",-100,100,-200,200,-300,300,9
"273",-113.636363636364,113.636363636364,-786.363636363636,786.363636363636,-900,900,9
"274",100,-100,0,0,100,-100,9
"275",-100,100,0,0,-100,100,9
"276",100,-73,0,-27,100,-100,9
"277",-100,100,0,0,-100,100,9
"278",100,-100,0,0,100,-100,9
"279",-346.565656565657,346.565656565657,-1453.43434343434,1453.43434343434,-1800,1800,9
"280",156.363636363636,-156.363636363636,1643.63636363636,-1643.63636363636,1800,-1800,9
"281",-100,100,-100,100,-200,200,9
"282",100,-100,0,0,100,-100,9
"283",-100,100,0,0,-100,100,9
"284",-264.242424242424,264.242424242424,-2435.75757575758,2435.75757575758,-2700,2700,9
"285",100,-100,0,0,100,-100,9
"286",100,-100,0,0,100,-100,9
"287",100,-100,0,0,100,-100,9
"288",100,-100,200,-200,300,-300,9
"289",-1.77635683940025e-15,1.77635683940025e-15,0,0,-1.77635683940025e-15,1.77635683940025e-15,9
"290",5.35353535353536,-5.35353535353535,-5.35353535353534,5.35353535353534,2.1316282072803e-14,-1.77635683940025e-14,9
"291",-100,100,-200,200,-300,300,9
"292",1.33226762955019e-15,1.77635683940025e-15,0,0,1.33226762955019e-15,1.77635683940025e-15,9
"293",-230.909090909091,230.909090909091,-2469.09090909091,2469.09090909091,-2700,2700,9
"294",100,-100,0,0,100,-100,9
"295",-2.12121212121212,2.12121212121212,2.12121212121212,-2.12121212121212,0,-7.105427357601e-15,9
"296",46.1616161616162,-46.1616161616162,-46.1616161616162,46.1616161616162,-1.4210854715202e-14,7.105427357601e-15,9
"297",148.787878787879,-148.787878787879,51.2121212121212,-51.2121212121212,200,-200,9
"298",-107.373737373737,107.373737373737,-492.626262626263,492.626262626263,-600,600,9
"299",100,-100,0,0,100,-100,9
"300",-135.353535353535,135.353535353535,-464.646464646465,464.646464646465,-600,600,9
"301",-143.636363636364,143.636363636364,-1656.36363636364,1656.36363636364,-1800,1800,9
"302",-100,100,0,0,-100,100,9
"303",100,-100,0,0,100,-100,9
"304",-148.080808080808,148.080808080808,-1651.91919191919,1651.91919191919,-1800,1800,9
"305",113.535353535354,-88.4353535353536,486.464646464646,-511.564646464646,600,-600,9
"306",100,-100,0,0,100,-100,9
"307",1.77635683940025e-15,1.77635683940025e-15,0,0,1.77635683940025e-15,1.77635683940025e-15,9
"308",-114.949494949495,114.949494949495,-85.0505050505051,85.0505050505051,-200,200,9
"309",100,-100,0,0,100,-100,9
"310",-139.393939393939,139.393939393939,-260.606060606061,260.606060606061,-400,400,9
"311",100,-100,200,-200,300,-300,9
"312",149.191919191919,-149.191919191919,450.808080808081,-450.808080808081,600,-600,9
"313",-100,100,-200,200,-300,300,9
"314",-246.060606060606,250.560606060606,-2453.93939393939,2449.43939393939,-2700,2700,9
"315",-100,100,0,0,-100,100,9
"316",100,-100,100,-100,200,-200,9
"317",-100,100,0,0,-100,100,9
"318",152.323232323232,-152.323232323232,47.6767676767677,-47.6767676767677,200,-200,9
"319",136.767676767677,-122.667676767677,263.232323232323,-277.332323232323,400,-400,9
"320",-133.333333333333,133.333333333333,-66.6666666666667,66.6666666666667,-200,200,9
"321",100,-100,500,-500,600,-600,9
"322",100,-64.5,0,-35.5,100,-100,9
"323",-100,100,0,0,-100,100,9
"324",101.313131313131,-101.313131313131,498.686868686869,-498.686868686869,600,-600,9
"325",-143.434343434343,143.434343434343,-456.565656565657,456.565656565657,-600,600,9
"326",-100,100,0,0,-100,100,9
"327",289.911111111111,-289.911111111111,4210.08888888889,-4210.08888888889,4500,-4500,9
"328",100,-100,0,0,100,-100,9
"329",147.272727272727,-147.272727272727,452.727272727273,-452.727272727273,600,-600,9
"330",100,-100,0,0,100,-100,9
"331",100,-100,0,0,100,-100,9
"332",-100,100,-800,800,-900,900,9
"333",-127.676767676768,127.676767676768,-2572.32323232323,2572.32323232323,-2700,2700,9
"334",-100,100,0,0,-100,100,9
"335",100,-100,0,0,100,-100,9
"336",-102.424242424242,102.424242424242,-797.575757575758,797.575757575758,-900,900,9
"337",100,-74.6,0,-25.4,100,-100,9
"338",-112.727272727273,112.727272727273,-87.2727272727273,87.2727272727273,-200,200,9
"339",-114.545454545455,114.545454545455,-2585.45454545455,2585.45454545455,-2700,2700,9
"340",-279.191919191919,279.191919191919,-320.808080808081,320.808080808081,-600,600,9
"341",-100,100,0,0,-100,100,9
"342",100,-100,0,0,100,-100,9
"343",100,-100,0,0,100,-100,9
"344",-236.969696969697,236.969696969697,-1563.0303030303,1563.0303030303,-1800,1800,9
"345",-123.636363636364,123.636363636364,-276.363636363636,276.363636363636,-400,400,9
"346",-100,100,0,0,-100,100,9
"347",100,-100,0,0,100,-100,9
"348",100,-100,0,0,100,-100,9
"349",100,-96.8,0,-3.2,100,-100,9
"350",-147.474747474747,147.474747474747,-1652.52525252525,1652.52525252525,-1800,1800,9
"351",-100,100,0,0,-100,100,9
"352",-231.111111111111,231.111111111111,-2468.88888888889,2468.88888888889,-2700,2700,9
"353",100,-100,100,-100,200,-200,9
"354",100,-100,0,0,100,-100,9
"355",100,-100,0,0,100,-100,9
"356",-126.464646464646,126.464646464646,-273.535353535354,273.535353535354,-400,400,9
"357",-174.949494949495,174.949494949495,-1625.05050505051,1625.05050505051,-1800,1800,9
"358",-110.40404040404,110.40404040404,-89.5959595959596,89.5959595959596,-200,200,9
"359",100,-100,0,0,100,-100,9
"360",-100,100,0,0,-100,100,9
"361",-113.232323232323,113.232323232323,-1686.76767676768,1686.76767676768,-1800,1800,9
"362",-122.424242424242,122.424242424242,-477.575757575758,477.575757575758,-600,600,9
"363",-111.919191919192,111.919191919192,-88.0808080808081,88.0808080808081,-200,200,9
"364",-211.795454545455,211.795454545455,-6538.20454545455,6538.20454545455,-6750,6750,9
"365",126.262626262626,-126.262626262626,273.737373737374,-273.737373737374,400,-400,9
"366",-100,100,-200,200,-300,300,9
"367",100,-100,0,0,100,-100,9
"368",252.525252525253,-252.525252525253,-52.5252525252525,52.5252525252525,200,-200,9
"369",-273.939393939394,273.939393939394,-1526.06060606061,1526.06060606061,-1800,1800,9
"370",118.989898989899,-118.989898989899,1681.0101010101,-1681.0101010101,1800,-1800,9
"371",100,-73.8,0,-26.2,100,-100,9
"372",157.474747474747,-157.474747474747,1642.52525252525,-1642.52525252525,1800,-1800,9
