"","p1_luck","p2_luck","p1_skill","p2_skill","p1_chip","p2_chip","endstate"
"1",74,-50,26,-50,100,-100,1
"2",21.1,-21.1,78.9,-78.9,100,-100,1
"3",26.45,-26.45,73.55,-73.55,100,-100,1
"4",4.84999999999999,-4.84999999999999,95.15,-95.15,100,-100,1
"5",43.8,-43.8,56.2,-56.2,100,-100,1
"6",49.7,-49.7,50.3,-50.3,100,-100,1
"7",-68.45,68.45,168.45,-168.45,100,-100,1
"8",-28.75,28.75,128.75,-128.75,100,-100,1
"9",28.9,-28.9,71.1,-71.1,100,-100,1
"10",33.75,-33.75,66.25,-66.25,100,-100,1
"11",-30.45,30.45,130.45,-130.45,100,-100,1
"12",-9.09999999999999,9.09999999999999,109.1,-109.1,100,-100,1
"13",-3.8,3.8,103.8,-103.8,100,-100,1
"14",29.25,-29.25,70.75,-70.75,100,-100,1
"15",-51.35,51.35,151.35,-151.35,100,-100,1
"16",19.65,-19.65,80.35,-80.35,100,-100,1
"17",-17.75,17.75,117.75,-117.75,100,-100,1
"18",-28.1,28.1,128.1,-128.1,100,-100,1
"19",12.15,-12.15,87.85,-87.85,100,-100,1
"20",-25,25,125,-125,100,-100,1
"21",24,-24,76,-76,100,-100,1
"22",27.05,-27.05,72.95,-72.95,100,-100,1
"23",34.2,-34.2,65.8,-65.8,100,-100,1
"24",-32.55,32.55,132.55,-132.55,100,-100,1
"25",-32.15,32.15,132.15,-132.15,100,-100,1
"26",-21.3,21.3,121.3,-121.3,100,-100,1
"27",14.8,-14.8,85.2,-85.2,100,-100,1
"28",31.2,-31.2,68.8,-68.8,100,-100,1
"29",-51,51,151,-151,100,-100,1
"30",33.6,-33.6,66.4,-66.4,100,-100,1
"31",36.65,-36.65,63.35,-63.35,100,-100,1
"32",14.55,-14.55,85.45,-85.45,100,-100,1
"33",-23.25,23.25,123.25,-123.25,100,-100,1
"34",-45,45,145,-145,100,-100,1
"35",15.8,-15.8,84.2,-84.2,100,-100,1
