"","p1_luck","p2_luck","p1_skill","p2_skill","p1_chip","p2_chip","endstate"
"1",74.8,-50,25.2,-50,100,-100,1
"2",38,-38,62,-62,100,-100,1
"3",86.8295454545455,-86.8295454545455,363.170454545455,-363.170454545455,450,-450,3
"4",18.75,-18.75,81.25,-81.25,100,-100,1
"5",21.9,-21.9,78.1,-78.1,100,-100,1
"6",-27.75,27.75,127.75,-127.75,100,-100,1
"7",-73.2,73.2,573.2,-573.2,500,-500,1
"8",-27.8,27.8,127.8,-127.8,100,-100,1
"9",-28.5,28.5,128.5,-128.5,100,-100,1
"10",-29.55,29.55,129.55,-129.55,100,-100,1
"11",-24.1,24.1,124.1,-124.1,100,-100,1
"12",17.35,-17.35,82.65,-82.65,100,-100,1
"13",3810.90303030303,-3810.90303030303,16189.096969697,-16189.096969697,20000,-20000,9
"14",28.65,-28.65,71.35,-71.35,100,-100,1
"15",-194.384090909091,194.384090909091,644.384090909091,-644.384090909091,450,-450,3
"16",-39.65,39.65,139.65,-139.65,100,-100,1
"17",-14.55,14.55,114.55,-114.55,100,-100,1
"18",68.8,-50,31.2,-50,100,-100,1
"19",-6.39999999999999,6.40000000000001,106.4,-106.4,100,-100,1
"20",13.75,-13.75,86.25,-86.25,100,-100,1
"21",7.19999999999999,-7.19999999999999,92.8,-92.8,100,-100,1
"22",35.55,-35.55,64.45,-64.45,100,-100,1
"23",16.3,-16.3,83.7,-83.7,100,-100,1
"24",28.7,-28.7,71.3,-71.3,100,-100,1
"25",3521.87373737374,-3521.87373737374,16478.1262626263,-16478.1262626263,20000,-20000,9
"26",-27.05,27.05,127.05,-127.05,100,-100,1
"27",18.8,-18.8,81.2,-81.2,100,-100,1
"28",17.1,-17.1,82.9,-82.9,100,-100,1
"29",38.45,-38.45,61.55,-61.55,100,-100,1
"30",33.4,-33.4,66.6,-66.6,100,-100,1
"31",15.55,-15.55,84.45,-84.45,100,-100,1
"32",31.05,-31.05,68.95,-68.95,100,-100,1
"33",31.4,-31.4,68.6,-68.6,100,-100,1
"34",21.4,-21.4,78.6,-78.6,100,-100,1
"35",-32.3,32.3,132.3,-132.3,100,-100,1
"36",24.2,-24.2,75.8,-75.8,100,-100,1
"37",-39.55,39.55,139.55,-139.55,100,-100,1
"38",-9.89999999999999,9.89999999999999,109.9,-109.9,100,-100,1
"39",44,-44,56,-56,100,-100,1
"40",-47.7,47.7,147.7,-147.7,100,-100,1
"41",-26.35,26.35,126.35,-126.35,100,-100,1
"42",23.5,-23.5,76.5,-76.5,100,-100,1
"43",37.1,-37.1,62.9,-62.9,100,-100,1
"44",43.6,-43.6,56.4,-56.4,100,-100,1
"45",34348.1686868687,-34348.1686868687,-14348.1686868687,14348.1686868687,20000,-20000,9
"46",1449.50303030303,-1449.50303030303,18550.496969697,-18550.496969697,20000,-20000,9
"47",-2.40000000000001,2.40000000000001,102.4,-102.4,100,-100,1
"48",-9.05,9.05,109.05,-109.05,100,-100,1
"49",943.464646464649,-943.464646464649,19056.5353535353,-19056.5353535353,20000,-20000,9
"50",-32.25,32.25,132.25,-132.25,100,-100,1
"51",-37.9,37.9,137.9,-137.9,100,-100,1
"52",-10.35,10.35,110.35,-110.35,100,-100,1
"53",32.85,-32.85,67.15,-67.15,100,-100,1
"54",34.4,-34.4,65.6,-65.6,100,-100,1
"55",25547.8,-25547.8,-5547.8,5547.8,20000,-20000,9
"56",-31.75,31.75,131.75,-131.75,100,-100,1
"57",37.85,-37.85,62.15,-62.15,100,-100,1
"58",-1616.82348484848,1616.82348484848,-18383.1765151515,18383.1765151515,-20000,20000,9
"59",36.1,-36.1,63.9,-63.9,100,-100,1
"60",9.19999999999999,-9.19999999999999,90.8,-90.8,100,-100,1
"61",-36.25,36.25,136.25,-136.25,100,-100,1
"62",86.7,-50,13.3,-50,100,-100,1
"63",-9.39999999999999,9.39999999999999,109.4,-109.4,100,-100,1
"64",-5.65000000000001,5.65000000000001,105.65,-105.65,100,-100,1
"65",-41.15,41.15,141.15,-141.15,100,-100,1
"66",-10.25,10.25,110.25,-110.25,100,-100,1
"67",18.3,-18.3,81.7,-81.7,100,-100,1
"68",41.15,-41.15,58.85,-58.85,100,-100,1
"69",30.25,-30.25,69.75,-69.75,100,-100,1
"70",33.4,-33.4,66.6,-66.6,100,-100,1
"71",-5023.70227272727,5023.70227272727,-14976.2977272727,14976.2977272727,-20000,20000,9
"72",35.05,-35.05,64.95,-64.95,100,-100,1
"73",73.25,-50,26.75,-50,100,-100,1
"74",38.95,-38.95,61.05,-61.05,100,-100,1
"75",31.05,-31.05,68.95,-68.95,100,-100,1
"76",9.45,-9.45,90.55,-90.55,100,-100,1
"77",28.6,-28.6,71.4,-71.4,100,-100,1
"78",24,-24,76,-76,100,-100,1
"79",-30.1,30.1,130.1,-130.1,100,-100,1
"80",-4.85000000000001,4.85000000000002,104.85,-104.85,100,-100,1
"81",-31.45,31.45,131.45,-131.45,100,-100,1
"82",-30.6,30.6,130.6,-130.6,100,-100,1
"83",41.6,-41.6,58.4,-58.4,100,-100,1
"84",-15.5,15.5,115.5,-115.5,100,-100,1
"85",46.8,-46.8,53.2,-53.2,100,-100,1
"86",-46.9,46.9,146.9,-146.9,100,-100,1
"87",28.9,-28.9,71.1,-71.1,100,-100,1
"88",-67.3,67.3,167.3,-167.3,100,-100,1
"89",-646.488636363636,646.488636363636,-19353.5113636364,19353.5113636364,-20000,20000,9
"90",-23.05,23.05,123.05,-123.05,100,-100,1
"91",-48.55,48.55,148.55,-148.55,100,-100,1
"92",16.7,-16.7,83.3,-83.3,100,-100,1
"93",5.15000000000001,-5.15000000000001,94.85,-94.85,100,-100,1
"94",-22.15,22.15,122.15,-122.15,100,-100,1
"95",24.9,-24.9,75.1,-75.1,100,-100,1
"96",12.5,-12.5,87.5,-87.5,100,-100,1
"97",-60.1,60.1,460.1,-460.1,400,-400,1
"98",14.95,-14.95,85.05,-85.05,100,-100,1
