"","p1_luck","p2_luck","p1_skill","p2_skill","p1_chip","p2_chip","endstate"
"1",74,-50,26,-50,100,-100,1
"2",66.6666666666667,-66.6666666666667,33.3333333333333,-33.3333333333333,100,-100,3
"3",100,-100,0,0,100,-100,5
"4",73.939393939394,-73.939393939394,26.0606060606061,-26.0606060606061,100,-100,3
"5",42.2222222222222,-42.2222222222222,57.7777777777778,-57.7777777777778,100,-100,3
"6",-6.26262626262625,6.26262626262625,106.262626262626,-106.262626262626,100,-100,3
"7",-49.6969696969697,49.6969696969697,149.69696969697,-149.69696969697,100,-100,3
"8",-100,100,200,-200,100,-100,7
"9",-96.1616161616162,96.1616161616162,196.161616161616,-196.161616161616,100,-100,3
"10",80,-80,20,-20,100,-100,3
"11",35.5555555555556,-35.5555555555556,64.4444444444444,-64.4444444444444,100,-100,3
"12",-68.6868686868687,68.6868686868687,168.686868686869,-168.686868686869,100,-100,3
"13",100,-100,0,0,100,-100,7
"14",-59.0909090909091,59.0909090909091,159.090909090909,-159.090909090909,100,-100,5
"15",-100,100,0,0,-100,100,9
"16",53.9393939393939,-53.9393939393939,46.0606060606061,-46.0606060606061,100,-100,3
"17",-44.7474747474748,44.7474747474748,144.747474747475,-144.747474747475,100,-100,3
"18",100,-100,0,0,100,-100,7
"19",-8120.30303030303,8120.30303030303,-11879.696969697,11879.696969697,-20000,20000,9
"20",74.1414141414141,-74.1414141414141,25.8585858585858,-25.8585858585858,100,-100,3
"21",-5.32907051820075e-15,5.32907051820075e-15,100,-100,100,-100,5
"22",-21.2121212121212,21.2121212121212,121.212121212121,-121.212121212121,100,-100,3
"23",16.6666666666667,-16.6666666666667,83.3333333333333,-83.3333333333333,100,-100,3
"24",-7.97979797979799,7.97979797979797,107.979797979798,-107.979797979798,100,-100,3
"25",-9.89898989898989,9.8989898989899,109.89898989899,-109.89898989899,100,-100,3
"26",46.6666666666667,-46.6666666666667,53.3333333333333,-53.3333333333333,100,-100,3
"27",40.5050505050505,-40.5050505050505,59.4949494949495,-59.4949494949495,100,-100,3
