"","p1_luck","p2_luck","p1_skill","p2_skill","p1_chip","p2_chip","endstate"
"1",74.8,-50,25.2,-50,100,-100,1
"2",100,-100,0,0,100,-100,9
"3",107.878787878788,-107.878787878788,2592.12121212121,-2592.12121212121,2700,-2700,9
"4",32904.8484848485,-32904.8484848485,-12904.8484848485,12904.8484848485,20000,-20000,9
"5",-35035.5555555556,35035.5555555556,15035.5555555556,-15035.5555555556,-20000,20000,9
"6",-140.606060606061,140.606060606061,1440.60606060606,-1440.60606060606,1300,-1300,5
"7",100,-100,0,0,100,-100,7
"8",64.7474747474747,-64.7474747474747,35.2525252525253,-35.2525252525253,100,-100,3
"9",87.2727272727273,-87.2727272727273,12.7272727272727,-12.7272727272727,100,-100,3
"10",638.787878787879,-638.787878787879,19361.2121212121,-19361.2121212121,20000,-20000,9
"11",-19.7979797979798,19.7979797979798,-80.2020202020202,80.2020202020202,-100,100,4
"12",-44.9494949494949,44.9494949494949,-55.0505050505051,55.0505050505051,-100,100,4
"13",-45.2525252525253,45.2525252525252,-12054.7474747475,12054.7474747475,-12100,12100,4
"14",41.3,-41.3,58.7,-58.7,100,-100,1
"15",-359.040404040404,359.040404040404,-1665.9595959596,1665.9595959596,-2025,2025,9
"16",-542.727272727274,542.727272727274,542.727272727276,-542.727272727276,1.70530256582424e-12,-1.70530256582424e-12,9
"17",73.7373737373737,-73.7373737373737,26.2626262626263,-26.2626262626263,100,-100,3
"18",-43.8383838383838,43.8383838383838,-56.1616161616162,56.1616161616162,-100,100,4
"19",72.7272727272727,-72.7272727272727,27.2727272727273,-27.2727272727273,100,-100,5
"20",70.2020202020202,-70.2020202020202,29.7979797979798,-29.7979797979798,100,-100,3
"21",1647.77777777778,-1619.52777777778,18352.2222222222,-18380.4722222222,20000,-20000,9
"22",90.5050505050505,-90.5050505050505,209.49494949495,-209.49494949495,300,-300,5
"23",85.7575757575758,-85.7575757575758,14.2424242424242,-14.2424242424242,100,-100,3
"24",-521.414141414141,521.414141414141,-19478.5858585859,19478.5858585859,-20000,20000,9
"25",118.181818181818,-118.181818181818,11581.8181818182,-11581.8181818182,11700,-11700,9
"26",-2128.16161616162,2128.16161616162,-17871.8383838384,17871.8383838384,-20000,20000,9
"27",604.646464646465,-604.646464646465,895.353535353535,-895.353535353535,1500,-1500,9
"28",-100,100,-19900,19900,-20000,20000,9
"29",101.818181818182,-101.818181818182,19898.1818181818,-19898.1818181818,20000,-20000,9
"30",38.0808080808081,-38.0808080808081,61.9191919191919,-61.9191919191919,100,-100,3
"31",67.1717171717172,-67.1717171717172,32.8282828282828,-32.8282828282828,100,-100,3
"32",-769.366666666667,769.366666666667,-2268.63333333333,2268.63333333333,-3038,3038,9
"33",-88.7878787878788,88.7878787878788,-11.2121212121212,11.2121212121212,-100,100,4
"34",100,-100,0,0,100,-100,7
"35",-4803.63636363636,4803.63636363636,-15196.3636363636,15196.3636363636,-20000,20000,9
"36",87.2727272727273,-87.2727272727273,12.7272727272727,-12.7272727272727,100,-100,3
"37",3613.29292929293,-3612.44292929293,16386.7070707071,-16387.5570707071,20000,-20000,9
