"","p1_luck","p2_luck","p1_skill","p2_skill","p1_chip","p2_chip"
"1",-100,100,0,0,19900,20100
"2",100,-100,0,0,20100,19900
"3",-181.818181818182,181.818181818182,-118.181818181818,118.181818181818,19700,20300
"4",402.222222222222,-402.222222222222,1397.77777777778,-1397.77777777778,21800,18200
"5",133.030303030303,-133.030303030303,66.969696969697,-66.969696969697,20200,19800
"6",100,-100,200,-200,20300,19700
"7",100,-100,0,0,20100,19900
"8",-2876.97171717172,2893.57171717172,-7923.02828282828,7906.42828282828,9200,30800
"9",434.545454545455,-434.545454545455,2265.45454545455,-2265.45454545455,22700,17300
"10",-525.3,525.3,-674.7,674.7,18800,21200
"11",-100,100,0,0,19900,20100
"12",-100,100,-200,200,19700,20300
"13",131.111111111111,-131.111111111111,468.888888888889,-468.888888888889,20600,19400
"14",256.1,-256.1,943.9,-943.9,21200,18800
"15",181.818181818182,-181.818181818182,718.181818181818,-718.181818181818,20900,19100
"16",145.656565656566,-145.656565656566,454.343434343434,-454.343434343434,20600,19400
"17",100,-100,0,0,20100,19900
"18",-100,100,-200,200,19700,20300
"19",109.494949494949,-109.494949494949,1690.50505050505,-1690.50505050505,21800,18200
"20",145.454545454545,-145.454545454545,154.545454545455,-154.545454545455,20300,19700
"21",-209.090909090909,209.090909090909,-90.9090909090909,90.9090909090909,19700,20300
"22",135.151515151515,-135.151515151515,64.8484848484848,-64.8484848484848,20200,19800
"23",120.606060606061,-98.8060606060606,2579.39393939394,-2601.19393939394,22700,17300
"24",-204.545454545455,204.545454545455,-695.454545454545,695.454545454545,19100,20900
"25",100,-100,0,0,20100,19900
"26",-100,100,-800,800,19100,20900
"27",-100,100,-200,200,19700,20300
"28",100,-100,800,-800,20900,19100
"29",100,-100,0,0,20100,19900
"30",100,-100,200,-200,20300,19700
"31",-100,100,0,0,19900,20100
"32",-100,100,0,0,19900,20100
"33",-100,100,0,0,19900,20100
"34",146.868686868687,-146.868686868687,53.1313131313131,-53.1313131313131,20200,19800
"35",-100,100,0,0,19900,20100
"36",100,-100,200,-200,20300,19700
"37",100,-100,0,0,20100,19900
"38",-154.545454545455,154.545454545455,-145.454545454545,145.454545454545,19700,20300
"39",-100,100,0,0,19900,20100
"40",100,-100,200,-200,20300,19700
"41",100,-100,800,-800,20900,19100
"42",-100,100,0,0,19900,20100
"43",-399,399,-0.999999999999986,1.00000000000003,19600,20400
"44",-100,100,0,0,19900,20100
"45",147.171717171717,-147.171717171717,452.828282828283,-452.828282828283,20600,19400
"46",-100,100,-200,200,19700,20300
"47",169.090909090909,-169.090909090909,2530.90909090909,-2530.90909090909,22700,17300
"48",190.909090909091,-190.909090909091,709.090909090909,-709.090909090909,20900,19100
"49",181.818181818182,-181.818181818182,718.181818181818,-718.181818181818,20900,19100
"50",126.868686868687,-126.868686868687,473.131313131313,-473.131313131313,20600,19400
"51",-100,100,0,0,19900,20100
"52",-100,100,-200,200,19700,20300
"53",131.919191919192,-131.919191919192,468.080808080808,-468.080808080808,20600,19400
"54",-1018.58585858586,1018.58585858586,-781.414141414141,781.414141414141,18200,21800
"55",100,-100,200,-200,20300,19700
"56",-136.767676767677,136.767676767677,-63.2323232323232,63.2323232323232,19800,20200
"57",129.69696969697,-129.69696969697,70.3030303030303,-70.3030303030303,20200,19800
"58",-474.7,474.7,74.7,-74.7,19600,20400
"59",100,-100,200,-200,20300,19700
"60",163.636363636364,-163.636363636364,136.363636363636,-136.363636363636,20300,19700
"61",-145.656565656566,145.656565656566,-54.3434343434343,54.3434343434343,19800,20200
"62",-100,100,0,0,19900,20100
"63",100,-100,200,-200,20300,19700
"64",486.464646464647,-486.464646464647,2213.53535353535,-2213.53535353535,22700,17300
"65",-302.525252525253,302.525252525253,-1497.47474747475,1497.47474747475,18200,21800
"66",241.818181818182,-241.818181818182,2458.18181818182,-2458.18181818182,22700,17300
"67",-100,100,-200,200,19700,20300
"68",481.943434343434,-481.943434343434,318.056565656566,-318.056565656566,20800,19200
"69",-152.525252525253,152.525252525253,-47.4747474747475,47.4747474747475,19800,20200
"70",1376.78484848485,-1362.88484848485,5823.21515151515,-5837.11515151515,27200,12800
"71",-154.545454545455,154.545454545455,-145.454545454545,145.454545454545,19700,20300
"72",111.919191919192,-111.919191919192,488.080808080808,-488.080808080808,20600,19400
"73",172.727272727273,-172.727272727273,727.272727272727,-727.272727272727,20900,19100
"74",-127.272727272727,127.272727272727,-772.727272727273,772.727272727273,19100,20900
"75",-36.3636363636364,36.3636363636364,36.3636363636364,-36.3636363636364,20000,20000
"76",816.565656565657,-816.565656565657,983.434343434343,-983.434343434343,21800,18200
"77",-100,100,0,0,19900,20100
"78",-227.272727272727,227.272727272727,-72.7272727272727,72.7272727272727,19700,20300
"79",126.464646464646,-126.464646464646,473.535353535354,-473.535353535354,20600,19400
"80",304.141414141414,-304.141414141414,1495.85858585859,-1495.85858585859,21800,18200
"81",100.40404040404,-100.40404040404,2599.59595959596,-2599.59595959596,22700,17300
"82",-107.676767676768,107.676767676768,-492.323232323232,492.323232323232,19400,20600
"83",-100,100,0,0,19900,20100
"84",-100,100,0,0,19900,20100
"85",-100,100,-200,200,19700,20300
"86",-145.454545454545,145.454545454545,-154.545454545455,154.545454545455,19700,20300
