"","p1_luck","p2_luck","p1_skill","p2_skill","p1_chip","p2_chip"
"1",-94.4525252525252,94.4525252525253,-1705.54747474747,1705.54747474747,18200,21800
"2",-84.1666666666667,84.1666666666667,-15.8333333333333,15.8333333333333,19900,20100
"3",-220.042424242424,220.042424242424,-679.957575757576,679.957575757576,19100,20900
"4",73.1666666666667,-73.1666666666667,226.833333333333,-226.833333333333,20300,19700
"5",-111.533333333333,111.533333333333,-788.466666666667,788.466666666667,19100,20900
"6",144.312121212121,-144.312121212121,755.687878787879,-755.687878787879,20900,19100
"7",55.7,-55.7,44.3,-44.3,20100,19900
"8",-132.947474747475,132.947474747475,-467.052525252525,467.052525252525,19400,20600
"9",-112.863636363636,112.863636363636,112.863636363636,-112.863636363636,20000,20000
"10",-206.366666666667,206.366666666667,-93.6333333333333,93.6333333333333,19700,20300
"11",128.7,-128.7,-28.7,28.7,20100,19900
"12",-83.3666666666667,83.3666666666667,-16.6333333333333,16.6333333333333,19900,20100
"13",-114.533333333333,114.533333333333,-185.466666666667,185.466666666667,19700,20300
"14",70.1,-70.1,29.9,-29.9,20100,19900
"15",-98.3242424242424,98.3242424242424,-1701.67575757576,1701.67575757576,18200,21800
"16",-164.005050505051,164.00505050505,-1635.99494949495,1635.99494949495,18200,21800
"17",-70.6,70.6,-829.4,829.4,19100,20900
"18",-307.781818181818,307.781818181818,-292.218181818182,292.218181818182,19400,20600
"19",-119.133333333333,119.133333333333,-180.866666666667,180.866666666667,19700,20300
"20",1618.97777777778,-1618.97777777778,1081.02222222222,-1081.02222222222,22700,17300
"21",-135.363636363636,135.363636363636,-2564.63636363636,2564.63636363636,17300,22700
"22",32.3333333333333,-32.3333333333333,-32.3333333333333,32.3333333333333,20000,20000
"23",128.733333333333,-128.733333333333,-28.7333333333333,28.7333333333333,20100,19900
"24",141.715151515151,-141.715151515151,1658.28484848485,-1658.28484848485,21800,18200
"25",-73.3333333333333,73.3333333333333,-226.666666666667,226.666666666667,19700,20300
"26",-239.690909090909,239.690909090909,-660.309090909091,660.309090909091,19100,20900
"27",86.1666666666667,-86.1666666666667,13.8333333333333,-13.8333333333333,20100,19900
"28",82.2,-82.2,17.8,-17.8,20100,19900
"29",1340.60202020202,-1340.60202020202,1359.39797979798,-1359.39797979798,22700,17300
"30",-100.633333333333,100.633333333333,-199.366666666667,199.366666666667,19700,20300
"31",68.6666666666667,-68.6666666666667,31.3333333333333,-31.3333333333333,20100,19900
"32",-155.018181818182,155.018181818182,-744.981818181818,744.981818181818,19100,20900
"33",-163.813131313131,163.813131313131,-36.1868686868687,36.1868686868687,19800,20200
"34",284.267676767677,-284.267676767677,1515.73232323232,-1515.73232323232,21800,18200
"35",-117.5,117.5,-782.5,782.5,19100,20900
"36",-85.5333333333333,85.5333333333333,-214.466666666667,214.466666666667,19700,20300
"37",220.843434343434,-220.843434343434,1579.15656565657,-1579.15656565657,21800,18200
"38",800.087878787879,-800.087878787879,-200.087878787879,200.087878787879,20600,19400
"39",-51.1,51.1,51.1,-51.1,20000,20000
"40",-328.361616161616,328.361616161616,-271.638383838384,271.638383838384,19400,20600
"41",219.489898989899,-219.489898989899,380.510101010101,-380.510101010101,20600,19400
"42",-51.3333333333333,51.3333333333333,-48.6666666666667,48.6666666666667,19900,20100
"43",320.119191919192,-320.119191919192,279.880808080808,-279.880808080808,20600,19400
"44",140.669696969697,-140.669696969697,759.330303030303,-759.330303030303,20900,19100
"45",-132.866666666667,132.866666666667,-167.133333333333,167.133333333333,19700,20300
"46",-142.481818181818,142.481818181818,-757.518181818182,757.518181818182,19100,20900
"47",56.9333333333333,-56.9333333333333,43.0666666666667,-43.0666666666667,20100,19900
"48",-141.572727272727,141.572727272727,-158.427272727273,158.427272727273,19700,20300
"49",259.40303030303,-259.40303030303,340.59696969697,-340.59696969697,20600,19400
"50",-44.3,44.3,44.3,-44.3,20000,20000
"51",-127.533333333333,127.533333333333,27.5333333333333,-27.5333333333333,19900,20100
"52",122.666666666667,-122.666666666667,-22.6666666666667,22.6666666666667,20100,19900
"53",77,-77,223,-223,20300,19700
"54",-72.2666666666667,72.2666666666667,-27.7333333333333,27.7333333333333,19900,20100
"55",53.5,-53.5,46.5,-46.5,20100,19900
"56",98.6060606060606,-98.6060606060606,501.393939393939,-501.393939393939,20600,19400
"57",-86.1878787878788,86.1878787878788,-113.812121212121,113.812121212121,19800,20200
"58",91.6,-91.6,208.4,-208.4,20300,19700
"59",-94.510101010101,94.510101010101,-505.489898989899,505.489898989899,19400,20600
"60",-59.8333333333333,59.8333333333333,-40.1666666666667,40.1666666666667,19900,20100
"61",63.2,-63.2,236.8,-236.8,20300,19700
"62",134.169696969697,-134.169696969697,765.830303030303,-765.830303030303,20900,19100
"63",253.579797979798,-253.579797979798,346.420202020202,-346.420202020202,20600,19400
"64",-70.2242424242424,70.2242424242424,-1729.77575757576,1729.77575757576,18200,21800
"65",86.8666666666667,-86.8666666666667,213.133333333333,-213.133333333333,20300,19700
"66",-65.9,65.9,-34.1,34.1,19900,20100
"67",60.2666666666667,-60.2666666666667,39.7333333333333,-39.7333333333333,20100,19900
"68",93.7666666666667,-93.7666666666667,206.233333333333,-206.233333333333,20300,19700
"69",-85.720202020202,85.720202020202,-2614.2797979798,2614.2797979798,17300,22700
"70",64.3666666666667,-64.3666666666667,235.633333333333,-235.633333333333,20300,19700
"71",89.9666666666667,-89.9666666666667,210.033333333333,-210.033333333333,20300,19700
"72",297.136363636364,-297.136363636364,2.86363636363637,-2.86363636363637,20300,19700
"73",-95.4393939393939,95.4393939393939,-804.560606060606,804.560606060606,19100,20900
"74",150.538383838384,-150.538383838384,49.4616161616161,-49.4616161616162,20200,19800
"75",-162.006060606061,162.006060606061,-737.993939393939,737.993939393939,19100,20900
"76",-37.2272727272727,37.2272727272727,-562.772727272727,562.772727272727,19400,20600
"77",1642.62424242424,-1642.62424242424,1507.37575757576,-1507.37575757576,23150,16850
"78",61.7,-61.7,838.3,-838.3,20900,19100
"79",79.3,-79.3,220.7,-220.7,20300,19700
"80",82.8666666666667,-82.8666666666667,17.1333333333333,-17.1333333333333,20100,19900
"81",117.733333333333,-117.733333333333,-17.7333333333333,17.7333333333333,20100,19900
"82",-190.744444444444,190.744444444444,-409.255555555556,409.255555555556,19400,20600
"83",195.245454545455,-195.245454545455,-195.245454545455,195.245454545455,20000,20000
"84",-38.1272727272727,38.1272727272727,-161.872727272727,161.872727272727,19800,20200
"85",-125.433333333333,125.433333333333,-174.566666666667,174.566666666667,19700,20300
"86",-130.209090909091,130.209090909091,-69.7909090909091,69.7909090909091,19800,20200
"87",-188.848484848485,188.848484848485,-111.151515151515,111.151515151515,19700,20300
"88",-57.2,57.2,-42.8,42.8,19900,20100
"89",-542.035353535354,542.035353535354,-2157.96464646465,2157.96464646465,17300,22700
"90",-239.936363636364,239.936363636364,-1560.06363636364,1560.06363636364,18200,21800
"91",86.5666666666667,-86.5666666666667,213.433333333333,-213.433333333333,20300,19700
"92",121.066666666667,-121.066666666667,178.933333333333,-178.933333333333,20300,19700
"93",-100.336363636364,100.336363636364,-799.663636363636,799.663636363636,19100,20900
"94",185.669696969697,-185.669696969697,114.330303030303,-114.330303030303,20300,19700
"95",71.9333333333333,-71.9333333333333,28.0666666666667,-28.0666666666667,20100,19900
"96",1005.38585858586,-1005.38585858586,794.614141414141,-794.614141414141,21800,18200
