"","p1_luck","p2_luck","p1_skill","p2_skill","p1_chip","p2_chip"
"1",72.8,-72.8,27.2,-27.2,100,-100
"2",73,-73,27,-27,100,-100
"3",0,0,-20000,20000,-20000,20000
"4",92,-92,8,-8,100,-100
"5",91.9,-91.9,8.09999999999999,-8.09999999999999,100,-100
"6",95.8,-95.8,4.2,-4.2,100,-100
"7",73,-73,27,-27,100,-100
"8",-121,121,21,-21,-100,100
"9",125.5,-125.5,-25.5,25.5,100,-100
"10",130,-130,-30,30,100,-100
"11",-71,71,-29,29,-100,100
"12",-86.2,86.2,-13.8,13.8,-100,100
"13",67.9,-67.9,32.1,-32.1,100,-100
"14",-132.9,132.9,32.9,-32.9,-100,100
"15",-60,60,-40,40,-100,100
"16",-77.9,77.9,-22.1,22.1,-100,100
"17",-123.8,123.8,23.8,-23.8,-100,100
"18",69.1,-69.1,30.9,-30.9,100,-100
"19",-126.8,126.8,26.8,-26.8,-100,100
"20",-110.3,110.3,10.3,-10.3,-100,100
"21",73.6,-73.6,26.4,-26.4,100,-100
"22",71.7,-71.7,28.3,-28.3,100,-100
"23",135.5,-135.5,-35.5,35.5,100,-100
"24",-120.6,120.6,20.6,-20.6,-100,100
"25",-70.8,70.8,-29.2,29.2,-100,100
"26",71.6,-71.6,28.4,-28.4,100,-100
"27",49.7,-49.7,50.3,-50.3,100,-100
"28",-127.2,127.2,27.2,-27.2,-100,100
"29",-27.2,27.2,-72.8,72.8,-100,100
"30",-53.5,53.5,-46.5,46.5,-100,100
"31",-129.3,129.3,29.3,-29.3,-100,100
"32",-89,89,-11,11,-100,100
"33",113.2,-113.2,-13.2,13.2,100,-100
"34",-91.6,91.6,-8.39999999999999,8.40000000000001,-100,100
"35",74.8,-74.8,25.2,-25.2,100,-100
"36",73.7,-73.7,26.3,-26.3,100,-100
"37",0,0,-20000,20000,-20000,20000
"38",-86.3,86.3,-13.7,13.7,-100,100
"39",143.8,-143.8,-43.8,43.8,100,-100
"40",77.6,-77.6,22.4,-22.4,100,-100
"41",-65.1,65.1,-34.9,34.9,-100,100
"42",118.7,-118.7,-18.7,18.7,100,-100
"43",-123.3,123.3,23.3,-23.3,-100,100
"44",-125.1,125.1,25.1,-25.1,-100,100
"45",-113.1,113.1,13.1,-13.1,-100,100
"46",-79.2,79.2,-20.8,20.8,-100,100
"47",-126.9,126.9,26.9,-26.9,-100,100
"48",-138.9,138.9,38.9,-38.9,-100,100
"49",-51.4,51.4,-48.6,48.6,-100,100
"50",94.6,-94.6,5.40000000000001,-5.40000000000001,100,-100
