"","p1_luck","p2_luck","p1_skill","p2_skill","p1_chip","p2_chip"
"1",-26.1,26.1,76.1,-76.1,50,-50
"2",-36.6,36.6,86.6,-86.6,50,-50
"3",36.6,-36.6,13.4,-13.4,50,-50
"4",-28.1,28.1,78.1,-78.1,50,-50
"5",37.6,-37.6,12.4,-12.4,50,-50
"6",0,0,-100,100,-100,100
"7",21.1,-21.1,28.9,-28.9,50,-50
"8",-32.5,32.5,82.5,-82.5,50,-50
"9",-13.3,13.3,63.3,-63.3,50,-50
"10",50.9,-50,-0.899999999999977,0,50,-50
"11",-11.5,11.5,61.5,-61.5,50,-50
"12",26.9,-26.9,23.1,-23.1,50,-50
"13",-44.1,44.1,94.1,-94.1,50,-50
"14",37.1,-37.1,12.9,-12.9,50,-50
"15",-4.7,4.70000000000002,54.7,-54.7,50,-50
"16",-7.59999999999999,7.60000000000001,57.6,-57.6,50,-50
"17",0,0,-100,100,-100,100
"18",0.799999999999997,-0.799999999999997,49.2,-49.2,50,-50
"19",52.8,-50,-2.80000000000001,0,50,-50
"20",-32.4,32.4,82.4,-82.4,50,-50
"21",-42,42,92,-92,50,-50
"22",33.6,-33.6,16.4,-16.4,50,-50
"23",27.7,-27.7,22.3,-22.3,50,-50
"24",-26.5,26.5,76.5,-76.5,50,-50
"25",14.9,-14.9,35.1,-35.1,50,-50
"26",-39.7,39.7,89.7,-89.7,50,-50
"27",32.6,-32.6,17.4,-17.4,50,-50
"28",-40.5,40.5,90.5,-90.5,50,-50
"29",13.6,-13.6,36.4,-36.4,50,-50
"30",11.9,-11.9,38.1,-38.1,50,-50
"31",-27.9,27.9,77.9,-77.9,50,-50
"32",-50.1,50.1,100.1,-100.1,50,-50
"33",15.2,-15.2,34.8,-34.8,50,-50
"34",-39.4,39.4,89.4,-89.4,50,-50
"35",-34.4,34.4,84.4,-84.4,50,-50
"36",32.8,-32.8,17.2,-17.2,50,-50
"37",-3.40000000000001,3.40000000000001,53.4,-53.4,50,-50
"38",34.8,-34.8,15.2,-15.2,50,-50
"39",-32.7,32.7,82.7,-82.7,50,-50
"40",-40.3,40.3,90.3,-90.3,50,-50
"41",-31.8,31.8,81.8,-81.8,50,-50
"42",20.5,-20.5,29.5,-29.5,50,-50
"43",13.2,-13.2,36.8,-36.8,50,-50
"44",22.6,-22.6,27.4,-27.4,50,-50
"45",0,0,-100,100,-100,100
