M,p1_luck,p2_luck,p1_skill,p2_skill,p1_chips,p2_chips
1,-62.9686,62.9686,-368.13535,368.13535,19568.89605,20431.10395
2,-60.7514,60.7514,-366.351,366.351,19572.8976,20427.1024
3,-64.558,64.558,-427.5895,427.5895,19507.8525,20492.1475
4,-60.1024,60.1024,-258.6155,258.6155,19681.2821,20318.7179
5,-61.5152,61.5152,-325.8752,325.8752,19612.6096,20387.3904
6,-61.5758,61.5758,-373.95515,373.95515,19564.46905,20435.53095
7,-59.615,59.615,-136.8852,136.8852,19803.4998,20196.5002
8,-66.9748,66.9748,-322.8279,322.8279,19610.1973,20389.8027
9,-62.8732,62.8732,-361.7263,361.7263,19575.4005,20424.5995
10,-62.1968,62.1968,-336.65265,336.65265,19601.15055,20398.84945
