p1_luck,p2_luck,p1_skill,p2_skill,p1_chip,p2_chip
100,-100,0,0,20100,19900
-93.18181818,93.18181818,-19906.81818,19906.81818,0,40000
100,-100,0,0,20100,19900
-100,100,0,0,19900,20100
100,-100,0,0,20100,19900
100,-100,0,0,20100,19900
-100,100,0,0,19900,20100
-100,100,-19900,19900,0,40000
100,-100,0,0,20100,19900
100,-76.6,0,-23.4,20100,19900
-5.33E-15,5.33E-15,0,0,20000,20000
-100,100,0,0,19900,20100
100,-100,0,0,20100,19900
-100,100,0,0,19900,20100
-100,100,0,0,19900,20100
-100,100,0,0,19900,20100
100,-100,0,0,20100,19900
-100,100,-19900,19900,0,40000
100,-100,0,0,20100,19900
100,-100,0,0,20100,19900
100,-100,0,0,20100,19900
100,-100,0,0,20100,19900
-100,100,0,0,19900,20100
100,-100,0,0,20100,19900
100,-100,0,0,20100,19900
-100,100,0,0,19900,20100
-100,100,0,0,19900,20100
-100,100,0,0,19900,20100
-100,100,0,0,19900,20100
100,-99.43333333,0,-0.566666667,20100,19900
100,-100,0,0,20100,19900
100,-100,0,0,20100,19900
100,-100,0,0,20100,19900
100,-100,0,0,20100,19900
100,-100,0,0,20100,19900
-3.55E-15,3.55E-15,0,0,20000,20000
-100,100,20100,-20100,40000,0
-100,100,0,0,19900,20100
-100,100,0,0,19900,20100
100,-73.03333333,0,-26.96666667,20100,19900
-100,100,0,0,19900,20100
100,-100,0,0,20100,19900
100,-100,0,0,20100,19900
-100,100,0,0,19900,20100
0,1.42E-14,20000,-20000,40000,0
-100,100,0,0,19900,20100
100,-100,0,0,20100,19900
-100,100,0,0,19900,20100
-100,100,20100,-20100,40000,0
100,-100,0,0,20100,19900
-76.73333333,100,-23.26666667,0,19900,20100
100,-76.13333333,0,-23.86666667,20100,19900
-38.06666667,38.06666667,20038.06667,-20038.06667,40000,0
-100,100,0,0,19900,20100
100,-100,0,0,20100,19900
-100,100,0,0,19900,20100
100,-100,0,0,20100,19900
-100,100,-19900,19900,0,40000
100,-100,0,0,20100,19900
-100,100,0,0,19900,20100
-100,100,20100,-20100,40000,0
-100,100,0,0,19900,20100
-100,100,20100,-20100,40000,0
-100,100,-19900,19900,0,40000
100,-100,0,0,20100,19900
-100,100,0,0,19900,20100
-100,100,0,0,19900,20100
100,-100,0,0,20100,19900
-7.11E-15,7.11E-15,0,0,20000,20000
100,-85.3,0,-14.7,20100,19900
-100,100,0,0,19900,20100
100,-74.13333333,0,-25.86666667,20100,19900
-93.18181818,93.18181818,20093.18182,-20093.18182,40000,0
100,-100,0,0,20100,19900
100,-100,0,0,20100,19900
100,-100,0,0,20100,19900
100,-100,0,0,20100,19900
-100,100,0,0,19900,20100
-100,100,0,0,19900,20100
-100,100,0,0,19900,20100
100,-100,0,0,20100,19900
100,-100,0,0,20100,19900
100,-100,0,0,20100,19900
100,-100,0,0,20100,19900
100,-100,0,0,20100,19900
-100,100,0,0,19900,20100
100,-100,0,0,20100,19900
-100,100,-19900,19900,0,40000
2.66E-15,-2.66E-15,0,0,20000,20000
100,-100,0,0,20100,19900
-100,100,20100,-20100,40000,0
100,-100,0,0,20100,19900
100,-100,0,0,20100,19900
-100,100,0,0,19900,20100
-100,100,0,0,19900,20100
100,-100,0,0,20100,19900
-100,100,0,0,19900,20100
100,-100,0,0,20100,19900
100,-100,0,0,20100,19900
100,-100,0,0,20100,19900
100,-100,0,0,20100,19900
100,-100,0,0,20100,19900
1.42E-14,-7.11E-15,20000,-20000,40000,0
100,-79.86666667,0,-20.13333333,20100,19900
100,-100,0,0,20100,19900
-100,100,0,0,19900,20100
-100,100,0,0,19900,20100
100,-100,0,0,20100,19900
-100,100,20100,-20100,40000,0
-100,100,0,0,19900,20100
100,-100,0,0,20100,19900
-100,100,0,0,19900,20100
100,-100,0,0,20100,19900
100,-100,0,0,20100,19900
-100,100,0,0,19900,20100
-100,100,0,0,19900,20100
-100,100,0,0,19900,20100
100,-100,0,0,20100,19900
100,-100,0,0,20100,19900
-100,100,-19900,19900,0,40000
18.18181818,-18.18181818,19981.81818,-19981.81818,40000,0
100,-100,0,0,20100,19900
100,-100,0,0,20100,19900
-100,100,0,0,19900,20100
100,-100,0,0,20100,19900
100,-100,0,0,20100,19900
100,-100,0,0,20100,19900
100,-100,0,0,20100,19900
-100,100,0,0,19900,20100
100,-100,0,0,20100,19900
-100,100,0,0,19900,20100
100,-100,0,0,20100,19900
100,-100,0,0,20100,19900
-100,100,0,0,19900,20100
100,-100,0,0,20100,19900
-100,100,0,0,19900,20100
-100,100,0,0,19900,20100
100,-100,0,0,20100,19900
100,-100,0,0,20100,19900
100,-100,0,0,20100,19900
-100,100,0,0,19900,20100
100,-100,0,0,20100,19900
-100,100,0,0,19900,20100
-100,100,0,0,19900,20100
-100,100,0,0,19900,20100
