"","p1_luck","p2_luck","p1_skill","p2_skill","p1_chip","p2_chip"
"1",2.66453525910038e-15,-2.66453525910038e-15,0,0,20000,20000
"2",-100,100,0,0,19900,20100
"3",55.7575757575758,-55.7575757575758,44.2424242424242,-44.2424242424242,20100,19900
"4",90.4040404040404,-90.4040404040404,9.5959595959596,-9.5959595959596,20100,19900
"5",-30.8,30.8,-69.2,69.2,19900,20100
"6",-100,100,0,0,19900,20100
"7",94.2424242424242,-94.2424242424242,5.75757575757576,-5.75757575757576,20100,19900
"8",64.040404040404,-64.040404040404,35.959595959596,-35.959595959596,20100,19900
"9",-46.4666666666667,46.4666666666667,-53.5333333333333,53.5333333333333,19900,20100
"10",-100,100,0,0,19900,20100
"11",-50.4040404040404,50.4040404040404,150.40404040404,-150.40404040404,20100,19900
"12",100,-100,0,0,20100,19900
"13",86.969696969697,-86.969696969697,13.030303030303,-13.030303030303,20100,19900
"14",62.020202020202,-62.020202020202,37.979797979798,-37.979797979798,20100,19900
"15",-100,100,0,0,19900,20100
"16",-100,100,200,-200,20100,19900
"17",45.6565656565657,-45.6565656565657,54.3434343434343,-54.3434343434343,20100,19900
"18",46.2626262626263,-46.2626262626263,53.7373737373737,-53.7373737373737,20100,19900
"19",100,-100,0,0,20100,19900
"20",100,-100,0,0,20100,19900
"21",-100,100,0,0,19900,20100
"22",63.4343434343434,-63.4343434343434,36.5656565656566,-36.5656565656566,20100,19900
"23",44.4444444444444,-44.4444444444444,55.5555555555556,-55.5555555555556,20100,19900
"24",-100,100,0,0,19900,20100
"25",42.020202020202,-42.020202020202,57.979797979798,-57.979797979798,20100,19900
"26",6.06060606060606,-6.06060606060606,93.9393939393939,-93.9393939393939,20100,19900
"27",100,-100,0,0,20100,19900
"28",-100,100,0,0,19900,20100
"29",67.2727272727273,-67.2727272727273,32.7272727272727,-32.7272727272727,20100,19900
"30",30.3666666666666,-30.3666666666666,69.6333333333334,-69.6333333333334,20100,19900
"31",-100,100,0,0,19900,20100
"32",100,-100,0,0,20100,19900
"33",56.8686868686869,-56.8686868686869,43.1313131313131,-43.1313131313131,20100,19900
"34",100,-100,0,0,20100,19900
"35",-100,100,0,0,19900,20100
"36",100,-100,0,0,20100,19900
"37",-72.9292929292929,72.9292929292929,172.929292929293,-172.929292929293,20100,19900
"38",-100,100,0,0,19900,20100
"39",-80,80,180,-180,20100,19900
"40",-100,100,0,0,19900,20100
"41",-100,100,20100,-20100,40000,0
"42",66.2626262626263,-66.2626262626263,33.7373737373737,-33.7373737373737,20100,19900
"43",100,-100,0,0,20100,19900
"44",92.020202020202,-92.020202020202,7.979797979798,-7.979797979798,20100,19900
"45",-100,100,0,0,19900,20100
"46",-100,100,0,0,19900,20100
"47",89.5959595959596,-89.5959595959596,10.4040404040404,-10.4040404040404,20100,19900
"48",-100,100,0,0,19900,20100
"49",-53.7373737373737,53.7373737373737,153.737373737374,-153.737373737374,20100,19900
"50",65.0505050505051,-65.0505050505051,34.949494949495,-34.949494949495,20100,19900
"51",-100,100,200,-200,20100,19900
"52",59.5959595959596,-59.5959595959596,40.4040404040404,-40.4040404040404,20100,19900
"53",48.989898989899,-48.989898989899,51.010101010101,-51.010101010101,20100,19900
"54",-100,100,0,0,19900,20100
"55",83.2323232323232,-83.2323232323232,16.7676767676768,-16.7676767676768,20100,19900
"56",-1.21212121212121,1.21212121212122,101.212121212121,-101.212121212121,20100,19900
"57",-100,100,0,0,19900,20100
"58",86.969696969697,-86.969696969697,13.030303030303,-13.030303030303,20100,19900
"59",-51.1111111111111,51.1111111111111,151.111111111111,-151.111111111111,20100,19900
"60",6.56565656565655,-6.56565656565656,93.4343434343434,-93.4343434343434,20100,19900
"61",25.2525252525253,-25.2525252525253,74.7474747474747,-74.7474747474747,20100,19900
"62",100,-100,0,0,20100,19900
"63",-100,100,0,0,19900,20100
"64",-72.7666666666667,72.7666666666667,-27.2333333333333,27.2333333333333,19900,20100
"65",19.7979797979798,-19.7979797979798,80.2020202020202,-80.2020202020202,20100,19900
"66",-100,100,0,0,19900,20100
"67",-100,100,0,0,19900,20100
"68",-100,100,0,0,19900,20100
"69",69.8989898989899,-69.8989898989899,30.1010101010101,-30.1010101010101,20100,19900
"70",93.4343434343434,-93.4343434343434,6.56565656565657,-6.56565656565657,20100,19900
"71",81.2121212121212,-81.2121212121212,18.7878787878788,-18.7878787878788,20100,19900
"72",21.5151515151515,-21.5151515151515,78.4848484848485,-78.4848484848485,20100,19900
"73",87.2727272727273,-87.2727272727273,12.7272727272727,-12.7272727272727,20100,19900
"74",57.5757575757576,-57.5757575757576,42.4242424242424,-42.4242424242424,20100,19900
"75",53.4343434343434,-53.4343434343434,46.5656565656566,-46.5656565656566,20100,19900
"76",100,-100,0,0,20100,19900
"77",-100,100,0,0,19900,20100
"78",100,-100,0,0,20100,19900
"79",83.4343434343434,-83.4343434343434,16.5656565656566,-16.5656565656566,20100,19900
"80",-100,100,0,0,19900,20100
"81",9.6969696969697,-9.6969696969697,90.3030303030303,-90.3030303030303,20100,19900
"82",71.6161616161616,-71.6161616161616,28.3838383838384,-28.3838383838384,20100,19900
"83",100,-100,0,0,20100,19900
"84",-100,100,200,-200,20100,19900
"85",-100,100,0,0,19900,20100
"86",100,-100,0,0,20100,19900
"87",43.8383838383838,-43.8383838383838,56.1616161616162,-56.1616161616162,20100,19900
"88",-26.7,26.7,-73.3,73.3,19900,20100
"89",-0.303030303030297,0.303030303030301,100.30303030303,-100.30303030303,20100,19900
"90",-99.0909090909091,99.0909090909091,-0.909090909090904,0.909090909090904,19900,20100
"91",72.1212121212121,-72.1212121212121,27.8787878787879,-27.8787878787879,20100,19900
"92",-100,100,0,0,19900,20100
"93",-63.2323232323232,63.2323232323232,163.232323232323,-163.232323232323,20100,19900
"94",-84.949494949495,84.9494949494949,184.949494949495,-184.949494949495,20100,19900
"95",-100,100,0,0,19900,20100
"96",-100,100,0,0,19900,20100
"97",-100,100,200,-200,20100,19900
"98",-100,100,200,-200,20100,19900
"99",62.8282828282828,-62.8282828282828,37.1717171717172,-37.1717171717172,20100,19900
"100",100,-100,0,0,20100,19900
"101",-100,100,0,0,19900,20100
"102",-44.2424242424242,44.2424242424242,144.242424242424,-144.242424242424,20100,19900
"103",-76.3636363636364,76.3636363636364,176.363636363636,-176.363636363636,20100,19900
"104",-100,100,0,0,19900,20100
"105",-100,100,0,0,19900,20100
"106",81.3131313131313,-81.3131313131313,18.6868686868687,-18.6868686868687,20100,19900
"107",100,-100,0,0,20100,19900
"108",100,-100,0,0,20100,19900
"109",0,0,20000,-20000,40000,0
"110",-100,100,0,0,19900,20100
"111",64.2424242424242,-64.2424242424242,35.7575757575758,-35.7575757575758,20100,19900
"112",-100,100,200,-200,20100,19900
"113",100,-100,0,0,20100,19900
"114",96.1616161616162,-94.5616161616162,3.83838383838384,-5.43838383838384,20100,19900
