"","p1_luck","p2_luck","p1_skill","p2_skill","p1_chip","p2_chip","pff"
"1",288.686868686869,-288.686868686869,5711.31313131313,-5711.31313131313,26000,14000,10
"2",47.4747474747475,-47.4747474747475,52.5252525252525,-52.5252525252525,20100,19900,4
"3",100,-100,0,0,20100,19900,8
"4",244.242424242424,-244.242424242424,355.757575757576,-355.757575757576,20600,19400,10
"5",100,-100,200,-200,20300,19700,10
"6",-126.060606060606,126.060606060606,-473.939393939394,473.939393939394,19400,20600,10
"7",100,-97.0666666666667,200,-202.933333333333,20300,19700,10
"8",100,-100,0,0,20100,19900,10
"9",5.32907051820075e-15,-5.32907051820075e-15,0,0,20000,20000,10
"10",100,-100,0,0,20100,19900,6
"11",43.4343434343434,-43.4343434343434,56.5656565656566,-56.5656565656566,20100,19900,4
"12",-88.0808080808081,88.0808080808081,-11.9191919191919,11.9191919191919,19900,20100,5
"13",-72.7272727272727,72.7272727272727,172.727272727273,-172.727272727273,20100,19900,6
"14",-130.30303030303,133.60303030303,-2069.69696969697,2066.39696969697,17800,22200,10
"15",-271.464646464646,271.464646464646,-1078.53535353535,1078.53535353535,18650,21350,10
"16",154.646464646465,-154.646464646465,445.353535353535,-445.353535353535,20600,19400,10
"17",-0.505050505050509,0.505050505050519,100.505050505051,-100.505050505051,20100,19900,4
"18",-100,100,-200,200,19700,20300,10
"19",-114.848484848485,114.848484848485,-85.1515151515152,85.1515151515152,19800,20200,10
"20",48.5858585858586,-48.5858585858586,51.4141414141414,-51.4141414141414,20100,19900,4
"21",-100,100,-200,200,19700,20300,10
"22",72.7272727272727,-72.7272727272727,27.2727272727273,-27.2727272727273,20100,19900,6
"23",-67.4747474747475,67.4747474747475,-32.5252525252525,32.5252525252525,19900,20100,5
"24",910.822222222222,-910.822222222222,-20910.8222222222,20910.8222222222,0,40000,9
"25",90.5050505050505,-67.6383838383838,9.49494949494949,-32.3616161616162,20100,19900,4
"26",-60.6060606060606,60.6060606060606,-39.3939393939394,39.3939393939394,19900,20100,5
"27",75,-75,25,-25,20100,19900,6
"28",172.525252525253,-172.525252525253,-20172.5252525253,20172.5252525253,0,40000,9
"29",-66.6666666666667,66.6666666666667,-33.3333333333333,33.3333333333333,19900,20100,5
"30",-154.545454545455,154.545454545455,-745.454545454545,745.454545454545,19100,20900,10
"31",-100,100,0,0,19900,20100,10
"32",18.1818181818182,-18.1818181818182,-18.1818181818182,18.1818181818182,20000,20000,10
"33",54.1414141414142,-54.1414141414142,45.8585858585858,-45.8585858585858,20100,19900,4
"34",-69.8989898989899,69.8989898989899,-30.1010101010101,30.1010101010101,19900,20100,5
"35",100,-100,900,-900,21000,19000,10
"36",-221.212121212121,221.212121212121,-378.787878787879,378.787878787879,19400,20600,9
"37",100,-100,-20100,20100,0,40000,9
"38",-100,100,-100,100,19800,20200,10
"39",-91.3131313131313,91.3131313131313,-8.68686868686868,8.68686868686868,19900,20100,5
"40",100,-100,100,-100,20200,19800,8
"41",88.8888888888889,-88.8888888888889,111.111111111111,-111.111111111111,20200,19800,6
"42",100,-100,0,0,20100,19900,6
"43",-73.1313131313131,73.1313131313131,-26.8686868686869,26.8686868686869,19900,20100,5
"44",69.8989898989899,-69.8989898989899,30.1010101010101,-30.1010101010101,20100,19900,4
"45",-900.8,900.8,-19099.2,19099.2,0,40000,9
"46",-100,100,-200,200,19700,20300,10
"47",68.1818181818182,-68.1818181818182,31.8181818181818,-31.8181818181818,20100,19900,6
"48",67.6767676767677,-67.6767676767677,32.3232323232323,-32.3232323232323,20100,19900,4
"49",100,-100,0,0,20100,19900,10
"50",-82.8282828282828,82.8282828282828,-17.1717171717172,17.1717171717172,19900,20100,5
"51",100,-100,0,0,20100,19900,6
"52",-61.5151515151515,61.5151515151515,-38.4848484848485,38.4848484848485,19900,20100,5
"53",1712.12121212121,-1712.12121212121,-21712.1212121212,21712.1212121212,0,40000,7
"54",-94.5454545454545,94.5454545454546,-5.45454545454545,5.45454545454545,19900,20100,5
"55",712.373737373737,-712.373737373737,637.626262626263,-637.626262626263,21350,18650,10
"56",-100,100,0,0,19900,20100,9
"57",75.5555555555555,-75.5555555555555,124.444444444444,-124.444444444444,20200,19800,6
"58",-100,100,-200,200,19700,20300,10
