"","p1_luck","p2_luck","p1_skill","p2_skill","p1_chip","p2_chip","pff"
"1",-176.565656565657,176.565656565657,-1623.43434343434,1623.43434343434,18200,21800,10
"2",222.020202020202,-222.020202020202,2477.9797979798,-2477.9797979798,22700,17300,10
"3",-143.636363636364,143.636363636364,-1656.36363636364,1656.36363636364,18200,21800,10
"4",127.272727272727,-127.272727272727,772.727272727273,-772.727272727273,20900,19100,10
"5",-100,100,0,0,19900,20100,10
"6",345.454545454545,-345.454545454545,-45.4545454545455,45.4545454545455,20300,19700,10
"7",128.282828282828,-128.282828282828,71.7171717171717,-71.7171717171717,20200,19800,10
"8",-100,100,0,0,19900,20100,10
"9",145.454545454545,-145.454545454545,154.545454545455,-154.545454545455,20300,19700,10
"10",-136.363636363636,136.363636363636,-163.636363636364,163.636363636364,19700,20300,10
"11",-100,100,0,0,19900,20100,10
"12",172.727272727273,-172.727272727273,727.272727272727,-727.272727272727,20900,19100,10
"13",-100,100,-200,200,19700,20300,10
"14",140.606060606061,-140.606060606061,459.393939393939,-459.393939393939,20600,19400,10
"15",400,-400,-100,100,20300,19700,10
"16",100,-100,0,0,20100,19900,10
"17",145.454545454545,-145.454545454545,154.545454545455,-154.545454545455,20300,19700,10
"18",-145.454545454545,145.454545454545,-754.545454545455,754.545454545455,19100,20900,10
"19",100,-100,0,0,20100,19900,10
"20",154.545454545455,-154.545454545455,145.454545454545,-145.454545454545,20300,19700,10
"21",100,-100,200,-200,20300,19700,10
"22",-200,200,-100,100,19700,20300,10
"23",-100,100,0,0,19900,20100,10
"24",860.808080808081,-860.808080808081,939.191919191919,-939.191919191919,21800,18200,10
"25",-114.949494949495,114.949494949495,-2585.05050505051,2585.05050505051,17300,22700,10
"26",-100,100,0,0,19900,20100,10
"27",-181.818181818182,181.818181818182,-118.181818181818,118.181818181818,19700,20300,10
"28",-100,100,0,0,19900,20100,10
"29",-100,100,0,0,19900,20100,10
"30",100,-76.8333333333333,800,-823.166666666667,20900,19100,10
"31",714.451515151515,-714.451515151515,1685.54848484848,-1685.54848484848,22400,17600,10
"32",154.545454545455,-154.545454545455,745.454545454545,-745.454545454545,20900,19100,10
"33",1.06581410364015e-14,-1.06581410364015e-14,0,0,20000,20000,10
"34",-100,100,0,0,19900,20100,10
"35",-248.484848484848,248.484848484848,-351.515151515152,351.515151515152,19400,20600,10
"36",-100,100,0,0,19900,20100,10
"37",-154.545454545455,154.545454545455,-145.454545454545,145.454545454545,19700,20300,10
"38",-100,100,0,0,19900,20100,10
"39",653.427272727273,-653.427272727273,6546.57272727273,-6546.57272727273,27200,12800,10
"40",-100,100,-200,200,19700,20300,10
"41",-100,100,0,0,19900,20100,10
"42",100,-100,200,-200,20300,19700,10
"43",-100,100,0,0,19900,20100,10
"44",163.636363636364,-163.636363636364,136.363636363636,-136.363636363636,20300,19700,10
"45",100,-100,0,0,20100,19900,10
"46",163.636363636364,-163.636363636364,136.363636363636,-136.363636363636,20300,19700,10
"47",100,-100,0,0,20100,19900,10
"48",100,-100,200,-200,20300,19700,10
"49",-100,100,0,0,19900,20100,10
"50",100,-100,0,0,20100,19900,10
"51",186.363636363636,-186.363636363636,113.636363636364,-113.636363636364,20300,19700,10
"52",100,-100,0,0,20100,19900,10
"53",-213.636363636364,213.636363636364,-386.363636363636,386.363636363636,19400,20600,10
"54",149.59595959596,-149.59595959596,50.4040404040404,-50.4040404040404,20200,19800,10
"55",118.181818181818,-118.181818181818,781.818181818182,-781.818181818182,20900,19100,10
"56",-154.545454545455,154.545454545455,-745.454545454545,745.454545454545,19100,20900,10
"57",172.727272727273,-164.493939393939,127.272727272727,-135.506060606061,20300,19700,10
"58",-100,100,0,0,19900,20100,10
"59",100,-100,200,-200,20300,19700,10
"60",163.636363636364,-163.636363636364,136.363636363636,-136.363636363636,20300,19700,10
"61",-230.10101010101,230.10101010101,-1569.89898989899,1569.89898989899,18200,21800,10
"62",-100,100,0,0,19900,20100,10
"63",100,-80.5666666666667,0,-19.4333333333333,20100,19900,10
"64",218.181818181818,-218.181818181818,681.818181818182,-681.818181818182,20900,19100,10
"65",-100,100,-200,200,19700,20300,10
"66",-145.454545454545,145.454545454545,-754.545454545455,754.545454545455,19100,20900,10
"67",-100,100,-200,200,19700,20300,10
"68",-128.888888888889,128.888888888889,-71.1111111111111,71.1111111111111,19800,20200,10
"69",-117.373737373737,117.373737373737,-82.6262626262626,82.6262626262626,19800,20200,10
"70",136.363636363636,-136.363636363636,763.636363636364,-763.636363636364,20900,19100,10
"71",-100,100,0,0,19900,20100,10
"72",-240.707070707071,240.707070707071,-359.292929292929,359.292929292929,19400,20600,10
"73",-295.959595959596,295.959595959596,-304.040404040404,304.040404040404,19400,20600,10
"74",114.949494949495,-104.716161616162,2585.05050505051,-2595.28383838384,22700,17300,10
"75",-363.737373737374,363.737373737374,363.737373737374,-363.737373737374,20000,20000,10
"76",-101.515151515152,101.515151515152,-98.4848484848485,98.4848484848485,19800,20200,10
"77",100,-100,200,-200,20300,19700,10
"78",-100,100,0,0,19900,20100,10
"79",244.747474747475,-244.747474747475,1555.25252525253,-1555.25252525253,21800,18200,10
"80",-100,100,0,0,19900,20100,10
"81",-100,100,-200,200,19700,20300,10
"82",-789.393939393939,789.393939393939,-1010.60606060606,1010.60606060606,18200,21800,10
"83",100,-100,0,0,20100,19900,10
"84",101.212121212121,-101.212121212121,2598.78787878788,-2598.78787878788,22700,17300,10
"85",100,-100,200,-200,20300,19700,10
"86",100,-95.2333333333333,800,-804.766666666667,20900,19100,10
"87",-163.636363636364,163.636363636364,-136.363636363636,136.363636363636,19700,20300,10
"88",-100,100,0,0,19900,20100,10
"89",261.212121212121,-261.212121212121,338.787878787879,-338.787878787879,20600,19400,10
"90",377.474747474747,-377.474747474747,222.525252525253,-222.525252525253,20600,19400,10
"91",-107.373737373737,107.373737373737,-492.626262626263,492.626262626263,19400,20600,10
"92",-297.979797979798,297.979797979798,-302.020202020202,302.020202020202,19400,20600,10
"93",-172.727272727273,172.727272727273,-127.272727272727,127.272727272727,19700,20300,10
"94",-100,100,-200,200,19700,20300,10
"95",149.292929292929,-149.292929292929,450.707070707071,-450.707070707071,20600,19400,10
"96",-100,100,-200,200,19700,20300,10
"97",-647.272727272727,647.272727272727,-1152.72727272727,1152.72727272727,18200,21800,10
"98",100,-100,-100,100,20000,20000,10
"99",103.636363636364,-101.836363636364,96.3636363636364,-98.1636363636364,20200,19800,10
"100",356.363636363636,-356.363636363636,-356.363636363636,356.363636363636,20000,20000,10
"101",-259.79797979798,259.79797979798,59.7979797979798,-59.7979797979798,19800,20200,10
"102",-212.929292929293,212.929292929293,-387.070707070707,387.070707070707,19400,20600,10
"103",163.636363636364,-163.636363636364,736.363636363636,-736.363636363636,20900,19100,10
"104",-146.060606060606,146.060606060606,-53.9393939393939,53.9393939393939,19800,20200,10
"105",100,-100,200,-200,20300,19700,10
"106",100,-100,200,-200,20300,19700,10
"107",255.757575757576,-255.757575757576,1544.24242424242,-1544.24242424242,21800,18200,10
"108",-100,100,0,0,19900,20100,10
"109",145.454545454545,-145.454545454545,754.545454545455,-754.545454545455,20900,19100,10
"110",131.818181818182,-131.818181818182,768.181818181818,-768.181818181818,20900,19100,10
"111",-246.666666666667,262.9,-353.333333333333,337.1,19400,20600,10
"112",-178.383838383838,188.450505050505,-1621.61616161616,1611.5494949495,18200,21800,10
"113",-143.939393939394,143.939393939394,-456.060606060606,456.060606060606,19400,20600,10
"114",-100,100,-200,200,19700,20300,10
"115",-431.636363636364,431.636363636364,-3168.36363636364,3168.36363636364,16400,23600,10
"116",310.363636363636,-310.363636363636,3289.63636363636,-3289.63636363636,23600,16400,10
"117",-100,100,-200,200,19700,20300,10
"118",-233.232323232323,233.232323232323,-366.767676767677,366.767676767677,19400,20600,10
"119",100,-99.3666666666667,0,-0.633333333333333,20100,19900,10
"120",100,-100,200,-200,20300,19700,10
"121",100,-100,200,-200,20300,19700,10
"122",100,-100,0,0,20100,19900,10
