marlon_luck,marly_luck,marlon_skill,marly_skill,marlon_chip,marly_chip,marlon_gain,marly_gain
-450,450,-450,450,19100,20900,-900,900
5.33E-15,-5.33E-15,0,0,20000,20000,0,0
187.6767677,-187.6767677,2512.323232,-2512.323232,22700,17300,2700,-2700
-100,100,0,0,19900,20100,-100,100
-154.5454545,154.5454545,-745.4545455,745.4545455,19100,20900,-900,900
-288.6868687,288.6868687,-1511.313131,1511.313131,18200,21800,-1800,1800
259.8989899,-259.8989899,340.1010101,-340.1010101,20600,19400,600,-600
259.1919192,-259.1919192,1540.808081,-1540.808081,21800,18200,1800,-1800
-100,100,0,0,19900,20100,-100,100
118.1818182,-118.1818182,781.8181818,-781.8181818,20900,19100,900,-900
333.5353535,-333.5353535,1466.464646,-1466.464646,21800,18200,1800,-1800
-145.959596,145.959596,-454.040404,454.040404,19400,20600,-600,600
109.4949495,-109.4949495,2590.505051,-2590.505051,22700,17300,2700,-2700
-100,100,0,0,19900,20100,-100,100
-168.1818182,168.1818182,-131.8181818,131.8181818,19700,20300,-300,300
-100,100,-200,200,19700,20300,-300,300
-172.7272727,172.7272727,-127.2727273,127.2727273,19700,20300,-300,300
-100,100,-800,800,19100,20900,-900,900
-100,100,0,0,19900,20100,-100,100
-100,100,0,0,19900,20100,-100,100
-100,100,-200,200,19700,20300,-300,300
-100,100,0,0,19900,20100,-100,100
-210.5050505,210.5050505,-389.4949495,389.4949495,19400,20600,-600,600
150,-150,150,-150,20300,19700,300,-300
209.0909091,-209.0909091,690.9090909,-690.9090909,20900,19100,900,-900
129.6969697,-129.6969697,470.3030303,-470.3030303,20600,19400,600,-600
-100,100,-800,800,19100,20900,-900,900
-138.989899,138.989899,-61.01010101,61.01010101,19800,20200,-200,200
-516.7424242,516.7424242,-2633.257576,2633.257576,16850,23150,-3150,3150
134.1414141,-134.1414141,65.85858586,-65.85858586,20200,19800,200,-200
256.5656566,-256.5656566,1543.434343,-1543.434343,21800,18200,1800,-1800
-100,100,-200,200,19700,20300,-300,300
257.0707071,-257.0707071,1542.929293,-1542.929293,21800,18200,1800,-1800
-100,100,0,0,19900,20100,-100,100
136.3636364,-136.3636364,763.6363636,-763.6363636,20900,19100,900,-900
100,-100,200,-200,20300,19700,300,-300
-279.1919192,279.1919192,79.19191919,-79.19191919,19800,20200,-200,200
-229.2929293,229.2929293,-1570.707071,1570.707071,18200,21800,-1800,1800
-100,100,-200,200,19700,20300,-300,300
-153.9393939,153.9393939,-1646.060606,1646.060606,18200,21800,-1800,1800
-400,400,-500,500,19100,20900,-900,900
-263.2323232,263.2323232,63.23232323,-63.23232323,19800,20200,-200,200
294.7525253,-294.7525253,9155.247475,-9155.247475,29450,10550,9450,-9450
-100,100,-200,200,19700,20300,-300,300
-244.3434343,244.3434343,44.34343434,-44.34343434,19800,20200,-200,200
-100,100,0,0,19900,20100,-100,100
-100,100,-200,200,19700,20300,-300,300
-952.020202,952.020202,-847.979798,847.979798,18200,21800,-1800,1800
-619.3106061,619.3106061,-2530.689394,2530.689394,16850,23150,-3150,3150
315.5555556,-315.5555556,1484.444444,-1484.444444,21800,18200,1800,-1800
-100,100,0,0,19900,20100,-100,100
463.6363636,-463.6363636,-163.6363636,163.6363636,20300,19700,300,-300
-440.4040404,440.4040404,-2259.59596,2259.59596,17300,22700,-2700,2700
155.7575758,-155.7575758,2544.242424,-2544.242424,22700,17300,2700,-2700
127.2727273,-127.2727273,772.7272727,-772.7272727,20900,19100,900,-900
177.5757576,-177.5757576,422.4242424,-422.4242424,20600,19400,600,-600
195.4545455,-195.4545455,704.5454545,-704.5454545,20900,19100,900,-900
153.9393939,-153.9393939,446.0606061,-446.0606061,20600,19400,600,-600
-100,100,0,0,19900,20100,-100,100
100,-100,200,-200,20300,19700,300,-300
-118.1818182,118.1818182,-781.8181818,781.8181818,19100,20900,-900,900
451.869697,-451.869697,1948.130303,-1948.130303,22400,17600,2400,-2400
100,-100,200,-200,20300,19700,300,-300
187.6767677,-187.6767677,2512.323232,-2512.323232,22700,17300,2700,-2700
471.3363636,-463.6363636,428.6636364,-436.3636364,20900,19100,900,-900
108.8888889,-108.8888889,91.11111111,-91.11111111,20200,19800,200,-200
100,-100,0,0,20100,19900,100,-100
381.8181818,-381.8181818,518.1818182,-518.1818182,20900,19100,900,-900
-177.979798,177.979798,-22.02020202,22.02020202,19800,20200,-200,200
100,-100,200,-200,20300,19700,300,-300
256.5656566,-256.5656566,1543.434343,-1543.434343,21800,18200,1800,-1800
135.4545455,-135.4545455,1664.545455,-1664.545455,21800,18200,1800,-1800
-182.020202,182.020202,-1617.979798,1617.979798,18200,21800,-1800,1800
445.4545455,-445.4545455,-145.4545455,145.4545455,20300,19700,300,-300
-100,100,-200,200,19700,20300,-300,300
-100,100,0,0,19900,20100,-100,100
-100,100,-200,200,19700,20300,-300,300
