marlon_luck,martin_luck,marlon_skill,martin_skill,marlon_chip,martin_chip,marlon_gain,martin_gain
70.94949495,-68.28282828,29.05050505,-31.71717172,20100,19900,100,-100
119.6969697,-119.6969697,-20119.69697,20119.69697,0,40000,-20000,20000
-206.8686869,206.8686869,20206.86869,-20206.86869,40000,0,20000,-20000
59.7979798,-59.7979798,40.2020202,-40.2020202,20100,19900,100,-100
100,-100,300,-300,20400,19600,400,-400
-100,100,0,0,19900,20100,-100,100
-100,100,-2000,2000,17900,22100,-2100,2100
-36.96969697,36.96969697,-63.03030303,63.03030303,19900,20100,-100,100
-81.51515152,81.51515152,-18.48484848,18.48484848,19900,20100,-100,100
100,-100,200,-200,20300,19700,300,-300
389.8989899,-389.8989899,510.1010101,-510.1010101,20900,19100,900,-900
70.03333333,-50,29.96666667,-50,20100,19900,100,-100
-118.7030303,121.969697,-781.2969697,778.030303,19100,20900,-900,900
-93.63636364,93.63636364,-6.363636364,6.363636364,19900,20100,-100,100
-231.8181818,231.8181818,-668.1818182,668.1818182,19100,20900,-900,900
1424.225253,-1424.225253,5775.774747,-5775.774747,27200,12800,7200,-7200
5.33E-15,-1.78E-15,0,0,20000,20000,0,0
-381.6919192,381.6919192,-7043.308081,7043.308081,12575,27425,-7425,7425
-305.0505051,305.0505051,-594.9494949,594.9494949,19100,20900,-900,900
201.8181818,-201.8181818,1598.181818,-1598.181818,21800,18200,1800,-1800
100,-100,0,0,20100,19900,100,-100
-100,100,-800,800,19100,20900,-900,900
-100,100,-200,200,19700,20300,-300,300
174.9494949,-174.9494949,425.0505051,-425.0505051,20600,19400,600,-600
-100,100,-100,100,19800,20200,-200,200
119.3939394,-119.3939394,-20119.39394,20119.39394,0,40000,-20000,20000
-621.7333333,621.7333333,-2416.266667,2416.266667,16962,23038,-3038,3038
-227.9540404,227.9540404,-6522.04596,6522.04596,13250,26750,-6750,6750
54.54545455,-54.54545455,-54.54545455,54.54545455,20000,20000,0,0
110.3030303,-89.36969697,-20110.30303,20089.3697,0,40000,-20000,20000
264.2424242,-264.2424242,8735.757576,-8735.757576,29000,11000,9000,-9000
-487.8787879,487.8787879,-19512.12121,19512.12121,0,40000,-20000,20000
143.9393939,-143.9393939,56.06060606,-56.06060606,20200,19800,200,-200
-227.0707071,227.0707071,-19772.92929,19772.92929,0,40000,-20000,20000
-105.8585859,105.8585859,-94.14141414,94.14141414,19800,20200,-200,200
