marlon_luck,marty_luck,marlon_skill,marty_skill,marlon_chip,marty_chip,marlon_gain,marty_gain
100,-100,0,0,20100,19900,100,-100
-100,100,200,-200,20100,19900,100,-100
-100,100,0,0,19900,20100,-100,100
-72.72727273,72.72727273,172.7272727,-172.7272727,20100,19900,100,-100
100,-100,0,0,20100,19900,100,-100
37.1,-37.1,62.9,-62.9,20100,19900,100,-100
86.36363636,-86.36363636,13.63636364,-13.63636364,20100,19900,100,-100
100,-100,0,0,20100,19900,100,-100
-100,100,0,0,19900,20100,-100,100
-100,100,0,0,19900,20100,-100,100
-59.6969697,59.6969697,159.6969697,-159.6969697,20100,19900,100,-100
63.23232323,-63.23232323,36.76767677,-36.76767677,20100,19900,100,-100
-100,100,0,0,19900,20100,-100,100
0,0,100,-100,20100,19900,100,-100
-56.81818182,56.81818182,156.8181818,-156.8181818,20100,19900,100,-100
100,-100,0,0,20100,19900,100,-100
-63.33333333,63.33333333,163.3333333,-163.3333333,20100,19900,100,-100
-100,100,0,0,19900,20100,-100,100
-54.14141414,54.14141414,154.1414141,-154.1414141,20100,19900,100,-100
-67.07070707,67.07070707,167.0707071,-167.0707071,20100,19900,100,-100
95.45454545,-95.45454545,4.545454545,-4.545454545,20100,19900,100,-100
-54.54545455,54.54545455,154.5454545,-154.5454545,20100,19900,100,-100
-100,100,0,0,19900,20100,-100,100
-50.3030303,50.3030303,150.3030303,-150.3030303,20100,19900,100,-100
35.35353535,-35.35353535,64.64646465,-64.64646465,20100,19900,100,-100
1.78E-15,-1.78E-15,100,-100,20100,19900,100,-100
100,-100,0,0,20100,19900,100,-100
-100,100,200,-200,20100,19900,100,-100
-42.42424242,42.42424242,142.4242424,-142.4242424,20100,19900,100,-100
72.72727273,-72.72727273,27.27272727,-27.27272727,20100,19900,100,-100
77.27272727,-77.27272727,22.72727273,-22.72727273,20100,19900,100,-100
-68.18181818,68.18181818,168.1818182,-168.1818182,20100,19900,100,-100
23.83838384,-23.83838384,76.16161616,-76.16161616,20100,19900,100,-100
-38.63636364,38.63636364,138.6363636,-138.6363636,20100,19900,100,-100
83.43434343,-83.43434343,16.56565657,-16.56565657,20100,19900,100,-100
-81.81818182,81.81818182,181.8181818,-181.8181818,20100,19900,100,-100
52.82828283,-52.82828283,47.17171717,-47.17171717,20100,19900,100,-100
-100,100,200,-200,20100,19900,100,-100
-26.66666667,26.66666667,126.6666667,-126.6666667,20100,19900,100,-100
46.86868687,-46.86868687,53.13131313,-53.13131313,20100,19900,100,-100
-100,100,0,0,19900,20100,-100,100
-54.54545455,54.54545455,154.5454545,-154.5454545,20100,19900,100,-100
-100,100,0,0,19900,20100,-100,100
100,-100,0,0,20100,19900,100,-100
-100,100,200,-200,20100,19900,100,-100
56.56565657,-56.56565657,43.43434343,-43.43434343,20100,19900,100,-100
95.65656566,-95.65656566,4.343434343,-4.343434343,20100,19900,100,-100
-86.36363636,86.36363636,186.3636364,-186.3636364,20100,19900,100,-100
55.65656566,-55.65656566,44.34343434,-44.34343434,20100,19900,100,-100
-77.27272727,77.27272727,177.2727273,-177.2727273,20100,19900,100,-100
42.42424242,-42.42424242,57.57575758,-57.57575758,20100,19900,100,-100
42.62626263,-42.62626263,57.37373737,-57.37373737,20100,19900,100,-100
27.27272727,-27.27272727,72.72727273,-72.72727273,20100,19900,100,-100
-66.46464646,66.46464646,166.4646465,-166.4646465,20100,19900,100,-100
100,-100,0,0,20100,19900,100,-100
100,-100,0,0,20100,19900,100,-100
72.52525253,-72.52525253,27.47474747,-27.47474747,20100,19900,100,-100
-74.34343434,74.34343434,174.3434343,-174.3434343,20100,19900,100,-100
68.18181818,-68.18181818,31.81818182,-31.81818182,20100,19900,100,-100
100,-100,0,0,20100,19900,100,-100
-95.86666667,100,-4.133333333,0,19900,20100,-100,100
-45.35353535,45.35353535,145.3535354,-145.3535354,20100,19900,100,-100
29.19191919,-29.19191919,70.80808081,-70.80808081,20100,19900,100,-100
-31.26666667,31.26666667,-68.73333333,68.73333333,19900,20100,-100,100
72.72727273,-72.72727273,27.27272727,-27.27272727,20100,19900,100,-100
100,-90.23333333,0,-9.766666667,20100,19900,100,-100
59.39393939,-59.39393939,40.60606061,-40.60606061,20100,19900,100,-100
60.3030303,-60.3030303,39.6969697,-39.6969697,20100,19900,100,-100
81.81818182,-81.81818182,18.18181818,-18.18181818,20100,19900,100,-100
-100,100,200,-200,20100,19900,100,-100
50,-50,50,-50,20100,19900,100,-100
-27.27272727,27.27272727,127.2727273,-127.2727273,20100,19900,100,-100
100,-100,0,0,20100,19900,100,-100
