marly_luck,martin_luck,marly_skill,martin_skill,marly_chip,martin_chip,marly_gain,martin_gain
171.010101,-171.010101,28.98989899,-28.98989899,20200,19800,200,-200
-100,100,0,0,19900,20100,-100,100
100,-100,100,-100,20200,19800,200,-200
-217.8787879,217.8787879,-1582.121212,1582.121212,18200,21800,-1800,1800
250.7070707,-250.7070707,149.2929293,-149.2929293,20400,19600,400,-400
-150,150,-750,750,19100,20900,-900,900
140.2020202,-140.2020202,59.7979798,-59.7979798,20200,19800,200,-200
0,5.733333333,0,-5.733333333,20000,20000,0,0
-100,100,0,0,19900,20100,-100,100
263.55,-263.55,-13.55,13.55,20250,19750,250,-250
436.0606061,-436.0606061,-436.0606061,436.0606061,20000,20000,0,0
-5.33E-15,5.33E-15,0,0,20000,20000,0,0
100,-100,0,0,20100,19900,100,-100
234.4444444,-234.4444444,-34.44444444,34.44444444,20200,19800,200,-200
-118.1818182,118.1818182,-781.8181818,781.8181818,19100,20900,-900,900
451.3590909,-451.3590909,4048.640909,-4048.640909,24500,15500,4500,-4500
-100,100,-200,200,19700,20300,-300,300
-100,100,0,0,19900,20100,-100,100
130.1010101,-130.1010101,469.8989899,-469.8989899,20600,19400,600,-600
-394.1414141,394.1414141,-2305.858586,2305.858586,17300,22700,-2700,2700
100,-100,200,-200,20300,19700,300,-300
100,-100,0,0,20100,19900,100,-100
-200,200,-200,200,19600,20400,-400,400
-100,100,-200,200,19700,20300,-300,300
100,-100,0,0,20100,19900,100,-100
110.1010101,-110.1010101,489.8989899,-489.8989899,20600,19400,600,-600
-118.1818182,118.1818182,-281.8181818,281.8181818,19600,20400,-400,400
-100,100,0,0,19900,20100,-100,100
-180.2020202,180.2020202,-19.7979798,19.7979798,19800,20200,-200,200
-136.7676768,136.7676768,-63.23232323,63.23232323,19800,20200,-200,200
-100,100,-800,800,19100,20900,-900,900
-109.4949495,109.4949495,-90.50505051,90.50505051,19800,20200,-200,200
-157.5757576,157.5757576,-2542.424242,2542.424242,17300,22700,-2700,2700
-105.8585859,105.8585859,-2594.141414,2594.141414,17300,22700,-2700,2700
-103.030303,103.030303,-496.969697,496.969697,19400,20600,-600,600
100,-100,0,0,20100,19900,100,-100
-100,100,-200,200,19700,20300,-300,300
-113.6363636,113.6363636,-486.3636364,486.3636364,19400,20600,-600,600
100,-100,0,0,20100,19900,100,-100
-300.1010101,300.1010101,-899.8989899,899.8989899,18800,21200,-1200,1200
-100,100,0,0,19900,20100,-100,100
100,-100,0,0,20100,19900,100,-100
100,-100,0,0,20100,19900,100,-100
-100,100,-200,200,19700,20300,-300,300
-101.8181818,101.8181818,-2598.181818,2598.181818,17300,22700,-2700,2700
-135.1515152,135.1515152,-64.84848485,64.84848485,19800,20200,-200,200
100,-100,0,0,20100,19900,100,-100
-107.6767677,107.6767677,-2592.323232,2592.323232,17300,22700,-2700,2700
-100,100,-200,200,19700,20300,-300,300
-137.979798,137.979798,-462.020202,462.020202,19400,20600,-600,600
-150.7070707,150.7070707,-49.29292929,49.29292929,19800,20200,-200,200
-153.6363636,153.6363636,-446.3636364,446.3636364,19400,20600,-600,600
100,-100,0,0,20100,19900,100,-100
100,-100,0,0,20100,19900,100,-100
-100,100,-200,200,19700,20300,-300,300
236.7676768,-236.7676768,163.2323232,-163.2323232,20400,19600,400,-400
115.5555556,-115.5555556,84.44444444,-84.44444444,20200,19800,200,-200
