marly_luck,marty_luck,marly_skill,marty_skill,marly_chip,marty_chip,marly_gain,marty_gain
100,-100,0,0,20100,19900,100,-100
100,-100,0,0,20100,19900,100,-100
100,-100,0,0,20100,19900,100,-100
-100,100,0,0,19900,20100,-100,100
-100,100,0,0,19900,20100,-100,100
100,-100,0,0,20100,19900,100,-100
-100,100,0,0,19900,20100,-100,100
-100,100,0,0,19900,20100,-100,100
100,-100,0,0,20100,19900,100,-100
100,-100,0,0,20100,19900,100,-100
100,-100,0,0,20100,19900,100,-100
100,-98.7,0,-1.3,20100,19900,100,-100
100,-100,0,0,20100,19900,100,-100
-100,100,0,0,19900,20100,-100,100
0,0,0,0,20000,20000,0,0
-100,100,0,0,19900,20100,-100,100
-93.18181818,93.18181818,20093.18182,-20093.18182,40000,0,20000,-20000
100,-100,0,0,20100,19900,100,-100
-100,100,20100,-20100,40000,0,20000,-20000
100,-100,0,0,20100,19900,100,-100
100,-100,0,0,20100,19900,100,-100
-100,100,0,0,19900,20100,-100,100
100,-100,0,0,20100,19900,100,-100
100,-100,0,0,20100,19900,100,-100
100,-100,0,0,20100,19900,100,-100
-100,100,0,0,19900,20100,-100,100
100,-100,0,0,20100,19900,100,-100
-100,100,-19900,19900,0,40000,-20000,20000
100,-100,0,0,20100,19900,100,-100
-100,100,0,0,19900,20100,-100,100
100,-100,0,0,20100,19900,100,-100
-100,100,0,0,19900,20100,-100,100
100,-100,0,0,20100,19900,100,-100
-1.42E-14,0,0,0,20000,20000,0,0
100,-100,0,0,20100,19900,100,-100
100,-100,0,0,20100,19900,100,-100
3.55E-15,-3.55E-15,0,0,20000,20000,0,0
100,-100,0,0,20100,19900,100,-100
-100,100,0,0,19900,20100,-100,100
100,-100,0,0,20100,19900,100,-100
100,-100,0,0,20100,19900,100,-100
100,-100,0,0,20100,19900,100,-100
-100,100,0,0,19900,20100,-100,100
100,-100,0,0,20100,19900,100,-100
100,-100,0,0,20100,19900,100,-100
100,-100,0,0,20100,19900,100,-100
-7.11E-15,7.11E-15,0,0,20000,20000,0,0
100,-100,0,0,20100,19900,100,-100
-100,100,0,0,19900,20100,-100,100
100,-100,0,0,20100,19900,100,-100
-100,100,0,0,19900,20100,-100,100
-3.55E-15,3.55E-15,0,0,20000,20000,0,0
1.42E-14,-1.42E-14,20000,-20000,40000,0,20000,-20000
100,-100,0,0,20100,19900,100,-100
-100,100,0,0,19900,20100,-100,100
100,-100,0,0,20100,19900,100,-100
100,-100,0,0,20100,19900,100,-100
-100,100,0,0,19900,20100,-100,100
-100,100,20100,-20100,40000,0,20000,-20000
100,-100,0,0,20100,19900,100,-100
-100,100,0,0,19900,20100,-100,100
-100,100,-19900,19900,0,40000,-20000,20000
-100,100,0,0,19900,20100,-100,100
100,-100,0,0,20100,19900,100,-100
-100,100,20100,-20100,40000,0,20000,-20000
100,-100,0,0,20100,19900,100,-100
-100,100,0,0,19900,20100,-100,100
100,-98.3,0,-1.7,20100,19900,100,-100
-100,100,0,0,19900,20100,-100,100
-100,100,0,0,19900,20100,-100,100
100,-100,0,0,20100,19900,100,-100
100,-100,0,0,20100,19900,100,-100
100,-100,0,0,20100,19900,100,-100
100,-100,0,0,20100,19900,100,-100
-97.26666667,100,-2.733333333,0,19900,20100,-100,100
-100,100,0,0,19900,20100,-100,100
-100,100,0,0,19900,20100,-100,100
-100,100,0,0,19900,20100,-100,100
-100,100,0,0,19900,20100,-100,100
100,-100,0,0,20100,19900,100,-100
-100,100,0,0,19900,20100,-100,100
-100,100,0,0,19900,20100,-100,100
100,-100,0,0,20100,19900,100,-100
100,-100,0,0,20100,19900,100,-100
100,-100,0,0,20100,19900,100,-100
100,-100,0,0,20100,19900,100,-100
-100,100,0,0,19900,20100,-100,100
-100,100,0,0,19900,20100,-100,100
-100,100,0,0,19900,20100,-100,100
100,-100,0,0,20100,19900,100,-100
-100,100,20100,-20100,40000,0,20000,-20000
-100,100,-19900,19900,0,40000,-20000,20000
100,-100,0,0,20100,19900,100,-100
-100,100,0,0,19900,20100,-100,100
100,-100,0,0,20100,19900,100,-100
-100,100,0,0,19900,20100,-100,100
-100,100,0,0,19900,20100,-100,100
100,-100,0,0,20100,19900,100,-100
100,-100,0,0,20100,19900,100,-100
100,-100,0,0,20100,19900,100,-100
100,-100,0,0,20100,19900,100,-100
-100,100,0,0,19900,20100,-100,100
-100,100,0,0,19900,20100,-100,100
-100,100,0,0,19900,20100,-100,100
-42.22222222,42.22222222,20042.22222,-20042.22222,40000,0,20000,-20000
-100,100,0,0,19900,20100,-100,100
-100,100,0,0,19900,20100,-100,100
-97.72727273,97.72727273,-19902.27273,19902.27273,0,40000,-20000,20000
-100,100,0,0,19900,20100,-100,100
-100,100,0,0,19900,20100,-100,100
-100,100,0,0,19900,20100,-100,100
-100,100,0,0,19900,20100,-100,100
-100,100,0,0,19900,20100,-100,100
100,-100,0,0,20100,19900,100,-100
100,-100,0,0,20100,19900,100,-100
100,-100,0,0,20100,19900,100,-100
100,-100,0,0,20100,19900,100,-100
100,-82.66666667,0,-17.33333333,20100,19900,100,-100
-100,100,0,0,19900,20100,-100,100
-100,100,0,0,19900,20100,-100,100
100,-100,0,0,20100,19900,100,-100
100,-100,0,0,20100,19900,100,-100
-100,100,0,0,19900,20100,-100,100
-100,100,0,0,19900,20100,-100,100
-100,100,0,0,19900,20100,-100,100
100,-100,0,0,20100,19900,100,-100
-100,100,0,0,19900,20100,-100,100
-100,100,0,0,19900,20100,-100,100
-100,100,0,0,19900,20100,-100,100
-100,100,0,0,19900,20100,-100,100
-100,100,0,0,19900,20100,-100,100
-100,100,0,0,19900,20100,-100,100
3.55E-15,-3.55E-15,0,0,20000,20000,0,0
-100,100,0,0,19900,20100,-100,100
100,-100,0,0,20100,19900,100,-100
100,-100,0,0,20100,19900,100,-100
100,-100,0,0,20100,19900,100,-100
100,-100,0,0,20100,19900,100,-100
100,-100,0,0,20100,19900,100,-100
100,-100,0,0,20100,19900,100,-100
100,-100,0,0,20100,19900,100,-100
100,-100,0,0,20100,19900,100,-100
100,-100,0,0,20100,19900,100,-100
100,-100,0,0,20100,19900,100,-100
-100,100,0,0,19900,20100,-100,100
100,-100,0,0,20100,19900,100,-100
-100,100,0,0,19900,20100,-100,100
-1.42E-14,0,0,0,20000,20000,0,0
