"","p1_luck","p2_luck","p1_skill","p2_skill","p1_chip","p2_chip","pff"
"1",131.111111111111,-131.111111111111,68.8888888888889,-68.8888888888889,20200,19800,10
"2",-172.222222222222,172.222222222222,-19827.7777777778,19827.7777777778,0,40000,9
"3",-830.606060606061,830.60606060606,-19169.3939393939,19169.3939393939,0,40000,9
"4",-384.040404040404,384.040404040404,-19615.9595959596,19615.9595959596,0,40000,9
"5",1353.75454545455,-1353.75454545455,3203.24545454545,-3203.24545454545,24557,15443,10
"6",-97.8787878787879,97.8787878787879,-2.12121212121212,2.12121212121212,19900,20100,5
"7",42.6262626262626,-42.6262626262626,57.3737373737374,-57.3737373737374,20100,19900,4
"8",45.8585858585859,-45.8585858585859,54.1414141414141,-54.1414141414141,20100,19900,4
"9",-77.2727272727273,77.2727272727273,-22.7272727272727,22.7272727272727,19900,20100,7
"10",-100,100,-900,900,19000,21000,10
"11",-1227.27272727273,1246.87272727273,-18772.7272727273,18753.1272727273,0,40000,7
"12",100,-100,-20100,20100,0,40000,9
"13",-89.0909090909091,89.0909090909091,-10.9090909090909,10.9090909090909,19900,20100,5
"14",-100,100,0,0,19900,20100,9
"15",-321.868686868687,321.868686868687,-1703.13131313131,1703.13131313131,17975,22025,10
"16",-247.070707070707,247.070707070707,-202.929292929293,202.929292929293,19550,20450,10
"17",-100,100,0,0,19900,20100,9
"18",-23.2323232323232,23.2323232323233,-276.767676767677,276.767676767677,19700,20300,7
"19",32.5252525252525,-32.5252525252525,67.4747474747475,-67.4747474747475,20100,19900,4
"20",-76.4646464646464,76.4646464646465,-123.535353535354,123.535353535354,19800,20200,7
"21",-71.7,71.7,-28.3,28.3,19900,20100,3
"22",-93.7373737373737,93.7373737373737,-6.26262626262626,6.26262626262626,19900,20100,5
"23",-100,100,0,0,19900,20100,10
"24",100,-100,0,0,20100,19900,10
"25",234.545454545455,-234.545454545455,-20234.5454545455,20234.5454545455,0,40000,9
"26",-100,100,0,0,19900,20100,7
"27",-48.2828282828283,48.2828282828283,-51.7171717171717,51.7171717171717,19900,20100,5
"28",-65.1515151515152,65.1515151515152,-34.8484848484848,34.8484848484848,19900,20100,5
"29",111.111111111111,-111.111111111111,6488.88888888889,-6488.88888888889,26600,13400,10
"30",300,-300,600,-600,20900,19100,10
"31",-39.7979797979798,39.7979797979798,-60.2020202020202,60.2020202020202,19900,20100,5
"32",-71.5151515151515,71.5151515151515,-28.4848484848485,28.4848484848485,19900,20100,5
"33",100,-100,1400,-1400,21500,18500,10
"34",73.1313131313131,-73.1313131313131,26.8686868686869,-26.8686868686869,20100,19900,4
"35",-100,100,0,0,19900,20100,10
"36",-127.272727272727,127.272727272727,-772.727272727273,772.727272727273,19100,20900,10
"37",-188.080808080808,188.080808080808,-111.919191919192,111.919191919192,19700,20300,10
"38",-4813.95555555556,4813.95555555555,-10564.0444444444,10564.0444444444,4622,35378,10
"39",-100,100,-200,200,19700,20300,10
"40",106.262626262626,-106.262626262626,-20106.2626262626,20106.2626262626,0,40000,9
"41",100,-100,0,0,20100,19900,10
"42",223.434343434343,-223.434343434343,2776.56565656566,-2776.56565656566,23000,17000,10
"43",100,-100,200,-200,20300,19700,10
"44",100,-100,3200,-3200,23300,16700,10
"45",100,-100,0,0,20100,19900,10
"46",100,-100,400,-400,20500,19500,6
"47",-54.5454545454545,54.5454545454545,-45.4545454545455,45.4545454545455,19900,20100,7
"48",2890.29898989899,-2890.29898989899,4798.70101010101,-4798.70101010101,27689,12311,10
"49",-1178,1178,-1100,1100,17722,22278,10
"50",-100,100,0,0,19900,20100,9
"51",-100,100,0,0,19900,20100,10
"52",97.7777777777778,-97.7777777777778,2.22222222222221,-2.22222222222221,20100,19900,4
"53",304.242424242424,-289.475757575758,1495.75757575758,-1510.52424242424,21800,18200,10
"54",-154.545454545455,154.545454545455,-14545.4545454545,14545.4545454545,5300,34700,10
"55",-309.090909090909,309.090909090909,-590.909090909091,590.909090909091,19100,20900,10
"56",-100,100,0,0,19900,20100,10
"57",302.323232323232,-302.323232323232,1497.67676767677,-1497.67676767677,21800,18200,10
"58",3.5527136788005e-15,-3.5527136788005e-15,-20000,20000,0,40000,9
"59",93.1818181818182,-93.1818181818182,6.81818181818183,-6.81818181818183,20100,19900,6
"60",-100,100,0,0,19900,20100,9
"61",-50,50,-50,50,19900,20100,7
"62",100,-72.3666666666667,200,-227.633333333333,20300,19700,6
"63",-91.3131313131313,91.3131313131313,-8.68686868686868,8.68686868686868,19900,20100,5
"64",-7704.99797979798,7704.99797979798,-12295.002020202,12295.002020202,0,40000,9
"65",1574.74747474748,-1574.74747474748,-21574.7474747475,21574.7474747475,0,40000,9
"66",-224.545454545455,224.545454545455,-375.454545454545,375.454545454545,19400,20600,10
"67",-900.8,900.8,-3655.2,3655.2,15444,24556,10
"68",28.0808080808081,-28.0808080808081,71.9191919191919,-71.9191919191919,20100,19900,4
"69",-100,100,0,0,19900,20100,10
"70",-70.3030303030303,70.3030303030303,-29.6969696969697,29.6969696969697,19900,20100,5
"71",100,-100,1400,-1400,21500,18500,10
"72",-38.5666666666667,38.5666666666667,-61.4333333333333,61.4333333333333,19900,20100,3
"73",-100,100,-300,300,19600,20400,10
"74",143.636363636364,-143.636363636364,456.363636363636,-456.363636363636,20600,19400,10
"75",154.545454545455,-154.545454545455,745.454545454545,-745.454545454545,20900,19100,10
"76",-68.0808080808081,68.0808080808081,-31.9191919191919,31.9191919191919,19900,20100,5
"77",307.525252525252,-307.525252525252,1942.47474747475,-1942.47474747475,22250,17750,10
"78",148.989898989899,-148.989898989899,51.010101010101,-51.010101010101,20200,19800,10
