"","p1_luck","p2_luck","p1_skill","p2_skill","p1_chip","p2_chip"
"1",-109.7,109.7,9.7,-9.7,-100,100
"2",70.9,-70.9,29.1,-29.1,100,-100
"3",-118.25,118.25,18.25,-18.25,-100,100
"4",126.2,-126.2,-26.2,26.2,100,-100
"5",-108,108,8,-8,-100,100
"6",-53.05,53.05,-46.95,46.95,-100,100
"7",121.85,-121.85,-21.85,21.85,100,-100
"8",119.1,-119.1,-19.1,19.1,100,-100
"9",-57.4,57.4,-42.6,42.6,-100,100
"10",120.75,-120.75,-20.75,20.75,100,-100
"11",-61.45,61.45,-38.55,38.55,-100,100
"12",-47.35,47.35,-52.65,52.65,-100,100
"13",120.6,-120.6,-20.6,20.6,100,-100
"14",118.9,-118.9,-18.9,18.9,100,-100
"15",-66,66,-34,34,-100,100
"16",45.95,-45.95,54.05,-54.05,100,-100
"17",124.3,-124.3,-24.3,24.3,100,-100
"18",-81.25,81.25,-18.75,18.75,-100,100
"19",-88.5,88.5,-11.5,11.5,-100,100
"20",-121.7,121.7,21.7,-21.7,-100,100
"21",89.4,-89.4,10.6,-10.6,100,-100
"22",47.95,-47.95,52.05,-52.05,100,-100
"23",124.3,-124.3,-24.3,24.3,100,-100
"24",115.7,-115.7,-15.7,15.7,100,-100
"25",93.75,-93.75,6.25,-6.25,100,-100
"26",-128.25,128.25,28.25,-28.25,-100,100
"27",-69.05,69.05,-30.95,30.95,-100,100
"28",66.35,-66.35,33.65,-33.65,100,-100
"29",139.95,-139.95,-39.95,39.95,100,-100
"30",-86.9,86.9,-13.1,13.1,-100,100
"31",77.1,-77.1,22.9,-22.9,100,-100
"32",128.85,-128.85,-28.85,28.85,100,-100
"33",128.4,-128.4,-28.4,28.4,100,-100
"34",86,-86,14,-14,100,-100
"35",-89.7,89.7,-10.3,10.3,-100,100
"36",-91.45,91.45,-8.55,8.55000000000001,-100,100
"37",-53.8,53.8,-46.2,46.2,-100,100
"38",128.1,-128.1,-28.1,28.1,100,-100
"39",67.05,-67.05,32.95,-32.95,100,-100
"40",-64.2,64.2,-35.8,35.8,-100,100
"41",-78.25,78.25,-21.75,21.75,-100,100
"42",-53.65,53.65,-46.35,46.35,-100,100
"43",-60.5,60.5,-39.5,39.5,-100,100
"44",54.8,-54.8,45.2,-45.2,100,-100
"45",79.65,-79.65,20.35,-20.35,100,-100
"46",60.75,-60.75,39.25,-39.25,100,-100
"47",117.1,-117.1,-17.1,17.1,100,-100
"48",-79.1,79.1,-20.9,20.9,-100,100
"49",108.7,-108.7,-8.7,8.7,100,-100
"50",-82.3,82.3,-17.7,17.7,-100,100
"51",80.1,-80.1,19.9,-19.9,100,-100
"52",-75,75,-25,25,-100,100
"53",77.55,-77.55,22.45,-22.45,100,-100
"54",-74.35,74.35,-25.65,25.65,-100,100
"55",-77.55,77.55,-22.45,22.45,-100,100
"56",65.25,-65.25,34.75,-34.75,100,-100
"57",-81.85,81.85,-18.15,18.15,-100,100
"58",82,-82,18,-18,100,-100
"59",137,-137,-37,37,100,-100
"60",99.35,-99.35,0.649999999999991,-0.649999999999991,100,-100
"61",55.85,-55.85,44.15,-44.15,100,-100
"62",-69.85,69.85,-30.15,30.15,-100,100
"63",-70.75,70.75,-29.25,29.25,-100,100
"64",-87.6,87.6,-12.4,12.4,-100,100
"65",-148.25,148.25,48.25,-48.25,-100,100
"66",63.65,-63.65,36.35,-36.35,100,-100
"67",57.55,-57.55,42.45,-42.45,100,-100
"68",-71.6,71.6,-28.4,28.4,-100,100
"69",74.75,-74.75,25.25,-25.25,100,-100
"70",99.45,-99.45,0.550000000000011,-0.550000000000011,100,-100
"71",77.65,-77.65,22.35,-22.35,100,-100
"72",-73.9,73.9,-26.1,26.1,-100,100
"73",59.05,-59.05,40.95,-40.95,100,-100
"74",-126.85,126.85,26.85,-26.85,-100,100
"75",-75.6,75.6,-24.4,24.4,-100,100
"76",73.05,-73.05,26.95,-26.95,100,-100
"77",-70.25,70.25,-29.75,29.75,-100,100
"78",41.2,-41.2,58.8,-58.8,100,-100
"79",-56.55,56.55,-43.45,43.45,-100,100
"80",-112.1,112.1,12.1,-12.1,-100,100
"81",-62.3,62.3,-37.7,37.7,-100,100
"82",73.35,-73.35,26.65,-26.65,100,-100
"83",-119.65,119.65,19.65,-19.65,-100,100
"84",87.8,-87.8,12.2,-12.2,100,-100
"85",65.75,-65.75,34.25,-34.25,100,-100
"86",89.1,-89.1,10.9,-10.9,100,-100
"87",-74.4,74.4,-25.6,25.6,-100,100
"88",72.85,-72.85,27.15,-27.15,100,-100
"89",-126.7,126.7,26.7,-26.7,-100,100
"90",73.7,-73.7,26.3,-26.3,100,-100
"91",84.45,-84.45,15.55,-15.55,100,-100
"92",92.25,-92.25,7.75000000000001,-7.75000000000001,100,-100
"93",-69.65,69.65,-30.35,30.35,-100,100
"94",-127.7,127.7,27.7,-27.7,-100,100
"95",121.9,-121.9,-21.9,21.9,100,-100
"96",-59.25,59.25,-40.75,40.75,-100,100
"97",139.15,-139.15,-39.15,39.15,100,-100
"98",40.1,-40.1,59.9,-59.9,100,-100
"99",124.65,-124.65,-24.65,24.65,100,-100
"100",72.2,-72.2,27.8,-27.8,100,-100
"101",108.45,-108.45,-8.45,8.45,100,-100
"102",-77.2,77.2,-22.8,22.8,-100,100
"103",-149.75,149.75,49.75,-49.75,-100,100
"104",109.1,-109.1,-9.09999999999999,9.09999999999999,100,-100
"105",75.9,-75.9,24.1,-24.1,100,-100
"106",-33.7,33.7,-66.3,66.3,-100,100
"107",-125.8,125.8,25.8,-25.8,-100,100
"108",-61.75,61.75,-38.25,38.25,-100,100
"109",90.15,-90.15,9.85000000000001,-9.85000000000001,100,-100
"110",152.35,-152.35,-52.35,52.35,100,-100
"111",-111.25,111.25,11.25,-11.25,-100,100
"112",71.65,-71.65,28.35,-28.35,100,-100
"113",-23.8,23.8,-76.2,76.2,-100,100
"114",-69.8,69.8,-30.2,30.2,-100,100
"115",124.65,-124.65,-24.65,24.65,100,-100
"116",70.85,-70.85,29.15,-29.15,100,-100
"117",-136.6,136.6,36.6,-36.6,-100,100
"118",119.3,-119.3,-19.3,19.3,100,-100
"119",-118.75,118.75,18.75,-18.75,-100,100
"120",-63.75,63.75,-36.25,36.25,-100,100
"121",75.7,-75.7,24.3,-24.3,100,-100
"122",63.25,-63.25,36.75,-36.75,100,-100
"123",8.95,-8.95000000000001,-8.95,8.95000000000002,-3.5527136788005e-15,3.5527136788005e-15
"124",113.55,-113.55,-13.55,13.55,100,-100
"125",-79.05,79.05,-20.95,20.95,-100,100
"126",-81.6,81.6,-18.4,18.4,-100,100
"127",89.1,-89.1,10.9,-10.9,100,-100
"128",-134,134,34,-34,-100,100
"129",63.2,-63.2,36.8,-36.8,100,-100
"130",105.9,-105.9,-5.89999999999999,5.89999999999999,100,-100
"131",89.75,-89.75,10.25,-10.25,100,-100
"132",-113.35,113.35,13.35,-13.35,-100,100
"133",-54.5,54.5,-45.5,45.5,-100,100
"134",109.05,-109.05,-9.05,9.05,100,-100
"135",82,-82,18,-18,100,-100
"136",-75.95,75.95,-24.05,24.05,-100,100
"137",60.95,-60.95,39.05,-39.05,100,-100
"138",62.15,-62.15,37.85,-37.85,100,-100
"139",-17.55,17.55,17.55,-17.55,0,0
"140",63.1,-63.1,36.9,-36.9,100,-100
"141",127.45,-127.45,-27.45,27.45,100,-100
"142",-114.55,114.55,14.55,-14.55,-100,100
"143",-106,106,6,-6,-100,100
"144",-77.25,77.25,-22.75,22.75,-100,100
"145",-76.6,76.6,-23.4,23.4,-100,100
"146",66.5,-66.5,33.5,-33.5,100,-100
"147",-73.85,73.85,-26.15,26.15,-100,100
"148",49.45,-49.45,50.55,-50.55,100,-100
"149",72.25,-72.25,27.75,-27.75,100,-100
"150",-111.6,111.6,11.6,-11.6,-100,100
"151",-70.85,70.85,-29.15,29.15,-100,100
"152",82.6,-82.6,17.4,-17.4,100,-100
"153",135.7,-135.7,-35.7,35.7,100,-100
"154",47.15,-47.15,52.85,-52.85,100,-100
"155",115.05,-115.05,-15.05,15.05,100,-100
"156",-141.95,141.95,41.95,-41.95,-100,100
"157",-132.9,132.9,32.9,-32.9,-100,100
"158",74.9,-74.9,25.1,-25.1,100,-100
"159",-89.65,89.65,-10.35,10.35,-100,100
"160",-61.65,61.65,-38.35,38.35,-100,100
"161",70.95,-70.95,29.05,-29.05,100,-100
"162",-130.25,130.25,30.25,-30.25,-100,100
"163",49.75,-49.75,50.25,-50.25,100,-100
"164",-51.25,51.25,-48.75,48.75,-100,100
"165",123.55,-123.55,-23.55,23.55,100,-100
"166",-15.7,15.7,15.7,-15.7,0,0
"167",-68.7,68.7,-31.3,31.3,-100,100
"168",-122.95,122.95,22.95,-22.95,-100,100
"169",128.3,-128.3,-28.3,28.3,100,-100
"170",69.85,-69.85,30.15,-30.15,100,-100
"171",61.4,-61.4,38.6,-38.6,100,-100
"172",-88.15,88.15,-11.85,11.85,-100,100
"173",115.7,-115.7,-15.7,15.7,100,-100
"174",-62.4,62.4,-37.6,37.6,-100,100
"175",-72.2,72.2,-27.8,27.8,-100,100
"176",-58,58,-42,42,-100,100
"177",-100.8,100.8,0.799999999999997,-0.799999999999997,-100,100
"178",121.35,-121.35,-21.35,21.35,100,-100
"179",108.4,-108.4,-8.39999999999999,8.40000000000001,100,-100
"180",-75.85,75.85,-24.15,24.15,-100,100
"181",-51.7,51.7,-48.3,48.3,-100,100
"182",-81.55,81.55,-18.45,18.45,-100,100
"183",-71.55,71.55,-28.45,28.45,-100,100
"184",133.1,-133.1,-33.1,33.1,100,-100
"185",67.7,-67.7,32.3,-32.3,100,-100
"186",-70.9,70.9,-29.1,29.1,-100,100
"187",-79.7,79.7,-20.3,20.3,-100,100
"188",-52.2,52.2,-47.8,47.8,-100,100
"189",71.2,-71.2,28.8,-28.8,100,-100
"190",67.3,-67.3,32.7,-32.7,100,-100
"191",70.45,-70.45,29.55,-29.55,100,-100
"192",121.15,-121.15,-21.15,21.15,100,-100
"193",-49.8,49.8,-50.2,50.2,-100,100
"194",-145.7,145.7,45.7,-45.7,-100,100
"195",93.4,-93.4,6.60000000000001,-6.60000000000001,100,-100
"196",-129.4,129.4,29.4,-29.4,-100,100
"197",-76.4,76.4,-23.6,23.6,-100,100
"198",69.65,-69.65,30.35,-30.35,100,-100
"199",-55.95,55.95,-44.05,44.05,-100,100
"200",55.2,-55.2,44.8,-44.8,100,-100
"201",-72.3,72.3,-27.7,27.7,-100,100
"202",-25.2,25.2,25.2,-25.2,3.5527136788005e-15,-3.5527136788005e-15
"203",66.3,-66.3,33.7,-33.7,100,-100
"204",74.85,-74.85,25.15,-25.15,100,-100
"205",69.15,-69.15,30.85,-30.85,100,-100
"206",138.05,-138.05,-38.05,38.05,100,-100
"207",-88.85,88.85,-11.15,11.15,-100,100
"208",10.3,-10.3,-10.3,10.3,0,0
"209",-44.1,44.1,44.1,-44.1,-1.4210854715202e-14,0
"210",-131.2,131.2,31.2,-31.2,-100,100
"211",51.6,-51.6,48.4,-48.4,100,-100
"212",-86.55,86.55,-13.45,13.45,-100,100
"213",56.1,-56.1,43.9,-43.9,100,-100
"214",-67.75,67.75,-32.25,32.25,-100,100
"215",-150.35,150.35,50.35,-50.35,-100,100
"216",-148.4,148.4,48.4,-48.4,-100,100
"217",-80.8,80.8,-19.2,19.2,-100,100
"218",-69.35,69.35,-30.65,30.65,-100,100
"219",45.45,-45.45,-45.45,45.45,0,0
"220",72.2,-72.2,27.8,-27.8,100,-100
