"","p1_luck","p2_luck","p1_skill","p2_skill","p1_chip","p2_chip"
"1",81.25,-81.25,18.75,-18.75,100,-100
"2",153.6,-153.6,-53.6,53.6,100,-100
"3",-2668.63181818182,2668.63181818182,-2457.36818181818,2457.36818181818,-5126,5126
"4",78.2873737373738,-78.2873737373738,21.7126262626262,-21.7126262626262,100,-100
"5",79.9282828282828,-79.9282828282828,20.0717171717172,-20.0717171717172,100,-100
"6",69.35,-69.35,30.65,-30.65,100,-100
"7",84.55,-84.55,15.45,-15.45,100,-100
"8",-78.3,78.3,-21.7,21.7,-100,100
"9",-73.4232323232323,73.4232323232323,-26.5767676767677,26.5767676767677,-100,100
"10",141.616161616162,-141.616161616162,158.383838383838,-158.383838383838,300,-300
"11",116.916666666667,-116.916666666667,-20116.9166666667,20116.9166666667,-20000,20000
"12",269.631818181818,-269.631818181818,19530.3681818182,-19530.3681818182,19800,-19800
"13",-65.9,65.9,-34.1,34.1,-100,100
"14",35.8227272727273,-35.8227272727273,-20035.8227272727,20035.8227272727,-20000,20000
"15",-3.53131313131312,3.53131313131312,103.531313131313,-103.531313131313,100,-100
"16",-116.7,116.7,16.7,-16.7,-100,100
"17",-231.048484848485,231.048484848485,-168.951515151515,168.951515151515,-400,400
"18",-383.087373737374,383.087373737374,-966.912626262626,966.912626262626,-1350,1350
"19",243.212121212121,-243.212121212121,356.787878787879,-356.787878787879,600,-600
"20",857.6,-857.6,8254.4,-8254.4,9112,-9112
"21",-29.6378787878788,29.6378787878788,-70.3621212121212,70.3621212121212,-100,100
"22",53,-53,47,-47,100,-100
"23",-89.1550505050505,89.1550505050505,-10.8449494949495,10.8449494949495,-100,100
"24",-26.8979797979798,26.8979797979798,-73.1020202020202,73.1020202020202,-100,100
"25",-185.372727272727,185.372727272727,-14.6272727272727,14.6272727272727,-200,200
"26",125.25,-125.25,-25.25,25.25,100,-100
"27",-53.95,53.95,-46.05,46.05,-100,100
"28",70.1252525252525,-70.1252525252525,29.8747474747475,-29.8747474747475,100,-100
"29",94.9272727272727,-94.9272727272727,5.07272727272727,-5.07272727272727,100,-100
"30",0,0,100,-100,100,-100
"31",53.05,-53.05,46.95,-46.95,100,-100
"32",133.3,-133.3,166.7,-166.7,300,-300
"33",-58.9833333333333,58.9833333333333,-41.0166666666667,41.0166666666667,-100,100
"34",-232.460606060606,232.460606060606,-367.539393939394,367.539393939394,-600,600
"35",408.921212121212,-408.921212121212,-20408.9212121212,20408.9212121212,-20000,20000
"36",78.65,-78.65,21.35,-21.35,100,-100
"37",-692.45,692.45,-2345.55,2345.55,-3038,3038
"38",1816.52727272727,-1816.52727272727,-10316.5272727273,10316.5272727273,-8500,8500
"39",92.3,-92.3,7.69999999999999,-7.69999999999999,100,-100
"40",33.9873737373737,-33.9873737373737,66.0126262626263,-66.0126262626263,100,-100
"41",-225.460606060606,225.460606060606,-74.5393939393939,74.5393939393939,-300,300
"42",61.3227272727273,-61.3227272727273,38.6772727272727,-38.6772727272727,100,-100
"43",-65.35,65.35,-234.65,234.65,-300,300
"44",1293.43383838384,-1293.43383838384,-21293.4338383838,21293.4338383838,-20000,20000
"45",51.6626262626263,-51.6626262626263,48.3373737373737,-48.3373737373737,100,-100
"46",-93.75,93.75,-6.25,6.25,-100,100
"47",23.55,-23.55,-23.55,23.55,-3.5527136788005e-15,7.105427357601e-15
"48",73.95,-73.95,26.05,-26.05,100,-100
"49",33.9272727272727,-33.9272727272727,-20033.9272727273,20033.9272727273,-20000,20000
"50",393.428787878788,-393.428787878788,-20393.4287878788,20393.4287878788,-20000,20000
"51",63.8126262626263,-63.8126262626263,36.1873737373737,-36.1873737373737,100,-100
"52",-111.378787878788,111.378787878788,11.3787878787878,-11.3787878787879,-100,100
"53",77.9414141414142,-77.9414141414142,22.0585858585858,-22.0585858585858,100,-100
"54",64.3,-64.3,35.7,-35.7,100,-100
"55",-73,73,-27,27,-100,100
"56",-67.8262626262626,67.8262626262626,-32.1737373737374,32.1737373737374,-100,100
"57",-351.387878787879,351.387878787879,-2348.61212121212,2348.61212121212,-2700,2700
"58",56.7388888888889,-56.7388888888889,43.2611111111111,-43.2611111111111,100,-100
"59",-20.0787878787879,20.0787878787879,-79.9212121212121,79.9212121212121,-100,100
"60",10.299494949495,-10.299494949495,-20010.2994949495,20010.2994949495,-20000,20000
"61",-91.25,91.25,-108.75,108.75,-200,200
"62",-100.8,100.8,-99.2,99.2,-200,200
"63",-11405.2373737374,11405.2373737374,-8594.76262626263,8594.76262626263,-20000,20000
"64",88.0080808080808,-88.0080808080808,-20088.0080808081,20088.0080808081,-20000,20000
"65",29.0287878787879,-29.0287878787879,-129.028787878788,129.028787878788,-100,100
"66",71.65,-71.65,28.35,-28.35,100,-100
"67",-11.9747474747475,11.9747474747475,-19988.0252525253,19988.0252525253,-20000,20000
"68",-68.05,68.05,-2631.95,2631.95,-2700,2700
"69",0,0,-100,100,-100,100
"70",129.2,-129.2,170.8,-170.8,300,-300
"71",118,-118,-18,18,100,-100
"72",2631.97626262626,-2631.97626262626,-22631.9762626263,22631.9762626263,-20000,20000
"73",98.15,-98.15,1.84999999999999,-1.84999999999999,100,-100
"74",262.787878787879,-262.787878787879,5137.21212121212,-5137.21212121212,5400,-5400
"75",58.6,-58.6,41.4,-41.4,100,-100
"76",26.2545454545455,-26.2545454545455,73.7454545454545,-73.7454545454545,100,-100
"77",-79.6,79.6,-20.4,20.4,-100,100
"78",-91.5,91.5,-8.5,8.5,-100,100
"79",303.289393939394,-303.289393939394,146.710606060606,-146.710606060606,450,-450
"80",125.630303030303,-125.630303030303,774.369696969697,-774.369696969697,900,-900
"81",64.3,-64.3,35.7,-35.7,100,-100
"82",69.6126262626263,-69.6126262626263,130.387373737374,-130.387373737374,200,-200
"83",65.4575757575758,-65.4575757575758,34.5424242424242,-34.5424242424242,100,-100
"84",-251.699494949495,251.699494949495,-1098.30050505051,1098.30050505051,-1350,1350
