"","p1_luck","p2_luck","p1_skill","p2_skill","p1_chip","p2_chip"
"1",-7.75,7.75000000000001,57.75,-57.75,NA,NA
"2",-15.65,15.65,65.65,-65.65,NA,NA
"3",-24.45,24.45,74.45,-74.45,NA,NA
"4",34.3,-34.3,15.7,-15.7,NA,NA
"5",-21.2,21.2,71.2,-71.2,NA,NA
"6",-47.55,47.55,97.55,-97.55,NA,NA
"7",-22.7,22.7,72.7,-72.7,NA,NA
"8",12.9,-12.9,37.1,-37.1,NA,NA
"9",-41.35,41.35,91.35,-91.35,NA,NA
"10",33.85,-33.85,16.15,-16.15,NA,NA
"11",-26.5,26.5,76.5,-76.5,NA,NA
"12",9.3,-9.3,40.7,-40.7,NA,NA
"13",-33.45,33.45,83.45,-83.45,NA,NA
"14",-14.1,14.1,64.1,-64.1,NA,NA
"15",-5.05000000000001,5.05,55.05,-55.05,NA,NA
"16",10.85,-10.85,39.15,-39.15,NA,NA
"17",27.25,-27.25,22.75,-22.75,NA,NA
"18",-7.75,7.75000000000001,57.75,-57.75,NA,NA
"19",-30.45,30.45,80.45,-80.45,NA,NA
"20",0,0,-100,100,-100,100
"21",39.6,-39.6,10.4,-10.4,NA,NA
"22",18.15,-18.15,31.85,-31.85,NA,NA
"23",20.15,-20.15,29.85,-29.85,NA,NA
"24",26.15,-26.15,23.85,-23.85,NA,NA
"25",-5.45000000000002,5.45,55.45,-55.45,NA,NA
"26",56.1,-50,-6.09999999999999,0,NA,NA
"27",20.85,-20.85,29.15,-29.15,NA,NA
"28",-41.2,41.2,91.2,-91.2,NA,NA
"29",42.4,-42.4,7.59999999999999,-7.60000000000001,NA,NA
"30",-27.85,27.85,77.85,-77.85,NA,NA
"31",15.6,-15.6,34.4,-34.4,NA,NA
"32",-1.3,1.29999999999998,51.3,-51.3,NA,NA
"33",18.6,-18.6,31.4,-31.4,NA,NA
"34",-29.8,29.8,79.8,-79.8,NA,NA
"35",0,0,-100,100,-100,100
"36",-27.85,27.85,77.85,-77.85,NA,NA
"37",-35.15,35.15,85.15,-85.15,NA,NA
"38",0,0,-100,100,-100,100
"39",-31.65,31.65,81.65,-81.65,NA,NA
"40",16.05,-16.05,33.95,-33.95,NA,NA
"41",-45.6,45.6,95.6,-95.6,NA,NA
"42",5.89999999999999,-5.89999999999999,44.1,-44.1,NA,NA
"43",11.85,-11.85,38.15,-38.15,NA,NA
"44",-13.25,13.25,63.25,-63.25,NA,NA
"45",27.25,-27.25,22.75,-22.75,NA,NA
"46",35.15,-35.15,14.85,-14.85,NA,NA
"47",21.35,-21.35,28.65,-28.65,NA,NA
"48",-26.7,26.7,76.7,-76.7,NA,NA
"49",-30.3,30.3,80.3,-80.3,NA,NA
"50",-17.4,17.4,67.4,-67.4,NA,NA
"51",50.5,-50,-0.5,0,NA,NA
"52",-30.05,30.05,80.05,-80.05,NA,NA
"53",-23.75,23.75,73.75,-73.75,NA,NA
"54",27.95,-27.95,22.05,-22.05,NA,NA
"55",16.9,-16.9,33.1,-33.1,NA,NA
"56",-43.35,43.35,93.35,-93.35,NA,NA
"57",22.8,-22.8,27.2,-27.2,NA,NA
"58",56,-50,-5.99999999999997,0,NA,NA
"59",-5.05000000000001,5.05,55.05,-55.05,NA,NA
"60",-13.25,13.25,63.25,-63.25,NA,NA
"61",0,0,-100,100,-100,100
"62",51.7,-50,-1.70000000000002,0,NA,NA
"63",-35.3,35.3,85.3,-85.3,NA,NA
"64",-13.3,13.3,63.3,-63.3,NA,NA
"65",-36.15,36.15,86.15,-86.15,NA,NA
"66",41.75,-41.75,8.25,-8.25,NA,NA
"67",-18.5,18.5,68.5,-68.5,NA,NA
"68",48.45,-48.45,1.55000000000001,-1.55,NA,NA
"69",-14.15,14.15,64.15,-64.15,NA,NA
"70",20.4,-20.4,29.6,-29.6,NA,NA
"71",-29.45,29.45,79.45,-79.45,NA,NA
"72",26.05,-26.05,23.95,-23.95,NA,NA
"73",29,-29,21,-21,NA,NA
"74",-51.3,51.3,101.3,-101.3,NA,NA
"75",33.85,-33.85,16.15,-16.15,NA,NA
"76",27.25,-27.25,22.75,-22.75,NA,NA
"77",29.2,-29.2,20.8,-20.8,NA,NA
"78",9.05,-9.05,40.95,-40.95,NA,NA
"79",-25.25,25.25,75.25,-75.25,NA,NA
"80",10,-10,40,-40,NA,NA
"81",-29.75,29.75,79.75,-79.75,NA,NA
"82",26.55,-26.55,23.45,-23.45,NA,NA
"83",-33.85,33.85,83.85,-83.85,NA,NA
