"","p1_luck","p2_luck","p1_skill","p2_skill","p1_chip","p2_chip"
"1",-2.45,2.45,52.45,-52.45,NA,NA
"2",53.95,-50,-3.94999999999999,0,NA,NA
"3",-3.8,3.8,53.8,-53.8,NA,NA
"4",-15.5,15.5,65.5,-65.5,NA,NA
"5",-54.8136363636364,54.8136363636363,-45.1863636363637,45.1863636363637,-100,100
"6",36.5,-36.5,13.5,-13.5,NA,NA
"7",31.9,-31.9,18.1,-18.1,NA,NA
"8",-25.05,25.05,75.05,-75.05,NA,NA
"9",40.4,-40.4,9.59999999999999,-9.59999999999999,NA,NA
"10",22.55,-22.55,27.45,-27.45,NA,NA
"11",-50.75,50.75,100.75,-100.75,NA,NA
"12",37.7,-37.7,12.3,-12.3,NA,NA
"13",132.45,-132.45,-32.45,32.45,100,-100
"14",-5.84999999999999,5.84999999999999,55.85,-55.85,NA,NA
"15",32.1,-32.1,17.9,-17.9,NA,NA
"16",-42.8,42.8,92.8,-92.8,NA,NA
"17",-49.15,49.15,99.15,-99.15,NA,NA
"18",33.4,-33.4,16.6,-16.6,NA,NA
"19",-8.09999999999999,8.09999999999999,58.1,-58.1,NA,NA
"20",12.25,-12.25,37.75,-37.75,NA,NA
"21",3.15000000000001,-3.15000000000001,46.85,-46.85,NA,NA
"22",-52,52,102,-102,NA,NA
"23",-48.4,48.4,98.4,-98.4,NA,NA
"24",-14.8,14.8,64.8,-64.8,NA,NA
"25",-25.1272727272727,25.1272727272727,125.127272727273,-125.127272727273,100,-100
"26",23.8,-23.8,26.2,-26.2,NA,NA
"27",13.35,-13.35,36.65,-36.65,NA,NA
"28",-8.39999999999999,8.40000000000001,58.4,-58.4,NA,NA
"29",49.05,-49.05,0.949999999999989,-0.949999999999982,NA,NA
"30",33.35,-33.35,16.65,-16.65,NA,NA
"31",-30.3,30.3,80.3,-80.3,NA,NA
"32",-26.45,26.45,76.45,-76.45,NA,NA
"33",38.15,-38.15,11.85,-11.85,NA,NA
"34",7.89999999999999,-7.89999999999999,42.1,-42.1,NA,NA
"35",27.2,-27.2,22.8,-22.8,NA,NA
"36",25.45,-25.45,24.55,-24.55,NA,NA
"37",77.1752525252525,-77.1752525252525,122.824747474747,-122.824747474747,200,-200
"38",76.95,-50,-26.95,0,NA,NA
"39",-13.25,13.25,63.25,-63.25,NA,NA
"40",11.7,-11.7,38.3,-38.3,NA,NA
"41",82.3742424242424,-82.3742424242424,17.6257575757576,-17.6257575757576,100,-100
"42",-26.95,26.95,76.95,-76.95,NA,NA
"43",-27.5,27.5,77.5,-77.5,NA,NA
"44",35.25,-35.25,14.75,-14.75,NA,NA
"45",44.4,-44.4,5.59999999999999,-5.60000000000001,NA,NA
"46",28.7,-28.7,21.3,-21.3,NA,NA
"47",10.1,-10.1,39.9,-39.9,NA,NA
"48",-17.4,17.4,67.4,-67.4,NA,NA
"49",-25.95,25.95,75.95,-75.95,NA,NA
"50",23.2,-23.2,26.8,-26.8,NA,NA
"51",-53.5,53.5,103.5,-103.5,NA,NA
"52",-50.65,50.65,100.65,-100.65,NA,NA
"53",0,0,-100,100,-100,100
"54",-34.75,34.75,84.75,-84.75,NA,NA
"55",-29.8,29.8,79.8,-79.8,NA,NA
"56",-30.35,30.35,80.35,-80.35,NA,NA
"57",-12.7,12.7,62.7,-62.7,NA,NA
"58",31.8,-31.8,18.2,-18.2,NA,NA
"59",-34.9,34.9,84.9,-84.9,NA,NA
"60",30.7,-30.7,19.3,-19.3,NA,NA
"61",29.95,-29.95,20.05,-20.05,NA,NA
"62",-28.6,28.6,78.6,-78.6,NA,NA
"63",33.9,-33.9,16.1,-16.1,NA,NA
"64",116.660606060606,-116.660606060606,-16.6606060606061,16.6606060606061,100,-100
"65",-47.9,47.9,97.9,-97.9,NA,NA
"66",-30.7,30.7,80.7,-80.7,NA,NA
"67",15.15,-15.15,34.85,-34.85,NA,NA
"68",-16.2,16.2,66.2,-66.2,NA,NA
"69",1.15000000000001,-1.15000000000001,48.85,-48.85,NA,NA
"70",37.05,-37.05,12.95,-12.95,NA,NA
"71",-13,13,63,-63,NA,NA
"72",0,0,-100,100,-100,100
"73",-40.45,40.45,90.45,-90.45,NA,NA
"74",-24.3,24.3,74.3,-74.3,NA,NA
"75",63.4,-50,-13.4,0,NA,NA
"76",41.7,-41.7,8.29999999999998,-8.3,NA,NA
"77",-66.85,66.85,-33.15,33.15,-100,100
"78",-27,27,77,-77,NA,NA
"79",0,0,-100,100,-100,100
"80",-28.95,28.95,78.95,-78.95,NA,NA
"81",7.34999999999999,-7.34999999999999,42.65,-42.65,NA,NA
"82",-15.05,15.05,65.05,-65.05,NA,NA
"83",23.95,-23.95,26.05,-26.05,NA,NA
"84",10.25,-10.25,39.75,-39.75,NA,NA
"85",-13.05,13.05,63.05,-63.05,NA,NA
"86",-35.45,35.45,85.45,-85.45,NA,NA
"87",-21.5,21.5,71.5,-71.5,NA,NA
"88",-25.35,25.35,75.35,-75.35,NA,NA
"89",-28.2,28.2,78.2,-78.2,NA,NA
"90",0,0,-100,100,-100,100
"91",15.55,-15.55,34.45,-34.45,NA,NA
"92",18.3,-18.3,31.7,-31.7,NA,NA
"93",8.55000000000001,-8.55000000000001,41.45,-41.45,NA,NA
"94",0,0,50,-50,NA,NA
"95",-14.3,14.3,64.3,-64.3,NA,NA
"96",35.6,-35.6,14.4,-14.4,NA,NA
"97",32.1,-32.1,17.9,-17.9,NA,NA
"98",-35.15,35.15,85.15,-85.15,NA,NA
"99",-0.349999999999994,0.34999999999998,50.35,-50.35,NA,NA
"100",-29.1,29.1,79.1,-79.1,NA,NA
"101",45.7,-45.7,4.29999999999998,-4.29999999999999,NA,NA
"102",-15.9070707070707,15.9070707070707,-84.0929292929293,84.0929292929293,-100,100
"103",52.3,-50,-2.30000000000001,0,NA,NA
"104",3.09999999999999,-3.09999999999999,46.9,-46.9,NA,NA
"105",-39.2,39.2,89.2,-89.2,NA,NA
"106",-22.6,22.6,72.6,-72.6,NA,NA
"107",-32.5,32.5,82.5,-82.5,NA,NA
"108",156.50505050505,-156.50505050505,143.49494949495,-143.49494949495,300,-300
"109",14.8,-14.8,35.2,-35.2,NA,NA
"110",44.75,-44.75,5.25,-5.25,NA,NA
"111",18.1,-18.1,31.9,-31.9,NA,NA
"112",0,0,-100,100,-100,100
"113",28.2,-28.2,21.8,-21.8,NA,NA
"114",21.55,-21.55,28.45,-28.45,NA,NA
"115",26.75,-26.75,23.25,-23.25,NA,NA
"116",-33.4,33.4,83.4,-83.4,NA,NA
"117",24.15,-24.15,25.85,-25.85,NA,NA
"118",6.79999999999998,-6.79999999999998,43.2,-43.2,NA,NA
"119",-20.65,20.65,70.65,-70.65,NA,NA
"120",-28.15,28.15,78.15,-78.15,NA,NA
"121",26.1,-26.1,23.9,-23.9,NA,NA
"122",28.65,-28.65,21.35,-21.35,NA,NA
"123",21.35,-21.35,28.65,-28.65,NA,NA
"124",40.4,-40.4,9.60000000000002,-9.60000000000001,NA,NA
"125",-1.34999999999999,1.35000000000001,51.35,-51.35,NA,NA
"126",27.2,-27.2,22.8,-22.8,NA,NA
"127",37.8,-37.8,12.2,-12.2,NA,NA
"128",-19.8,19.8,69.8,-69.8,NA,NA
"129",-19.7,19.7,69.7,-69.7,NA,NA
"130",32.75,-32.75,17.25,-17.25,NA,NA
"131",15.55,-15.55,34.45,-34.45,NA,NA
"132",11.75,-11.75,38.25,-38.25,NA,NA
"133",-18.55,18.55,68.55,-68.55,NA,NA
"134",24.6,-24.6,25.4,-25.4,NA,NA
"135",-47.75,47.75,97.75,-97.75,NA,NA
"136",-32.2,32.2,82.2,-82.2,NA,NA
"137",-32.05,32.05,82.05,-82.05,NA,NA
"138",-51,51,101,-101,NA,NA
"139",-30.3,30.3,80.3,-80.3,NA,NA
"140",15.3,-15.3,34.7,-34.7,NA,NA
"141",19.4,-19.4,30.6,-30.6,NA,NA
"142",-14.5,14.5,64.5,-64.5,NA,NA
"143",19.3,-19.3,30.7,-30.7,NA,NA
"144",19.75,-19.75,30.25,-30.25,NA,NA
"145",31.55,-31.55,18.45,-18.45,NA,NA
"146",4.99999999999999,-4.99999999999999,45,-45,NA,NA
"147",30.45,-30.45,19.55,-19.55,NA,NA
"148",27.85,-27.85,22.15,-22.15,NA,NA
"149",42,-42,8,-8.00000000000001,NA,NA
"150",23.05,-23.05,26.95,-26.95,NA,NA
"151",-17.15,17.15,67.15,-67.15,NA,NA
"152",-5.5,5.50000000000001,55.5,-55.5,NA,NA
"153",22.5,-22.5,27.5,-27.5,NA,NA
"154",-18.9,18.9,68.9,-68.9,NA,NA
"155",-25.55,25.55,75.55,-75.55,NA,NA
"156",28.2,-28.2,21.8,-21.8,NA,NA
"157",20.5,-20.5,29.5,-29.5,NA,NA
"158",1.2,-1.2,48.8,-48.8,NA,NA
"159",28.65,-28.65,21.35,-21.35,NA,NA
"160",-12.8,12.8,62.8,-62.8,NA,NA
"161",62.8681818181818,-62.8681818181818,37.1318181818182,-37.1318181818182,100,-100
"162",42.85,-42.85,7.15000000000001,-7.15000000000001,NA,NA
"163",21.65,-21.65,28.35,-28.35,NA,NA
"164",47.05,-47.05,2.94999999999999,-2.94999999999999,NA,NA
"165",23.95,-23.95,26.05,-26.05,NA,NA
"166",-18.85,18.85,68.85,-68.85,NA,NA
"167",-23.1318181818182,23.1318181818182,123.131818181818,-123.131818181818,100,-100
"168",6.60000000000001,-6.60000000000001,43.4,-43.4,NA,NA
"169",-34.1,34.1,84.1,-84.1,NA,NA
"170",29.6,-29.6,20.4,-20.4,NA,NA
"171",29.1,-29.1,20.9,-20.9,NA,NA
"172",33.95,-33.95,16.05,-16.05,NA,NA
"173",14.1,-14.1,35.9,-35.9,NA,NA
"174",-69.8075757575757,69.8075757575757,-30.1924242424243,30.1924242424243,-100,100
"175",-21.15,21.15,71.15,-71.15,NA,NA
"176",22.9,-22.9,27.1,-27.1,NA,NA
"177",-29.85,29.85,79.85,-79.85,NA,NA
"178",-27.9823232323232,27.9823232323232,-72.0176767676768,72.0176767676768,-100,100
"179",0,0,-100,100,-100,100
"180",-41.4,41.4,91.4,-91.4,NA,NA
"181",21.9,-21.9,28.1,-28.1,NA,NA
"182",-19.45,19.45,69.45,-69.45,NA,NA
"183",-21.1,21.1,71.1,-71.1,NA,NA
"184",25.35,-25.35,24.65,-24.65,NA,NA
"185",-21.15,21.15,71.15,-71.15,NA,NA
"186",0,0,-100,100,-100,100
"187",-17.2,17.2,67.2,-67.2,NA,NA
"188",32.8,-32.8,17.2,-17.2,NA,NA
"189",11.25,-11.25,38.75,-38.75,NA,NA
"190",27.5,-27.5,22.5,-22.5,NA,NA
"191",-1.05000000000001,1.05,51.05,-51.05,NA,NA
"192",32.6,-32.6,17.4,-17.4,NA,NA
