,p1_luck,p2_luck,p1_skill,p2_skill,p1_chip,p2_chip
1,-128.6868687,128.6868687,-471.3131313,471.3131313,-600,600
2,-275.1515152,275.1515152,75.15151515,-75.15151515,-200,200
3,100,-100,200,-200,300,-300
4,100,-100,0,0,100,-100
5,-100,100,0,0,-100,100
6,172.7272727,-172.7272727,727.2727273,-727.2727273,900,-900
7,-100,100,-200,200,-300,300
8,-1018.585859,1018.585859,-781.4141414,781.4141414,-1800,1800
9,100,-100,2600,-2600,2700,-2700
10,100,-100,0,0,100,-100
11,100,-99.4,0,-0.6,100,-100
12,-149.7979798,149.7979798,-1650.20202,1650.20202,-1800,1800
13,-190.9090909,190.9090909,-709.0909091,709.0909091,-900,900
14,-100,100,0,0,-100,100
15,-181.8181818,181.8181818,-118.1818182,118.1818182,-300,300
16,209.0909091,-209.0909091,690.9090909,-690.9090909,900,-900
17,127.2727273,-126.0727273,172.7272727,-173.9272727,300,-300
18,454.5454545,-454.5454545,445.4545455,-445.4545455,900,-900
19,237.7777778,-237.7777778,1562.222222,-1562.222222,1800,-1800
20,100,-100,200,-200,300,-300
21,166.0606061,-166.0606061,-166.0606061,166.0606061,5.68E-14,0
22,100,-100,0,0,100,-100
23,-496.6,496.6,96.6,-96.6,-400,400
24,145.0505051,-145.0505051,454.9494949,-454.9494949,600,-600
25,405.1515152,-405.1515152,194.8484848,-194.8484848,600,-600
26,354.5454545,-354.5454545,545.4545455,-545.4545455,900,-900
27,-100,100,0,0,-100,100
28,-245.4545455,245.4545455,-654.5454545,654.5454545,-900,900
29,-100,100,-200,200,-300,300
30,-100,100,-200,200,-300,300
31,-190.9090909,190.9090909,-109.0909091,109.0909091,-300,300
32,-1617.575758,1617.575758,-1082.424242,1082.424242,-2700,2700
33,120.4040404,-120.4040404,79.5959596,-79.5959596,200,-200
34,181.6161616,-181.6161616,1618.383838,-1618.383838,1800,-1800
35,100,-100,200,-200,300,-300
36,-100,100,0,0,-100,100
37,172.5252525,-162.5252525,27.47474747,-37.47474747,200,-200
38,100,-100,0,0,100,-100
39,-266.6666667,266.6666667,-333.3333333,333.3333333,-600,600
40,-100,100,0,0,-100,100
41,176.1616162,-156.4616162,23.83838384,-43.53838384,200,-200
42,-100,100,-200,200,-300,300
43,100,-100,0,0,100,-100
44,100,-100,200,-200,300,-300
45,436.8161616,-436.8161616,6763.183838,-6763.183838,7200,-7200
46,163.6363636,-163.6363636,136.3636364,-136.3636364,300,-300
47,-145.4545455,145.4545455,-154.5454545,154.5454545,-300,300
48,-127.2727273,127.2727273,-772.7272727,772.7272727,-900,900
49,327.4,-327.4,872.6,-872.6,1200,-1200
50,100,-100,0,0,100,-100
51,105.4545455,-103.9545455,494.5454545,-496.0454545,600,-600
52,-100,100,0,0,-100,100
53,-100,100,0,0,-100,100
54,187.2727273,-187.2727273,2512.727273,-2512.727273,2700,-2700
55,100,-100,200,-200,300,-300
56,230.5050505,-230.5050505,369.4949495,-369.4949495,600,-600
57,-100,100,-200,200,-300,300
58,150,-150,750,-750,900,-900
59,-112.8282828,112.8282828,-87.17171717,87.17171717,-200,200
60,-100,100,0,0,-100,100
61,100,-100,0,0,100,-100
62,-100,100,0,0,-100,100
63,-100,100,0,0,-100,100
64,-100,100,0,0,-100,100
65,-100,100,-200,200,-300,300
66,100,-100,0,0,100,-100
67,100,-100,800,-800,900,-900
68,431.4141414,-431.4141414,1368.585859,-1368.585859,1800,-1800
69,100,-100,800,-800,900,-900
70,-100,100,-200,200,-300,300
71,-100,100,-200,200,-300,300
72,100,-100,0,0,100,-100
73,100,-100,200,-200,300,-300
74,-120.8080808,120.8080808,-79.19191919,79.19191919,-200,200
75,100,-100,0,0,100,-100
76,1.78E-15,-1.78E-15,0,0,1.78E-15,-1.78E-15
77,109.0909091,-109.0909091,790.9090909,-790.9090909,900,-900
78,172.7272727,-170.2272727,727.2727273,-729.7727273,900,-900
79,159.5959596,-159.5959596,440.4040404,-440.4040404,600,-600
80,211.4141414,-211.4141414,388.5858586,-388.5858586,600,-600
81,-100,100,-200,200,-300,300
82,-100,100,0,0,-100,100
83,-100,100,0,0,-100,100
84,-620.4040404,620.4040404,-2079.59596,2079.59596,-2700,2700
85,127.2727273,-127.2727273,172.7272727,-172.7272727,300,-300
86,100,-100,0,0,100,-100
87,-100,100,-200,200,-300,300
88,-100,100,0,0,-100,100
89,36.36363636,-36.36363636,-36.36363636,36.36363636,0,0
90,-100,100,-200,200,-300,300
91,352.8282828,-352.8282828,2347.171717,-2347.171717,2700,-2700
92,230.9090909,-230.9090909,369.0909091,-369.0909091,600,-600
93,-782.6262626,782.6262626,182.6262626,-182.6262626,-600,600
94,-136.3636364,136.3636364,-163.6363636,163.6363636,-300,300
95,198.4,-181.2,1001.6,-1018.8,1200,-1200
96,-111.1111111,111.1111111,-88.88888889,88.88888889,-200,200
97,100,-100,200,-200,300,-300
98,-154.5454545,154.5454545,-745.4545455,745.4545455,-900,900
99,-100,100,0,0,-100,100
100,256.6666667,-256.6666667,2443.333333,-2443.333333,2700,-2700
101,472.7272727,-472.7272727,427.2727273,-427.2727273,900,-900
102,-145.4545455,145.4545455,-754.5454545,754.5454545,-900,900
103,-154.5454545,154.5454545,-145.4545455,145.4545455,-300,300
