,p1_luck,p2_luck,p1_skill,p2_skill,p1_chip,p2_chip
1,-9.494949495,9.494949495,109.4949495,-109.4949495,100,-100
2,1.78E-15,-1.78E-15,100,-100,100,-100
3,-99.09090909,99.09090909,-0.909090909,0.909090909,-100,100
4,100,-100,0,0,100,-100
5,78.18181818,-78.18181818,21.81818182,-21.81818182,100,-100
6,49.19191919,-49.19191919,50.80808081,-50.80808081,100,-100
7,-100,100,0,0,-100,100
8,-100,100,0,0,-100,100
9,66.26262626,-66.26262626,33.73737374,-33.73737374,100,-100
10,69.8989899,-69.8989899,30.1010101,-30.1010101,100,-100
11,31.3,-31.3,68.7,-68.7,100,-100
12,100,-100,0,0,100,-100
13,-100,100,200,-200,100,-100
14,100,-100,0,0,100,-100
15,85.45454545,-85.45454545,14.54545455,-14.54545455,100,-100
16,-100,100,0,0,-100,100
17,22.72727273,-22.72727273,77.27272727,-77.27272727,100,-100
18,40.70707071,-40.70707071,59.29292929,-59.29292929,100,-100
19,-100,100,0,0,-100,100
20,-100,100,200,-200,100,-100
21,79.5959596,-79.5959596,20.4040404,-20.4040404,100,-100
22,-100,100,0,0,-100,100
23,-100,100,0,0,-100,100
24,42.22222222,-42.22222222,57.77777778,-57.77777778,100,-100
25,53.13131313,-53.13131313,46.86868687,-46.86868687,100,-100
26,71.31313131,-71.31313131,28.68686869,-28.68686869,100,-100
27,-100,100,0,0,-100,100
28,-100,100,200,-200,100,-100
29,-100,100,0,0,-100,100
30,-70.70707071,70.70707071,170.7070707,-170.7070707,100,-100
31,100,-100,0,0,100,-100
32,100,-100,0,0,100,-100
33,-63.53535354,63.53535354,163.5353535,-163.5353535,100,-100
34,-100,100,0,0,-100,100
35,44.04040404,-44.04040404,55.95959596,-55.95959596,100,-100
36,26.36363636,-26.36363636,73.63636364,-73.63636364,100,-100
37,59.5959596,-59.5959596,40.4040404,-40.4040404,100,-100
38,100,-100,0,0,100,-100
39,100,-100,0,0,100,-100
40,100,-100,0,0,100,-100
41,-100,100,0,0,-100,100
42,-100,100,-19900,19900,-20000,20000
43,-100,100,-19900,19900,-20000,20000
44,59.5959596,-59.5959596,40.4040404,-40.4040404,100,-100
45,90.3030303,-90.3030303,9.696969697,-9.696969697,100,-100
46,42.22222222,-42.22222222,57.77777778,-57.77777778,100,-100
47,-100,100,0,0,-100,100
48,-100,100,200,-200,100,-100
49,-34.54545455,34.54545455,134.5454545,-134.5454545,100,-100
50,-41.51515152,41.51515152,141.5151515,-141.5151515,100,-100
51,63.63636364,-63.63636364,36.36363636,-36.36363636,100,-100
52,90.50505051,-90.50505051,9.494949495,-9.494949495,100,-100
53,100,-100,0,0,100,-100
54,-100,100,0,0,-100,100
55,-100,100,200,-200,100,-100
56,-100,100,-19900,19900,-20000,20000
57,75.75757576,-75.75757576,24.24242424,-24.24242424,100,-100
58,-57.67676768,57.67676768,157.6767677,-157.6767677,100,-100
59,100,-100,0,0,100,-100
60,60.80808081,-60.80808081,39.19191919,-39.19191919,100,-100
61,-98.48484848,98.48484848,198.4848485,-198.4848485,100,-100
62,-93.43434343,93.43434343,-19906.56566,19906.56566,-20000,20000
63,90.1010101,-90.1010101,9.898989899,-9.898989899,100,-100
64,29.2,-29.2,70.8,-70.8,100,-100
65,-69.6969697,69.6969697,169.6969697,-169.6969697,100,-100
66,68.68686869,-68.68686869,31.31313131,-31.31313131,100,-100
67,100,-100,0,0,100,-100
